dt,side,delta,var,auc,n
2026-06-03,-1,1.0,ofi,0.47434195092184445,15129
2026-06-03,-1,1.0,aggr,0.5004370951744441,15129
2026-06-03,-1,1.0,depth,0.5293407369808997,15129
2026-06-03,-1,1.0,qdepl,0.5580873335376314,15129
2026-06-03,-1,1.0,drift,0.4988739039385354,15129
2026-06-03,-1,2.0,obi,0.5071953913156516,15129
2026-06-03,-1,2.0,ofi,0.46192797844246164,15129
2026-06-03,-1,2.0,aggr,0.5104096732667165,15129
2026-06-03,-1,2.0,depth,0.5444387009505209,15129
2026-06-03,-1,2.0,qdepl,0.5709294201577091,15129
2026-06-03,-1,2.0,drift,0.514796976498136,15129
2026-06-04,1,0.5,obi,0.4775662881756375,20264
2026-06-04,1,0.5,ofi,0.4738302502885932,20264
2026-06-04,1,0.5,aggr,0.4978830361373768,20264
2026-06-04,1,0.5,depth,0.49165312086949564,20264
2026-06-04,1,0.5,qdepl,0.5569503863177152,20264
2026-06-04,1,0.5,drift,0.48060831763177364,20264
2026-06-04,1,1.0,obi,0.4679185560022972,20264
2026-06-04,1,1.0,ofi,0.4877466661513126,20264
2026-06-04,1,1.0,aggr,0.518328932027134,20264
2026-06-04,1,1.0,depth,0.4847118952743758,20264
2026-06-04,1,1.0,qdepl,0.560386250759716,20264
2026-06-04,1,1.0,drift,0.5036242070725039,20264
2026-06-04,1,2.0,obi,0.4668842769435569,20264
2026-06-04,1,2.0,ofi,0.492376604914469,20264
2026-06-04,1,2.0,aggr,0.5222918880127532,20264
2026-06-04,1,2.0,depth,0.4929941015294146,20264
2026-06-04,1,2.0,qdepl,0.5387691823552918,20264
2026-06-04,1,2.0,drift,0.5251090536851822,20264
2026-06-04,-1,0.5,obi,0.5203906050489413,19096
2026-06-04,-1,0.5,ofi,0.4664613228980314,19096
2026-06-04,-1,0.5,aggr,0.4527853395162922,19096
2026-06-04,-1,0.5,depth,0.5202171298712573,19096
2026-06-04,-1,0.5,qdepl,0.551616205551932,19096
2026-06-04,-1,0.5,drift,0.47186260711111533,19096
2026-06-04,-1,1.0,obi,0.5190538680596481,19096
2026-06-04,-1,1.0,ofi,0.46038941759961605,19096
2026-06-04,-1,1.0,aggr,0.46376939994478666,19096
2026-06-04,-1,1.0,depth,0.5200896315254983,19096
2026-06-04,-1,1.0,qdepl,0.5560165686524204,19096
2026-06-04,-1,1.0,drift,0.4803784790877703,19096
2026-06-04,-1,2.0,obi,0.5260190154969332,19096
2026-06-04,-1,2.0,ofi,0.47875327345107926,19096
2026-06-04,-1,2.0,aggr,0.4809791242571504,19096
2026-06-04,-1,2.0,depth,0.5222026986276224,19096
2026-06-04,-1,2.0,qdepl,0.5595200238010616,19096
2026-06-04,-1,2.0,drift,0.5093708971587345,19096
2026-06-05,1,0.5,obi,0.4806620967803344,31767
2026-06-05,1,0.5,ofi,0.4631866119875043,31767
2026-06-05,1,0.5,aggr,0.5179122049172245,31767
2026-06-05,1,0.5,depth,0.48546593766894935,31767
2026-06-05,1,0.5,qdepl,0.5331112154871218,31767
2026-06-05,1,0.5,drift,0.48546182701230106,31767
2026-06-05,1,1.0,obi,0.4919938709118854,31767
2026-06-05,1,1.0,ofi,0.470909285298577,31767
2026-06-05,1,1.0,aggr,0.5125686422395848,31767
2026-06-05,1,1.0,depth,0.4995318804019306,31767
2026-06-05,1,1.0,qdepl,0.5246536199129618,31767
2026-06-05,1,1.0,drift,0.4987699912407107,31767
2026-06-05,1,2.0,obi,0.4805740086275502,31767
2026-06-05,1,2.0,ofi,0.48419744102956597,31767
2026-06-05,1,2.0,aggr,0.5154677942742639,31767
2026-06-05,1,2.0,depth,0.5011732581727004,31767
2026-06-05,1,2.0,qdepl,0.5531975677541768,31767
2026-06-05,1,2.0,drift,0.5122111698798816,31767
2026-06-05,-1,0.5,obi,0.5129245128313111,29106
2026-06-05,-1,0.5,ofi,0.47147730739310484,29106
2026-06-05,-1,0.5,aggr,0.5042982282477025,29106
2026-06-05,-1,0.5,depth,0.5236030642946727,29106
2026-06-05,-1,0.5,qdepl,0.5192905378894572,29106
2026-06-05,-1,0.5,drift,0.48320353726311904,29106
2026-06-05,-1,1.0,obi,0.49895785719675906,29106
2026-06-05,-1,1.0,ofi,0.4663422072854604,29106
2026-06-05,-1,1.0,aggr,0.5103140314255136,29106
2026-06-05,-1,1.0,depth,0.5178522398677786,29106
2026-06-05,-1,1.0,qdepl,0.5329768139204295,29106
2026-06-05,-1,1.0,drift,0.4897285348200408,29106
2026-06-05,-1,2.0,obi,0.49886989974081797,29106
2026-06-05,-1,2.0,ofi,0.48055180251970486,29106
2026-06-05,-1,2.0,aggr,0.5093308994085416,29106
2026-06-05,-1,2.0,depth,0.5157448603581898,29106
2026-06-05,-1,2.0,qdepl,0.537677776678033,29106
2026-06-05,-1,2.0,drift,0.515008569785287,29106
2026-06-06,1,0.5,obi,0.5216150672910941,23494
2026-06-06,1,0.5,ofi,0.4682599761448576,23494
2026-06-06,1,0.5,aggr,0.48515005389770105,23494
2026-06-06,1,0.5,depth,0.5181855510521596,23494
2026-06-06,1,0.5,qdepl,0.485120176119543,23494
2026-06-06,1,0.5,drift,0.4815799536586607,23494
2026-06-06,1,1.0,obi,0.529810722917288,23494
2026-06-06,1,1.0,ofi,0.47001955093156195,23494
2026-06-06,1,1.0,aggr,0.5013907087171949,23494
2026-06-06,1,1.0,depth,0.5178855623151765,23494
2026-06-06,1,1.0,qdepl,0.4851308596887025,23494
2026-06-06,1,1.0,drift,0.48155232803120473,23494
2026-06-06,1,2.0,obi,0.5225263847942752,23494
2026-06-06,1,2.0,ofi,0.4854295129795406,23494
2026-06-06,1,2.0,aggr,0.4907048534549305,23494
2026-06-06,1,2.0,depth,0.529671949691616,23494
2026-06-06,1,2.0,qdepl,0.47784841156150504,23494
2026-06-06,1,2.0,drift,0.49085899562860946,23494
2026-06-06,-1,0.5,obi,0.5094804866562899,22619
2026-06-06,-1,0.5,ofi,0.48093605541126694,22619
2026-06-06,-1,0.5,aggr,0.49252971774224263,22619
2026-06-06,-1,0.5,depth,0.5409112754072316,22619
2026-06-06,-1,0.5,qdepl,0.4984216035422021,22619
2026-06-06,-1,0.5,drift,0.49062546327918555,22619
2026-06-06,-1,1.0,obi,0.5139961586037451,22619
2026-06-06,-1,1.0,ofi,0.4954201159704384,22619
2026-06-06,-1,1.0,aggr,0.5010138916857904,22619
2026-06-06,-1,1.0,depth,0.5307711377873112,22619
2026-06-06,-1,1.0,qdepl,0.4989160365744207,22619
2026-06-06,-1,1.0,drift,0.4991160340157035,22619
2026-06-06,-1,2.0,obi,0.5120782682289555,22619
2026-06-06,-1,2.0,ofi,0.49300926968547115,22619
2026-06-06,-1,2.0,aggr,0.48370019022402055,22619
2026-06-06,-1,2.0,depth,0.5295569800925943,22619
2026-06-06,-1,2.0,qdepl,0.49691994418480734,22619
2026-06-06,-1,2.0,drift,0.5058475355158735,22619
2026-06-07,1,0.5,obi,0.5169325299350165,22850
2026-06-07,1,0.5,ofi,0.48239651156145147,22850
2026-06-07,1,0.5,aggr,0.5035936906015647,22850
2026-06-07,1,0.5,depth,0.5292482742234089,22850
2026-06-07,1,0.5,qdepl,0.5029697602221431,22850
2026-06-07,1,0.5,drift,0.47345605830893855,22850
2026-06-07,1,1.0,obi,0.5269669794120685,22850
2026-06-07,1,1.0,ofi,0.48962600268029194,22850
2026-06-07,1,1.0,aggr,0.5006102168348335,22850
2026-06-07,1,1.0,depth,0.5327120451447016,22850
2026-06-07,1,1.0,qdepl,0.5025300293120434,22850
2026-06-07,1,1.0,drift,0.4790311048081458,22850
2026-06-07,1,2.0,obi,0.5194566597902694,22850
2026-06-07,1,2.0,ofi,0.4794318011785894,22850
2026-06-07,1,2.0,aggr,0.4986636832886315,22850
2026-06-07,1,2.0,depth,0.5221759025115842,22850
2026-06-07,1,2.0,qdepl,0.5020798516965115,22850
2026-06-07,1,2.0,drift,0.48087823310575073,22850
2026-06-07,-1,0.5,obi,0.5067541443724567,28104
2026-06-07,-1,0.5,ofi,0.474140797281487,28104
2026-06-07,-1,0.5,aggr,0.4901695022961727,28104
2026-06-07,-1,0.5,depth,0.5140245798757667,28104
2026-06-07,-1,0.5,qdepl,0.5181153500214298,28104
2026-06-07,-1,0.5,drift,0.48466462011065037,28104
2026-06-07,-1,1.0,obi,0.5080116822815144,28104
2026-06-07,-1,1.0,ofi,0.46733787678389677,28104
2026-06-07,-1,1.0,aggr,0.5002111970615268,28104
2026-06-07,-1,1.0,depth,0.5216381888466621,28104
2026-06-07,-1,1.0,qdepl,0.5234042722537253,28104
2026-06-07,-1,1.0,drift,0.49246116526408207,28104
2026-06-07,-1,2.0,obi,0.5038718353630689,28104
2026-06-07,-1,2.0,ofi,0.48890823793862553,28104
2026-06-07,-1,2.0,aggr,0.48411004387525197,28104
2026-06-07,-1,2.0,depth,0.515438525768241,28104
2026-06-07,-1,2.0,qdepl,0.522669220399443,28104
2026-06-07,-1,2.0,drift,0.5046042525945338,28104
2026-06-08,1,0.5,obi,0.5179366731259304,30893
2026-06-08,1,0.5,ofi,0.48036702197135883,30893
2026-06-08,1,0.5,aggr,0.49859987511051007,30893
2026-06-08,1,0.5,depth,0.5175456780513237,30893
2026-06-08,1,0.5,qdepl,0.5104399443732431,30893
2026-06-08,1,0.5,drift,0.478612180440861,30893
2026-06-08,1,1.0,obi,0.5155130052749235,30893
2026-06-08,1,1.0,ofi,0.48200060578435655,30893
2026-06-08,1,1.0,aggr,0.5006323186910301,30893
2026-06-08,1,1.0,depth,0.5127818023919485,30893
2026-06-08,1,1.0,qdepl,0.5066866915761988,30893
2026-06-08,1,1.0,drift,0.4942492134292074,30893
2026-06-08,1,2.0,obi,0.4982126584936987,30893
2026-06-08,1,2.0,ofi,0.4873034191847403,30893
2026-06-08,1,2.0,aggr,0.5057106969371298,30893
2026-06-08,1,2.0,depth,0.5063024741511905,30893
2026-06-08,1,2.0,qdepl,0.4965731876208083,30893
2026-06-08,1,2.0,drift,0.5117912439918101,30893
2026-06-08,-1,0.5,obi,0.5105292808386108,32933
