dt,slope,iv_hat,omega_bp,half_spread_bp
2026-06-11,-0.15317948438522436,365820.89662981924,0.0,0.9197889895851361
2026-06-12,-0.08931821476308568,279346.64475273713,0.0,1.078920463010613
2026-06-13,-0.003750254241069018,20988.85916417622,0.0,0.9588840608238055
2026-06-14,-0.007131424368364205,56490.062853486306,0.0,0.99196508282931
2026-06-15,-0.04466445990379511,149376.58269704776,0.0,0.9262689885144753
2026-06-16,-0.07920363517712743,228531.88844599307,0.0,0.9314456035769629
2026-06-17,-0.08067407040912397,269138.33300246124,0.0,0.9475978394771413
2026-06-18,-0.039990096411471096,161561.6941450516,0.0,0.889363215937591
2026-06-19,0.02727152637459186,132200.18227121586,0.11677227062661721,0.892299455697535
2026-06-20,-0.018519471363685064,42801.87980378599,0.0,0.8802042073763116
2026-06-21,-0.009837218296111104,36283.92214603816,0.0,0.8740494712002688
2026-06-22,-0.060661142714290316,163778.95790667285,0.0,0.8507742045263122
2026-06-23,-0.19513005694756014,470781.6491041449,0.0,0.9338812103102607
2026-06-24,-0.22456302263855873,643798.6868916892,0.0,0.9230201218388658
2026-06-25,-0.19599452568534192,473841.9819675244,0.0,0.829668962084317
2026-06-26,-0.1875902949321232,414528.1201579526,0.0,0.8626639061423633
2026-06-27,-0.00968008089778221,28383.142632837225,0.0,0.4406645220999269
2026-06-28,-0.013931296371911652,44885.55499224569,0.0,0.4446618346743254
2026-06-29,-0.14195791574093627,373079.93914073077,0.0,0.8780402142420118
2026-06-30,-0.09354140705574585,235196.83023794772,0.0,0.8674531575296905
2026-07-01,-0.11818122283676068,333278.5510589443,0.0,0.8899964400144423
2026-07-02,-0.2203514867914778,559413.5852672992,0.0,0.988924050632574
2026-07-03,-0.07828705018128407,376780.9967652224,0.0,0.8024796621559025
2026-07-04,-0.009661482408741137,25962.48056104751,0.0,0.48683121561710263
2026-07-05,-0.010566590934948883,48576.48211496391,0.0,0.4853190973060376
2026-07-06,-0.10710351944980008,284142.6985066997,0.0,0.8024474648481178
2026-07-07,-0.12279645046364504,344503.6371933593,0.0,0.7599361653626526
2026-07-08,-0.13789368242369016,381112.0266751884,0.0,0.8058970171299531
2026-07-09,-0.08814141615465156,237398.25175902812,0.0,0.6032636563810442
2026-07-10,-0.07700895088854663,176208.69318815786,0.0,0.5167531366916572
2026-07-11,-0.002616012859035191,14748.080406454732,0.0,0.35388029746192
2026-07-12,-0.005199506392158331,17698.02951186725,0.0,0.25651417753835926
2026-07-13,-0.0822340921447575,208511.21688716303,0.0,0.48523536610964246
2026-07-14,-0.08624210595427201,218169.76994649268,0.0,0.5069451485350438
2026-07-15,-0.08741379468052285,201541.61996608344,0.0,0.5119121968201178
2026-07-16,-0.13170580360413253,301610.0646812628,0.0,0.5585406450028638
2026-07-17,-0.19811575748908436,432958.613672092,0.0,0.49173878835587703
2026-07-18,-0.003572935370373849,11876.255008621029,0.0,0.41441452108511495
2026-07-19,-0.018180212233445337,43497.55064548422,0.0,0.5236973029590749
2026-07-20,-0.12164013656455634,280515.3296073649,0.0,0.4605747973466703
2026-07-21,-0.06344661412915459,162372.5170721183,0.0,0.37971044366418594
2026-07-22,-0.08746052953496823,189439.16869508024,0.0,0.4138730237559351
2026-07-23,-0.11731827389777534,241929.486575818,0.0,0.40973531098872834
2026-07-24,-0.10190825229741224,217605.60050888895,0.0,0.37583690825786886
2026-07-25,-0.008796286429726326,15241.813293642372,0.0,0.32441200324382496
2026-07-26,-0.009426545042213493,19641.800247944702,0.0,0.3199488081903985
2026-07-27,-0.13360348086804164,263240.8621984954,0.0,0.36922752327478453
2026-07-28,-0.20746714392697257,403972.49975518725,0.0,0.41170900407554467
2026-07-29,-0.3609871726129029,713860.9946937641,0.0,0.4362892972171751
2026-07-30,-0.20786885759709223,748669.1799098,0.0,0.3201044821026673
2026-07-31,-0.2555537838012671,476970.4868675454,0.0,0.33234000598244756
2026-08-01,-0.009506102198899857,18930.37260794265,0.0,0.12209117769208298
2026-08-02,-0.03171543578922876,59724.96506893573,0.0,0.17861927301939637
2026-08-03,-0.15782495175564662,308599.6151574127,0.0,0.2509851165823584
2026-08-04,-0.1315508790464869,247659.50152628575,0.0,0.18326318425874755
2026-08-05,-0.18930244960024098,317006.96800137206,0.0,0.1630000706332157
2026-08-06,-0.14061113648343604,244702.3573613279,0.0,0.17164533496571507
2026-08-07,-0.09503467299004964,185770.86341865268,0.0,0.11629529701808282
2026-08-08,-0.0039953323237988825,9470.117268374273,0.0,0.05703432896255072
2026-08-09,-0.0051271835966686585,11017.067615200089,0.0,0.056841112039464244
