feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
ofi_5s,fwd_mid_5s,1691723,98,-0.5802114717194408,0.5550832270317432,1.2278056705474047,0.07636629319351304,16.077848212903714,0.9999999999999999,0.12893600193412277,10,8 OFI,1.2278056705474047
micro_minus_bid,fwd_mid_5s,1691821,98,-0.7194199239450045,0.36155590421096034,1.224955213063514,0.07587883040071255,16.143570039160892,0.9878787878787878,0.11317213818719593,10,4 マイクロプライス,1.224955213063514
aggr_mom,fwd_mid_10s,1691821,98,-0.4912703358702382,0.4565419051410724,1.2157974008575705,0.09008873714182919,13.495553822044448,0.9878787878787878,0.15461683003107302,10,12 攻撃的な約定フロー,1.2157974008575705
ofi_0.25s,fwd_mid_10s,1691821,98,-0.690907005598494,0.2005417472470784,1.2106529665605197,0.10791763431640695,11.21830527725404,0.9999999999999999,0.34917937535945,10,8 OFI,1.2106529665605197
ofi_1s,fwd_mid_3s,1691820,98,-0.5901635010798909,0.40988847185534927,1.204381438660447,0.09092634098585632,13.245682445835907,0.9999999999999999,0.1673925122057902,10,8 OFI,1.204381438660447
ofi_per_time,fwd_mid_3s,1691820,98,-0.5901635010798909,0.40988847185534927,1.204381438660447,0.09092634098585632,13.245682445835907,0.9999999999999999,0.1673925122057902,10,8 OFI,1.204381438660447
ofi_norm,fwd_mid_10s,1691820,98,-0.6550499353395625,0.480074137119047,1.2031949576001217,0.10271657424450005,11.71373720794185,0.9999999999999999,0.16679788629996098,10,8 OFI,1.2031949576001217
ofi_dollar,fwd_mid_3s,1691820,98,-0.5847579163861366,0.4077310967780315,1.1972422000544167,0.09135176029955393,13.105847069925186,0.9999999999999999,0.16786182927261764,10,8 OFI,1.1972422000544167
micro_mom,fwd_micro_1s,1691821,98,0.5109454738178587,-0.5006877541085717,-1.193975330933368,0.20437251074022994,-5.842152286571379,-0.9878787878787878,0.12344036396285422,10,4 マイクロプライス,1.193975330933368
aggr_acc,fwd_micro_60s,1691821,98,-0.594095365160682,0.269092525928439,1.1886718390789026,0.11157949204427846,10.653139007006754,0.9030303030303028,0.2756952419907307,10,12 攻撃的な約定フロー,1.1886718390789026
qb1,fwd_mid_5s,1691821,97,-0.5618423943305495,0.46774861712716603,1.1867611199223653,0.07846182301707559,15.125331967676704,0.9999999999999999,0.12097851959515811,10,3 板の厚み,1.1867611199223653
cum_b1,fwd_mid_5s,1691821,97,-0.5618423943305495,0.46774861712716603,1.1867611199223653,0.07846182301707559,15.125331967676704,0.9999999999999999,0.12097851959515811,10,3 板の厚み,1.1867611199223653
depth_diff,fwd_mid_3s,1691821,96,-0.4820162063568369,0.47840148306376196,1.1646107616403396,0.0772159873743559,15.08250818569623,0.9999999999999999,0.12269087568956763,10,2 板の偏り OBI,1.1646107616403396
