dt,n_wallet,hhi,neff,top1,top5,top10,vol,n_orders
2026-06-19,360,0.1216128881741437,8.222812688800294,0.27506579575317625,0.6390256917415099,0.8190629247607447,101457042.1,1244107
2026-06-20,341,0.14423332892440155,6.933210288200032,0.3017809010810633,0.6605485637593648,0.8209330795082829,43044929.230000004,546938
2026-06-21,240,0.18021118227444652,5.549045222271967,0.38608091567075525,0.6737560645151034,0.8160469914449195,34248327.6,411255
2026-06-22,541,0.08011274072856735,12.482409051365916,0.15424258896848875,0.5574590268915842,0.7293706765884798,369121691.88000005,3688537
2026-06-23,495,0.07195057061147553,13.898430429410773,0.1423203791621562,0.5273291608437601,0.7268164069983511,459922783.83,4442233
2026-06-24,415,0.06497004126605387,15.391709478911613,0.14197801997410997,0.47948932680984224,0.6988011228737888,337182233.41,3507757
2026-06-25,459,0.06544970684161178,15.278907244305906,0.14970528100201555,0.5045924565817012,0.6838181876499859,363246399.9,3545796
2026-06-26,347,0.06766284366576907,14.77916010949307,0.15600877808348498,0.5038843529788217,0.6753068245922356,374197334.26000005,3589531
2026-06-27,159,0.17890500748504293,5.589558470483859,0.37467053708304565,0.7205202671757797,0.8623879132880261,37222189.87,268763
2026-06-28,159,0.11961415829492558,8.36021432792562,0.2629433123945969,0.6402944091376878,0.8147949764641885,40957799.38999999,385190
2026-06-29,347,0.06781223996753724,14.746600325821936,0.13210509933052356,0.5212217373435492,0.6912478707179557,345351712.32,3063984
2026-06-30,376,0.06891406223149217,14.51082649345002,0.1468619267634347,0.5241798105471952,0.6857579896961881,257796738.64000002,2378754
2026-07-01,388,0.07557305939033566,13.232228628392418,0.16859212505162474,0.5174648232114896,0.7262342982171663,334251607.31999993,2743108
2026-07-02,436,0.06198748850229414,16.1322877271111,0.1351823802407319,0.46392752561183287,0.6770656221007268,536623989.0200001,4226930
2026-07-03,278,0.10789517310919186,9.268255207190613,0.20904180732632835,0.6170521915072539,0.8079696623949639,61750287.73000001,665933
2026-07-04,144,0.1742931171748807,5.73746121596201,0.27928258513940873,0.7655932808858823,0.8748538918062425,35597310.57,289107
2026-07-05,159,0.13023373675976693,7.678501937210249,0.24074473112870368,0.6932073662197155,0.8251364706227583,28011246.47,289263
2026-07-06,317,0.0715211601986446,13.981876094047912,0.12908098789031167,0.5243118266434854,0.7449351696090688,409629387.83,3356150
2026-07-07,477,0.07619319901789236,13.124530967195264,0.14413671213598178,0.5263072402688637,0.7438289067201529,518145080.61999995,4206866
2026-07-08,478,0.07050537771316032,14.18331526523179,0.1448208217104384,0.5013035738187203,0.7257124120228091,618485906.5300001,4864342
2026-07-09,355,0.08312907064386758,12.029486102209539,0.1982201200143384,0.5397639505287899,0.754610871567106,433541959.13000005,3956678
2026-07-10,317,0.07722377831243186,12.949379347306749,0.15428690462738825,0.5250085293030424,0.7725234136020684,383245352.37000006,3286657
2026-07-11,211,0.11742010247030886,8.516429290741442,0.2759983466750905,0.6197018547216285,0.8009696815292682,31107473.01,672838
2026-07-12,182,0.1793666016616823,5.575173921654489,0.3909597876979349,0.6547863191307963,0.8205160285458919,27409078.650000002,591929
2026-07-13,379,0.07673634376841214,13.03163469734717,0.1631996194931444,0.5361344618260994,0.741467450542223,455411421.48999995,4097152
2026-07-14,316,0.08184214662882205,12.218643341984796,0.16527829283087592,0.5564371488568797,0.7462458495869428,460342181.28,3763017
2026-07-15,718,0.08025931123989323,12.459613527096227,0.17449137589618446,0.545954454788754,0.7161823173117731,413199433.38,4010843
2026-07-16,498,0.12143367470002084,8.234948027969283,0.27706382045687705,0.6352781992822006,0.7783901860995027,621253603.47,5090807
2026-07-17,555,0.13517210824639242,7.3979759062216806,0.2882106808980247,0.6886696170535185,0.8244805827359802,895670264.9799999,7012536
2026-07-18,165,0.1319412335974623,7.579131805383041,0.3061263472059555,0.6388583291553932,0.8219875940919917,23387402.18,378637
2026-07-19,177,0.13045968255283596,7.665203382623606,0.2761557010061979,0.6781859550791375,0.8330909453303744,56400591.20000001,771194
2026-07-20,320,0.13792766594363368,7.250177063161975,0.3129034710097989,0.6585560811241157,0.7957213182302354,614151617.11,4702809
2026-07-21,358,0.10373747845971353,9.639717630001487,0.20988960877633228,0.6322962385398887,0.7867173743880312,404204272.02000004,3012388
2026-07-22,302,0.07447740700686649,13.426890652997686,0.15450922898909125,0.536989516280833,0.7218446387660394,363929249.65,3235050
2026-07-23,576,0.07506289012980097,13.32216223317235,0.1464188066136007,0.5473688626563215,0.7232179869437743,890771303.9500002,5909745
2026-07-24,538,0.13672138142084508,7.314144939202143,0.3204466231291201,0.623211604285822,0.7576964363635247,1069506469.4500002,6730093
2026-07-25,249,0.07263691260991761,13.767104961774809,0.1559051968675615,0.49892498678392605,0.7373580543358395,29434554.409999996,564452
2026-07-26,214,0.16603437443069796,6.022849204743418,0.3705214956247897,0.6461085994072414,0.8032823428481259,45517876.989999995,709417
2026-07-27,416,0.15992625706858657,6.252881911512106,0.31312179169882615,0.6930391334640741,0.8060438478974281,1057742726.57,6493396
2026-07-28,388,0.14979226072078472,6.675912328100961,0.2827619678768979,0.6778653565283039,0.8002682882249686,1350781690.2600002,8093695
2026-07-29,403,0.17149878467475996,5.830945110756655,0.3155228020406977,0.6972815179310291,0.8116608166685574,1706961201.24,9582509
2026-07-30,379,0.1260474070626565,7.9335229760253085,0.27881633787140586,0.644542755713114,0.7796427638776546,889073437.24,6300864
2026-07-31,311,0.12519900832015188,7.987283712686095,0.30184093362736863,0.6133335858111705,0.7473319310992278,818802430.24,6667653
2026-08-01,164,0.07241544571832922,13.809208658186687,0.18256607769693214,0.47547227087770894,0.6846805915324886,30856700.44,457849
2026-08-02,175,0.061539902087148164,16.24961961401686,0.14991243352481373,0.44526017113807004,0.6690969490193028,42664906.769999996,770654
2026-08-03,364,0.13867443469930954,7.211134497633391,0.33552111011568336,0.6021125078949662,0.7295151662675736,662897376.78,5127331
2026-08-04,435,0.1207953551444763,8.27846400885165,0.30811672690260583,0.5685183515788452,0.6995027834883982,655377243.9100001,6267608
2026-08-05,370,0.16066164752839118,6.224260832525609,0.3750289127558412,0.5998631832228449,0.7273635950911534,677596987.2100002,5442320
2026-08-06,305,0.18023204889938926,5.548402773572357,0.40448854563520725,0.5985363540025594,0.7262341345179474,601904402.8000001,4375401
2026-08-07,283,0.18489342008992554,5.408521295747765,0.40989267821667347,0.5986665919222046,0.7375021506961466,514001246.44,3256050
2026-08-08,150,0.32851774354947083,3.043975613601559,0.5618119064507605,0.7445033193999495,0.8519724258882969,28726874.27,239318
2026-08-09,141,0.40946848604247227,2.442190386041759,0.6337211313061643,0.7767751042060137,0.8675613268801528,32890304.300000004,237189
2026-08-10,347,0.13061666474761646,7.65599092529461,0.32616073802426804,0.5643855506848383,0.7168381861138656,497686400.74,4180150
