col,family
cxl_imb_30s,8 取消と除去
cxlsz_imb_30s,8 取消と除去
car_30s,8 取消と除去
ofi_30s,10 注文フローの偏り OFI
ofi_norm_30s,10 注文フローの偏り OFI
ofi_new_30s,10 注文フローの偏り OFI
ofi_cxl_30s,10 注文フローの偏り OFI
ofi_fil_30s,10 注文フローの偏り OFI
churn_30s,15 流動性の回転
churn_imb_30s,15 流動性の回転
msg_rate_30s,28 メッセージの流量
new_rate_60s,7 指値の到着
new_imb_60s,7 指値の到着
newsz_imb_60s,7 指値の到着
cxl_rate_60s,8 取消と除去
cxl_imb_60s,8 取消と除去
cxlsz_imb_60s,8 取消と除去
car_60s,8 取消と除去
ofi_60s,10 注文フローの偏り OFI
ofi_norm_60s,10 注文フローの偏り OFI
ofi_new_60s,10 注文フローの偏り OFI
ofi_cxl_60s,10 注文フローの偏り OFI
ofi_fil_60s,10 注文フローの偏り OFI
churn_60s,15 流動性の回転
churn_imb_60s,15 流動性の回転
msg_rate_60s,28 メッセージの流量
pdist_mean_60s,7 指値の到着
pdist_sd_60s,7 指値の到着
touch_share_60s,7 指値の到着
deep_share_60s,7 指値の到着
cxl_touch_60s,8 取消と除去
osz_mean_60s,6 注文サイズの分布
osz_cv_60s,6 注文サイズの分布
osz_skew_60s,6 注文サイズの分布
osz_kurt_60s,6 注文サイズの分布
osz_logmean_60s,6 注文サイズの分布
osz_hhi_60s,6 注文サイズの分布
osz_ent_60s,6 注文サイズの分布
ofi_fast_slow,67 多尺度
new_fast_slow,67 多尺度
cxl_fast_slow,67 多尺度
since_mid_ev,42 事象時間
since_mid_new,42 事象時間
since_mid_cxl,42 事象時間
since_mid_fil,42 事象時間
since_mid_ofi,42 事象時間
since_mid_add,42 事象時間
since_mid_rem,42 事象時間
t_since_new,43 経過時間
t_since_cxl,43 経過時間
t_since_fil,43 経過時間
burst_10s,44 群発性
idur_10s,44 群発性
idur_cv_10s,44 群発性
nev_10s,28 メッセージの流量
burst_60s,44 群発性
idur_60s,44 群発性
idur_cv_60s,44 群発性
nev_60s,28 メッセージの流量
trd_rate_1s,51 約定の符号
trd_imb_1s,51 約定の符号
vol_imb_1s,51 約定の符号
sgn_vol_1s,51 約定の符号
vol_1s,51 約定の符号
vpin_1s,49 毒性の代理
trd_sz_1s,51 約定の符号
trd_sz2_1s,51 約定の符号
trd_rate_2s,51 約定の符号
trd_imb_2s,51 約定の符号
vol_imb_2s,51 約定の符号
sgn_vol_2s,51 約定の符号
vol_2s,51 約定の符号
vpin_2s,49 毒性の代理
trd_sz_2s,51 約定の符号
trd_sz2_2s,51 約定の符号
trd_rate_5s,51 約定の符号
trd_imb_5s,51 約定の符号
vol_imb_5s,51 約定の符号
sgn_vol_5s,51 約定の符号
vol_5s,51 約定の符号
vpin_5s,49 毒性の代理
trd_sz_5s,51 約定の符号
trd_sz2_5s,51 約定の符号
trd_rate_10s,51 約定の符号
trd_imb_10s,51 約定の符号
vol_imb_10s,51 約定の符号
sgn_vol_10s,51 約定の符号
vol_10s,51 約定の符号
