feature,corr_two_versions,rel_level,r_real,r_l1,dr
ofi_ewma,0.9243815685924666,-0.009523850601889127,0.04729606416343159,0.03794212601428019,-0.009353938149151406
d_ofi,0.8798840513306359,-0.025872674307686357,0.0019901707310846055,-0.001154774461367102,-0.0031449451924517075
ofi_vel,0.8798840513306359,-0.025872674307686357,0.0019901707310846055,-0.001154774461367102,-0.0031449451924517075
ofi_acc,0.885003559273895,-0.11893161039343843,-0.00362109878421466,-0.007911944932086865,-0.004290846147872205
ofi_sign,0.9298879508392246,0.0,0.05719573332783279,0.050002768591786415,-0.007192964736046373
ofi_persist,0.849132522354562,0.2777777777777778,-0.00638766024421069,-0.0029471324479176083,0.0034405277962930815
ofi_streak,0.849132171529579,0.11904761904761904,-0.00638766024421069,-0.0029470413010763996,0.00344061894313429
ofi_reversal,0.8691024455527671,0.0,0.0027197540124517883,0.0016213326742950858,-0.0010984213381567025
ofi_z,0.9414753887543319,-0.044909448460176034,0.0320295513514841,0.02382331761657539,-0.00820623373490871
ofi_shock,0.8992726408999377,NaN,0.0013247531322738873,0.0004131283446384372,-0.0009116247876354501
ofi_pct,0.9335618504719522,0.005150567030723201,0.05684379953062205,0.04937500217789651,-0.0074687973527255355
ofi_lv2,0.7682945527475195,0.045178217693107245,-0.020990563527669332,-0.021753041615408676,-0.000762478087739344
ofi_lv3,0.7724689268087385,0.09474456540587127,-0.016055458525505297,-0.017606560836299384,-0.001551102310794087
ofi_lv5,0.7887620842942349,0.051444107957903655,-0.012304405979631958,-0.01436431636535567,-0.0020599103857237115
ofi_lv10,0.8174145334882843,0.05165788986467803,-0.005702108618523328,-0.00798279064298003,-0.0022806820244567023
add_vol_b,1.0,0.0,0.0034001249791865504,0.003276610342267871,-0.0001235146369186796
add_cnt_b,1.0,0.0,0.0417002370417834,0.039929900846550334,-0.0017703361952330632
add_vol_a,1.0,0.0,-0.0020709644224366276,-0.0025279338245073448,-0.0004569694020707172
add_cnt_a,1.0,0.0,-0.03771065273062398,-0.037595860436721994,0.00011479229390198853
add_imb,1.0,0.0,0.012972053602324759,0.013313484691996431,0.00034143108967167254
cancel_vol_b,1.0,0.0,-0.003910791667136191,-0.003907667297935848,3.124369200343223e-6
cancel_cnt_b,1.0,0.0,0.0015509889443406334,0.0003940395944633013,-0.001156949349877332
cancel_vol_a,1.0,0.0,0.006675795567690081,0.0062781797469367165,-0.0003976158207533642
cancel_cnt_a,1.0,0.0,0.0017545600888753165,0.0015462402220446053,-0.00020831986683071116
cancel_imb,1.0,0.0,0.004690937718632429,0.00483951870505931,0.00014858098642688087
exec_vol_b,1.0,NaN,0.00321531774510167,0.0033382713275926755,0.00012295358249100538
exec_cnt_b,1.0,NaN,-0.05755077570785892,-0.05615400190566936,0.0013967738021895618
exec_vol_a,1.0,NaN,0.0010385134398058716,0.002544760048070025,0.0015062466082641534
exec_cnt_a,1.0,NaN,0.06426002461934574,0.06273685264081774,-0.0015231719785279985
exec_imb,1.0,NaN,0.00007951331624665244,-0.0007064398874250302,-0.0007859532036716826
cancel_bbo_b,0.9840168612773079,0.045755651852823716,0.004503372065898419,0.0008750176990417791,-0.00362835436685664
add_bbo_b,0.989948787787341,NaN,0.05613553141430586,0.052384963655682334,-0.0037505677586235284
cancel_deep_b,0.9999800399608122,-0.0004029465541107468,-0.004276245256263947,-0.004134258525640693,0.00014198673062325393
