dt,day_type,kappa_買い,kappa_売り,t_half_買い,t_half_売り,n_買い,n_売り,asym
2026-05-29,立会日,1.7208850955879833,1.760699247606429,402.7852773767642,393.67721744769284,16769,15983,-0.011435641964633685
2026-05-30,閉場日,1.1811396372496628,1.1319046060139257,586.8460922825094,612.3724356957141,1857,1190,0.021285814734900568
2026-05-31,閉場日,0.8995915629662403,0.8981925109783636,770.5136739699597,771.7133822513495,1078,3139,0.0007782091343188855
2026-06-01,立会日,1.5020084626851116,1.581025518135526,461.48020985235956,438.416193774498,20371,19618,-0.02562964143177615
2026-06-02,立会日,1.3311575386497236,1.3452539973971922,520.7101087043225,515.2537601828739,18286,20501,-0.005266924969352494
2026-06-03,立会日,1.5485921672853544,1.4199905786371805,447.5982915306098,488.1350559559242,19216,20779,0.043320870480977255
2026-06-04,立会日,1.5402886499441524,1.3704148062456751,450.0112239255138,505.79370385800416,21573,21014,0.058361783072483
2026-06-05,立会日,1.4292389899022393,1.5899324663812378,484.97640034810195,435.96014090417805,24127,24706,-0.05322436264577303
2026-06-06,閉場日,0.9319492338353428,1.0243836552586358,743.7625328110973,676.648045561164,2574,2994,-0.047248820453098604
2026-06-07,閉場日,0.9106591282412448,1.0170926571105285,761.1488855315378,681.4985622297395,3263,3438,-0.055211220489084833
2026-06-08,立会日,1.7324732339839728,1.7532381863165705,400.091133856073,395.3525459174481,30577,29353,-0.005957163353129013
2026-06-09,立会日,1.8499921082718864,1.8446341445605796,374.6757499454566,375.7640436937686,25609,25126,0.001450204525342491
2026-06-10,立会日,1.8066152626740621,1.859348184077704,383.6717174269763,372.7904160688487,34737,36232,-0.01438446459425719
2026-06-11,立会日,1.7911721535572165,1.775072972433802,386.97965439566093,390.48940033691764,33150,31039,0.0045143226431864514
2026-06-12,立会日,1.5603302732965192,1.5014792122500835,444.2310736696687,461.64287517588093,24502,23287,0.019221006834110523
2026-06-13,閉場日,1.181697169151549,1.2428957964974783,586.5710183869522,557.6872888355408,840,2606,-0.02524078400497518
2026-06-14,閉場日,1.2234336141126136,1.2453584753868239,566.5588958083308,556.5844648422576,1830,1833,-0.008880805057446381
2026-06-15,立会日,1.2903038152982507,1.2705059673257395,537.1968774654255,545.5678283723012,14751,14134,0.0077310888558949735
2026-06-16,立会日,1.8352613482939515,1.872631912733882,377.68309483239716,370.1459889475327,20984,21274,-0.010078651624823553
2026-06-17,立会日,1.6440522514182252,1.7857222575577103,421.60897275787556,388.1606882740803,18510,20405,-0.041305924272492495
2026-06-18,立会日,1.6058539345527465,1.5304168368269804,431.6377509490658,452.91398295971845,16726,17960,0.024053120162382976
2026-06-19,閉場日,1.478112376033786,1.6483655399393,468.94123865035147,420.5057457009627,3376,4629,-0.054455258754810165
2026-06-20,閉場日,0.9910463067610533,0.8075007753454573,699.4094784786548,858.3880896059301,969,800,0.10205211375429893
2026-06-21,閉場日,0.88656224908613,1.100518261870163,781.8489539672175,629.838353648115,586,834,-0.1076735500168866
2026-06-22,立会日,1.6392565968545667,1.5525535519509333,422.84239672084914,446.45621382202177,16532,15559,0.02716422370424542
2026-06-23,立会日,1.6378310826911031,1.6804113096357094,423.21042010085824,412.4866195685885,27905,30364,-0.012832162907408413
2026-06-24,立会日,1.7811544564616493,1.8015273456745622,389.1561330042742,384.7552923491172,35073,34041,-0.005686491387754661
2026-06-25,立会日,1.6621362265484623,1.6342450663975456,417.0218839398694,424.13909001051866,30823,28906,0.008461145016992265
2026-06-26,立会日,1.7208280476497801,1.7613009813153844,402.79863029116166,393.54272092809754,29003,29030,-0.011623042491803402
2026-06-27,閉場日,1.131904606014054,0.9912990027619872,612.3724356956445,699.2893936353851,1332,916,0.06622332529526993
2026-06-28,閉場日,0.8306436778493091,1.0632532407609008,834.4699467466762,651.9116556502619,562,841,-0.12282060371178305
2026-06-29,立会日,1.7099929108777072,1.7150642997230858,405.3509122683422,404.1522997947093,24004,24052,-0.0014806727402048366
2026-06-30,立会日,1.7619572096287954,1.7629217055985533,393.39614876684533,393.1809247836834,23371,22566,-0.0002736252770531513
2026-07-01,立会日,1.8731896775925359,1.8251134797019128,370.03576778769843,379.78305939613597,28677,29394,0.01299952866108302
2026-07-02,立会日,2.015206952181847,1.9669817023594038,343.95831209682103,352.39127020272326,47026,47231,0.012110237360916523
2026-07-03,閉場日,1.3010306208202784,1.4778072753296687,532.767782820659,469.03760304509115,13844,14712,-0.06361531730739407
2026-07-04,閉場日,1.1204821816494697,1.0983580849276535,618.6150854621878,631.0757758073055,1129,795,0.0099710182184253
2026-07-05,閉場日,1.210742066806713,1.1319046060139577,572.4978090404467,612.3724356956968,2471,2219,0.03365315892807295
2026-07-06,立会日,1.8687681781817536,1.8344700245268002,370.9112726048686,377.8460107755694,44134,43398,0.009261665541759547
2026-07-07,立会日,2.0119251515229926,2.033732080706933,344.5193674502477,340.82521839307606,61805,61827,-0.005390206814906182
2026-07-08,立会日,2.0378424299679887,2.016102281167235,340.1377704112205,343.80556335596395,68708,66523,0.0053627146766552555
2026-07-09,立会日,1.9561112230203397,1.920179826808374,354.34957501784,360.9803471959496,58658,56585,0.0092695300095057
2026-07-10,立会日,1.8171969636198386,1.7896983245118883,381.4375625959681,387.29833462239515,45215,45249,0.00762390835088365
2026-07-11,閉場日,1.0531742873264078,1.1462190997105863,658.1506318631369,604.7248868515904,2992,4046,-0.042304761364008535
2026-07-12,閉場日,1.7901488123897558,1.6873818781787713,387.20089618106357,410.78263878718104,4610,6619,0.02955169726889845
2026-07-13,立会日,1.8985784048378715,1.9649730644147603,365.0874669140337,352.75149217701335,58385,60691,-0.017184877723327486
2026-07-14,立会日,1.933988850849375,1.9698054716655684,358.40288337522054,351.8861078062977,60395,62959,-0.00917482271277019
2026-07-15,立会日,1.9601750891621772,1.913031068053316,353.61493231359543,362.3292902437695,55076,52830,0.01217183366835132
2026-07-16,立会日,1.9811114101735858,2.0204981561465942,349.87794073590817,343.0575664973064,68761,69227,-0.00984272586324004
2026-07-17,立会日,2.092596636940933,2.1345329107040145,331.2378354832989,324.73014472125055,75415,77372,-0.00992074486726947
2026-07-18,閉場日,1.2789156714603434,1.2678561998599713,541.9803657084485,546.708086854947,10044,10048,0.0043425450567107496
2026-07-19,閉場日,1.3515530022748738,1.4278747315065983,512.8523850097531,485.4397744388222,17088,17466,-0.027459512008210066
2026-07-20,立会日,1.9506674689596466,1.962833401699436,355.33846316185446,353.1360227811699,60099,59226,-0.0031087083258372933
