dt,n_ord,n_slot,n_ep,ep_child_mean,n_fill,n_canc,rf_after_fill,rf_after_canc,rf_fill_same_sz,rf_canc_same_sz,turnover_s,hid_max_med,hid_max_med_multi,n_ep_fill
2026-05-15,4219335,546416,2321644,1.817391038419327,48704,4170631,0.07233492115637319,0.14134719662324477,0.7005393130854386,0.7867268751685731,0.09126555882629778,1.0,0.47564469914040114,67039
2026-05-16,443404,67557,242057,1.8318164729795048,13323,430081,0.05636868573144187,0.15433139338868726,0.6684420772303595,0.7481431261770245,0.014511974762192304,1.0,0.9180327868852459,16578
2026-05-17,663459,133335,377249,1.7586766300242016,17457,646002,0.05321647476656929,0.1374299150776623,0.5651237890204521,0.814012164902005,0.01559301299756291,1.0,0.8127540650406504,22464
2026-05-18,4570926,716231,2324630,1.9663025943913655,45437,4525489,0.09041089860686224,0.16036388553811534,0.6779454722492697,0.7405863102414827,0.09355227778138996,1.0,0.25,64220
2026-05-19,5032114,653558,2533524,1.9862113009389293,43162,4988952,0.10261340994393216,0.1579263540719574,0.6622262361706932,0.6919037882335919,0.10286407370498382,0.9646315789473684,0.2652129127857086,62161
2026-05-20,4099205,397677,2011162,2.038227154252119,30793,4068412,0.13831065501899784,0.14662158109847281,0.7175393284808641,0.7407265844896289,0.08904251696294732,1.0,0.5325370523796373,41846
2026-05-21,4197721,363032,1995246,2.1038613784966866,40482,4157239,0.1253643594684057,0.14365062966069547,0.7257142857142858,0.7826972990170632,0.06260799171592193,1.0,0.6807736640471712,55617
2026-05-22,2718006,284379,1425384,1.9068587833173376,22587,2695419,0.08854650905388055,0.10753393071726511,0.753,0.6893071909856512,0.050735394255709707,0.9733406252687824,0.4,34386
2026-05-23,631633,134462,420853,1.500839960746389,13810,617823,0.07711803041274438,0.08652316278286823,0.4516431924882629,0.7198256510026938,0.007857915520822127,1.0,0.7322678698143382,21125
2026-05-24,691857,103677,425515,1.6259285806610813,12327,679530,0.05994970390200373,0.12585022000500345,0.4803788903924222,0.8135268186017143,0.01208204432673276,1.0,0.7576193422002269,18087
2026-05-25,909572,140383,512062,1.776292714554097,14595,894977,0.05310037684138404,0.15448665161227607,0.5187096774193548,0.7570771433944251,0.018308511409103407,0.9872611464968153,0.524214103653356,23017
2026-05-26,4264010,827020,2252260,1.89321392734409,46849,4217161,0.09788896241115072,0.13470673754215218,0.71652856519843,0.7639839459231095,0.09050721290168165,1.0,0.42983565107458915,68513
2026-05-27,5540292,830105,3114361,1.7789498391483838,80803,5459489,0.0925089414996968,0.13367368264685578,0.5682943143812709,0.7918647830197728,0.1363852944552938,1.0,0.6456619845747111,108922
2026-05-28,5030282,652396,2819815,1.7839049724893299,58312,4971970,0.09051310193442173,0.12112060209534652,0.6280788177339901,0.7879437005154365,0.07477550534423667,1.0,0.5324997986201129,78572
2026-05-29,3165406,420575,1864625,1.697609975196085,29843,3135563,0.0921824213383373,0.10263930273446906,0.6466739367502726,0.677384473886997,0.06273701417812076,1.0,0.4110032362459547,44237
2026-05-30,584998,93802,370474,1.5790527810318673,10330,574668,0.06524685382381414,0.08362915631286238,0.4287833827893175,0.7475186749620258,0.008105679885888742,1.0,0.547879942829919,14681
2026-05-31,627140,113501,408138,1.5365881148043063,12532,614608,0.0906479412703479,0.09947804128810558,0.5660211267605634,0.6925253516519464,0.010956602541236753,1.0,0.3623852834947929,17843
2026-06-01,3251393,147092,829690,3.9188046137714085,36060,3215333,0.16353300055463116,0.2105697916825411,0.7274885535017805,0.6434926711685366,0.06299991376055204,1.0,0.6808429860541427,44616
2026-06-02,3231586,111056,870116,3.7139714704706037,39225,3192361,0.15105162523900573,0.21554987045638008,0.7426160337552743,0.6333334786583018,0.06559238318558588,1.0,0.6959151443871159,48499
2026-06-03,3044086,91096,866200,3.5142992380512585,33940,3010146,0.12200942840306424,0.18431265460213558,0.7382274812847138,0.6512541275540367,0.06359548896903848,1.0,0.5172413793103449,41975
2026-06-04,4989405,326316,1575023,3.167829930102608,48448,4940957,0.14316380449141347,0.1896828893673837,0.7972895040369089,0.73367797143665,0.0947890013656428,1.0,0.7308178599094985,59100
2026-06-05,7543308,1064978,4005735,1.8831270665683078,85816,7457492,0.08610282464808428,0.10380916265146513,0.7711462985519014,0.775351479546758,0.12191101031001286,1.0,0.8970675873134115,109927
2026-06-06,1541395,285315,1116862,1.3801123146816705,36578,1504817,0.0877576685439335,0.07942361097728162,0.5364485981308411,0.6007212302749376,0.039384126413795933,1.0,1.0,48772
2026-06-07,1796485,310249,1236320,1.4530906237867218,43381,1753104,0.08409211405915032,0.09453346749536821,0.5794956140350878,0.6897367357159666,0.04524203607235258,1.0,1.0,57788
2026-06-08,6382489,892710,3731289,1.710531936818617,78106,6304383,0.08313061736614345,0.09664466768595753,0.6810411212074542,0.8103564013556874,0.09811531305031819,1.0,0.9541086016338299,103485
2026-06-09,6472786,1144096,3716856,1.7414680579500523,85590,6387196,0.06533473536628111,0.09801045717087749,0.7047567954220315,0.7913474502086222,0.13724489916098162,1.0,0.8489284501061571,109717
2026-06-10,8463263,911138,4839329,1.7488505121267846,84227,8379036,0.057926793071105466,0.09344249147515299,0.7452346792375487,0.8285897838709101,0.15313093235624647,1.0,0.90295,109581
2026-06-11,7013274,993826,4187405,1.6748496980827028,48455,6964819,0.07633887111753174,0.09298360804494704,0.764801297648013,0.7968218722881223,0.10856314560113099,1.0,0.7092924126172208,69312
2026-06-12,5370433,494672,2962637,1.8127205594205433,35960,5334473,0.08206340378197997,0.11641262407739246,0.7814300237207726,0.7750531400966184,0.10139787834822094,1.0,0.7380888206950993,56991
2026-06-13,745776,95630,475355,1.5688822038266137,14453,731323,0.06012592541340898,0.2275232694719023,0.7318757192174914,0.8836489515784919,0.02576300562207259,1.0,1.0,21350
2026-06-14,767433,81712,344407,2.228273525218709,20397,747036,0.16708339461685542,0.21978726594166814,0.7039319248826291,0.6818849009373344,0.018852836761738056,1.0,0.9984779299847792,22771
2026-06-15,2958180,99317,850173,3.4795035833883223,34393,2923787,0.1621841653824906,0.19185494702589484,0.7230190032269631,0.6896101742957841,0.06853668130230085,1.0,0.8560606060606061,41639
2026-06-16,4114069,178511,1226631,3.353958117803969,35779,4078290,0.15685178456636575,0.18238403840825443,0.7781539558089807,0.6892708536396819,0.08931087027183889,1.0,0.7426033643295074,47824
2026-06-17,4619140,131535,1294165,3.5692048540951116,35966,4583174,0.16907634988600345,0.19702612207173456,0.770268048018418,0.7054811435152629,0.10612835937542052,0.9859055603011582,0.6780547263681592,49568
2026-06-18,3708978,120208,940403,3.9440303784654027,34574,3674404,0.14710476080291549,0.20956024432805972,0.7642548171451042,0.7310369099581953,0.07903668183648573,1.0,0.7675544794188862,44504
2026-06-19,1700949,72180,560812,3.033011062530759,27695,1673254,0.11789131612204369,0.19913473985420027,0.6444104134762634,0.6925087709294334,0.034205152108623176,1.0,0.8052101835405565,33644
2026-06-20,882625,37627,359542,2.454859237585595,12476,870149,0.08905097787752485,0.19155684830988715,0.63996399639964,0.788394737315743,0.018716021667295128,1.0,0.7848101265822784,16866
2026-06-21,776837,38296,328971,2.361414835958185,14852,761985,0.09426339886883921,0.1521355407258673,0.6514285714285715,0.7523053698511969,0.016200245596870708,1.0,0.9514563106796117,18098
2026-06-22,3753590,157082,1112397,3.3743258926444426,42023,3711567,0.15646193751041096,0.17838449366534403,0.7613688212927756,0.6670070051322637,0.07406029364828469,1.0,0.7879101899827289,52246
2026-06-23,6382487,308772,2029200,3.1453218016952493,98476,6284011,0.20000812380681587,0.16509598726036603,0.7989947197400488,0.6652542495409484,0.08916654063723267,1.0,0.7661195779601406,115345
2026-06-24,6796956,369240,2002326,3.394530161422266,98131,6698825,0.18265379951289604,0.1977387079077301,0.7516737335416201,0.6662839145201972,0.09582408688365031,1.0,0.7390072605287923,117203
2026-06-25,6040987,248434,1945350,3.105347109774591,81290,5959697,0.16966416533398943,0.1655048906009819,0.765733758700696,0.7052411951429449,0.055351446302069625,1.0,0.7135571610709732,103628
2026-06-26,6660308,183803,1949462,3.4164851635989826,77655,6582653,0.16572017255810959,0.17144986983211785,0.6888647136529645,0.646791807512881,0.06334664696426434,1.0,0.7545159796201946,91923
2026-06-27,809301,34390,304902,2.6542987582895488,15969,793332,0.1924353434779886,0.18450661261615567,0.5671981776765376,0.6817011101622544,0.00784268697135657,1.0,0.9465648854961832,17284
2026-06-28,1066566,54520,409692,2.6033361647286255,21425,1045141,0.19663943990665111,0.15452173438799166,0.5478281509613102,0.6256462968352353,0.009078665844077273,1.0,0.9449801474758933,22870
2026-06-29,5745783,255805,1687383,3.4051445344655007,65913,5679870,0.1901142415001593,0.1613855598807719,0.6800734179235496,0.6556686365228129,0.06214989703068632,1.0,0.7438931155366599,79691
2026-06-30,4215048,98073,1218498,3.4592161825460526,33814,4181234,0.20453066777074586,0.15609219670556587,0.6260844418739155,0.6503789120795271,0.04451283539484101,0.996594778660613,0.7111872916035162,43709
2026-07-01,5382743,234838,1489332,3.614199520321862,56808,5325935,0.1899204337417265,0.16721045224922948,0.6410232644359997,0.6195954868441147,0.06270243896727808,0.9970282317979198,0.6857506361323156,68723
2026-07-02,9099007,645532,3763589,2.4176409804577492,75572,9023435,0.1533107500132324,0.14249983515146947,0.7220783704470913,0.6265377131489348,0.11353754141624584,1.0,0.5314194233849707,107116
2026-07-03,2864763,277814,1297935,2.207169850570329,42840,2821923,0.17224556489262371,0.11352116978386724,0.5203957175769074,0.6045644112028169,0.026098947821089562,1.0,0.7878953107960741,48437
2026-07-04,686944,23031,293578,2.3399028537560715,14129,672815,0.18055064052657654,0.14775086762334372,0.511172089376715,0.5934472733857096,0.008045937280905337,1.0,0.9965753424657534,13477
2026-07-05,1113813,39404,420409,2.6493557464278834,37483,1076330,0.18098871488408078,0.16135385987568868,0.5443691037735849,0.6063971900731272,0.010365431947172425,1.0,1.0,32084
2026-07-06,6280318,411824,2379291,2.639575402924653,69964,6210354,0.15998227659939399,0.1510777002405982,0.7195568658983293,0.6936240602144853,0.0596143409654941,1.0,0.7763668430335097,85437
2026-07-07,8865034,840183,5224332,1.6968741649650136,71381,8793653,0.1094128689707345,0.09001492326340373,0.8037131882202305,0.768827378846834,0.07922035672484933,1.0,0.5294,109694
2026-07-08,10610994,1006206,5979118,1.774675462166828,63781,10547213,0.12215236512441009,0.09065162522080478,0.8214606597355923,0.7812800040162239,0.08694841980339932,1.0,0.6428,96346
2026-07-09,9752644,761303,3834378,2.54347484781104,78831,9673813,0.1755147086805952,0.1535686083656982,0.7911968777103209,0.6755964280954285,0.08154961074416621,1.0,0.6779784710819193,102788
2026-07-10,8931418,547600,4631645,1.928346840053588,66893,8864525,0.1399548532731377,0.1024242133673265,0.7161931211279641,0.653043916902181,0.07157994278642477,1.0,0.5921388861412042,91896
2026-07-11,1478132,122004,816134,1.8111388570994469,16778,1461354,0.1796996066277268,0.11231775463029492,0.6855721393034826,0.7975459375152313,0.009217608035374015,1.0,0.7495145631067961,23258
2026-07-12,1706002,158560,913663,1.867211433537311,23319,1682683,0.16981860285604014,0.10117651393637424,0.7340909090909091,0.702034678821484,0.012236065527428652,1.0,0.9692496924969249,29748
2026-07-13,10322447,759642,5126222,2.013655865859887,73162,10249285,0.1601514447390722,0.11258346313913604,0.7525817188700179,0.6836996273507236,0.08903778692592465,1.0,0.805678321023105,96816
2026-07-14,9636569,896282,4935159,1.9526359738358987,69153,9567416,0.14326204213844662,0.10581780911376698,0.7500757040476431,0.7191286473864656,0.08654014396502607,1.0,0.6666666666666666,101084
2026-07-15,8630272,1021744,4400823,1.9610586474393539,56374,8573898,0.13774080249760529,0.10275524621356587,0.7461687057308435,0.6735837042132182,0.09300195564503953,1.0,0.5,86006
2026-07-16,11123879,898053,5440582,2.044611955118037,66556,11057323,0.13396237754672757,0.10469631754449066,0.8054060116644235,0.6653709505632478,0.111824161511187,1.0,0.5002123142250531,100382
2026-07-17,14425052,1144966,6483422,2.224913325092829,103753,14321299,0.14567289620541093,0.13155147448565943,0.7441445017864232,0.6031471538035275,0.15298524518079956,1.0,0.5002043318348999,145224
2026-07-18,1040043,99393,657631,1.5814993514600133,12433,1027610,0.1541060082039733,0.08788353558256537,0.8569937369519833,0.7160890266858598,0.011231601869825691,1.0,0.7230889235569423,19023
2026-07-19,2161158,219097,1142574,1.8914818646319627,19632,2141526,0.1546964140179299,0.11291340847601196,0.7945340796838986,0.6303870442129467,0.02199063684077971,1.0,0.5,30238
2026-07-20,11766613,651505,5106810,2.3041023652730375,66517,11700096,0.1483079513507825,0.12534572365901955,0.779726305119108,0.6404333414930343,0.11476804309991308,1.0,0.6616541353383458,93063
2026-07-21,9574609,1092421,4442803,2.155082951010882,84447,9490162,0.1304723672836217,0.11028526172682827,0.7543111272463242,0.647378000716589,0.07890204567109918,1.0,0.6893742253813897,111904
2026-07-22,10800998,796636,5001829,2.159409687936153,83905,10717093,0.13486681365830402,0.11519383101369,0.7506185931424532,0.6728352110862076,0.10801631509159122,1.0,0.6664528543938422,115838
2026-07-23,13668073,581183,5831846,2.3436958040387212,88003,13580070,0.13510903037396452,0.12154605977730601,0.7679562657695542,0.6436280294970811,0.1475413005632845,0.9993472368747187,0.49975478175576266,131350
2026-07-24,12473111,979864,5517235,2.2607539827467926,71751,12401360,0.1475240763194938,0.11809083842417284,0.7618327822390175,0.6504994581720425,0.14166262852624772,0.9977064220183486,0.49953051643192486,107761
2026-07-25,1274746,165990,782635,1.6287873657579843,13937,1260809,0.1433594030279113,0.11496666029509624,0.6956956956956957,0.7335444391553008,0.016290188288459635,1.0,0.6060606060606061,20873
2026-07-26,1935508,192618,1059530,1.8267609222957348,18459,1917049,0.13906495476461347,0.11280619326892531,0.7043241137514609,0.6997433585350628,0.022278569697059544,1.0,0.6525947888589398,26054
2026-07-27,13876336,1123402,6278441,2.2101563110969744,88360,13787976,0.14099139882299683,0.11521705578831876,0.693690801091668,0.6680758650644274,0.14438658593356657,1.0,0.5432152385679717,128245
2026-07-28,18206611,1380622,8254075,2.205772421500895,108264,18098347,0.12904566614941254,0.12141473472687865,0.696872092190967,0.6415109451780873,0.16022361586597214,1.0,0.5861766398288618,157439
2026-07-29,23373992,1845710,10578060,2.209667179047954,143462,23230530,0.13512986017203163,0.11070741821215443,0.6387599298462808,0.5403555186422541,0.14758267867824854,0.9398496240601504,0.4045357540052301,208482
2026-07-30,16310592,1824383,7676654,2.1247006833966986,143742,16166850,0.13356569409080157,0.095931798711561,0.5943017865513829,0.532514032039151,0.13394625763399598,0.7984031936127745,0.29407501705200273,195687
2026-07-31,16718961,1336775,7906841,2.1144931332247605,141186,16577775,0.1332639213519754,0.10138411216221718,0.6527238905128887,0.5878642703170005,0.09385997013136897,0.9089805825242718,0.2587476979742173,195341
2026-08-01,1504744,152963,913879,1.6465462057887312,25395,1479349,0.07694428037015161,0.11169169682069613,0.6827021494370522,0.6702979465112479,0.015327656745061662,1.0,0.17709752497729336,31099
2026-08-02,3454026,365818,1965824,1.7570372525719495,48531,3405495,0.09931796171519235,0.09862765912150803,0.6863070539419087,0.6671986090104681,0.032941156611500946,1.0,0.21861656703672075,58461
2026-08-03,13985273,1020736,6520853,2.144699934195726,114037,13871236,0.12588896586195708,0.09924205744895408,0.6927417107829479,0.6153543850473264,0.13267933893915504,1.0,0.399581589958159,139266
2026-08-04,17707108,1164979,8180028,2.164675719936411,125152,17581956,0.12927480184096138,0.0985594549320906,0.643797515297608,0.5888475059842989,0.1345090753311985,0.9976303317535545,0.42434782608695654,157991
2026-08-05,18398298,908615,8795089,2.0918830952137037,171755,18226543,0.12584786469098425,0.09923121460827761,0.49308350682396485,0.5542926682007827,0.14372787175127683,1.0,0.5129411764705882,209389
2026-08-06,16457926,1033424,7744006,2.1252470620503137,100822,16357104,0.13545654718216263,0.09691024768198576,0.5845354030899905,0.5320403918567777,0.1359436792933186,0.9107079119571684,0.3995243757431629,126915
2026-08-07,12768602,899920,6121670,2.0858037104254232,98018,12670584,0.13670958395396765,0.10167210919401978,0.48895522388059703,0.4931290243703643,0.10323449987870167,1.0,0.4,114724
2026-08-08,1073300,104606,733958,1.4623452568130602,9628,1063672,0.0825716659742418,0.09363976865048625,0.5371069182389937,0.653912572036706,0.009962732370932353,1.0,0.3242335153296934,13161
2026-08-09,1221288,96752,752470,1.623038792244209,12169,1209119,0.14988906237159996,0.11598527522931985,0.38596491228070173,0.6391614375356531,0.01090386165834768,1.0,0.38745683050688184,14873
