dt,side,delta,var,auc,n
2026-07-12,-1,2.0,drift,0.525532910649302,10370
2026-07-13,1,0.5,obi,0.4746287115011889,26458
2026-07-13,1,0.5,ofi,0.4581515199757394,26458
2026-07-13,1,0.5,aggr,0.5090519750689025,26458
2026-07-13,1,0.5,depth,0.49593581750106364,26458
2026-07-13,1,0.5,qdepl,0.5140737376769557,26458
2026-07-13,1,0.5,drift,0.49350561615346106,26458
2026-07-13,1,1.0,obi,0.4705266664709707,26458
2026-07-13,1,1.0,ofi,0.46400953475135787,26458
2026-07-13,1,1.0,aggr,0.502988158107217,26458
2026-07-13,1,1.0,depth,0.5013840134518851,26458
2026-07-13,1,1.0,qdepl,0.512721649811457,26458
2026-07-13,1,1.0,drift,0.4983023105196807,26458
2026-07-13,1,2.0,obi,0.48063972090038154,26458
2026-07-13,1,2.0,ofi,0.4942356818208926,26458
2026-07-13,1,2.0,aggr,0.5241565538622139,26458
2026-07-13,1,2.0,depth,0.4873257296871314,26458
2026-07-13,1,2.0,qdepl,0.5083642447288321,26458
2026-07-13,1,2.0,drift,0.5105062676639734,26458
2026-07-13,-1,0.5,obi,0.482018856145605,26626
2026-07-13,-1,0.5,ofi,0.45882704172165056,26626
2026-07-13,-1,0.5,aggr,0.5100762452609525,26626
2026-07-13,-1,0.5,depth,0.5021108406412905,26626
2026-07-13,-1,0.5,qdepl,0.49667185567170136,26626
2026-07-13,-1,0.5,drift,0.48533737151051765,26626
2026-07-13,-1,1.0,obi,0.4849054915701268,26626
2026-07-13,-1,1.0,ofi,0.46857389711153397,26626
2026-07-13,-1,1.0,aggr,0.5173255194155906,26626
2026-07-13,-1,1.0,depth,0.4978001939066104,26626
2026-07-13,-1,1.0,qdepl,0.5021697337610573,26626
2026-07-13,-1,1.0,drift,0.5092312232988515,26626
2026-07-13,-1,2.0,obi,0.5183187613111124,26626
2026-07-13,-1,2.0,ofi,0.49659747688724887,26626
2026-07-13,-1,2.0,aggr,0.5192535331442978,26626
2026-07-13,-1,2.0,depth,0.5231026154088991,26626
2026-07-13,-1,2.0,qdepl,0.49670989558563633,26626
2026-07-13,-1,2.0,drift,0.5250580661746961,26626
2026-07-14,1,0.5,obi,0.49331174204895434,25506
2026-07-14,1,0.5,ofi,0.46736671774075866,25506
2026-07-14,1,0.5,aggr,0.5206415750789153,25506
2026-07-14,1,0.5,depth,0.5013536650461203,25506
2026-07-14,1,0.5,qdepl,0.507531892506317,25506
2026-07-14,1,0.5,drift,0.47403847261583837,25506
2026-07-14,1,1.0,obi,0.4736169577505895,25506
2026-07-14,1,1.0,ofi,0.4687648710091165,25506
2026-07-14,1,1.0,aggr,0.5186947209357695,25506
2026-07-14,1,1.0,depth,0.4916744525855779,25506
2026-07-14,1,1.0,qdepl,0.5134088212253174,25506
2026-07-14,1,1.0,drift,0.48775170310975935,25506
2026-07-14,1,2.0,obi,0.48796279655614694,25506
2026-07-14,1,2.0,ofi,0.48858080266967735,25506
2026-07-14,1,2.0,aggr,0.5068529526969424,25506
2026-07-14,1,2.0,depth,0.5072069479965899,25506
2026-07-14,1,2.0,qdepl,0.5273932148260793,25506
2026-07-14,1,2.0,drift,0.5063236734176632,25506
2026-07-14,-1,0.5,obi,0.4973920729976418,24304
2026-07-14,-1,0.5,ofi,0.4664299845534592,24304
2026-07-14,-1,0.5,aggr,0.5020932962431828,24304
2026-07-14,-1,0.5,depth,0.49794934365400834,24304
2026-07-14,-1,0.5,qdepl,0.5113632522150025,24304
2026-07-14,-1,0.5,drift,0.47341580693577184,24304
2026-07-14,-1,1.0,obi,0.503660402400222,24304
2026-07-14,-1,1.0,ofi,0.4770528526181156,24304
2026-07-14,-1,1.0,aggr,0.5078381177467008,24304
2026-07-14,-1,1.0,depth,0.5135190957912485,24304
2026-07-14,-1,1.0,qdepl,0.5077603819341294,24304
2026-07-14,-1,1.0,drift,0.48988954605470225,24304
2026-07-14,-1,2.0,obi,0.511035231844601,24304
2026-07-14,-1,2.0,ofi,0.4815535731212816,24304
2026-07-14,-1,2.0,aggr,0.5056133943365307,24304
2026-07-14,-1,2.0,depth,0.5135421509614667,24304
2026-07-14,-1,2.0,qdepl,0.5119407530161405,24304
2026-07-14,-1,2.0,drift,0.5115144810116655,24304
2026-07-15,1,0.5,obi,0.5066616361837275,22125
2026-07-15,1,0.5,ofi,0.4561809952440231,22125
2026-07-15,1,0.5,aggr,0.4847321778543841,22125
2026-07-15,1,0.5,depth,0.5528056816368221,22125
2026-07-15,1,0.5,qdepl,0.565406620064477,22125
2026-07-15,1,0.5,drift,0.46439982125187523,22125
2026-07-15,1,1.0,obi,0.5030031600114909,22125
2026-07-15,1,1.0,ofi,0.4639181078234224,22125
2026-07-15,1,1.0,aggr,0.48566673688914425,22125
2026-07-15,1,1.0,depth,0.5562348111972932,22125
2026-07-15,1,1.0,qdepl,0.5783012799642504,22125
2026-07-15,1,1.0,drift,0.48244801940693927,22125
2026-07-15,1,2.0,obi,0.5302263972677073,22125
2026-07-15,1,2.0,ofi,0.4862651473076064,22125
2026-07-15,1,2.0,aggr,0.48621493185227743,22125
2026-07-15,1,2.0,depth,0.5720529477480928,22125
2026-07-15,1,2.0,qdepl,0.5854785661846851,22125
2026-07-15,1,2.0,drift,0.5128994222605254,22125
2026-07-15,-1,0.5,obi,0.5115410566569227,22856
2026-07-15,-1,0.5,ofi,0.45507382838079236,22856
2026-07-15,-1,0.5,aggr,0.5086980924911886,22856
2026-07-15,-1,0.5,depth,0.5706151596999044,22856
2026-07-15,-1,0.5,qdepl,0.5479364161098201,22856
2026-07-15,-1,0.5,drift,0.4647134258750991,22856
2026-07-15,-1,1.0,obi,0.5004751151140644,22856
2026-07-15,-1,1.0,ofi,0.4659782904680391,22856
2026-07-15,-1,1.0,aggr,0.517932729507894,22856
2026-07-15,-1,1.0,depth,0.5541485251457337,22856
2026-07-15,-1,1.0,qdepl,0.5640813356505076,22856
2026-07-15,-1,1.0,drift,0.4779627548072192,22856
2026-07-15,-1,2.0,obi,0.4969950958972796,22856
2026-07-15,-1,2.0,ofi,0.48175367669559616,22856
2026-07-15,-1,2.0,aggr,0.5224987671358725,22856
2026-07-15,-1,2.0,depth,0.5580886669206531,22856
2026-07-15,-1,2.0,qdepl,0.5815823070568986,22856
2026-07-15,-1,2.0,drift,0.49929445282965745,22856
2026-07-16,1,0.5,obi,0.4632902917448915,26211
2026-07-16,1,0.5,ofi,0.45964639140590646,26211
2026-07-16,1,0.5,aggr,0.5212142925182924,26211
2026-07-16,1,0.5,depth,0.49513137845609884,26211
2026-07-16,1,0.5,qdepl,0.5295700220704512,26211
2026-07-16,1,0.5,drift,0.5024593664356385,26211
2026-07-16,1,1.0,obi,0.47570047248914504,26211
2026-07-16,1,1.0,ofi,0.4801119339148297,26211
2026-07-16,1,1.0,aggr,0.5116249001320996,26211
2026-07-16,1,1.0,depth,0.5054154253599374,26211
2026-07-16,1,1.0,qdepl,0.537094389328756,26211
2026-07-16,1,1.0,drift,0.5162887101589932,26211
2026-07-16,1,2.0,obi,0.4928051995418684,26211
2026-07-16,1,2.0,ofi,0.4946726537801933,26211
2026-07-16,1,2.0,aggr,0.5177069089339373,26211
2026-07-16,1,2.0,depth,0.5284628155212564,26211
2026-07-16,1,2.0,qdepl,0.5499013400836842,26211
2026-07-16,1,2.0,drift,0.5189430186634267,26211
2026-07-16,-1,0.5,obi,0.4840589365307882,27396
2026-07-16,-1,0.5,ofi,0.47324021787983733,27396
2026-07-16,-1,0.5,aggr,0.49622127042794095,27396
2026-07-16,-1,0.5,depth,0.5080250577909613,27396
2026-07-16,-1,0.5,qdepl,0.510936443330076,27396
2026-07-16,-1,0.5,drift,0.4885442264141088,27396
2026-07-16,-1,1.0,obi,0.5074207080860837,27396
2026-07-16,-1,1.0,ofi,0.4801519620071012,27396
2026-07-16,-1,1.0,aggr,0.5057897828661532,27396
2026-07-16,-1,1.0,depth,0.5259632626591025,27396
2026-07-16,-1,1.0,qdepl,0.5072298700099649,27396
2026-07-16,-1,1.0,drift,0.4993307184075197,27396
2026-07-16,-1,2.0,obi,0.5073372616840964,27396
2026-07-16,-1,2.0,ofi,0.5036595608523649,27396
2026-07-16,-1,2.0,aggr,0.49698844298959877,27396
2026-07-16,-1,2.0,depth,0.5346412806387643,27396
2026-07-16,-1,2.0,qdepl,0.5266664812857045,27396
2026-07-16,-1,2.0,drift,0.51689345608172,27396
2026-07-17,1,0.5,obi,0.5068873912901337,33992
2026-07-17,1,0.5,ofi,0.45335150394881474,33992
2026-07-17,1,0.5,aggr,0.49144165989558547,33992
2026-07-17,1,0.5,depth,0.5212471978817687,33992
2026-07-17,1,0.5,qdepl,0.5304264522285779,33992
2026-07-17,1,0.5,drift,0.4798859191824443,33992
2026-07-17,1,1.0,obi,0.5122751321052176,33992
2026-07-17,1,1.0,ofi,0.46901755600237094,33992
2026-07-17,1,1.0,aggr,0.48669049289270433,33992
2026-07-17,1,1.0,depth,0.5288446978153648,33992
2026-07-17,1,1.0,qdepl,0.5314764300335098,33992
2026-07-17,1,1.0,drift,0.5010253058053397,33992
2026-07-17,1,2.0,obi,0.5039325253492699,33992
2026-07-17,1,2.0,ofi,0.48646662565064996,33992
2026-07-17,1,2.0,aggr,0.49140039842941086,33992
2026-07-17,1,2.0,depth,0.5201748214586028,33992
2026-07-17,1,2.0,qdepl,0.5472913034156022,33992
2026-07-17,1,2.0,drift,0.5216720363609967,33992
2026-07-17,-1,0.5,obi,0.4713625347926564,31939
2026-07-17,-1,0.5,ofi,0.4452861254788543,31939
2026-07-17,-1,0.5,aggr,0.49345551778317465,31939
2026-07-17,-1,0.5,depth,0.5011767690814548,31939
2026-07-17,-1,0.5,qdepl,0.5172544152550915,31939
2026-07-17,-1,0.5,drift,0.4857321098836374,31939
2026-07-17,-1,1.0,obi,0.480163906351845,31939
2026-07-17,-1,1.0,ofi,0.4625686561974949,31939
2026-07-17,-1,1.0,aggr,0.4984416534103083,31939
2026-07-17,-1,1.0,depth,0.5056971155972828,31939
2026-07-17,-1,1.0,qdepl,0.5234843032635235,31939
2026-07-17,-1,1.0,drift,0.5134021311190528,31939
2026-07-17,-1,2.0,obi,0.5033105177173738,31939
2026-07-17,-1,2.0,ofi,0.48797573490292734,31939
2026-07-17,-1,2.0,aggr,0.4902267180986658,31939
2026-07-17,-1,2.0,depth,0.5210823824866136,31939
2026-07-17,-1,2.0,qdepl,0.5419477385915977,31939
2026-07-17,-1,2.0,drift,0.536100855614394,31939
2026-07-18,1,0.5,obi,0.4256807709987407,8572
2026-07-18,1,0.5,ofi,0.46318505492951234,8572
2026-07-18,1,0.5,aggr,0.41799825514819683,8572
2026-07-18,1,0.5,depth,0.45469675210048605,8572
2026-07-18,1,0.5,qdepl,0.4215394679221984,8572
2026-07-18,1,0.5,drift,0.4786715496677574,8572
2026-07-18,1,1.0,obi,0.4471861884711943,8572
2026-07-18,1,1.0,ofi,0.472421345671054,8572
2026-07-18,1,1.0,aggr,0.4226010157675852,8572
2026-07-18,1,1.0,depth,0.47391307156476353,8572
2026-07-18,1,1.0,qdepl,0.4095300969936326,8572
2026-07-18,1,1.0,drift,0.48090123363606446,8572
2026-07-18,1,2.0,obi,0.4535895599927105,8572
2026-07-18,1,2.0,ofi,0.48863534365284655,8572
2026-07-18,1,2.0,aggr,0.41986890491849654,8572
2026-07-18,1,2.0,depth,0.4797549421601347,8572
2026-07-18,1,2.0,qdepl,0.3912445124886782,8572
2026-07-18,1,2.0,drift,0.49360801829442436,8572
2026-07-18,-1,0.5,obi,0.4335733436028562,8241
2026-07-18,-1,0.5,ofi,0.4487688980513948,8241
2026-07-18,-1,0.5,aggr,0.47978371502441614,8241
2026-07-18,-1,0.5,depth,0.4511511393747662,8241
2026-07-18,-1,0.5,qdepl,0.48137506215481674,8241
2026-07-18,-1,0.5,drift,0.5072723663131463,8241
2026-07-18,-1,1.0,obi,0.43386258753374285,8241
2026-07-18,-1,1.0,ofi,0.4556682895086346,8241
2026-07-18,-1,1.0,aggr,0.4721805610063887,8241
2026-07-18,-1,1.0,depth,0.45324229854716275,8241
2026-07-18,-1,1.0,qdepl,0.480583065029793,8241
2026-07-18,-1,1.0,drift,0.5175420423911935,8241
2026-07-18,-1,2.0,obi,0.4538875137981395,8241
2026-07-18,-1,2.0,ofi,0.4651492772578168,8241
2026-07-18,-1,2.0,aggr,0.47032028227707673,8241
2026-07-18,-1,2.0,depth,0.46062881832778957,8241
2026-07-18,-1,2.0,qdepl,0.47015401527009426,8241
2026-07-18,-1,2.0,drift,0.5178453487057552,8241
2026-07-19,1,0.5,obi,0.4433458897165128,13083
2026-07-19,1,0.5,ofi,0.44074040430497474,13083
2026-07-19,1,0.5,aggr,0.5165454147027465,13083
2026-07-19,1,0.5,depth,0.4973403332851154,13083
2026-07-19,1,0.5,qdepl,0.5414732685002681,13083
2026-07-19,1,0.5,drift,0.4701463209179043,13083
2026-07-19,1,1.0,obi,0.4609068387538855,13083
2026-07-19,1,1.0,ofi,0.4469556277761985,13083
2026-07-19,1,1.0,aggr,0.5364288212112647,13083
2026-07-19,1,1.0,depth,0.5242448188763572,13083
2026-07-19,1,1.0,qdepl,0.5438154050297044,13083
2026-07-19,1,1.0,drift,0.4842997990253353,13083
2026-07-19,1,2.0,obi,0.47903563267734284,13083
2026-07-19,1,2.0,ofi,0.4551546755726515,13083
2026-07-19,1,2.0,aggr,0.5157092920424095,13083
2026-07-19,1,2.0,depth,0.5288851700296193,13083
2026-07-19,1,2.0,qdepl,0.5531915452923932,13083
2026-07-19,1,2.0,drift,0.5018878022040691,13083
