user,n,B,A_n,rate_per_s,n_days
0xe056eebc2c7acfc782d47ebe18ad71735480f72a,4041921,0.4437800837802507,0.4484901441165131,0.5695628899526645,78
0x9b89b84179fb680d97c7b2ea80ad2e88e0811869,4020230,0.8020770247692938,0.8332165551530627,0.46669615817972354,77
0x5a209e55c592687bb3f105f2f645c09238612d1b,3802837,0.5656806220962435,0.5697884355154912,0.6675631012255616,65
0xf30120f0487a9093dbd47a69527ac9a9edbb7895,3717676,0.7873826048057087,0.7895490855201449,2.603972389957601,17
0x63f6411ca61733af716c9a50a56a84ea38a0af59,3708771,0.7863438174859317,0.7885143255881578,2.6061136052199045,17
0x46921f6961bdb411b756c9712f6bdb58fbd9164f,3706737,0.6443309747927848,0.6496535330612427,0.8811019436353875,42
0xd0956a1eba0a9060baf5f73ee26b9601dc47ec43,3699522,0.7893378618776323,0.7915178088849792,2.5777685448017618,17
0xea0e878d5da1f786c035355cd7a8d381a6276766,3694782,0.785065545298153,0.787230458268059,2.6248760258275743,17
0x4230d84bc168643535bddcc4b4d3aeec3989c19d,3593198,0.4300054723077324,0.4320179623741613,1.9871629392395755,25
0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,3577173,0.6171847125992158,0.6234001864606891,0.39432355674584363,82
0xc1914d36f97dc5557e4df26cbdab98e9c988ef37,3536328,0.5845720062609903,0.5925179163679478,0.4038439755290419,93
0x09f15dacf13c0fcb64594452506b52393fb13c39,3486093,0.9159767515082193,0.9191424941483985,3.3187013388242956,26
0xaca2d79168f9e9072c089e5f7d6eb0daefc13915,3398009,0.5755667272460145,0.5818418066328515,1.4306486478873324,32
0xce975678a14f17a15c946b95704744cd7c677e78,3314961,0.7149766778220775,0.7182062212016803,1.5675976130921587,48
0x303729b53e97d3f43a1bd13e7f4c6bf77ae41e83,3272330,0.5596636868072732,0.5801320171405133,0.36577550072203135,95
0xa33a2a0179eb17700f12877f3c331b295037ee7b,3190443,0.6424429382941295,0.6459385951593302,1.8725259402122243,35
