feat,x_form,y_kind,day_type,hor,sample,n,beta,r,r2,t,lay,hor_ms
var_ask_depth,生,符号つき,閉場日,20ms,sub,1463504.0,8.700549115172204e-14,0.00007433235858605936,5.5252995329665126e-9,0.08992378418291079,動いた窓,20
var_ask_depth,生,符号つき,閉場日,50ms,full,1463504.0,8.230949312962077e-13,0.00039865047817054175,1.589222037456016e-7,0.4822685973487164,動いた窓,50
var_ask_depth,生,符号つき,閉場日,50ms,sub,1463504.0,8.230949312962077e-13,0.00039865047817054175,1.589222037456016e-7,0.4822685973487164,動いた窓,50
var_ask_depth,生,符号つき,閉場日,100ms,full,1463504.0,-3.003528697143194e-12,-0.0010107956051210677,1.0217077553320655e-6,-1.2228135062534586,動いた窓,100
var_ask_depth,生,符号つき,閉場日,100ms,sub,1463504.0,-3.003528697143194e-12,-0.0010107956051210677,1.0217077553320655e-6,-1.2228135062534586,動いた窓,100
var_ask_depth,生,符号つき,閉場日,500ms,full,1463492.0,-4.84437372250942e-12,-0.00074938042003673,5.615710139344259e-7,-0.9065616497030364,動いた窓,500
var_ask_depth,生,符号つき,閉場日,500ms,sub,313768.0,7.255624966491041e-12,0.0010403084515823913,1.0822416744337524e-6,0.5827272163871168,動いた窓,500
var_ask_depth,生,符号つき,閉場日,1s,full,1463482.0,-7.45460819994362e-12,-0.0008836955584289069,7.809178399869776e-7,-1.0690456178025138,動いた窓,1000
var_ask_depth,生,符号つき,閉場日,1s,sub,161449.0,-3.3994070666649413e-11,-0.0028494838007542757,8.119557930761033e-6,-1.1449405718577919,動いた窓,1000
var_ask_depth,生,符号つき,閉場日,3s,full,1463436.0,-3.665606825193797e-11,-0.002732095268410618,7.464344555671686e-6,-3.3050956337790893,動いた窓,3000
var_ask_depth,生,符号つき,閉場日,3s,sub,53050.0,1.175485528791789e-11,0.00048059281915229695,2.309694578207524e-7,0.11069087870471428,動いた窓,3000
var_ask_depth,生,符号つき,閉場日,5s,full,1463377.0,-2.7620339384071865e-11,-0.0016610900273565147,2.7592200789832667e-6,-2.0094240030961856,動いた窓,5000
var_ask_depth,生,符号つき,閉場日,5s,sub,29625.0,-4.711823922686778e-11,-0.0021577379316918338,4.655832981861752e-6,-0.37137633548188914,動いた窓,5000
var_ask_depth,生,符号つき,閉場日,10s,full,1463276.0,-1.9356740683314026e-11,-0.0008664636742693996,7.507592988284282e-7,-1.048125654200655,動いた窓,10000
var_ask_depth,生,符号つき,閉場日,10s,sub,15500.0,-1.1516191623654838e-11,-0.0005620558068703265,3.159067300366538e-7,-0.06997088000563817,動いた窓,10000
var_ask_depth,生,符号つき,閉場日,30s,full,1462855.0,-1.271931118803635e-10,-0.003564666569593246,0.00001270684775237568,-4.311436716011802,動いた窓,30000
var_ask_depth,生,符号つき,閉場日,30s,sub,4691.0,-5.3780250685327664e-8,-0.043769922509744354,0.0019158061165090255,-3.000076334499369,動いた窓,30000
var_ask_depth,生,符号つき,閉場日,50s,full,1462426.0,-1.4610522053716187e-10,-0.0032431901569467698,0.000010518282394116414,-3.922033963116431,動いた窓,50000
var_ask_depth,生,符号つき,閉場日,50s,sub,3028.0,9.168164723633798e-8,0.009486825355456936,0.00008999985532494061,0.5218851166115113,動いた窓,50000
var_ask_depth,生,符号つき,閉場日,100s,full,1461128.0,-1.9691980384084396e-10,-0.0031651719013675752,0.000010018313165206832,-3.825985427513027,動いた窓,100000
var_ask_depth,生,符号つき,閉場日,100s,sub,1495.0,5.531899385626941e-8,0.004293674446631722,0.000018435640253658225,0.16590635412245136,動いた窓,100000
var_ask_depth,生,絶対値,立会日,10ms,full,13259037.0,2.5467677298706103e-12,0.0008387324788933102,7.034721711505171e-7,3.054074115072358,動いた窓,10
var_ask_depth,生,絶対値,立会日,10ms,sub,13259037.0,2.5467677298706103e-12,0.0008387324788933102,7.034721711505171e-7,3.054074115072358,動いた窓,10
var_ask_depth,生,絶対値,立会日,20ms,full,13259037.0,8.120846384243884e-12,0.001859719579130759,3.458556913002288e-6,6.771800776678384,動いた窓,20
var_ask_depth,生,絶対値,立会日,20ms,sub,13259037.0,8.120846384243884e-12,0.001859719579130759,3.458556913002288e-6,6.771800776678384,動いた窓,20
var_ask_depth,生,絶対値,立会日,50ms,full,13259037.0,1.4132188356664015e-11,0.001926219259088409,3.7103206340830994e-6,7.013947082737143,動いた窓,50
var_ask_depth,生,絶対値,立会日,50ms,sub,13259037.0,1.4132188356664015e-11,0.001926219259088409,3.7103206340830994e-6,7.013947082737143,動いた窓,50
var_ask_depth,生,絶対値,立会日,100ms,full,13259037.0,2.675897368971119e-11,0.0025921938865945343,6.719469145698078e-6,9.438976387853955,動いた窓,100
var_ask_depth,生,絶対値,立会日,100ms,sub,13259037.0,2.675897368971119e-11,0.0025921938865945343,6.719469145698078e-6,9.438976387853955,動いた窓,100
var_ask_depth,生,絶対値,立会日,500ms,full,13258994.0,6.437157953347927e-11,0.0028413635353132832,8.073346739807999e-6,10.34627005496168,動いた窓,500
var_ask_depth,生,絶対値,立会日,500ms,sub,2753425.0,4.5364619372144043e-11,0.002022390226276556,4.090062227338939e-6,3.3558482488502808,動いた窓,500
var_ask_depth,生,絶対値,立会日,1s,full,13258942.0,7.441863803066581e-11,0.0014456085907490583,2.0897841976474784e-6,5.263875111939227,動いた窓,1000
var_ask_depth,生,絶対値,立会日,1s,sub,1376077.0,3.464361962384134e-11,0.0008448616931754617,7.137912805953081e-7,0.9910756971862134,動いた窓,1000
var_ask_depth,生,絶対値,立会日,3s,full,13258728.0,8.816785608979709e-11,0.0012845839182044924,1.650155842909606e-6,4.677499362073465,動いた窓,3000
var_ask_depth,生,絶対値,立会日,3s,sub,453275.0,-1.0174639809363509e-11,-0.00018139036685580943,3.290246518808513e-8,-0.12212206841476149,動いた窓,3000
var_ask_depth,生,絶対値,立会日,5s,full,13258502.0,1.359438401936639e-10,0.0017788449328250016,3.1642892950371845e-6,6.477180125055045,動いた窓,5000
