dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-25,37235,35237,1330,1331,2661,1330,-1112.4826703258311,1,11.713981382171406,1.2886793483763155,-1100.7686889436598,0.5001878992859827,1,0.0,21.3395,-0.8364531355833315,0.013533834586466165,0.04736842105263158,0.1736842105263158,0.29473684210526313,0.6022556390977444,0.7729323308270677
2026-05-26,96507,79559,3561,3562,7123,3561,-7158.170369766559,1,-3.776430934394408,2.1032290671361316,-7161.946800700954,0.5000701951424962,1,0.0,7.687,-2.010157363034697,0.02246559955068801,0.09969109800617804,0.38331929233361417,0.5655714686885707,0.8418983431620332,0.9488907610221847
2026-05-27,104055,111617,5602,5602,11204,5602,-15763.87809110457,0,0.0,0.0,-15763.87809110457,0.5,1,0.0,5.561999999999999,-2.813973240111496,0.03016779721528026,0.12816851124598358,0.4691181720813995,0.6785076758300607,0.9300249910746162,0.9835772938236345
2026-05-28,95876,98100,4321,4321,8642,4321,-13147.619568058346,0,0.0,0.0,-13147.619568058346,0.5,1,0.0,6.345,-3.042726120818873,0.02962277250636427,0.11779680629483916,0.43948160148113863,0.626938208747975,0.8826660495255728,0.9590372598935432
2026-05-29,76861,78692,2592,2591,5183,2591,-7232.081816790989,1,-2.3847471347742677,1.3123115790347963,-7234.466563925764,0.5000964692263168,1,0.0,10.045,-2.791231886063674,0.018525665766113468,0.07564646854496333,0.32805866460825933,0.49710536472404476,0.777306059436511,0.9065997684291779
2026-05-30,23818,22913,1245,1244,2489,1244,-1172.684335396266,1,-7.678259715311328,1.2547430130493298,-1180.3625951115773,0.5002008838891121,1,0.0,21.0045,-0.942672295334617,0.007234726688102894,0.022508038585209004,0.1495176848874598,0.2958199356913183,0.6133440514469454,0.7797427652733119
2026-05-31,18543,24064,1024,1025,2049,1024,-1637.8825922833676,1,-0.22596020816319273,1.554039791836232,-1638.1085524915306,0.5002440214738897,1,0.0,16.033,-1.5994947190267252,0.009765625,0.056640625,0.224609375,0.3583984375,0.673828125,0.8173828125
2026-06-01,48684,49749,2606,2607,5213,2606,-6063.923313512152,1,-8.626307692307256,1.8075384615386803,-6072.549621204459,0.5000959140610013,1,0.0,10.2685,-2.326908408868808,0.01918649270913277,0.08595548733691481,0.33461243284727554,0.4930928626247122,0.7920184190330007,0.9109746738296239
2026-06-02,52524,49495,2673,2672,5345,2672,-5610.695343567673,1,-4.717579265986483,2.7377896329932416,-5615.41292283366,0.5000935453695042,1,0.0,9.936499999999999,-2.099811131574716,0.01908682634730539,0.0815868263473054,0.34281437125748504,0.5018712574850299,0.7717065868263473,0.906062874251497
2026-06-03,48011,44353,2606,2607,5213,2606,-5015.106612215673,1,2.8661140034209667,1.7960285008552417,-5012.240498212252,0.5000959140610013,1,0.0,10.799,-1.9244461290159893,0.013046815042210284,0.07751343054489639,0.30775134305448965,0.4750575594781274,0.7939370683039141,0.9082885648503454
2026-06-04,69495,71665,3417,3418,6835,3417,-7757.306871322271,1,-4.128065220750558,1.1551030858788596,-7761.434936543022,0.5000731528895391,1,0.0,7.564,-2.2702097955288987,0.024290313140181447,0.09599063505999415,0.38366988586479367,0.5856014047410009,0.8501609599063507,0.9458589405911618
2026-06-05,119311,137509,6518,6519,13037,6518,-13893.382863442534,1,-5.129828647020247,0.962550795750452,-13898.512692089555,0.5000383523816829,1,0.0,4.4085,-2.1315407891136147,0.03313899969315741,0.140840748695919,0.5351334765265419,0.7336606320957348,0.940625958883093,0.9874194538201903
