wid,n_days,n_ord,n_slot,n_fill,n_canc,n_rf_fill,n_rf_canc,n_rf_same,n_rf_fill_same,sz_pl,sz_fl,szt,n_ep,n_modal,ep_child,ep_child_max,rf_fill,rf_canc,same_sz_share,modal_share,turnover_s,ord_per_slot,rf_ratio
14089,8,521737,38016,3622,518115,1062,81230,80792,996,203171295,1855810,5.198096515693857e+17,257668,60735,2.6673076961177045,85,0.293208172280508,0.15677986547388129,0.9817722257327566,0.11640922533767013,0.3908571039160093,13.724142466329967,1.8701902275158857
27960,20,65254,43524,334,64920,7,405,70,4,38755855,107977,4.62748382130579e+17,62083,5578,1.053428379149093,6,0.020958083832335328,0.006238447319778189,0.16990291262135923,0.08548134980231097,0.08375146515166813,1.4992647734583218,3.3595032157906406
2031,75,103866,64215,7,103859,0,9,9,0,508491383,15869,5.031695725652317e+19,100445,888,1.0203007004582567,7,0.0,0.00008665594700507419,1.0,0.008549477211021894,0.010105765744292464,1.6174725531417893,0.0
23649,3,12130,1143,3802,8328,251,2473,2489,247,1685773,527611,2.077065858851358e+17,4874,4817,2.236641260992472,19,0.06601788532351394,0.29695004803073966,0.9137298091042585,0.39711459192085735,0.008116126856623855,10.612423447069116,0.2223198337946721
15896,34,81712,64582,2,81710,0,124,11,0,108284762,8685,1.336355545779675e+19,80958,1812,1.006356015499027,7,0.0,0.0015175621099008689,0.08870967741935484,0.02217544546700607,0.008102990431099907,1.2652441856864143,0.0
1614,96,6486633,838399,281495,6205138,13189,395885,298599,8999,5952323846,186225667,4.3064768236367013e+20,4336367,261757,1.6754153890594965,59,0.046853407698182914,0.06379954805195308,0.7299388374719489,0.0403532926866681,0.013821794682209449,7.736928359885925,0.7343846332583637
14857,9,207174,10409,18887,188287,1803,19224,18314,68,38102448,3627946,1.0762725946574507e+17,96451,137303,2.0924798920156538,35,0.09546248742521311,0.10209945455607662,0.8709754125647976,0.6627424290692847,0.35402228198634944,19.903352867710634,0.9349950774984968
5818,52,30287,9447,192,30095,30,14023,12450,17,1276577935,6502814,5.212667060116626e+17,10269,10129,4.98802996423176,885,0.15625,0.465957800299053,0.8859318295025973,0.33443391554132135,2.4489918889456916,3.205991319995766,0.33533079583541325
42,86,80061,56141,718,79343,4,367,45,0,89615271,611164,2.738182391621075e+18,77714,1471,1.026501842569712,8,0.005571030640668524,0.004625486810430662,0.12129380053908356,0.018373490213712044,0.032728013763519026,1.4260700735647744,1.2044203927045305
194,96,20575,19788,0,20575,0,0,0,0,268186881,0,1.9727682755752998e+20,20564,257,1.000895880024265,2,,0.0,,0.012490886998784933,0.0013594444128101723,1.0397715787345867,
9233,28,21932,13256,79,21853,2,75,57,0,36213797,144656,3.516582939320646e+18,19077,8631,1.1407329138244156,7,0.02531645569620253,0.0034320230631949846,0.7402597402597403,0.39353456137151194,0.010298007362509696,1.6544960772480386,7.376540084388186
25212,32,57284,31200,10892,46392,6,4492,91,2,147071848,36563358,2.7291393954366925e+18,48319,310,1.0464254323677837,19,0.0005508630187293427,0.09682703914468012,0.02023121387283237,0.005411633265833392,0.05388945989564115,1.836025641025641,0.00568914451578176
694,7,79117,19930,53,79064,1,13782,7982,0,3056780353,2377454,1.4109171017974233e+19,39321,564,1.9008129075355036,212,0.018867924528301886,0.17431447940908631,0.5791192048175289,0.007128682836811305,0.2166520165575884,3.9697441043652786,0.10824071868420115
28609,4,17845,8398,747,17098,9,1289,1298,9,5562944,121870,2788996372049286.0,13855,16312,1.2646992910153367,30,0.012048192771084338,0.07538893437828986,1.0,0.9140935836368731,1.994604243931836,2.124910693022148,0.15981380915438323
19826,11,10861,3304,617,10244,4,3284,3288,4,1086100,64365,890782943448200.0,6617,10861,1.275922732300395,9,0.006482982171799027,0.3205778992581023,1.0,1.0,1.2192644773773196,3.287227602905569,0.020222798224089292
4127,21,25107,14126,53,25054,0,75,75,0,253493094,1524620,2.093318966199181e+18,23388,24757,1.056656032190388,6,0.0,0.0029935339666320748,1.0,0.9860596646353607,0.12109625818766881,1.7773608948039077,0.0
8575,10,131801,41197,512,131289,3,10595,9650,1,1210788842,3931053,4.87475490560432e+18,96459,74853,1.4279679070942684,18,0.005859375,0.08069983014570908,0.9105491602189092,0.5679243708317843,0.2483794294166466,3.199286355802607,0.07260703014393582
29681,13,242715,79011,2878,239837,163,2328,2363,162,93450065,1154262,3.809649647485195e+17,217874,22451,1.093753303593192,13,0.056636553161918,0.009706592394000926,0.9486150140505821,0.09249943349195558,0.24529831781693556,3.0719140372859477,5.834854381741807
15387,38,10081,9056,8998,1083,53,3,4,4,10114121,8216212,3.7632859894445696e+18,9531,828,1.0646773190673429,12,0.005890197821738164,0.002770083102493075,0.07142857142857142,0.0821347088582482,0.0026875770346363606,1.113184628975265,2.1263614136474773
15390,53,91686,38442,1087,90599,120,10184,10060,116,480390336,6592830,4.626048395188881e+17,61967,1708,1.5481562271654545,53,0.11039558417663294,0.11240742171547147,0.9763198757763976,0.01862879828981524,1.0384464124923745,2.3850476041829247,0.9821022712901383
9998,13,104693,20178,650,104043,40,10427,9449,29,228210551,1507641,3.663056390432459e+17,58202,56977,1.7865106920299583,55,0.06153846153846154,0.10021817902213508,0.9027419508932837,0.5442293181014968,0.6230058363176264,5.188472593914164,0.6140448982301865
456,40,29548,24450,1,29547,0,1,0,0,1601704137,63310,2.841639645923056e+20,29113,174,1.0133025822760708,3,0.0,0.0000338443835245541,0.0,0.005888723433058075,0.005636549093401021,1.2085071574642128,0.0
13285,3,93380,20932,1810,91570,1,2283,2284,1,2035338,40163,2989424784566127.0,72170,91177,1.2087257524908,11,0.0005524861878453039,0.024931746205089002,1.0,0.976408224459199,0.6808460311522441,4.461112172749857,0.022159947534382163
19061,37,48034,32849,11,48023,1,36,34,0,774464800,167561,8.48346371990904e+19,44265,9320,1.0718956123883665,6,0.09090909090909091,0.0007496407971180476,0.918918918918919,0.1940292292959154,0.009129110768547069,1.4622667356692745,121.27020202020203
13559,3,134150,34823,9396,124754,284,5472,5364,25,11737720,848866,7086162063673863.0,108840,93902,1.2283611450513845,14,0.03022562792677735,0.04386232104782212,0.9318971507991661,0.6999776369735371,1.6564283874019259,3.8523389713694973,0.6891023366917364
852,21,43439,33220,6,43433,0,39,38,0,1519213763,230932,1.8131998643730504e+20,42846,121,1.0096056586779016,4,0.0,0.0008979347500748278,0.9743589743589743,0.002785515320334262,0.008378633778054567,1.307615894039735,0.0
9760,75,8619713,678371,241962,8377751,71836,1456270,1527964,71826,3706354836,96121024,5.918660751767687e+19,4511706,703954,2.2845842254068964,81,0.2968895942338053,0.1738258871623184,0.9999070745092291,0.0816679163215759,0.06262151171433585,12.70648804267871,1.707971114547341
20362,19,22492,10756,24,22468,0,126,48,0,126283193,109687,1.2430702420788005e+19,18507,4223,1.1997218603706743,11,0.0,0.005607975787787075,0.38095238095238093,0.18775564645207185,0.010158974829034212,2.0911119375232428,0.0
