wid,n_days,n_ord,n_slot,n_fill,n_canc,n_rf_fill,n_rf_canc,n_rf_same,n_rf_fill_same,sz_pl,sz_fl,szt,n_ep,n_modal,ep_child,ep_child_max,rf_fill,rf_canc,same_sz_share,modal_share,turnover_s,ord_per_slot,rf_ratio
29616,4,660763,32042,7019,653744,652,362194,362846,652,13819069,159948,1.5591193401180653e+17,200721,404959,2.7315849997805515,53,0.09289072517452629,0.5540303237964708,1.0,0.6128657324941015,0.0886338116936805,20.62177766681231,0.16766361187235437
9671,70,594604,17501,6053,588551,631,22097,15633,552,1025343555,4199027,1.8759020799328227e+20,182095,14047,2.912387007824515,129,0.10424582851478606,0.0375447497328184,0.6878299894403379,0.023624126309274743,0.0054658692794706965,33.975429975429975,2.7765754001993868
120,32,18130,14522,28,18102,0,124,115,0,56930318,90548,5.227671556994565e+17,16757,462,1.0847128411082265,6,0.0,0.006850071815269031,0.9274193548387096,0.025482625482625483,0.10890186458601799,1.2484506266354496,0.0
367,76,1073274,358715,3130,1070144,13,10538,4199,11,8505682136,25187017,1.3513186969553877e+20,902077,4809,1.213020051061039,35,0.004153354632587859,0.00984727289037737,0.39797175623163683,0.00448068247250935,0.0629435687907218,2.991996431707623,0.4217771436644622
3398,55,1332840,252072,10346,1322494,2656,334921,319292,1891,5409903669,43201212,1.1940107372059505e+18,660778,376882,2.90803748058922,82,0.2567175720085057,0.25324954215293227,0.9458345799624974,0.2827661234656823,4.530866851046471,5.287536894220699,1.0136941209294632
7188,80,40061,33628,28,40033,0,129,101,0,135381999,79596,4.40876520160057e+19,39511,977,1.0120958363523802,4,0.0,0.00322234156820623,0.7829457364341085,0.024387808591897358,0.0030707464065187805,1.1912989175686928,0.0
1680,81,3440332,268954,27098,3413234,13985,1336278,1213295,11762,1044163131,8418838,3.972331517759056e+19,731303,447490,4.644398404657611,133,0.5160897483209093,0.39149908854769405,0.8985619838505535,0.13007174888935139,0.026285901021399445,12.791525688407683,1.3182399740326267
30539,12,6543641,178288,283815,6259826,35917,411226,306144,21471,2884259671,49132000,3.2732749649366372e+19,2659697,1884396,2.3344294134962538,195,0.12655074608459735,0.0656928802813369,0.684666873908347,0.2879736220248024,0.08811541046493881,36.70264403661491,1.9263997185483426
2880,23,537908,125825,12282,525626,469,28728,27162,321,428226996,6276549,4.841652042997333e+18,435535,13919,1.6562301408105882,103,0.038185963198176194,0.054654830621011896,0.9303010583279104,0.02587617213352469,0.08844646252911981,4.275048678720445,0.6986749892789113
10722,67,730759,308102,161,730598,2,4667,4663,2,64984849768,8559564,7.915963544778864e+20,628518,389665,1.1483880806989468,16,0.012422360248447204,0.006387917842643971,0.9987149282501606,0.5332332547392505,0.08209341718212192,2.371808686733614,1.9446649995275402
388,63,778707,129273,898,777809,62,138644,137214,4,25187678835,14493345,1.1113722692631873e+20,483723,258851,33.56994628724253,6883,0.06904231625835189,0.17824941598772964,0.9892434357562038,0.3324112920520812,0.2266358404974313,6.023740456243763,0.3873354416101124
19657,33,33152,18830,7,33145,0,37,35,0,494795747,94046,7.1705587921324605e+19,29626,7190,1.0919812577278807,6,0.0,0.0011163071353145271,0.9459459459459459,0.21687982625482624,0.006900379194197389,1.7605947955390335,0.0
522,57,541903,122997,14015,527888,1565,104974,79774,1144,6319879147,89615421,3.773120856675487e+19,230796,247338,1.5717554939801257,125,0.11166607206564395,0.1988565756372564,0.7487774430020931,0.45642485832335306,0.16749739504947828,4.405822906249746,0.5615407572407325
1826,94,4729610,791047,34179,4695431,762,94934,43901,459,23495275034,112091969,4.840958028473942e+20,3660818,106579,1.3077870323520315,49,0.02229439129289915,0.020218378248982895,0.4587548068884802,0.022534416156934717,0.04853434980390983,5.978924134722716,1.1026795036847572
376,74,137151,103478,10,137141,0,48,48,0,7624673884,452755,1.0623150808323258e+21,134779,478,1.015095666665619,4,0.0,0.00035000473964751604,1.0,0.003485209732338809,0.007177412823722746,1.3254121649046173,0.0
32504,3,21178,1008,199,20979,5,5666,5053,3,46589999,473273,1.9205641784992685e+17,5045,790,2.98892442084867,44,0.02512562814070352,0.27007960341293674,0.8910245106683125,0.037302861460005665,0.24258496290608464,21.009920634920636,0.09303045407056462
25817,28,1315499,286379,5221,1310278,0,55542,51006,0,14691801995,72881380,3.976439501960466e+18,1027554,18176,1.2332304437901649,32,0.0,0.042389477652833976,0.9183320730258183,0.013816810199019536,3.694712817271994,4.5935595836286875,0.0
2213,67,35486,29469,2,35484,0,24,7,0,325362025,13424,2.733139832069491e+18,33712,227,1.0325915613521601,5,0.0,0.0006763611768684477,0.2916666666666667,0.006396888913937891,0.11904331464579362,1.204180664427025,0.0
1162,61,60080,46942,8,60072,0,1,1,0,878253037,106186,1.4494402345007147e+20,59037,417,1.0106040217462835,4,0.0,0.000016646690637901184,1.0,0.006940745672436751,0.006059256643324309,1.2798772953857953,0.0
25013,32,58201,39193,14596,43605,7,3163,92,4,1340659521,413689714,3.772447741171175e+19,51552,219,1.0347556457679414,17,0.00047958344751986845,0.07253755303290907,0.029022082018927444,0.0037628219446401265,0.03553818668893703,1.4849845635700252,0.006611519515998692
105,2,19580,5583,1665,17915,116,94,152,59,659427,59184,1390662159760395.0,15462,7456,1.3142342094450508,16,0.06966966966966967,0.00524699972090427,0.7238095238095238,0.3807967313585291,0.47418202571472595,3.507075049256672,13.27800140566098
766,84,79482,59466,591,78891,7,596,405,3,98072643,623941,2.715738747811834e+18,76323,6053,1.0651814524592065,23,0.011844331641285956,0.0075547274087031475,0.6716417910447762,0.07615560755894417,0.03611269422694675,1.3365957017455352,1.5678039723367287
2225,16,14850,10096,2,14848,0,1,1,0,1216575887,9040,5.064618593766326e+19,14304,69,1.0347371029809525,4,0.0,0.00006734913793103448,1.0,0.004646464646464647,0.0240210761082265,1.4708795562599049,0.0
16623,27,38271,27811,3,38268,0,144,125,0,1377017317,8684,1.2194199072885465e+20,37241,252,1.047847975267235,8,0.0,0.0037629350893697085,0.8680555555555556,0.006584620208512974,0.011292396563066456,1.3761101722340081,0.0
504,25,10060,6938,56,10004,0,50,44,0,443191283,1117764,2.9527193483314555e+18,8822,86,1.1035736983980404,8,0.0,0.004998000799680128,0.88,0.008548707753479125,0.15009597280230572,1.4499855866243874,0.0
8650,76,1613777,498270,1826,1611951,1,9235,6952,0,9584733913,10565095,2.146558300954634e+20,1446880,5811,1.122684818286604,12,0.000547645125958379,0.005729082335629309,0.7527067994802945,0.0036008692650843334,0.04465163563802298,3.2387601099805328,0.09559037449201244
21342,17,2723957,130246,2506,2721451,293,216229,131727,161,35844800047,32307443,4.854994683016788e+19,1211786,13478,2.866704274515154,112,0.1169193934557063,0.07945357090757835,0.6083769778590629,0.004947948884655668,0.7383077096333053,20.913939775501742,1.4715435960922234
28866,16,3939510,205264,15716,3923794,1191,549957,148063,143,16996477380,73036131,2.1572718542760587e+19,1946944,5135,1.8318969580298123,148,0.0757826418936116,0.1401594986892788,0.2686447197485975,0.0013034615980159969,0.7878690553677903,19.19240587730922,0.5406885912285903
22441,15,33562,15312,23860,9702,231,0,0,0,42425565,31446202,6.135753265539101e+17,27517,152,1.3471914178401405,28,0.009681475272422465,0.0,0.0,0.0045289315297062155,0.06914483546507535,2.19187565308255,inf
22301,33,16921849,445661,49381,16872468,20351,2456499,2339022,19094,201438813193,496292323,1.376234948900073e+20,3745430,8146076,4.401737489570532,150,0.41212207124197564,0.1455921564053344,0.9443535135353373,0.48139396587216915,1.463694940707586,37.97022624820211,2.8306612211622943
546,75,83402,63165,14,83388,0,65,60,0,5441142830,1056032,1.753824174925224e+21,82689,353,1.0074458416702599,3,0.0,0.00077948865544203,0.9230769230769231,0.004232512409774346,0.003102444878906968,1.3203831235652657,0.0
15995,48,27930,11011,4478,23452,345,9578,2524,249,73626445,15437124,7.066859354193228e+16,12313,1249,2.177506930646502,97,0.0770433229120143,0.4084086645062255,0.2543585609190769,0.04471894020766201,1.0418552472862308,2.536554354736173,0.18864272383927325
1722,67,504500,229022,6170,498330,495,16589,10405,265,998672250,12948392,8.898219055088858e+17,429057,10693,1.2212756856297826,55,0.08022690437601297,0.03328918588084201,0.6090494029501288,0.02119524281466799,1.1223282364900458,2.202845141514789,2.409998990758849
25582,31,667208,267327,155,667053,0,3730,1152,0,73040317649,7118235,1.8635074912583308e+21,633926,580,1.0539411505297391,10,0.0,0.005591759575326098,0.3088471849865952,0.0008692941331638709,0.03919507594771172,2.495849652298496,0.0
141,62,128831,64108,5305,123526,1100,923,809,62,403815222,11048813,2.725739265165763e+18,116533,13735,1.083832519201119,13,0.20735155513666353,0.0074721111344980004,0.3999011369253584,0.10661253890756107,0.14814888098823434,2.009593186497785,27.75006305505038
23349,25,69832,3106,614,69218,0,30835,30429,0,205359019,3063794,5.307130487767756e+19,20584,11110,4.20513685813912,13896,0.0,0.4454766101303129,0.9868331441543701,0.15909611639363042,0.0038694925529591884,22.48293625241468,0.0
21896,20,21259,18760,1,21258,0,4,4,0,287407012,11513,3.590504354509032e+19,21098,111,1.0080486123491381,3,0.0,0.00018816445573431178,1.0,0.005221318030010819,0.008004641789086487,1.1332089552238807,0.0
7242,31,36741,23298,8,36733,0,612,44,0,83234816,35610,2.504844941660747e+18,31975,1088,1.1897555905844017,114,0.0,0.016660768246535812,0.0718954248366013,0.02961269426526224,0.033229528349493026,1.577002317795519,0.0
662,64,592593,307987,91,592502,0,3523,2542,0,14255291290,1147252,4.9730348178504896e+20,545882,1381,1.0892359623157686,15,0.0,0.005945971490391593,0.7215441385183082,0.0023304358978253202,0.02866517491257302,1.924084458110245,0.0
671,23,1053535,168664,6664,1046871,209,177800,33751,23,10223927085,29338760,6.340782264509535e+19,630553,4619,1.5484626959636132,209,0.031362545018007205,0.16983945490896205,0.18960277289350538,0.004384287185523025,0.16124078478810264,6.2463536972916565,0.18465994862511934
10749,6,86399,7506,3932,82467,24,10331,10211,24,20462537,1083799,2.184096642838243e+17,42891,21894,1.8860199237546045,135,0.006103763987792472,0.12527435216510846,0.9860936745533558,0.2534057107142444,0.09368878921680336,11.510658140154543,0.04872317343735184
8001,18,29113,8521,3562,25551,0,533,533,0,4056949,490762,2.714582328869083e+16,10494,8760,2.123963093942849,494,0.0,0.020860240303706312,1.0,0.3008965067152131,0.14945021032720554,3.416617767867621,0.0
25305,31,77340,45901,15194,62146,19,2933,165,11,304655315,87157183,1.1790604511742165e+19,69084,366,1.042264686589859,18,0.0012504936159010137,0.04719531425996846,0.05589430894308943,0.004732350659425911,0.025838820621673492,1.6849306115335179,0.026496139193243912
799,63,17248,16525,2,17246,0,0,0,0,127421020,13017,1.0680999497911339e+20,17238,202,1.0004601789792513,2,0.0,0.0,,0.011711502782931354,0.0011929690664709523,1.0437518910741301,NaN
6977,7,91682,27605,619,91063,0,1121,186,0,12041176,96369,8.912736152027413e+16,81873,35212,1.1244708105284915,107,0.0,0.012310158900980639,0.16592328278322926,0.3840666652123645,0.13510077931860406,3.3212099257380907,0.0
24936,25,70027,18343,3132,66895,131,18335,5375,4,75453516,3562039,5.092268444274022e+16,32614,3083,1.986614593976028,122,0.041826309067688375,0.2740862545780701,0.2910754900898949,0.044025875733645595,1.4817269911377777,3.8176416071525923,0.15260272402961625
1323,86,4098029,322083,8845,4089184,878,821914,326887,146,191838047493,293335735,5.234379227978451e+20,1608475,710977,2.688424738275218,126,0.09926512153759186,0.20099706934195183,0.39728995906620385,0.17349242770121928,0.36649627231363024,12.723518471946672,0.4938635267796583
15888,21,121475,31367,588,120887,17,1801,1500,16,112196547,553523,1.4781076352002455e+18,97782,7098,1.201590363161027,21,0.02891156462585034,0.01489821072571906,0.8250825082508251,0.058431776085614326,0.07590553240380242,3.8727006089202027,1.940606503567557
6828,5,658392,35355,10442,647950,4355,50683,42668,3135,1647281958,22659491,4.376437649955117e+17,135003,11998,4.450857836293766,65,0.41706569622677647,0.07822054170846517,0.7752461935390094,0.018223186186952452,3.7639790390179417,18.622316504030547,5.33192032575301
11020,15,51119,28002,47,51072,2,506,500,2,1459326959,235348,1.632281293438263e+20,44049,19403,1.1033530583716784,10,0.0425531914893617,0.009907581453634086,0.984251968503937,0.3795653279602496,0.008940413425470623,1.8255481751303477,4.295013035068539
8531,72,1656142,367802,139075,1517067,25996,111624,48966,2554,17439431554,442608233,2.2891348097024975e+19,1038622,9224,1.8520499057668198,137,0.18692072622685602,0.07357882018394706,0.3558058421741026,0.005569570725215592,0.761835060132019,4.502808576353582,2.540414833501736
26493,10,12792,5966,3930,8862,466,597,437,79,8204339,1524443,1.288331250015973e+17,8911,1480,1.5442923191784328,19,0.11857506361323156,0.06736628300609343,0.41110065851364064,0.11569731081926204,0.06368190634123236,2.1441501843781428,1.7601544618768141
2121,80,16305,12827,226,16079,0,169,28,0,6310272,82964,4.021097516936664e+17,15550,780,1.035594836641108,18,0.0,0.010510603893276946,0.16568047337278108,0.04783808647654094,0.015692909643253976,1.271146799719342,0.0
25040,32,54287,31500,14340,39947,46,3747,101,12,146049517,44643817,3.0257984510692255e+18,46836,328,1.052367565039466,13,0.003207810320781032,0.09379928405136806,0.026627998945425783,0.00604196216405401,0.0482680916663139,1.7233968253968255,0.034198665301371736
10106,35,12505,1574,1862,10643,249,1181,1422,242,256215,95607,6880628388569457.0,5056,11128,1.0743094497806895,20,0.13372717508055854,0.11096495349055717,0.9944055944055944,0.8898840463814475,0.037237151249970256,7.944726810673443,1.2051298258953298
12616,8,18242,10912,171,18071,0,126,109,0,987796,126625,3.3152463478809536e+16,16370,7328,1.0612227528386984,6,0.0,0.006972497371479165,0.8650793650793651,0.4017103387786427,0.029795553522934472,1.6717375366568914,0.0
2109,2,691021,5509,19,691002,4,386832,384700,4,5206336086,178587,1.1025583611267552e+18,41775,14225,18.277342319890163,885,0.21052631578947367,0.559813140917103,0.994478280201429,0.020585481483196603,4.7220503417881705,125.43492466872391,0.37606533395158076
2371,27,30998,14514,5526,25472,423,620,751,399,73005362,10593393,2.6903077162738877e+17,24807,11551,1.1519086594866277,12,0.07654723127035831,0.024340452261306534,0.7200383509108341,0.3726369443189883,0.2713643556771766,2.1357310183271325,3.144856572449301
11434,66,683063,153209,51728,631335,10369,85743,80608,8260,568994726,52423593,2.851580688075992e+18,396001,44947,1.9166457402682597,209,0.200452366223322,0.1358122074651334,0.8386881971033794,0.06580212952538785,0.19953660381390434,4.458373855321815,1.475952493260103
27163,17,59472,46741,1412,58060,0,11,11,0,18833549,448568,3.022805795350659e+17,58776,31106,1.0091948971757205,8,0.0,0.00018945918015845676,1.0,0.5230360505784235,0.06230485937590715,1.272373291114867,0.0
30962,2,11289,6530,1297,9992,12,119,81,11,1668188,179970,8868084390241017.0,10340,1403,1.0895470341971696,4,0.009252120277563608,0.011909527622097679,0.6183206106870229,0.12428027283196032,0.18811142593949332,1.7287901990811638,0.7768671076757611
23921,33,808762,56413,18203,790559,744,245662,243998,721,183586370,4250090,1.0994209680879378e+18,200472,117654,4.340235397986906,138,0.04087238367302093,0.31074467560295943,0.9902275106937332,0.1454741938914044,0.1669845994653758,14.336447272791732,0.13153043923830202
13557,6,524383,15686,4628,519755,1855,140095,105404,1408,10932541520,140542057,6.001178204494286e+19,89135,317674,4.18503439155847,150,0.40082108902333624,0.26954045656126446,0.7425431489961254,0.6058052987987788,0.1821732524425389,33.43000127502231,1.4870535359957466
10812,11,17336,10680,0,17336,0,0,0,0,204010736,0,1.5835454611873577e+19,16834,88,1.0302943417935366,3,,0.0,,0.005076142131979695,0.0128831625614986,1.6232209737827716,
55,28,46251,26347,2354,43897,480,4812,4865,346,46019996,2731637,2.8699618836621652e+16,31349,3931,1.5715664612023974,39,0.20390824129141885,0.10962024739731645,0.9193121693121693,0.08499275691336404,1.60350547726707,1.7554560291494288,1.8601330149562372
11711,63,63652,42381,69,63583,6,201,33,4,549562375,658376,5.957569549738495e+19,58517,18372,1.0824350495059047,6,0.08695652173913043,0.003161222339304531,0.15942028985507245,0.288631936152831,0.009224606954426957,1.5018994360680493,27.507246376811594
43,31,23787,16915,9290,14497,107,0,11,11,40512149,13024080,7.018793214484675e+19,21028,264,1.1788664463906242,11,0.011517761033369215,0.0,0.102803738317757,0.011098499180224493,0.0005771953633908907,1.4062666272539166,inf
7260,15,374767,80261,318,374449,10,17947,17454,10,409074268,388422,2.1885181856711729e+18,285178,21927,1.3758327122406404,26,0.031446540880503145,0.047929090476940786,0.9719886395277607,0.05850835319011546,0.18691837731955854,4.669353733444637,0.6561055210432675
719,46,33280,20748,4632,28648,393,581,974,393,112084000,15093800,4.10315242791262e+17,27782,28057,1.177763191049671,60,0.08484455958549222,0.020280647863725215,1.0,0.8430588942307692,0.2731655768806523,1.6040100250626566,4.18352313770255
576,41,11214855,495629,42160,11172695,5677,1059850,701045,3878,364621746285,1373784231,1.6072333985041935e+21,5081063,3297763,1.9706725590249354,139,0.1346537001897533,0.09486072966280741,0.6579326474129703,0.2940531108070501,0.22686297249941614,22.62751977789839,1.4194883453710958
14325,60,2854721,443196,62045,2792676,2030,216908,172522,703,585821691,13605629,2.018011327997346e+18,1947436,56982,1.5719261249903234,66,0.03271818841163671,0.07767030618661099,0.7879947747764208,0.019960619619220233,0.2902965324686078,6.441215624689754,0.4212444886341489
457,44,16183,10805,910,15273,0,132,132,0,24224205,1653705,2.8401449537914778e+17,14406,1233,1.0889790982724123,11,0.0,0.008642702808878413,1.0,0.07619106469752208,0.0852921431621357,1.4977325312355392,0.0
6331,67,151027,63075,281,150746,10,1934,1868,8,1446484720,2848448,5.0732259612566364e+19,115939,64334,1.2663959051020781,15,0.03558718861209965,0.012829527815000066,0.9609053497942387,0.4259768120932019,0.02851212879234155,2.394403487911217,2.77385022467403
5426,45,62392,29536,95,62297,1,1874,1866,1,369222935,487256,9.27924424846578e+17,49266,47672,1.262808071586471,22,0.010526315789473684,0.030081705379071223,0.9952,0.7640723169637132,0.3979019466602001,2.1124052004333693,0.34992417008369375
5042,30,20932,16898,197,20735,0,131,41,0,85341485,82764,1.471295488696084e+19,19671,2687,1.172081167766896,40,0.0,0.006317820110923559,0.31297709923664124,0.1283680489203134,0.0058004313651252165,1.2387264765060955,0.0
5301,88,816064,302303,82358,733706,5576,13978,16225,4828,197075277,20489684,2.231708030403354e+19,660610,69358,1.1907675829646769,39,0.06770441244323563,0.019051227603426986,0.8297535031195663,0.08499088306799467,0.008830692649538974,2.6994902465407224,3.553808387185337
6733,7,44514,122,110,44404,0,2692,2692,0,14117759,6606780,1.8894949762387087e+18,122,44443,6338.269672628777,36829,0.0,0.06062516890370237,1.0,0.9984049961809768,0.0074717102599040925,364.8688524590164,0.0
7638,55,31553,25830,0,31553,0,18,4,0,277658826,0,1.968992252177493e+18,29818,200,1.0425629950770758,7,,0.0005704687351440434,0.2222222222222222,0.006338541501600482,0.1410157026737608,1.221564072783585,
6465,81,70809,46842,170,70639,2,767,696,1,747615302,1708985,8.62679065663126e+19,63560,23388,1.0966927217250708,9,0.011764705882352941,0.01085802460397231,0.9050715214564369,0.3302969961445579,0.008666204290297939,1.5116562059690022,1.0835033361454098
13292,55,203055,4896,145,202910,13,47469,47071,11,23112400720,10658318,1.1398619394880673e+21,61425,74929,2.7250166774518036,1514,0.0896551724137931,0.23394115617761568,0.9913440882860873,0.36900839673979957,0.020276491318220694,41.473651960784316,0.3832381350877996
6852,2,22214,7132,343,21871,4,1258,1262,4,4662311,98308,1.577259652429512e+16,17676,5415,1.2331135159546878,10,0.011661807580174927,0.057519089204883175,1.0,0.24376519312145495,0.2955956549588058,3.1146943353897925,0.20274673575994104
8951,37,10075,4977,7981,2094,623,78,240,165,348181,267176,7.470592411093947e+16,6791,4447,2.1285804305497282,36,0.07806039343440671,0.03724928366762178,0.34236804564907275,0.4413895781637717,0.004660687946018119,2.0243118344384166,2.09562133143138
320,60,257790,80615,7498,250292,782,29973,17927,567,485778567,10890061,6.613547123114185e+17,152770,7857,1.7372448876800068,104,0.10429447852760736,0.11975212951272914,0.5828970899040806,0.030478296287676017,0.7345204592286275,3.19779197419835,0.8709196149745404
27693,2,10261,3848,175,10086,0,14,14,0,586200,10829,891364690183450.0,6715,10201,1.371506384974524,14,0.0,0.001388062661114416,1.0,0.994152616704025,0.6576432816509203,2.6665800415800414,0.0
25207,28,13563892,345038,146731,13417161,34269,1502892,835473,23386,18570007690,216120976,3.0400906353026142e+19,4741817,412142,2.719342501800973,140,0.23354982927942972,0.11201266795561296,0.5435169120215775,0.030385231613463157,0.6108373044658096,39.31129904532254,2.0850305018355426
8454,59,16723899,681158,18542,16705357,1841,1415696,480480,378,766510554781,255268925,5.352580907406353e+21,8095590,165988,1.892827210730159,113,0.09928810268579441,0.08474503118969562,0.33895411548340537,0.009925197467408766,0.14320391751956166,24.552158236415046,1.1716097249825206
24022,7,10252,9268,0,10252,0,0,0,0,171477705,0,1.306917227963455e+19,10189,45,1.006200651821014,3,,0.0,,0.004389387436597737,0.013120777760900017,1.10617177384549,
838,97,84171,71401,3,84168,0,1,0,0,3924780207,119389,7.53187394050142e+20,83097,475,1.0107269378231967,6,0.0,0.000011880999904952,0.0,0.005643273811645341,0.005210894709608902,1.178849035727791,0.0
10654,65,29952,26173,15,29937,0,2,0,0,376033613,264668,1.0784754475764204e+20,29682,316,1.0083759085003023,3,0.0,0.00006680696128536593,0.0,0.010550213675213676,0.0034867146381962894,1.1443854353723302,0.0
16817,27,74971,22562,562,74409,0,1732,1062,0,3163738,14973,1.0014542864795683e+17,66182,19979,1.101211503539014,8,0.0,0.023276754156083268,0.6131639722863741,0.2664897093542837,0.03159143700030033,3.322888041840262,0.0
427,86,86994,62748,749,86245,12,1056,240,3,103730387,603297,2.463017155385943e+18,82218,2203,1.0831740797736231,36,0.01602136181575434,0.012244188068873557,0.2247191011235955,0.025323585534634572,0.04211517031993467,1.3864027538726333,1.3084870736739898
14599,31,163946,74267,2632,161314,47,14992,15007,39,2401394136,42438793,3.2706042987146317e+18,125529,118150,1.4884118924161867,33,0.017857142857142856,0.09293675688408942,0.9978721989493983,0.7206641211130494,0.734235608062939,2.2075215102266146,0.19214295243177312
826,84,34233,21760,371,33862,1,200,34,0,41201622,159095,8.414655594091805e+17,32743,1408,1.0190368627834065,8,0.0026954177897574125,0.005906325674797709,0.1691542288557214,0.041129903893903544,0.04896412163194053,1.5732077205882353,0.4563611859838275
32156,7,2162849,67311,9052,2153797,389,211707,74761,54,6656344611,24901398,1.8873860997297107e+19,1118342,3560,1.7717185331740162,149,0.04297392841361025,0.09829477894156227,0.35248660983705493,0.0016459771347884203,0.3526753011454966,32.13217750441978,0.4371944153733628
570,98,91228,71312,2,91226,0,71,14,0,347434652,8940,6.345819664318974e+19,90014,1237,1.0136116908068353,3,0.0,0.0007782868918948545,0.19718309859154928,0.013559433507256543,0.005475016158330844,1.2792797846084811,0.0
844,92,114110,66605,789,113321,1,685,174,0,134985196,343643,2.076686838870383e+18,109331,6454,1.0287090345048433,23,0.0012674271229404308,0.006044775460858976,0.2536443148688047,0.05655946017001139,0.065000265554447,1.7132347421364762,0.20967315182296725
21453,40,2329781,376422,63345,2266436,10562,79971,2854,1094,11351519107,271341882,4.467501138865518e+18,1546204,54939,1.4106441059054844,81,0.1667377062120136,0.035284914288336404,0.03152441651110645,0.02358118638618823,2.5409101764398465,6.189279585146458,4.7254672308253145
752,66,32902,27499,0,32902,0,23,16,0,416315575,0,2.9543805324857047e+18,31269,207,1.0345832786976572,6,,0.000699045650720321,0.6956521739130435,0.006291410856482889,0.1409146758253676,1.1964798719953453,
13849,8,42321,13746,392,41929,66,687,753,66,930227000,8514018,7.433780786313655e+18,33045,33822,1.4172332452280623,15,0.1683673469387755,0.016384841040807077,1.0,0.7991777131920323,0.125135113173184,3.078786556089044,10.27579983958649
332,98,17256935,906509,16762,17240173,509,1526322,652721,103,564137476991,822730404,6.747308554934055e+21,4297863,3901424,3.405033427046933,705,0.030366304736904905,0.08853287029080277,0.427500489576122,0.22607861708930352,0.08360926025510829,19.036694616379982,0.34299469380311626
7037,67,244228,51196,318,243910,31,9953,7510,15,3092810431,10199640,4.811007741690356e+19,153402,4020,1.4626608897713962,87,0.09748427672955975,0.0408060350129146,0.7522035256410257,0.01646002915308646,0.06428612459295972,4.770450816470037,2.3889671392652385
341,10,618422,78168,1879,616543,56,20197,155,3,1580073800,4162638,1.1775464612536132e+19,442686,2534,1.3545566501403565,26,0.029803086748270355,0.03275846129142655,0.007653187182145855,0.004097525637833065,0.13418356319612706,7.911447139494422,0.9097828644372357
868,26,75517,59461,1481,74036,1,712,662,1,8162167,98339,3.1449755099089623e+18,72005,11645,1.0595886941754344,4,0.0006752194463200541,0.009616943108757901,0.9284712482468443,0.15420368923553637,0.002595303834412456,1.270025731151511,0.07021144231425776
13992,15,21919,10415,413,21506,8,37,45,8,2669732,51383,7.043262106520959e+16,20602,8025,1.0446433044511578,6,0.01937046004842615,0.0017204501069468985,1.0,0.36612071718600303,0.03790476571258431,2.104560729716755,11.258949021660888
621,82,295595,80341,8240,287355,42,429,129,32,718314570,32538600,3.8962099359082516e+18,246430,65193,1.1552418467564272,12,0.005097087378640777,0.0014929268674635904,0.27388535031847133,0.22054838545983524,0.18436238853042003,3.679254676939545,3.41415744449725
8094,72,7412757,135673,20419,7392338,5351,1788204,1578206,4117,163474492951,134471760,2.803914254458926e+21,1542534,4370204,4.8825796143679305,1007,0.2620598462216563,0.24189965339788305,0.8799317556473039,0.5895517686604322,0.05830224397591138,54.636935867858746,1.0833411397684527
4030,27,694143,177066,3463,690680,169,19614,11617,69,380890576,2434484,1.5641683998780042e+18,591843,255658,1.1549319062236514,76,0.04880161709500433,0.02839810042277176,0.5872213516655714,0.3683073948739669,0.24350995457375763,3.920250076242757,1.7184817423869476
10967,1,10158,690,161,9997,0,1118,1112,0,2358747,39239,2.075095259977792e+16,3983,1646,2.5503389404971126,17,0.0,0.11183355006501951,0.9946332737030411,0.16203977160858438,0.11366933583691206,14.721739130434782,0.0
6114,25,18007,15601,0,18007,0,2,2,0,187101395,0,3.214319402719971e+19,17854,136,1.010062243428526,3,,0.0001110679180318765,1.0,0.007552618426167602,0.0058208712812321635,1.1542208832767131,
25112,30,60908,38661,13874,47034,3,5241,108,0,578011622,150966917,1.123522259667755e+19,51795,329,1.0619253734017806,20,0.0002162318004901254,0.1114300293404771,0.020594965675057208,0.005401589282196099,0.05144638809122731,1.5754377796746075,0.0019405164098936383
20908,41,11194,5783,7872,3322,0,2,2,0,1494091,847293,9.4167427329602e+17,10088,3933,1.074918672555851,9,0.0,0.0006020469596628537,1.0,0.35134893693049846,0.0015866324931766772,1.935673525851634,0.0
7040,78,90588,57817,119,90469,2,873,781,1,946513497,1150482,9.076606478373711e+19,80551,25818,1.113214329279696,11,0.01680672268907563,0.009649714266765412,0.8925714285714286,0.2850046363756789,0.010428054793993781,1.5668056108065103,1.7416808647857767
22495,14,831168,95000,23715,807453,2853,129160,130283,2767,429112549,13079060,1.0007743658641701e+18,556229,78214,1.4808620859325887,81,0.12030360531309298,0.1599597747484993,0.9868952300152257,0.09410131285131285,0.4287805160051843,8.749136842105264,0.7520866136642371
28652,17,73248,25506,111,73137,0,4113,3998,0,105915877,126578,3.676361184322701e+17,57314,10405,1.3129759188929968,91,0.0,0.05623692522252759,0.9720398735716023,0.14205166011358672,0.28809975867350196,2.871794871794872,0.0
749,11,12410,10574,1,12409,0,0,0,0,117435230,9559,1.3994611472821768e+19,12345,96,1.0025005600649872,2,0.0,0.0,,0.007735697018533441,0.00839146054380038,1.1736334405144695,NaN
591,96,111453,73856,869,110584,0,624,146,0,162705819,788807,3.073391046332561e+18,104841,3239,1.0468893673615651,22,0.0,0.005642769297547565,0.23397435897435898,0.029061577525952644,0.05294016171295703,1.5090581672443675,0.0
