sym,quotes,fills,fill_rate,imp_bp,mk300_bp,fee_usd,net_usd,net_bp,label
MSFT,10267,9,0.0008765949157494887,-2.6368914063834827,5.970727011644184,0.0,-0.01966684048068796,-0.30344872397492595,main_Std_mk0
MU,11033,154,0.013958125623130608,-0.8090142412026545,-1.4804032645009015,0.0,-5.013458177619858,-3.6300545439560343,main_Std_mk0
NVDA,11564,88,0.007609823590453131,-0.5732071100989892,3.8289418721331585,0.0,2.0407944302245924,2.7884978458160297,main_Std_mk0
SAMSUNGUSD,14987,67,0.004470541135650897,0.33095573513532195,-6.76422868679788,0.0,-4.633175828032752,-7.877234331692602,main_Std_mk0
SKHYNIXUSD,11351,153,0.013478988635362524,-1.2137355294710226,-4.761418167301525,0.0,-8.924761291609299,-7.040221659097784,main_Std_mk0
SNDK,11825,287,0.02427061310782241,-1.2070572451971846,-3.5135554583660835,0.0,-6.280920303352067,-2.639555356232149,main_Std_mk0
TSLA,5351,62,0.011586619323490937,-0.6218948285988213,1.176136611735749,0.0,1.086839051178738,3.0300791299083283,main_Std_mk0
XAG,14372,139,0.009671583634845533,-0.7880664638101506,-2.052857909623435,0.0,-3.2927875113656992,-2.7389087738800675,main_Std_mk0
XAU,9412,230,0.024436889077773055,-0.3002091131911374,-1.5898904802696052,0.0,-4.582545782122659,-2.2016808428110592,main_Std_mk0
AAPL,22550,104,0.004611973392461197,-0.27158251704952463,-0.7135559856039773,0.0,-1.1205454422593069,-1.5099652120752072,pl_cadence
AMZN,22677,62,0.0027340477135423557,-0.7876295928843738,0.9610266825008896,0.0,0.8780346464127534,2.5510972928889233,pl_cadence
DRAM,28188,137,0.004860224208883213,-1.0688708681488106,-3.049927377920518,0.0,-2.10122849140045,-2.200388285825428,pl_cadence
MSFT,23223,45,0.0019377341428755974,0.5235918838412333,2.527324450680422,0.0,-0.36067736937037875,-2.2355951955101467,pl_cadence
MU,27114,265,0.009773548720218338,-0.4116133851006389,-4.88401299893061,0.0,-12.766514674807294,-6.141655531698627,pl_cadence
NVDA,22167,205,0.009247981233364911,-0.22722991233342024,0.9637469087064174,0.0,3.5989392928173505,2.3354611172938173,pl_cadence
SAMSUNGUSD,28491,110,0.003860868344389456,-1.0271455860926748,-5.765393231931452,0.0,-10.505479478964393,-11.894051457788482,pl_cadence
