cov,bin_lab,n,p_tau0,fill_final,cancel_final,median_life_s,S_1s,S_60s,h_fill_1s,fill_h0,median_h0,fill_h1,median_h1
near_size,100+,787727,0.1258799050940237,0.008840626257574008,0.9911593737424262,0.659372990250548,0.4157988744831649,0.0033781491499613545,0.0029327814007144445,0.007428582487123698,0.5873792393659774,0.010039529031773454,0.7192188780141003
near_wallet,初回,6308,0.45212428662016485,0.8378249841471148,0.16217501585288527,0.5913057204993994,0.45688015218769823,0.09232096044552043,0.14580152188869427,0.8190085068935171,0.810432978587178,0.8599517074853398,0.23405513938910336
near_wallet,1-9,21441,0.4189636677393778,0.7882678046732897,0.21167389580709867,0.7903395006096662,0.474931206566858,0.08451881447854534,0.14302995307733887,0.7672832585949179,1.054767889009533,0.809060433932396,0.6131326264160618
near_wallet,10-99,65541,0.34080956958239883,0.6562096569355135,0.34379034306448636,0.9262683291867103,0.4881829694389771,0.05353221229871946,0.12935110373764874,0.6104322561588725,1.2697855088983179,0.6987428245385857,0.735047045813406
near_wallet,100-999,235564,0.194291148053183,0.40309426090141215,0.5968942050951974,1.1357243344928525,0.5242609227216382,0.025841965118141543,0.09044745381266427,0.321472594565587,1.3362757645904821,0.4869640809297633,0.9715642896673897
near_wallet,1k-1万,1105852,0.13110976875748293,0.20500221343704791,0.7949899825062305,0.8044160152694598,0.4334621631104343,0.012402713248368889,0.058924544168511006,0.1553880588741128,0.868555937717084,0.2584028989589199,0.7568644812610307
near_wallet,1万-10万,5800554,0.09983960152771615,0.08615671325813198,0.9138418068701117,0.6171497671654173,0.360379452535838,0.010927322217145555,0.038115989127414235,0.07771243069590827,0.6964192595670189,0.09484873639975745,0.5622925115700791
near_wallet,10万+,182367769,0.13432824305702834,0.016442938564285497,0.9835569241498205,0.37296641142735204,0.24521482707123676,0.006657487313850532,0.009749847802094876,0.019552557712396817,0.4770971525390392,0.01545172602894922,0.3430756273458577
near_vol,-7.5bp,5008616,0.05498285354676821,0.03743650476227774,0.9625633880535622,1.1994175052639742,0.5278360329480237,0.035643533728699675,0.009094862330576594,0.038867661029582744,1.460951162956235,0.036507007637024934,1.0614029225250665
near_vol,7.5-13,11057667,0.07448361394858427,0.02910237168651607,0.9708976283134838,0.9538417415470443,0.49025300237659764,0.022805813027057104,0.009681972824173806,0.028016924991192585,1.2524739802052576,0.02996902398633107,0.8025430337803927
near_vol,13-20,26319673,0.09926639286133988,0.02178277899115917,0.9782171703906342,0.510031159179421,0.34627189327162233,0.009797216581506023,0.010774470950762385,0.025066951721323786,0.739682257919988,0.0202494861276598,0.44824075769844585
near_vol,20-32,61810733,0.12502173368498962,0.017572893268570467,0.9824271067314297,0.38665277431896555,0.2489540809605432,0.005296405860622568,0.011337657589878532,0.021846086746839896,0.4953740754074633,0.016298514651140777,0.3576479163385678
near_vol,32-54,58524825,0.14968304475921115,0.017581766679233397,0.98241803533687,0.32583138099525666,0.19246354004475877,0.003727477906283539,0.012383597961863614,0.02386536713955769,0.3833143179001483,0.015970317242127496,0.3106891231428681
near_vol,54-85,21493876,0.18477370019255718,0.022751765751460533,0.9772467683990257,0.2605052197039547,0.1389522890156772,0.002640829968314265,0.016082066733503774,0.032460546044674195,0.3095197790104459,0.01966658495221457,0.24752526953331297
near_vol,85bp+,5384290,0.2097366598010137,0.03678223611078672,0.9632165943037536,0.23331819323365174,0.11879337851415882,0.002286121741909639,0.025055256654134092,0.05146461260653285,0.2797946417621058,0.032685140798208626,0.2217365169795821
near_ofi,逆 2以上,26711046,0.1353334122519949,0.013493094739057337,0.9865065997821525,0.3151765160696299,0.18953869770311726,0.006411817030478737,0.009554572956414552,0.020471352527775044,0.3962550777153287,0.011344613098514037,0.28976065992878286
near_ofi,逆 1-2,21438308,0.13633972419838356,0.013045268287588951,0.9869542628333183,0.3124859751815636,0.1813792332775447,0.0056529013374403275,0.009866701175226193,0.019451169178214704,0.39620458028642574,0.011453589628800116,0.2922181107402047
near_ofi,逆 0.3-1,34821675,0.1303503062388584,0.014879249742299667,0.9851205910115748,0.3477830207225237,0.20821805241308416,0.0063192911283046225,0.01020070338458093,0.02081253906928388,0.4298766572724976,0.013227075679784319,0.32591032960921
