cov,bin_lab,n,p_tau0,fill_final,cancel_final,median_life_s,S_1s,S_60s,h_fill_1s,fill_h0,median_h0,fill_h1,median_h1
vol,20-32,170822831,0.09329220752699034,0.0081008961618327,0.9918901478142389,0.6231187024638699,0.40838150210002344,0.019748488525634166,0.003283725588062155,0.010243132936952701,0.719189117725286,0.007437193443696194,0.5985617154053895
vol,32-54,170098687,0.11440877847575626,0.007968422908332043,0.9920192859984628,0.4895785028623872,0.34321187053465696,0.012342876856727216,0.003429342179026582,0.010258872253803595,0.527757025641262,0.007282356646019303,0.4778298838548607
vol,54-85,70473886,0.14690430154511416,0.00966121326721373,0.990325581556421,0.3865651013468892,0.27534955433899294,0.007254546367086947,0.004257840225965413,0.013327879843506498,0.4479003337223835,0.00832012123498646,0.3640445319358074
vol,85bp+,19597255,0.16102290856551082,0.014252110576794605,0.9857169219013614,0.35522780893640027,0.25157232479752906,0.005870654377345868,0.006257890050300875,0.01871045644095221,0.42379572151199457,0.012691682898168351,0.3317104192909761
ofi,逆 2以上,64365315,0.11116605271022134,0.007433083580915331,0.9925605531826899,0.4390884886369265,0.31916206045297874,0.015796256424657616,0.0033320906822171684,0.010441127821088973,0.5038346566175678,0.00635287133372673,0.4155433624148394
ofi,逆 1-2,52247559,0.11235906733939474,0.007102509821588612,0.9928886754682738,0.43942681885041096,0.31905352349970517,0.015370808903493039,0.0032617629760810438,0.009778550958233717,0.5007726317489152,0.006337464038550496,0.42171728459395896
ofi,逆 0.3-1,85077207,0.10586756803147052,0.007855468515198395,0.9921328637047517,0.4854953595436879,0.3448336481245679,0.017652813322861387,0.0034319958096281173,0.010328947293515385,0.5235777226269418,0.007063376710858833,0.4726064967814108
ofi,逆 0-0.3,89482848,0.09362511573167631,0.010047018541163157,0.9899386990536986,0.6381100232102129,0.4095675291735755,0.024826142864332112,0.0039053895010931557,0.012504101863932452,0.6782773401468901,0.00900336500029164,0.6242904726459517
ofi,流量なし,12372448,0.08259763952938012,0.010243758330756119,0.9897250234162719,1.3780573901385658,0.5478454740950589,0.06636091853053454,0.0022226133715150657,0.010296969912725417,1.1504966181310459,0.010202793812730124,1.704557742329189
ofi,順 0-0.3,82477653,0.09602135502085637,0.011039760928841397,0.988949684978984,0.7435811837252033,0.4413951769864419,0.026722320481095175,0.004038285328832799,0.012834195867962996,0.8959088124162327,0.010308861029843547,0.6950879200482365
ofi,順 0.3-1,71929524,0.10737358695714433,0.009886069455334717,0.9901026583298024,0.6490073384136377,0.41533804167677574,0.02160545990025718,0.0035037065385291324,0.011930716902913249,0.7776883950987107,0.009248793400558852,0.6151662796417441
ofi,順 1-2,41828340,0.11336218458585734,0.009252062204593958,0.990735015035305,0.6337380406521913,0.4120023530361635,0.020087339557017258,0.003125887862378308,0.011517795841831267,0.7729405591845594,0.008597414003662542,0.5992193926245266
ofi,順 2以上,50138529,0.1125891028833335,0.009604655107925079,0.9903888689108455,0.6776836734731004,0.4253741243149515,0.021148381000372887,0.0031298048390279044,0.01255216769105648,0.7799401741133054,0.00849207642190646,0.6435787030686991
near_queue,先頭 0,60216110,0.2063624501815212,0.03932521701404807,0.9606742441535906,0.3226307490926457,0.19224758168661657,0.005697569247939275,0.023390608535414678,0.05066924122626924,0.42738802421826905,0.03487428716633575,0.27128709537571133
near_queue,0-1,13072220,0.13806836176257745,0.029576850350532237,0.9704229494044283,0.4387341431892544,0.28277555503615986,0.008128974226962288,0.017742074500812992,0.028753704412600903,0.5468604657835316,0.029940287668645954,0.3858455736553523
near_queue,1-3,15602292,0.11080763005845551,0.01856944598549872,0.9814305198024211,0.43397714286863004,0.2777250014180885,0.007496003205052184,0.01233276902660209,0.019174026451668044,0.5156543757660066,0.018344411055268916,0.4018223563620896
near_queue,3-10,22902173,0.1027266713948934,0.013167965732975207,0.9868319583220004,0.39581209338161427,0.25850059160079736,0.007667006060401201,0.009448862455585898,0.012230352969682706,0.46787110205820454,0.01353818698601542,0.37167839879532005
near_queue,10-30,35781139,0.09865750780040848,0.008313386375529157,0.9916865485927047,0.39470881023077553,0.2667051881429752,0.00775488243618179,0.005842993168697011,0.008119311667636145,0.5168608125516798,0.008376118490863428,0.36656069630672794
near_queue,30-100,32088495,0.08598810882218066,0.005983450253022689,0.9940163976692908,0.4170585956389734,0.2913077290253505,0.006914399558060464,0.0038381745051511394,0.005858640477001329,0.6898456632006958,0.006009651077822417,0.38591346445424757
near_queue,100-300,9305565,0.06853479611393827,0.004658622223530102,0.9953413191403787,0.42647988573089074,0.30737725221413204,0.006159405710352332,0.0027009176550491726,0.005071775522316663,0.7615286247916816,0.004569219069350982,0.3851713702445914
near_queue,300+,635035,0.09670648074515578,0.010254755686609263,0.9897452443133911,0.42898453893915567,0.2839922209012103,0.0073055516861267045,0.005787395709919718,0.008330897245313874,0.613843283834442,0.010781088662158522,0.3923584928063284
near_size,-0.3,13759926,0.08294826585549951,0.08967791450987622,0.9103217268907735,0.811763507311003,0.44480326348122556,0.027803296517443295,0.03429815662610412,0.08115660523962084,0.9942275289206004,0.09559892650922892,0.7297603781092743
near_size,0.3-1,27289468,0.10800921439729055,0.03617885331421409,0.9638199926531492,0.5281595020219781,0.3432545411504435,0.016501089341071164,0.01499531142157634,0.04389856435388439,0.7612813729525831,0.03323707808844523,0.46733810612950316
near_size,1-3,50009629,0.12143117478436002,0.01828935993256712,0.9817105404605596,0.39744323068931015,0.24547155885190503,0.005119320475782321,0.009406404176593523,0.022297641754148907,0.4594750742621269,0.017079128519383632,0.3766621345219867
near_size,3-10,42806793,0.12903832809900054,0.011056761970409563,0.9889430828209187,0.3517122079136331,0.20471781166606548,0.0021164118221096684,0.007259185956592505,0.010969766982300207,0.42112387872201595,0.011090361985487952,0.32866790722293865
near_size,10-30,44480950,0.17786769392290408,0.005017317514556014,0.9949826366219835,0.26702776904012737,0.17116160781387343,0.0023590655161757693,0.004004090461660179,0.007176648214276933,0.3404273665162883,0.004548759640569074,0.25599877483512534
near_size,30-100,10468536,0.15331570718197846,0.004386888502254463,0.9956129548209119,0.37017044156083256,0.2855862206513919,0.0015400206568112456,0.0026585742962548656,0.00392719660720058,0.46106875207657855,0.004553338155320758,0.3453544000906836
