dt,h_depth,h_size,h_plevel,h_wallet,h_age,h_queue,h_action,h_side,h_dir,h_chg,h_rate,h_cond,h_trans,n_ord,n_ev,n_grid
2026-05-29,6.5129976,3.284764,8.879418,3.96128,2.4040592,0.5265242,NaN,NaN,NaN,NaN,1.8582988,1.7430052,1.7446285,672.253012187641,73.74580724313938,86399
2026-05-30,6.047606,3.0979762,8.527568,4.560643,2.5629234,0.4831347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,468.5418234007338,13.789465155846711,86399
2026-05-31,6.457953,3.0992737,8.388357,4.9962535,2.55214,0.58447737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,437.4914292989502,14.691061239134712,86399
2026-06-01,5.5508113,3.0905383,7.1202416,3.5062926,2.4831035,1.30765,NaN,NaN,NaN,NaN,1.858019,1.7361872,1.7387557,383.772937186773,75.6693133022373,86399
2026-06-02,5.497317,3.086382,7.070161,3.3075886,2.4457195,1.1699219,NaN,NaN,NaN,NaN,1.8645598,1.7450697,1.7455763,401.54419611338096,75.25200523154203,86399
2026-06-03,5.7811155,3.174872,7.062761,3.7203093,2.4577818,1.1429276,NaN,NaN,NaN,NaN,1.8570743,1.7312626,1.7309145,421.0401625018808,70.86137571036701,86399
2026-06-04,5.6191034,3.2541766,7.371508,3.6541898,2.572837,0.91557825,NaN,NaN,NaN,NaN,1.8229718,1.6708052,1.6737463,474.84365559786573,116.01412053380247,86399
2026-06-05,6.309401,3.2971075,8.723556,3.8465765,2.4185297,0.43337128,NaN,NaN,NaN,NaN,1.7845114,1.6026263,1.6073722,648.2823643792174,175.4870658225211,86399
2026-06-06,4.9957056,3.0094073,8.445107,3.7122228,2.5833356,0.50164527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,457.8609821872938,36.01055567772775,86399
2026-06-07,5.625127,3.0647933,8.649826,4.152894,2.5315604,0.5668994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,526.2767277399043,41.85947754024931,86399
2026-06-08,6.6062036,3.339267,8.966817,4.227268,2.486422,0.4221696,NaN,NaN,NaN,NaN,1.807969,1.6419522,1.6447012,748.7526013032558,148.47269065614185,86399
2026-06-09,6.6763406,3.3532383,8.839157,4.2699566,2.4341712,0.39409068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,729.5157698584475,150.78424518802302,86399
2026-06-10,6.626688,3.3226254,9.058821,4.261786,2.456967,0.39117774,NaN,NaN,NaN,NaN,1.8070769,1.6362218,1.6388288,793.5707820692369,196.8984710471186,86399
2026-06-11,6.7061563,3.3691778,9.054684,4.2024865,2.3032017,0.4436253,NaN,NaN,NaN,NaN,1.8223269,1.6621444,1.6626761,824.4305489646871,163.26415814997858,86399
2026-06-12,6.475608,3.3857417,8.599754,4.4471574,2.583426,0.47703332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,614.3245060706721,125.25150754059653,86399
2026-06-13,6.2803345,3.220121,8.759357,5.2045455,2.559512,0.48496744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,564.719765275061,17.370490399194434,86399
