coin,regime,name,h,n,fwd_bp,se,t,fwd_placebo_bp,fwd_all_bp,fwd_rv_bp
SKHX,1,R1 低ボラ/中立,10,3616493,-0.0039624300318266146,0.012709932912546705,-0.3117585324085442,-0.00446457849636104,0.0007929422075054611,2.9328881312229655
SKHX,2,R2 低ボラ/上,10,756515,0.4080820602013143,0.046431173641708054,8.788967157072756,0.024433321578978998,0.0007929422075054611,3.7307148912420462
SKHX,3,R3 低ボラ/下,10,756107,-0.4795026277628057,0.043537732322344,-11.01349570098579,-0.003618520932289479,0.0007929422075054611,3.798209547796798
SKHX,4,R4 高ボラ/上,10,576151,0.25478665297613345,0.09158760626227377,2.7818900763332173,-0.013512504708597104,0.0007929422075054611,5.669527157684668
SKHX,5,R5 高ボラ/下,10,558500,-0.30090471141865843,0.09678071888751591,-3.1091390400642416,0.0139374871714015,0.0007929422075054611,5.496258929946453
SKHX,6,R6 高ボラ/両建て,10,2288011,0.0297719239175569,0.016830976997595063,1.7688767515879167,-0.0031959138241791953,0.0007929422075054611,4.61707496213359
SKHX,1,R1 低ボラ/中立,60,3616483,-0.011897854509516845,0.054781724664086824,-0.2171865632648967,-0.018964893934377353,0.00467798990031428,9.859244546289846
SKHX,2,R2 低ボラ/上,60,756510,1.0004804265187452,0.14582000007528453,6.861064504198417,0.01045936385642279,0.00467798990031428,11.941250610161815
SKHX,3,R3 低ボラ/下,60,756107,-0.940190341513727,0.14687791317337193,-6.401168979055034,0.010786962599306064,0.00467798990031428,12.101709747460607
SKHX,4,R4 高ボラ/上,60,576132,0.4163558516043127,0.17357612919208923,2.398693031940755,0.04604778910204228,0.00467798990031428,15.412094463828087
SKHX,5,R5 高ボラ/下,60,558498,-0.42697027773125373,0.19129308661284528,-2.232021477051031,0.09406848041338854,0.00467798990031428,15.429716118584905
SKHX,6,R6 高ボラ/両建て,60,2287997,0.025046644999131236,0.07203674745699327,0.34769261360785836,-0.012034881953624605,0.00467798990031428,12.84210650300062
SKHX,1,R1 低ボラ/中立,300,3616356,-0.12499914985515977,0.2533636431777767,-0.493358669331464,0.01862834550254632,0.021193265108837202,26.87793188546866
SKHX,2,R2 低ボラ/上,300,756481,1.2679581682354244,0.38417378166061333,3.3004807427373155,-0.11457607560000779,0.021193265108837202,30.91783414337966
SKHX,3,R3 低ボラ/下,300,756080,-1.0940674044819185,0.3681530153779368,-2.9717735799577136,0.0044165950202881546,0.021193265108837202,31.317533055310847
SKHX,4,R4 高ボラ/上,300,576115,0.4792144911697939,0.35840127133345484,1.337089261393649,0.1275692930633319,0.021193265108837202,35.48108068072073
SKHX,5,R5 高ボラ/下,300,558497,0.2295490830885329,0.4209471468592326,0.5453156882075163,0.18333273832811597,0.021193265108837202,36.093773373684364
SKHX,6,R6 高ボラ/両建て,300,2287958,0.13636534250302726,0.2838481143073209,0.48041658770854195,0.03507968717304193,0.021193265108837202,30.002689067351074
GOLD,1,R1 低ボラ/中立,10,2047291,-0.006452809041377404,0.003891298029707657,-1.6582664684416852,-0.002297511016784988,-0.0005305531354850308,0.6658329590689566
