metric,side,day_type,hor,hor_ms,x_form,y_kind,n,beta,r,r2,t
kappa_px,買い,立会日,1s,1000,log1p,符号つき,1071285,4.094162607597544e-6,0.01118969404058025,0.00012520925272179714,11.582371988185635
kappa_px,買い,立会日,3s,3000,log1p,符号つき,1071267,9.617457407693757e-6,0.013958470546374361,0.00019483889999400057,14.448694394309783
kappa_px,買い,立会日,5s,5000,log1p,符号つき,1071245,0.000010750053413894436,0.011638674149446256,0.00013545873595698852,12.046944909711856
kappa_px,買い,立会日,10s,10000,log1p,符号つき,1071204,0.000010357178821770902,0.007635721001851997,0.00005830423521812366,7.903116791065428
kappa_px,買い,立会日,30s,30000,log1p,符号つき,1071063,0.000010041129955979232,0.004143440007842668,0.000017168095098591253,4.288168933014243
kappa_px,買い,立会日,50s,50000,log1p,符号つき,1070920,7.295920356432851e-6,0.002330543100576041,5.4314311436425865e-6,2.411772993093629
kappa_px,買い,立会日,100s,100000,log1p,符号つき,1070591,6.6367245615632184e-6,0.0015011619553555939,2.25348721620703e-6,1.553243078849586
kappa_px,買い,立会日,10ms,10,log1p,絶対値,1071286,6.590247144394775e-9,0.002775719938709692,7.704621178150536e-6,2.872960317754871
kappa_px,買い,立会日,20ms,20,log1p,絶対値,1071286,6.313395567265783e-9,0.0025810480535268985,6.661809054614991e-6,2.6714671989083634
kappa_px,買い,立会日,50ms,50,log1p,絶対値,1071286,1.4501000219545095e-8,0.0024308418710272876,5.908992201939445e-6,2.5159980539416105
kappa_px,買い,立会日,100ms,100,log1p,絶対値,1071286,1.9754979139782916e-6,0.03245172042322854,0.0010531141584273884,33.60615579828032
kappa_px,買い,立会日,500ms,500,log1p,絶対値,1071285,0.000013129620174939119,0.0671344558773377,0.0045070351659462025,69.64316219568302
kappa_px,買い,立会日,1s,1000,log1p,絶対値,1071285,0.000022900471676430523,0.07426086975956019,0.00551467677744636,77.07489629030412
kappa_px,買い,立会日,3s,3000,log1p,絶対値,1071267,0.000048026538079310035,0.08655518135607139,0.007491799419582408,89.92376392192705
kappa_px,買い,立会日,5s,5000,log1p,絶対値,1071245,0.00006113732369003577,0.08324038833092622,0.006928962249483397,86.45456660949966
kappa_px,買い,立会日,10s,10000,log1p,絶対値,1071204,0.00007719774191156593,0.07290276932327179,0.005314813775002179,75.6548698290751
kappa_px,買い,立会日,30s,30000,log1p,絶対値,1071063,0.00011910875998605075,0.06432325789471466,0.004137481506189972,66.70761939455262
