k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
2,1,30.0,8553590.0,3928364.0,-1779353.5115431445,-6783599.3009353075,-8908648.84447845,39201078.48199998
2,1,60.0,8553590.0,4923678.0,-2265721.024620421,-9061451.370496323,-11760456.059116744,82045201.91899997
2,-1,0.1,8553590.0,29314.0,64320.839271479424,47522.82447055751,14218.382800921914,1430.0129999999997
2,-1,0.5,8553590.0,138017.0,181669.6785322522,248769.37374164333,-79245.19120939112,35464.12599999998
2,-1,1.0,8553590.0,307725.0,223146.08973674415,546077.5562357823,-350011.2664990383,162993.52099999998
2,-1,3.0,8553590.0,991231.0,44980.02002454634,1554658.5792838973,-1596906.8872593509,1463725.2879999997
2,-1,5.0,8553590.0,1514766.0,-224728.7381665694,2321655.5303018433,-2679683.676468413,3498879.8090000004
2,-1,10.0,8553590.0,2419027.0,-757130.307275327,3714045.68813061,-4684050.371405938,10025772.922999997
2,-1,30.0,8553590.0,4103715.0,-1636133.5185617951,6486151.909366434,-8483412.34792823,40769136.79900002
2,-1,60.0,8553590.0,5105666.0,-1965985.4720569758,8483754.129442243,-10899038.20949922,83778791.12400001
3,1,0.1,8553590.0,18670.0,53385.849946668364,-38349.77952734953,13393.110419318831,916.5710000000005
3,1,0.5,8553590.0,94709.0,163209.75924707548,-209593.07977140008,-54717.712524324634,24935.775999999998
3,1,1.0,8553590.0,220871.0,222426.8214720837,-468272.5207388204,-265282.3472667367,119919.79900000006
3,1,3.0,8553590.0,754965.0,137736.54684800282,-1397348.1726814604,-1326048.5458334582,1159588.2329999998
3,1,5.0,8553590.0,1189870.0,-59989.91960667859,-2141881.1157355173,-2306579.595342197,2867793.635
3,1,10.0,8553590.0,1974084.0,-503945.81937317096,-3571308.759339255,-4248973.970712427,8577946.361
3,1,30.0,8553590.0,3526041.0,-1363812.0196200244,-6625522.806597417,-8299626.434217443,37133766.713999994
3,1,60.0,8553590.0,4532921.0,-1785414.4631594778,-9045579.458482299,-11229890.969641773,80544758.26700002
3,-1,0.1,8553590.0,17911.0,50914.72895936204,37422.9679848862,11915.592974475854,888.1270000000002
3,-1,0.5,8553590.0,94194.0,160986.92520468993,208157.2968677315,-55459.44366304149,25025.086
3,-1,1.0,8553590.0,221587.0,218583.8598204581,471996.2184728437,-272912.01465238555,121064.26099999998
3,-1,3.0,8553590.0,776960.0,135698.81706665683,1400761.216888287,-1333434.8798216297,1191414.9529999997
3,-1,5.0,8553590.0,1230866.0,-64235.22066208143,2135326.2127722558,-2307877.6414343375,2962833.2050000005
3,-1,10.0,8553590.0,2049223.0,-496500.1555166854,3516562.8862540526,-4193394.6657707365,8893890.157
3,-1,30.0,8553590.0,3655198.0,-1254649.3700559968,6377960.4705772,-7954267.264633194,38371318.829
3,-1,60.0,8553590.0,4676519.0,-1539361.515819355,8544082.831183337,-10494978.019002693,82320343.47799999
4,1,0.1,8553590.0,12438.0,43572.39851603937,-30504.964170092946,11972.890345946424,615.811
4,1,0.5,8553590.0,68432.0,145208.0111605663,-176390.66135296985,-37204.666192403645,18471.74100000001
4,1,1.0,8553590.0,166070.0,213985.87110561354,-404780.65562290844,-205408.94451729508,92105.76699999998
4,1,3.0,8553590.0,606698.0,201764.9355057642,-1251052.3911480037,-1102676.8796422395,957942.3550000006
4,1,5.0,8553590.0,988168.0,63607.20236911184,-1954953.4804432043,-1978305.0620740915,2460051.711
4,1,10.0,8553590.0,1704967.0,-288940.6365975178,-3334527.748567075,-3773505.481164589,7696611.303
4,1,30.0,8553590.0,3191197.0,-1023279.0075001526,-6410938.171655313,-7715042.515155468,35165949.485
4,1,60.0,8553590.0,4199220.0,-1380434.4692343706,-8945989.706106625,-10695955.535341004,78700115.406
4,-1,0.1,8553590.0,11692.0,40494.433631264124,29460.958364249233,10004.579267014897,592.2120000000001
4,-1,0.5,8553590.0,67736.0,142272.04801605805,175405.491372574,-39094.21135651589,18458.097000000005
4,-1,1.0,8553590.0,166092.0,208068.34506733037,409837.2535672084,-216385.004499878,92747.506
4,-1,3.0,8553590.0,620630.0,193020.89273203546,1258503.2153208477,-1120097.7625888123,978422.915
4,-1,5.0,8553590.0,1015509.0,51365.10850279832,1950358.7383562762,-1988358.4218534776,2524170.5350000006
4,-1,10.0,8553590.0,1758674.0,-292100.4692387929,3308025.1231296747,-3754888.904368466,7928897.3270000005
4,-1,30.0,8553590.0,3288985.0,-935071.5968097774,6226597.125225385,-7451099.402035167,36135476.74599999
4,-1,60.0,8553590.0,4310949.0,-1172427.3821354532,8510726.975439832,-10062517.869575288,80210734.60499997
5,1,0.1,8553590.0,8616.0,35379.57448127563,-24415.28316566125,10206.083315614384,429.39800000000014
5,1,0.5,8553590.0,50657.0,127268.11122895585,-149499.24095490293,-26688.945725947164,13920.375000000004
5,1,1.0,8553590.0,127224.0,200053.2928696015,-354037.4255396784,-165179.84467007688,71725.96599999997
5,1,3.0,8553590.0,492105.0,236262.515159307,-1125230.6818364775,-932273.4066771704,794193.751
5,1,5.0,8553590.0,825496.0,144678.45686040018,-1789335.951262196,-1717301.1424017963,2110085.467
5,1,10.0,8553590.0,1478018.0,-130212.09286594589,-3119268.431064865,-3379546.10793081,6891424.828
5,1,30.0,8553590.0,2895434.0,-761161.867951439,-6173803.3874732265,-7189763.447424664,33204305.543
5,1,60.0,8553590.0,3895366.0,-1070050.295790158,-8765797.636881188,-10178640.14067134,76459660.15699996
5,-1,0.1,8553590.0,7917.0,32318.509949257186,23366.08317778726,8255.73077146993,405.297
5,-1,0.5,8553590.0,49850.0,123688.37004140476,149325.54090897087,-30023.970867566117,13884.746
5,-1,1.0,8553590.0,126846.0,191910.6610707085,357972.21458134474,-177224.00151063627,72151.19499999998
5,-1,3.0,8553590.0,502419.0,225756.26921520976,1136294.9223535976,-954751.5251383886,810717.4680000002
5,-1,5.0,8553590.0,845666.0,131993.6731409598,1790400.8983540786,-1732825.8332131188,2158283.2280000006
5,-1,10.0,8553590.0,1518402.0,-134449.1228026944,3107760.8816329134,-3375829.380435608,7067151.4159999965
5,-1,30.0,8553590.0,2970283.0,-677981.0149779151,6049335.461889537,-6988701.380867451,33955676.06999999
5,-1,60.0,8553590.0,3979315.0,-881324.609357959,8434210.782061908,-9665715.111419868,77546388.01000004
6,1,0.1,8553590.0,6174.0,29165.087325271506,-19607.789851397993,9013.985473873501,309.1020000000001
6,1,0.5,8553590.0,38497.0,111998.62925408017,-126887.75378256763,-18276.860528487472,10718.525
6,1,1.0,8553590.0,99769.0,185362.01715540147,-310105.15855037625,-133522.8133949749,57049.276000000034
6,1,3.0,8553590.0,405032.0,258261.269790489,-1016346.4543321686,-793728.0005416796,665416.6320000003
6,1,5.0,8553590.0,698031.0,208967.11201264206,-1641715.6230094016,-1494175.2389967593,1824290.2760000003
6,1,10.0,8553590.0,1292590.0,7182.983041862046,-2916961.4854869605,-3023526.4224450993,6191363.096999998
6,1,30.0,8553590.0,2642268.0,-514534.3377547995,-5940021.457375372,-6687075.379130175,31350178.294000003
6,1,60.0,8553590.0,3630648.0,-776262.9977640455,-8563104.619353985,-9658864.64111803,74169980.04000002
6,-1,0.1,8553590.0,5634.0,26336.17551393335,18906.16939399411,6934.214119939244,289.98100000000017
6,-1,0.5,8553590.0,37823.0,108419.35416904713,127016.84233310119,-21925.912164054065,10703.448
6,-1,1.0,8553590.0,99389.0,177739.81561520792,314988.1171887097,-145994.53357350198,57347.391000000025
6,-1,3.0,8553590.0,412726.0,248333.5201197539,1025832.6796274636,-813819.0475077098,678239.7130000001
6,-1,5.0,8553590.0,712930.0,193731.94746582588,1641307.857233034,-1510313.749767209,1860014.7250000006
6,-1,10.0,8553590.0,1323378.0,-3103.9250966065565,2915250.232590489,-3034811.421687093,6326672.791000001
6,-1,30.0,8553590.0,2702298.0,-453216.7502820889,5839531.894911616,-6530550.869193707,31983126.313999996
6,-1,60.0,8553590.0,3697173.0,-604104.3095198553,8306502.521288251,-9235958.054808108,75049412.92899999
7,1,0.1,8553590.0,4578.0,24352.989764446644,-16055.232508637107,7894.893255809531,231.66000000000005
7,1,0.5,8553590.0,29780.0,98246.26859424832,-108732.05679396368,-13106.428199715401,8381.309999999998
7,1,1.0,8553590.0,78954.0,169408.5006489481,-271802.8170049442,-109342.26835599607,45586.399
