window,side,band,band_i,rate_mean,rate_med,rate_p10,rate_p90,sz_mean,n_days,n_total
昼 12 時 ET,売り(ask),100+,8,2.1445978441127695,1.581388888888889,0.575,3.7152777777777777,72.8461051824224,67,517277
昼 12 時 ET,買い(bid),mid より内,0,2.435567993366501,1.9280555555555556,0.4102777777777778,5.6130555555555555,32.687997711442854,67,587459
昼 12 時 ET,買い(bid),0–1,1,9.20044776119403,5.671111111111111,1.1227777777777779,22.39388888888889,109.80509645108047,67,2219148
昼 12 時 ET,買い(bid),1–2,2,7.743266998341625,5.39,2.405,16.475555555555555,89.71723191956984,67,1867676
昼 12 時 ET,買い(bid),2–5,3,14.44955223880597,12.828055555555556,5.307222222222222,26.400555555555556,198.26663550994658,67,3485232
昼 12 時 ET,買い(bid),5–10,4,11.170771144278607,10.516111111111112,5.061111111111111,18.868055555555557,208.96110522802405,67,2694390
昼 12 時 ET,買い(bid),10–25,5,11.039494195688226,9.453888888888889,4.191944444444444,19.92527777777778,271.9312672512432,67,2662726
昼 12 時 ET,買い(bid),25–50,6,4.501243781094527,3.7736111111111112,1.3491666666666666,7.305555555555555,139.65662656716327,67,1085700
昼 12 時 ET,買い(bid),50–100,7,1.897002487562189,1.36,0.51,4.1425,91.8220485572138,67,457557
昼 12 時 ET,買い(bid),100+,8,2.163474295190713,1.5280555555555555,0.5719444444444445,4.120833333333334,75.84231223051364,67,521830
閉場前 1h,売り(ask),mid より内,0,2.532197346600332,1.7819444444444446,0.5083333333333333,5.419722222222222,33.11036235903816,67,610766
閉場前 1h,売り(ask),0–1,1,9.27419983416252,6.114166666666667,1.9797222222222222,23.880555555555556,106.04062232172714,67,2236937
閉場前 1h,売り(ask),1–2,2,7.940348258706468,5.697222222222222,2.2127777777777777,17.620277777777776,84.84760933665133,67,1915212
閉場前 1h,売り(ask),2–5,3,14.622587064676617,12.945833333333333,5.265555555555555,26.017777777777777,192.53318545605077,67,3526968
閉場前 1h,売り(ask),5–10,4,10.963752072968491,9.500555555555556,4.526111111111111,17.2075,200.97364218076103,67,2644457
閉場前 1h,売り(ask),10–25,5,11.008262852404643,9.9675,4.164722222222222,18.226111111111113,245.61271514510514,67,2655193
閉場前 1h,売り(ask),25–50,6,4.552280265339967,3.7941666666666665,1.3005555555555555,7.531666666666666,141.4874239510802,67,1098010
閉場前 1h,売り(ask),50–100,7,1.972599502487562,1.3958333333333333,0.5002777777777778,3.995,96.71118614427685,67,475791
閉場前 1h,売り(ask),100+,8,2.292649253731343,1.718888888888889,1.0458333333333334,4.407777777777778,81.7206562437831,67,552987
閉場前 1h,買い(bid),mid より内,0,2.4671144278606967,2.0102777777777776,0.4822222222222222,4.729166666666667,30.756856840796093,67,595068
