dt,n_trade,n_row,vol,notional,px_open,px_close,px_min,px_max,px_med,sz_med,sz_p99,n_taker,buy_vol,sell_vol,n_liq,n_maker
2026-05-18,17000,17085,9034.412,10847467.4762,1197.7,1197.2,1157.2,1258.8,1198.8,0.039,10.85,453,4035.545,4998.867,72,286
2026-05-19,23818,23833,8028.589,9412634.8947,1197.2,1175.7,1125.6,1218.0,1173.0,0.066,6.403,486,3884.78,4143.809,129,307
2026-05-20,10572,10643,10057.889,11836631.4532,1175.9,1218.2,1126.2,1231.0,1181.5,0.09,14.205,482,5413.085,4644.804,106,299
2026-05-21,17567,17567,10318.08,13284294.0383,1260.0,1310.9,1254.0,1344.6,1289.2,0.035,9.491,558,5175.449,5142.631,114,326
2026-05-22,9496,9496,4658.746,5970890.1983,1310.5,1251.9,1251.0,1310.5,1280.0,0.046,9.872,325,2081.683,2577.063,0,218
2026-05-23,21199,21199,3456.894,4292635.6184,1251.0,1301.7,1193.1,1306.8,1240.4,0.01,2.5,291,1735.763,1721.131,164,200
2026-05-24,4828,4828,3291.043,4355700.1168,1298.0,1341.3,1270.5,1352.9,1316.8,0.084,12.0,258,1775.631,1515.412,10,155
2026-05-25,17165,17165,7361.809,9919618.4808,1341.4,1339.6,1326.4,1374.1,1353.6,0.027,5.691,419,3637.503,3724.306,1,276
2026-05-26,24675,24690,16829.712,24079891.7542,1333.3,1514.2,1332.7,1530.4,1469.4,0.042,10.0,820,10181.538,6648.174,14,477
2026-05-27,54746,54771,25815.283,39254053.8904,1514.3,1484.0,1466.4,1624.1,1517.1,0.021,8.154,994,12596.822,13218.461,77,620
2026-05-28,37637,37657,18030.523,27380001.4521,1482.6,1583.9,1433.0,1612.0,1557.0,0.019,6.855,797,9091.917,8938.606,228,496
2026-05-29,17978,18110,8652.281,13375638.4758,1584.0,1535.6,1517.9,1587.6,1548.2,0.046,6.948,504,4174.29,4477.991,0,325
2026-05-30,8864,8864,2113.269,3275674.9838,1535.6,1570.9,1518.3,1571.8,1549.8,0.008,3.479,183,787.846,1325.423,0,121
2026-05-31,17031,17031,9426.465,14765473.0261,1568.3,1543.8,1517.9,1616.6,1573.7,0.063,6.71,479,4701.06,4725.405,0,287
2026-06-01,32684,32798,24801.412,39534569.8928,1543.8,1572.7,1526.5,1693.1,1595.8,0.058,9.955,851,13072.015,11729.397,531,573
2026-06-02,61323,61542,22764.763,35274313.2791,1567.7,1608.0,1492.0,1630.0,1552.8,0.079,4.988,850,11547.025,11217.738,47,523
2026-06-03,61387,62169,17913.381,28245532.9662,1608.0,1508.9,1490.1,1649.2,1601.3,0.06,3.33,795,8880.627,9032.754,401,511
2026-06-04,113633,115198,37122.762,55180014.1267,1507.7,1414.0,1412.1,1546.9,1498.6,0.068,3.49,1010,17462.75,19660.012,572,607
2026-06-05,128411,134381,60297.678,79774715.8525,1414.1,1227.5,1221.1,1420.7,1336.2,0.082,4.838,1466,23541.347,36756.331,1640,815
2026-06-06,10186,10186,3689.027,4483579.8412,1227.7,1212.6,1212.6,1236.4,1215.4,0.051,4.631,343,2674.276,1014.751,0,148
2026-06-07,140690,140690,66386.76,82493552.2191,1212.6,1228.8,1200.0,1315.6,1242.4,0.08,5.73,1497,35991.035,30395.725,40,874
2026-06-08,195070,196678,95518.323,124022844.133,1228.7,1357.5,1210.0,1366.0,1304.8,0.119,5.06,1974,47377.144,48141.179,226,1024
2026-06-09,166205,167642,86138.33,119825329.8719,1358.1,1382.9,1316.3,1498.0,1381.1,0.1355,5.772,1649,42663.108,43475.222,200,813
2026-06-10,185121,186270,87849.975,118334093.1352,1383.2,1299.0,1263.1,1438.6,1351.0,0.095,5.801,1340,42280.221,45569.754,579,685
2026-06-11,154283,154762,90697.992,128353105.7579,1299.1,1514.9,1288.9,1536.3,1390.2,0.136,6.271,1269,42326.147,48371.845,407,639
2026-06-12,123473,124047,60576.427,88334939.3707,1515.7,1468.7,1391.7,1523.0,1459.6,0.1,5.188,1055,28385.385,32191.042,0,482
2026-06-13,30577,30577,6008.085,8816842.326200001,1468.8,1491.1,1450.6,1499.7,1466.2,0.026,1.584,317,2859.665,3148.42,5,151
2026-06-14,62264,62264,25727.45,39237782.5593,1490.8,1525.9,1485.6,1563.6,1510.8,0.05,5.628,832,13564.038,12163.412,212,399
2026-06-15,93430,93430,40700.515,62692881.1992,1525.8,1575.0,1504.2,1594.9,1533.5,0.1,5.851,1005,19531.388,21169.127,5,436
2026-06-16,96463,96781,42934.603,67411541.346,1574.9,1547.1,1510.3,1628.0,1565.9,0.104,5.2,1050,21690.801,21243.802,22,532
2026-06-17,156400,156690,71872.547,119080672.2545,1546.8,1678.2,1546.8,1741.6,1661.6,0.096,5.163,1462,33945.449,37927.098,42,650
2026-06-18,166794,167245,77702.554,138394925.3949,1678.2,1845.2,1676.3,1874.7,1775.3,0.099,5.676,1662,37684.658,40017.896,147,707
2026-06-19,132704,132704,68940.328,125285192.0249,1845.2,1826.3,1753.4,1887.9,1814.0,0.091,5.985,1270,33574.689,35365.639,41,543
2026-06-20,70619,70619,24946.293,47011223.2848,1826.0,1908.0,1822.2,1925.0,1886.4,0.074,4.15,1030,13368.916,11577.377,6,393
2026-06-21,110734,110734,43411.8,80925972.2163,1908.0,1818.4,1793.2,1933.4,1899.6,0.066,5.0,1232,25134.096,18277.704,139,616
2026-06-22,206841,206841,95148.95,181733294.7171,1820.0,1916.8,1794.1,1974.9,1910.1,0.089,6.0,1680,46765.081,48383.869,33,791
2026-06-23,321833,321833,203762.377,354125521.015,1920.2,1696.7,1628.9,1926.1,1708.8,0.089,8.205,2756,96906.067,106856.31,758,1277
2026-06-24,343656,344484,252532.783,435268651.8388,1696.7,1853.7,1600.1,1882.5,1714.4,0.104,9.374,2585,122233.718,130299.065,726,1163
2026-06-25,265356,266192,182699.867,340130492.4197,1854.4,1844.6,1783.3,1933.7,1869.8,0.1,9.237,2398,85260.081,97439.78600000001,19,1003
2026-06-26,259795,260019,191058.798,336417936.268,1843.2,1757.2,1691.0,1871.3,1754.8,0.112,9.79,1909,88873.104,102185.694,4,864
2026-06-27,28573,28734,9077.261,15979276.5468,1757.8,1756.9,1744.5,1770.0,1759.5,0.093,4.654,481,4727.875,4349.386,0,177
2026-06-28,105705,105705,56047.642,99339666.7312,1757.0,1738.3,1731.1,1808.4,1779.2,0.108,5.832,1164,35822.226,20225.416,0,522
2026-06-29,256201,256751,196334.223,331977254.3793,1739.6,1708.7,1629.0,1749.1,1694.6,0.121,9.619,2162,89485.688,106848.535,47,937
2026-06-30,230091,230091,199797.714,343908288.2,1708.9,1732.5,1650.6,1777.0,1724.1,0.132,10.0,1548,99177.718,100619.996,13,683
2026-07-01,377266,378842,338384.928,554471145.7694,1732.5,1530.4,1525.0,1759.0,1643.3,0.133,10.0,2528,173546.878,164838.05,696,1142
2026-07-02,489543,490786,530084.201,773798284.8329,1530.8,1426.8,1350.0,1578.8,1445.3,0.196,11.587,3321,263621.543,266462.658,1311,1393
2026-07-03,308252,308252,373198.05,559312996.1569,1428.1,1617.6,1342.6,1619.0,1531.9,0.195,14.152,2694,176984.522,196213.528,238,1077
2026-07-04,39574,39574,23330.982,37373382.376,1617.4,1599.4,1586.6,1617.7,1600.0,0.135,7.674,764,11215.404,12115.578,0,284
2026-07-05,110879,110879,60984.925,98357879.1385,1598.8,1596.9,1583.3,1637.8,1611.7,0.093,6.707,1165,30220.201,30764.724,6,538
2026-07-06,295065,295065,283557.556,438751107.4505,1595.8,1496.9,1489.8,1630.3,1543.6,0.162,10.525,2163,142715.954,140841.602,27,882
2026-07-07,410033,410748,459710.716,659232552.3808,1496.6,1393.3,1376.3,1529.7,1433.9,0.176,13.158,2694,230853.463,228857.253,436,1192
2026-07-08,515829,515829,666165.301,952182234.3878,1393.7,1479.6,1315.2,1540.0,1421.7,0.248,13.585,2951,319524.238,346641.063,707,1251
2026-07-09,411480,411480,561472.333,838348254.2119,1479.8,1541.8,1399.6,1568.6,1491.6,0.335,13.1,3019,284105.406,277366.927,70,1192
2026-07-10,440800,447669,631147.621,935903750.6122,1540.7,1475.4,1446.9,1541.0,1481.5,0.35,14.3,3535,312073.679,319073.942,1,1503
2026-07-11,71530,71530,39058.696,57549774.1181,1475.5,1469.5,1462.6,1483.5,1474.4,0.099,6.814,915,19586.670000000002,19472.026,0,342
2026-07-12,130973,130973,108902.968,158236546.2851,1469.3,1415.0,1414.0,1495.1,1469.1,0.148,10.0,1433,60159.095,48743.873,0,594
2026-07-13,738957,738957,1063322.446,1350670592.7978,1415.0,1217.6,1167.4,1439.7,1255.7,0.31,15.0,5494,531172.437,532150.009,4154,2275
2026-07-14,860309,860309,1297387.28,1646767887.1755,1217.7,1414.3,1146.1,1420.0,1281.5,0.337,16.259,5291,651661.09,645726.19,1363,2117
2026-07-15,503574,503574,768473.912,1052940959.7985,1414.3,1278.3,1264.7,1453.2,1363.7,0.352,15.0,3976,371119.517,397354.395,66,1503
2026-07-16,353818,353818,546195.469,671816647.7553,1279.8,1181.0,1165.5,1294.6,1235.6,0.453,14.606,2932,272194.815,274000.654,141,1223
2026-07-17,398540,398540,573364.303,671020447.909,1180.8,1153.0,1121.2,1218.8,1169.6,0.427,12.787,2646,277530.712,295833.591,324,1074
2026-07-18,47158,47158,47581.4,54973649.255,1152.8,1152.0,1145.2,1164.0,1157.4,0.205,10.343,826,23163.672,24417.728,1,284
2026-07-19,119743,119743,175154.619,206992525.2154,1152.2,1167.9,1152.0,1217.2,1181.3,0.423,13.28,1535,92693.528,82461.091,0,603
2026-07-20,368927,368927,619784.666,755246595.0005,1168.1,1200.9,1167.4,1270.1,1215.3,0.5,16.79,2527,303807.783,315976.883,1,949
