sec,utc,mark,jump1,jump1_wk,pre60,post60,pre300,post300,asym60,asym300
37800,10:30,"",0.32407557444713575,0.054103917399572765,4.068080954580111,7.103218944619627,16.926987191592247,17.013006898558558,1.7460859368155788,1.0050818084749917
39600,11:00,"",2.7620676224504592,0.2012322119160359,5.546946904262384,24.04471692554644,15.581843226311065,37.64601460670036,4.334766014628696,2.4160180576796173
41400,11:30,"",0.8003436146175602,0.05088708918243867,7.839340052395727,9.439975527758548,15.939786416785395,22.872467143333353,1.2041798754314355,1.4349293362706226
43200,12:00,"",0.8304096000166794,0.21627700760085133,5.505357172141956,9.048319832523077,12.907070894314643,22.06503588456421,1.6435481930780287,1.7095308505885332
45000,12:30,"",0.8949346703701622,0.19321493552659774,6.377551236571577,12.14184927423645,21.308988276276253,26.07493312153153,1.903841901670652,1.2236588984640488
46800,13:00,"",0.7545176749346183,0.051222554313667956,6.117009846873245,10.930842026217746,15.329322930703881,18.31819706727522,1.786958383237707,1.1949775701172536
48600,13:30,米国 寄り,13.788075766916208,0.05090548125252781,12.98088452278634,60.20002223277032,44.1401944871167,84.10631219452291,4.637590152435037,1.9054359223331292
50400,14:00,"",2.8214050784391986,0.05680156090370758,24.345764044211293,28.213717655978243,60.00479578218254,44.30881498697303,1.1588758358432638,0.7384212279934103
52200,14:30,"",1.9889736340150677,0.10991305877006141,13.804277291580291,20.767494114481977,49.3135789525212,44.63584123368669,1.5044245834694145,0.90514300891975
54000,15:00,"",1.9303156125971555,0.06266037138047409,13.457534738678945,19.14167964003788,29.474160858748988,31.72048795565985,1.4223763870378028,1.0762134368362881
55800,15:30,"",2.135133137288747,0.0,14.793322295427735,11.756629310091249,29.445404339889514,21.059556973819227,0.7947254224106876,0.715206920941818
57600,16:00,"",1.9333011176669856,0.32508801760755546,7.313283075740529,14.226807626087634,20.1717123329459,24.72800468748204,1.9453380210702504,1.2258753386590029
59400,16:30,"",1.493243077863582,0.12918728280908454,8.805871149419886,11.724593076074541,25.31062647035398,23.376316839742728,1.3314518094949566,0.9235771728970484
61200,17:00,"",1.3973085710006217,0.3779667011816201,6.148383082793529,10.272809831803897,20.689662552797472,23.939178959322405,1.6708148619679741,1.1570599036225249
63000,17:30,"",1.0267309409250913,0.0,9.84551991201954,8.771415419221995,18.549261076499235,24.5338690282626,0.8909042384357717,1.322633226578793
64800,18:00,"",1.1689132838998972,0.0,9.515132196051823,10.483180222422561,20.022889984767644,24.16468300939556,1.10173773799721,1.206852908235463
66600,18:30,"",0.8167265604086538,0.0,7.719381762800737,9.072646594718847,16.92490677278613,19.34095651758838,1.175307411072661,1.1427511405077315
68400,19:00,"",1.7683039599791783,0.0,10.098748385773959,11.644884020958202,28.26421520896183,31.465380832340628,1.1531017088575326,1.1132586063229448
70200,19:30,"",1.6808135176926697,0.0,13.302416170013487,12.870457724458717,24.188621714147374,29.493032365657257,0.9675278205076385,1.2192936296327894
72000,20:00,米国 引け,2.1683977793873765,0.06282255455403174,20.7062214651188,15.057901086157344,49.72380374513641,18.763778332715475,0.7272162674162217,0.3773600754457728
73800,20:30,"",0.20102926987064507,0.0,5.669202211651125,5.830620640381312,10.250240441118663,13.788351029750956,1.0284728649118293,1.3451734238778656
75600,21:00,"",0.48850785286269627,0.06747726223554906,4.435311061925518,3.4817426473487956,10.238802205542186,9.092923301698974,0.7850052902123293,0.8880846723239798
77400,21:30,"",0.1727936411999309,0.10178208452948923,2.502293782340459,3.7378068435423017,7.89801476873464,10.305097549654363,1.4937522004495556,1.3047706102612628
79200,22:00,"",0.7583245076414613,1.2993425344998144,2.883840617107225,6.486887448309275,7.235890330186123,11.251730760371004,2.2493918040506204,1.5549891232364192
81000,22:30,"",0.4163399555157099,0.4092454391635414,2.887270535802955,4.042052655099937,10.21730739545923,8.673863304036189,1.399956327256959,0.8489382738832956
82800,23:00,"",0.4694725476817041,0.4402280381921031,3.159076771739322,4.480441226082377,9.005444808956042,11.09178391733856,1.4182755120621962,1.2316752978495435
84600,23:30,"",0.22508201427129393,0.2889129649918942,3.893323000312421,4.750568837987856,7.404444198879645,9.038758412955872,1.2201835906259628,1.220720714503259
