feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
ofi_z,fwd_mid_500ms,1692166,98,-0.1197656757685628,0.1109316113081968,0.2236223636831298,0.014569451023513513,15.348715838519075,0.9999999999999999,0.11223898837348109,10,8 OFI,0.2236223636831298
delta1_bp,fwd_mid_300ms,1692166,98,-0.11461250249364004,0.09841717178711104,0.22131594986368353,0.01316464463822922,16.811388073552497,0.9757575757575757,0.10204790782937372,10,4 マイクロプライス,0.22131594986368353
obi_x_spread,fwd_mid_300ms,1692166,98,-0.11461250249364004,0.09841717178711104,0.22131594986368353,0.01316464463822922,16.811388073552497,0.9757575757575757,0.10204790782937372,10,4 マイクロプライス,0.22131594986368353
trade_dollar_imb,fwd_micro_10s,1692166,98,-0.14703500140068607,0.017686234121468913,0.22085539213027003,0.04070837437640255,5.425306107489604,0.7999999999999999,0.6956226516783814,4,12 攻撃的な約定フロー,0.22085539213027003
ofi_0.5s,fwd_micro_500ms,1692166,98,0.08254504311125771,-0.04004197232013695,-0.220545693123099,0.030835389151345365,-7.15235640583691,-0.32121212121212117,0.2522607120105238,10,8 OFI,0.220545693123099
ofi_0.25s,fwd_mid_500ms,1692166,98,-0.1529451676863432,0.04670059399198578,0.2203219223036161,0.026607607851953298,8.280410758062265,0.8166666666666667,0.3103743958926016,9,8 OFI,0.2203219223036161
qa1,fwd_micro_300ms,1692166,98,-0.07606133688740752,0.12994765210377235,0.2191759925236739,0.017747916309464856,12.349392948556371,0.9999999999999999,0.12099994917756296,10,3 板の厚み,0.2191759925236739
cum_a1,fwd_micro_300ms,1692166,98,-0.07606133688740752,0.12994765210377235,0.2191759925236739,0.017747916309464856,12.349392948556371,0.9999999999999999,0.12099994917756296,10,3 板の厚み,0.2191759925236739
signed_vol,fwd_micro_10s,1692166,98,-0.14686657477730627,0.017688693868747336,0.2190588358154777,0.041028580950502866,5.339176514043993,1.0,0.6956894299968206,4,12 攻撃的な約定フロー,0.2190588358154777
signed_cnt,fwd_micro_10s,1692166,98,-0.17113563134364723,0.017913001399686615,0.21873478672262045,0.03906626225511371,5.599071272655177,1.0,0.7023371229536582,4,12 攻撃的な約定フロー,0.21873478672262045
