dt,n_trade,n_row,vol,notional,px_open,px_close,px_min,px_max,px_med,sz_med,sz_p99,n_taker,buy_vol,sell_vol,n_liq,n_maker
2026-06-16,34568,34725,115015.188,25552004.58546,228.36,218.87,215.9,229.84,222.92,2.079,33.291,431,53895.592,61119.596,36,217
2026-06-17,37132,37247,96546.489,21722008.48483,218.89,227.55,218.71,230.85,225.2,1.633,20.106,414,49253.27,47293.219,0,205
2026-06-18,45394,45471,125421.593,29677425.25023,227.59,243.89,227.13,247.83,235.4,1.351,25.0,554,63935.049,61486.544,46,253
2026-06-19,41354,41354,116656.243,27454826.21013,243.89,234.27,224.45,245.61,232.93,1.077,26.573,518,61320.114,55336.129,44,255
2026-06-20,17590,17590,34530.886,8238750.27864,234.27,240.7,233.37,242.7,239.07,0.9715,14.241,274,17645.562,16885.324,0,140
2026-06-21,20430,20430,40760.248,9589708.7731,240.62,226.26,223.62,242.4,237.815,0.7,18.448,357,19327.416,21432.832,96,195
2026-06-22,51770,51770,120360.559,28022290.78124,226.26,229.5,224.61,238.28,232.39,0.86,21.815,496,59655.509,60705.05,5,253
2026-06-23,75022,75022,241518.207,51103625.44894,229.31,205.29,198.29,230.89,208.13,0.967,32.42,864,122818.639,118699.568,489,389
2026-06-24,77730,77903,259217.994,57372023.96857,205.44,235.7,205.3,238.73,219.45,0.965,32.55,891,125982.106,133235.888,123,427
2026-06-25,55350,55423,210004.368,48223224.40101,235.7,229.25,218.7,235.8,230.76,1.044,38.615,629,106243.129,103761.239,0,334
2026-06-26,52486,52562,168441.313,36910463.44924,229.57,226.3,207.77,230.14,220.18,1.102,27.735,505,84630.345,83810.968,1,252
2026-06-27,9606,9644,14867.854,3342849.08883,226.25,222.99,222.33,227.03,224.53,0.595,18.403,187,6687.913,8179.941,0,98
2026-06-28,20789,20789,54131.164,12084271.69568,222.91,218.34,218.13,227.86,224.09,1.0,22.445,305,30404.742,23726.422,1,172
2026-06-29,49272,49366,215820.5,45401336.72258,218.39,211.95,202.43,218.39,210.81,1.238,40.92,712,104749.235,111071.265,39,329
2026-06-30,38324,38324,152800.997,33062062.64241,211.83,216.8,207.9,221.77,216.4,1.372,40.0,424,71296.783,81504.214,8,214
2026-07-01,56728,57443,234306.018,47182066.85837,216.8,189.36,188.85,218.43,201.72,1.271,40.92,828,115087.328,119218.69,505,421
2026-07-02,95011,96114,359425.501,67579901.70128,189.51,188.03,175.38,200.28,187.14,1.047,37.558,975,180931.612,178493.889,728,455
2026-07-03,58557,58557,241261.05,47568612.99482,187.98,203.69,184.26,205.95,198.4,1.44,34.514,723,111231.441,130029.609,48,295
2026-07-04,8125,8125,13670.633,2795310.09136,203.82,205.96,202.6,206.31,204.57,0.701,13.118,190,6417.554,7253.079,0,89
2026-07-05,32585,32585,70001.412,14634134.61567,205.97,210.06,205.38,212.22,209.04,0.769,22.03,450,34427.879,35573.533,66,210
2026-07-06,95473,95473,367722.525,75968685.72378,209.93,200.43,198.16,215.73,207.11,1.285,36.463,792,185024.848,182697.677,32,389
2026-07-07,101067,101139,431063.56,83295171.92956,200.46,188.57,185.72,202.78,193.29,1.066,39.415,895,209492.692,221570.868,192,377
2026-07-08,112741,112741,556631.2880000001,103887967.50477,188.88,192.65,173.4,198.86,186.84,1.8,43.523,901,278842.44,277788.848,441,434
2026-07-09,94637,94637,509608.578,96593616.7766,192.81,194.23,179.14,198.29,190.69,2.061,52.577,719,252315.084,257293.494,11,362
2026-07-10,79488,79865,371295.852,70747528.59386,194.14,190.85,184.16,197.65,190.17,2.44,38.36,542,186089.743,185206.109,1,282
2026-07-11,10488,10488,17298.169,3301488.63063,190.97,190.1,189.55,192.4,190.96,0.786,13.334,183,8623.547,8674.622,0,67
2026-07-12,19624,19624,56708.598,10744873.71621,190.13,188.54,187.36,192.31,189.84,1.1175000000000002,25.0,212,28451.349,28257.249,0,101
2026-07-13,117308,117308,640882.524,112951808.79825,188.72,169.86,161.44,194.02,174.0,2.1254999999999997,50.0,927,328074.903,312807.621,1047,430
2026-07-14,128487,128487,653257.903,116534764.80598,169.94,189.92,165.78,190.25,178.68,1.345,50.0,922,331324.594,321933.309,135,347
2026-07-15,101392,101392,412975.024,74778664.61512,189.92,176.61,169.07,190.62,182.95,1.149,44.721,764,192119.206,220855.818,4,310
2026-07-16,118651,118651,469301.973,80174936.79312,176.88,163.92,162.17,178.54,170.37,1.061,49.401,591,242537.962,226764.011,16,287
2026-07-17,157436,157436,564787.117,92786524.33558,163.86,168.5,154.02,177.01,164.11,1.019,38.274,803,275192.132,289594.985,376,395
2026-07-18,15479,15479,38726.731,6490668.18712,168.48,165.27,165.0,170.22,167.69,0.648,28.708,291,18900.472,19826.259,0,146
2026-07-19,33690,33690,126426.889,20974736.63635,165.26,162.67,161.26,169.85,167.01,0.9335,50.0,418,66007.941,60418.948,0,182
2026-07-20,110660,110660,374555.15,62874352.99571,162.64,167.82,161.95,173.85,168.05,1.127,35.725,515,194798.436,179756.714,0,231
2026-07-21,97087,97087,327235.247,57521109.82467,167.65,184.9,165.03,186.18,177.99,1.038,42.826,644,163633.387,163601.86,69,288
2026-07-22,102092,102092,318766.81,57334339.91671,184.81,182.14,173.63,186.13,179.52,1.088,31.607,557,161662.089,157104.721,5,273
2026-07-23,80718,80718,288191.098,52473016.28597,182.19,180.8,177.0,185.81,182.5,1.084,36.552,435,140900.874,147290.224,3,194
2026-07-24,91983,91983,372371.875,63650716.41754,180.89,164.58,163.47,180.89,170.88,1.189,43.315,588,193852.449,178519.426,69,272
2026-07-25,18909,18909,39500.544,6693936.01552,164.55,171.89,164.49,172.54,169.72,0.871,17.68,326,18993.86,20506.684,0,128
2026-07-26,21872,21872,58898.464,10277854.52275,171.87,177.32,170.74,178.74,172.72,1.0885,29.107,317,29546.227,29352.237,3,160
2026-07-27,123901,124522,498949.875,83684253.8212,177.27,163.21,161.04,177.3,168.63,1.32,42.59,616,232193.317,266756.558,74,280
2026-07-28,163904,164267,820407.7880000001,124372727.39064,163.23,155.17,142.77,163.9,151.56,1.777,50.0,925,439373.799,381033.989,893,420
2026-07-29,275885,276291,1950756.718,283113975.66083,155.23,147.95,131.69,160.47,146.3,2.07,78.002,1152,953963.543,996793.175,1025,515
2026-07-30,203030,203030,1674955.558,255860187.30385,147.94,172.55,141.26,173.17,150.37,3.04,86.904,1167,821792.498,853163.06,112,520
