a,b,px,horizon,n,rank_corr,same_sign
MU,AMD,micro,10s,63,0.8301651305683565,0.7142857142857143
MU,AMD,micro,30s,63,0.7812980030721967,0.7142857142857143
MU,AMD,micro,60s,63,0.7572964669738864,0.7301587301587301
MU,KIOXIA,mid,ALL,567,0.8354625857487551,0.8342151675485009
MU,KIOXIA,mid,100ms,63,0.4016897081413211,0.6984126984126984
MU,KIOXIA,mid,300ms,63,0.4087941628264209,0.7301587301587301
MU,KIOXIA,mid,500ms,63,0.3922331029185868,0.7936507936507936
MU,KIOXIA,mid,1s,63,0.48929531490015366,0.7936507936507936
MU,KIOXIA,mid,3s,63,0.6568260368663595,0.9047619047619048
MU,KIOXIA,mid,5s,63,0.7138056835637481,0.8888888888888888
MU,KIOXIA,mid,10s,63,0.7743855606758833,0.8888888888888888
MU,KIOXIA,mid,30s,63,0.8023713517665131,0.8888888888888888
MU,KIOXIA,mid,60s,63,0.8347254224270353,0.9206349206349206
MU,KIOXIA,micro,ALL,567,0.47091441463859723,0.5767195767195767
MU,KIOXIA,micro,100ms,63,0.5674923195084485,0.6190476190476191
MU,KIOXIA,micro,300ms,63,0.4260752688172043,0.5873015873015873
MU,KIOXIA,micro,500ms,63,0.41402649769585254,0.5396825396825397
MU,KIOXIA,micro,1s,63,0.4486367127496161,0.5714285714285714
MU,KIOXIA,micro,3s,63,0.4208429339477727,0.6190476190476191
MU,KIOXIA,micro,5s,63,0.4242031490015361,0.5873015873015873
MU,KIOXIA,micro,10s,63,0.5039362519201229,0.5555555555555556
MU,KIOXIA,micro,30s,63,0.5543394777265745,0.5079365079365079
MU,KIOXIA,micro,60s,63,0.68409178187404,0.6031746031746031
MU,SKHX,mid,ALL,594,0.9355521001389464,0.9191919191919192
MU,SKHX,mid,100ms,66,0.890241102181401,0.9242424242424242
MU,SKHX,mid,300ms,66,0.9192986118359254,0.8939393939393939
MU,SKHX,mid,500ms,66,0.871620916397036,0.9393939393939394
MU,SKHX,mid,1s,66,0.8524579897714227,0.9090909090909091
MU,SKHX,mid,3s,66,0.8235674772988207,0.8787878787878788
MU,SKHX,mid,5s,66,0.9012629161882896,0.9242424242424242
MU,SKHX,mid,10s,66,0.8940820373656195,0.9242424242424242
MU,SKHX,mid,30s,66,0.9196743554952511,0.9545454545454546
MU,SKHX,mid,60s,66,0.9052708485544309,0.9242424242424242
MU,SKHX,micro,ALL,594,0.8373574622756249,0.8569023569023569
MU,SKHX,micro,100ms,66,0.803193821104269,0.8636363636363636
MU,SKHX,micro,300ms,66,0.765410708694291,0.8484848484848485
