a,b,px,horizon,n,rank_corr,same_sign
SKHX,SNDK,micro,500ms,69,0.7676653270003655,0.855072463768116
SKHX,SNDK,micro,1s,69,0.772378516624041,0.8840579710144928
SKHX,SNDK,micro,3s,69,0.7440993788819877,0.8115942028985508
SKHX,SNDK,micro,5s,69,0.7768359517720133,0.7971014492753623
SKHX,SNDK,micro,10s,69,0.8177932042382172,0.8405797101449275
SKHX,SNDK,micro,30s,69,0.8483741322616003,0.8115942028985508
SKHX,SNDK,micro,60s,69,0.8672634271099746,0.8260869565217391
SMSN,SNDK,mid,ALL,603,0.9111159128123437,0.9253731343283582
SMSN,SNDK,mid,100ms,67,0.7714901428685451,0.8656716417910447
SMSN,SNDK,mid,300ms,67,0.7787931997765186,0.8656716417910447
SMSN,SNDK,mid,500ms,67,0.8014207039667972,0.9402985074626866
SMSN,SNDK,mid,1s,67,0.7518556947880917,0.8805970149253731
SMSN,SNDK,mid,3s,67,0.7476255088195388,0.9402985074626866
SMSN,SNDK,mid,5s,67,0.7563253252454308,0.9402985074626866
SMSN,SNDK,mid,10s,67,0.7692553276398756,0.9402985074626866
SMSN,SNDK,mid,30s,67,0.7913640354377844,0.9701492537313433
SMSN,SNDK,mid,60s,67,0.7715300502833428,0.9850746268656716
SMSN,SNDK,micro,ALL,603,0.6502349969367264,0.6666666666666666
SMSN,SNDK,micro,100ms,67,0.4336738766062735,0.6119402985074627
SMSN,SNDK,micro,300ms,67,0.36100247425971754,0.5671641791044776
SMSN,SNDK,micro,500ms,67,0.3865033123154283,0.5970149253731343
SMSN,SNDK,micro,1s,67,0.5436188043738527,0.7014925373134329
SMSN,SNDK,micro,3s,67,0.577380477292681,0.6268656716417911
SMSN,SNDK,micro,5s,67,0.6457418788410888,0.7014925373134329
SMSN,SNDK,micro,10s,67,0.6965440178785219,0.6865671641791045
SMSN,SNDK,micro,30s,67,0.7430760635326045,0.7313432835820896
SMSN,SNDK,micro,60s,67,0.7620320855614975,0.7761194029850746
