d,buy_sz,sell_sz,buy_usd,sell_usd,n_buy,n_sell,volume_usd,net_usd,buy_share,z_hac
2026-05-30,2651.27,2859.0660000000003,1374896.75138,1480474.78794,2598,2084,2855371.53932,-105578.03655999992,48.151238199545425,-0.48366570193097014
2026-05-31,3995.732,3471.931,2094278.575,1813437.1886,4743,4221,3907715.7636,280841.38639999996,53.59342136672286,0.8248122543582186
2026-06-01,18452.448,22966.893,9304123.54224,11577733.00187,10677,8868,20881856.54411,-2273609.4596300013,44.55601695465315,-1.197177969830776
2026-06-02,27936.814,22515.569,14254576.2182,11461629.77597,8296,7753,25716205.994170003,2792946.442229999,55.43032366995189,1.0937339558912735
2026-06-03,52655.928,50451.234,28257240.63477,27099589.26385,13234,11865,55356829.898619995,1157651.3709199987,51.045626504480225,0.202476240790549
2026-06-04,13176.662,15453.617,6850913.02791,8027937.92635,6960,7789,14878850.95426,-1177024.8984400006,46.04463778130998,-1.4466153614684636
2026-06-05,36910.98,46180.854,17949145.96079,22499330.33084,15449,20664,40448476.29163,-4550184.370049998,44.375332784795695,-1.5603179526301958
2026-06-06,27597.797,30047.943,12313698.21093,13327102.95401,18716,13184,25640801.16494,-1013404.7430800013,48.02384345059841,-0.2545213408952435
2026-06-07,9351.572,8840.914999999999,4317589.83544,4080667.28589,10903,6876,8398257.12133,236922.54954999965,51.410545939039295,0.40107784183298034
2026-06-08,27869.027,25485.072,13406281.98105,12233619.37559,15900,12478,25639901.35664,1172662.6054599993,52.28679234983935,0.9704831266990881
2026-06-09,46478.696,47601.718,22165369.12065,22338802.02334,20261,18760,44504171.14399,-173432.90269000083,49.805149834013456,-0.050548327765051485
2026-06-10,23057.858,21810.235,10719111.16405,10061735.69959,14883,14704,20780846.86364,657375.4644600004,51.581685936029395,0.34958676346304207
2026-06-11,29691.368,23186.378,13972437.79345,10933741.26544,15831,14011,24906179.05889,3038696.5280099995,56.10028644061597,1.406657168093649
2026-06-12,36712.399,36407.252,18633679.411790002,18499576.92008,16435,11831,37133256.331870005,134102.49171000347,50.180569259145344,0.024822193190580558
2026-06-13,4171.619,3065.964,2142716.75824,1572977.13929,5863,3531,3715693.8975299997,569739.6189499998,57.666665159483856,1.6513015711863717
2026-06-14,3961.562,4948.322,2057011.66733,2567647.70645,6143,5564,4624659.37378,-510636.03911999986,44.47920378725506,-1.4739244635957243
2026-06-15,38947.519,30100.951,21235480.70426,16324122.1523,14390,13207,37559602.85656,4911358.551959999,56.538086372633465,1.2239860980609936
2026-06-16,19270.126,39884.491,10236414.78984,21180414.59895,13467,15138,31416829.388789997,-10943999.809109999,32.58258388573262,-4.1198537641706
2026-06-17,22596.45,14965.057999999999,11754591.965119999,7785426.61074,10275,13060,19540018.57586,3969165.3543799985,60.156503533941255,1.5707012951477823
2026-06-18,19872.092,29896.283,10561632.06339,15987146.23072,13271,9069,26548778.29411,-5425514.167330001,39.781989010519396,-1.3102362257580438
2026-06-19,4062.829,3538.538,2173831.67653,1893810.01027,5187,3147,4067641.6868,280021.66625999985,53.44206407325287,0.9713505112521995
2026-06-20,2599.491,2107.273,1402013.5584,1136907.19952,3085,2710,2538920.75792,265106.35887999996,55.22084744183169,1.4959839424897716
2026-06-21,1398.739,1822.094,754252.73959,980994.56244,2199,2767,1735247.30203,-226741.82285,43.466584774840356,-1.824932032320595
2026-06-22,17258.162,15767.225,9375299.56527,8575431.49714,9470,11323,17950731.062409997,799868.0681299996,52.2279540185552,1.0196682081378579
2026-06-23,20844.074,21481.241,10942407.96852,11301276.73833,9139,10788,22243684.70685,-358868.7698099986,49.193324364781425,-0.39166443204062834
2026-06-24,13266.143,13622.08,6950386.0589,7113361.40563,6328,6197,14063747.464529999,-162975.34673000034,49.42058349973562,-0.28271020942346303
2026-06-25,21382.113,17518.754,11292429.67613,9265800.71867,7237,6175,20558230.3948,2026628.957460001,54.92899660754025,1.1859388981275418
2026-06-26,24415.332,27851.836,12635146.31924,14395248.88017,11766,9862,27030395.19941,-1760102.5609300006,46.74421600582367,-1.1248071577101675
2026-06-27,1795.022,3325.712,933135.42621,1727811.49831,1572,2273,2660946.92452,-794676.0721,35.06779551337069,-3.599798455916754
2026-06-28,5773.9,4962.079,3017045.87731,2587312.2944,3033,2518,5604358.171709999,429733.5829099999,53.83392325885982,0.8352892071055132
2026-06-29,30997.13,34109.963,16317231.97656,17895095.60891,11559,10984,34212327.585470006,-1577863.6323500015,47.69401303023281,-0.7783467124876682
2026-06-30,21511.561,19599.066,12137633.10985,11092055.40685,9191,7203,23229688.5167,1045577.7029999997,52.25052028194077,1.0267048241946892
