band,n,sz_pl,sz_fl,szt,n_fill,n_rf_fill,n_canc,n_rf_canc,dt
-1,2,13363,0,95548986219019.0,0,0,2,0,2026-05-13
3,52642,398956386,5647622,1.1603447301726612e+18,1598,66,51044,3567,2026-05-13
6,350087,3452444078,16887384,1.188373710920353e+19,3039,234,347048,43694,2026-05-13
5,280224,2850471925,21467692,8.14769454952984e+18,6255,274,273969,28016,2026-05-13
2,40557,265730252,4312019,7.133513404863297e+17,1478,122,39079,2402,2026-05-13
1,75604,338359988,10276952,1.1276256255170213e+18,3403,577,72201,7834,2026-05-13
7,500230,4219243620,12494403,2.6350588952179823e+19,2391,106,497839,101937,2026-05-13
4,109926,840491978,10053096,2.881111499709064e+18,4029,138,105897,8937,2026-05-13
8,1141536,38074680226,7351869,7.088527106982753e+20,2373,50,1139163,187302,2026-05-14
7,592059,5311991465,9777637,3.2940665475975627e+19,1552,69,590507,132853,2026-05-14
-1,21,118790,148,2557015477092033.0,1,0,20,0,2026-05-14
1,112303,525965429,11257572,1.1031994407031168e+18,2615,234,109688,10126,2026-05-14
2,72026,483706825,5728168,8.894783529934111e+17,1705,109,70321,5790,2026-05-14
6,425403,4341165279,14058953,1.5525082486858058e+19,2340,196,423063,52898,2026-05-14
3,89956,620357109,7463293,1.3150966345713981e+18,2045,127,87911,7251,2026-05-14
4,135193,978917693,11346089,2.8892297127541504e+18,3292,178,131901,9836,2026-05-14
0,325401,1966031220,98715377,9.319592140020908e+18,20180,2197,305221,22070,2026-05-14
5,323605,3073697470,19592602,9.59400374712717e+18,4578,245,319027,27962,2026-05-14
3,105042,866895361,8247214,1.67258573772039e+18,2162,136,102880,7561,2026-05-15
7,806243,7256495247,10419948,2.7089065269352014e+19,1921,114,804322,159799,2026-05-15
0,351846,2208133567,99108843,5.380810563800261e+18,24938,2120,326908,22033,2026-05-15
8,1543088,46709604005,13183003,7.230390975637185e+20,4159,98,1538929,269874,2026-05-15
5,459520,5412756175,24218593,1.1413908438629102e+19,4820,307,454700,43634,2026-05-15
4,187982,1788080322,12938808,3.616678690713388e+18,3168,194,184814,15462,2026-05-15
1,137340,828399483,13450180,1.5316911179192873e+18,2833,245,134507,9149,2026-05-15
6,550641,6427797674,16147750,1.4889356935356076e+19,2987,209,547654,57263,2026-05-15
2,77633,597820301,8403579,1.3250666322197606e+18,1716,100,75917,4732,2026-05-15
4,18017,20019791,742346,6.058618938826447e+17,770,22,17247,714,2026-05-16
6,31695,87268883,1111862,2.798750933539164e+18,711,48,30984,2773,2026-05-16
1,35792,21206884,889096,2.7585086137559555e+17,1644,100,34148,1274,2026-05-16
0,56991,45806415,5051406,2.408085533795177e+18,6315,358,50676,1547,2026-05-16
-1,4,167903,20557,5612553136234225.0,0,0,4,0,2026-05-16
5,33798,40942432,899505,1.5674696500241946e+18,1087,54,32711,2006,2026-05-16
2,9573,13854512,856540,1.7435571739589407e+18,604,31,8969,355,2026-05-16
3,11183,11497345,533257,2.8200163089803728e+17,646,22,10537,443,2026-05-16
7,49425,143171740,1141919,6.445718209798313e+18,649,44,48776,5269,2026-05-16
8,196926,5590474885,2738977,3.955554308726521e+20,897,72,196029,51994,2026-05-16
8,287763,4623491199,1352541,3.246986385239816e+20,755,63,287008,68666,2026-05-17
5,52759,57964637,1101815,1.0960080809792271e+18,1750,53,51009,2519,2026-05-17
-1,11,101833,0,4279248998771307.0,0,0,11,3,2026-05-17
2,13405,22780544,1031609,2.4249469538616154e+17,927,23,12478,501,2026-05-17
3,16475,21832080,770028,2.7557308443912662e+17,891,19,15584,658,2026-05-17
7,75597,223550805,1192910,5.124972006447863e+18,733,57,74864,7710,2026-05-17
0,88127,94701241,7031085,1.3248419877841539e+18,7929,524,80198,2417,2026-05-17
