metric,unit,side,day_type,hor,hor_ms,bin_i,n_up,n_dn,n,p_up,base,diff,lo,hi
refill_size,枚,買い,立会日,100ms,100,5,204,142,3019,0.5895953757225434,0.4942997179352431,0.09529565778730031,0.023271466415409867,0.1529029378924686
refill_size,枚,買い,立会日,500ms,500,0,195294,248803,925937,0.43975527868911524,0.5006884909249568,-0.06093321223584158,-0.07256339756594567,-0.04566983560336349
refill_size,枚,買い,立会日,500ms,500,1,89353,87377,306111,0.5055904487070673,0.5006884909249568,0.004901957782110444,-0.011723775587676314,0.024094992342564764
refill_size,枚,買い,立会日,500ms,500,2,124384,107525,386397,0.5363483090350094,0.5006884909249568,0.03565981811005259,0.03015153095894631,0.04261735280260967
refill_size,枚,買い,立会日,500ms,500,3,91333,65281,227435,0.5831726410154903,0.5006884909249568,0.08248415009053345,0.07247346853167394,0.09240279625355001
refill_size,枚,買い,立会日,500ms,500,4,24538,14994,51601,0.6207123343114439,0.5006884909249568,0.12002384338648708,0.10583048211942372,0.13325411346907767
refill_size,枚,買い,立会日,500ms,500,5,1062,642,3019,0.6232394366197183,0.5006884909249568,0.12255094569476144,0.09869986879320157,0.15832880672435856
refill_size,枚,買い,立会日,500ms,500,6,184,79,449,0.6996197718631179,0.5006884909249568,0.19893128093816104,0.1573982940849051,0.2443089042300314
refill_size,枚,買い,立会日,1s,1000,0,263400,314561,925930,0.4557400931896789,0.5065078496353367,-0.050767756445657786,-0.05890856889317012,-0.03968488832504646
refill_size,枚,買い,立会日,1s,1000,1,117841,108654,306105,0.5202808009006822,0.5065078496353367,0.013772951265345501,-0.0017069348141515695,0.034657993261121255
refill_size,枚,買い,立会日,1s,1000,2,153992,133963,386393,0.5347780035074925,0.5065078496353367,0.028270153872155812,0.022241557574284917,0.03507235005267634
refill_size,枚,買い,立会日,1s,1000,3,106184,77911,227431,0.5767891577718026,0.5065078496353367,0.07028130813646594,0.06212799111280966,0.07947993808312563
refill_size,枚,買い,立会日,1s,1000,4,27118,16886,51599,0.6162621579856377,0.5065078496353367,0.10975430835030098,0.09901092849572647,0.123290564642092
refill_size,枚,買い,立会日,1s,1000,5,1272,757,3019,0.6269098077870873,0.5065078496353367,0.12040195815175059,0.09997606141950559,0.15047192394129308
refill_size,枚,買い,立会日,1s,1000,6,234,91,449,0.72,0.5065078496353367,0.2134921503646633,0.16004620441871734,0.2707688150529001
refill_size,枚,買い,立会日,3s,3000,0,373046,412280,925900,0.4750205647081594,0.5064404804159512,-0.031419915707791846,-0.03795600635040158,-0.024046170165651908
refill_size,枚,買い,立会日,3s,3000,1,144069,130383,306099,0.5249333216737353,0.5064404804159512,0.018492841257784054,0.004970952923071787,0.03320504878466681
refill_size,枚,買い,立会日,3s,3000,2,183037,165772,386382,0.5247485013288075,0.5064404804159512,0.018308020912856215,0.014602665556510809,0.02291757061533228
refill_size,枚,買い,立会日,3s,3000,3,115130,93606,227424,0.5515579487965659,0.5064404804159512,0.0451174683806147,0.039601692838576175,0.05205817608334176
refill_size,枚,買い,立会日,3s,3000,4,27616,20177,51594,0.5778252045278597,0.5064404804159512,0.07138472411190844,0.06262734833290089,0.08085212478568359
refill_size,枚,買い,立会日,3s,3000,5,1512,900,3018,0.6268656716417911,0.5064404804159512,0.12042519122583983,0.09732146701535102,0.15051618268974873
refill_size,枚,買い,立会日,3s,3000,6,276,84,449,0.7666666666666667,0.5064404804159512,0.2602261862507155,0.23213772551681577,0.29007945651823647
refill_size,枚,買い,立会日,5s,5000,0,400891,434999,925871,0.47959779396810587,0.5047181145577506,-0.02512032058964475,-0.029835882512098774,-0.018139598454484065
refill_size,枚,買い,立会日,5s,5000,1,149148,136858,306087,0.521485563239932,0.5047181145577506,0.016767448682181385,0.005055646077875839,0.031480936755651
refill_size,枚,買い,立会日,5s,5000,2,188527,174644,386373,0.5191135856111859,0.5047181145577506,0.014395471053435305,0.01082169223520935,0.018634244474035153
refill_size,枚,買い,立会日,5s,5000,3,116446,98462,227416,0.5418411599382061,0.5047181145577506,0.03712304538045552,0.031675783010594524,0.04430555009785014
refill_size,枚,買い,立会日,5s,5000,4,27488,21527,51589,0.5608079159440987,0.5047181145577506,0.056089801386348115,0.0484514929287769,0.06671870616525377
refill_size,枚,買い,立会日,5s,5000,5,1539,1181,3018,0.5658088235294118,0.5047181145577506,0.061090708971661134,-0.032890366924636746,0.12557255971724654
refill_size,枚,買い,立会日,5s,5000,6,266,101,449,0.7247956403269755,0.5047181145577506,0.2200775257692249,0.16710419648876101,0.28275648539144926
refill_size,枚,買い,立会日,10s,10000,0,425483,450640,925813,0.4856429976156316,0.5038865478012914,-0.018243550185659763,-0.022924283197654903,-0.013404660241308885
refill_size,枚,買い,立会日,10s,10000,1,152018,142778,306067,0.5156718544349312,0.5038865478012914,0.011785306633639858,0.002659230576958313,0.022762258913896737
refill_size,枚,買い,立会日,10s,10000,2,192056,181476,386351,0.5141621065932771,0.5038865478012914,0.010275558791985717,0.006619078445554078,0.013999573189186152
refill_size,枚,買い,立会日,10s,10000,3,117029,102722,227394,0.5325527528884966,0.5038865478012914,0.028666205087205188,0.0235929446279693,0.03552789747690881
refill_size,枚,買い,立会日,10s,10000,4,27105,22771,51581,0.5434477504210442,0.5038865478012914,0.03956120261975282,0.03166302303380784,0.049111096041702655
refill_size,枚,買い,立会日,10s,10000,5,1752,1084,3017,0.6177715091678421,0.5038865478012914,0.11388496136655069,0.06076366085433109,0.16953001329016282
refill_size,枚,買い,立会日,10s,10000,6,267,113,449,0.7026315789473684,0.5038865478012914,0.198745031146077,0.13660010798646455,0.2768391474411816
refill_size,枚,買い,立会日,30s,30000,0,445244,460304,925569,0.4916845931966058,0.5019045545187446,-0.010219961322138815,-0.01403814205138544,-0.006291459808571578
