feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,1,1,3,0.5,841468.0,29785.0,17574.76324257387,-28795.307569871944,-13841.624327298068,7124.669
obi,1,1,3,1.0,841468.0,59474.0,16382.935698329924,-64080.94599030412,-52931.72229197422,29234.412000000008
obi,1,1,3,3.0,841468.0,154182.0,-15571.334832387445,-172335.17783476683,-201474.52866715426,208280.10699999996
obi,1,1,3,5.0,841468.0,218959.0,-45948.397719350825,-249811.56516584358,-315028.3548851942,460610.362
obi,1,1,3,10.0,841468.0,322827.0,-98835.2485443285,-385651.7486824364,-512895.7732267649,1208891.9700000004
obi,1,1,3,30.0,841468.0,499247.0,-172995.46017929114,-640752.9398811584,-857682.1360604485,4393424.022999997
obi,1,1,3,60.0,841468.0,591746.0,-207459.54573160727,-813357.1673350544,-1072890.3610666606,8359867.472000005
obi,1,1,4,0.1,807380.0,6122.0,7081.951782878338,-4266.055922408414,2277.1598604699243,294.88699999999994
obi,1,1,4,0.5,807380.0,24657.0,15963.32014862905,-23527.529334593037,-9734.025185963994,6041.1140000000005
obi,1,1,4,1.0,807380.0,50454.0,15493.714201569957,-54034.91547674576,-42981.15327517581,25294.749
obi,1,1,4,3.0,807380.0,137614.0,-12159.621110119573,-156893.297144164,-181162.95025428367,190429.6529999999
obi,1,1,4,5.0,807380.0,198366.0,-39469.50091758096,-228230.3587614427,-285156.0676790236,426954.13399999985
obi,1,1,4,10.0,807380.0,296772.0,-86992.11649781381,-353869.4722757968,-466977.5247736107,1137529.7620000017
obi,1,1,4,30.0,807380.0,466435.0,-150047.58950180802,-613620.9180520369,-804714.7875538445,4208740.048999994
obi,1,1,4,60.0,807380.0,555855.0,-170999.18295502366,-792008.8312414151,-1011923.2541964379,8047750.282000015
obi,1,1,5,0.1,874539.0,5568.0,5997.75767314824,-3742.8776565188546,1764.8960166293884,275.23199999999997
obi,1,1,5,0.5,874539.0,23893.0,14338.240013107881,-22240.136892430543,-10004.480879322664,5976.642999999999
obi,1,1,5,1.0,874539.0,50412.0,13595.211668181706,-54002.470128894114,-44843.514460712424,25736.262000000006
obi,1,1,5,3.0,874539.0,143277.0,-18950.09589048923,-160451.5096559047,-192009.98154639406,202867.58600000007
obi,1,1,5,5.0,874539.0,209599.0,-51725.62867070314,-241332.92964355648,-311503.2703142597,461711.827
obi,1,1,5,10.0,874539.0,316766.0,-105080.31423336586,-374371.4420482877,-507327.1642816536,1234814.7300000007
obi,1,1,5,30.0,874539.0,500455.0,-176310.492916423,-624413.0658442624,-844763.5987606854,4557869.155999998
obi,1,1,5,60.0,874539.0,598751.0,-194194.39935655674,-829538.9334925433,-1076423.4208490988,8763178.409999996
obi,1,1,6,0.1,826821.0,4448.0,4539.4798211791285,-3173.516697935566,974.5391232435602,220.55900000000005
obi,1,1,6,0.5,826821.0,20270.0,10989.450250263846,-19272.827058754167,-10067.136808490308,5196.339000000002
obi,1,1,6,1.0,826821.0,44707.0,9139.200547537575,-46975.01499190422,-41770.03044436665,23467.882999999998
