feat,target,direction,day_type,n,pearson,spearman,partial_sp,beta,t,n_sub
bid_first_gap,回復力 5s,前向き,閉場日,7248939,-0.04445484924460064,-0.05798398709476047,-0.056270625254492106,-0.011443375245678835,-119.80801223821038,70674
depth_disc,|OBI|,同時点,立会日,39151921,0.03625626098101509,0.043300537332746324,NaN,0.007081873603517207,227.01009608124167,385992
depth_disc,|OBI|,同時点,閉場日,16402370,0.06842133588937649,0.07328731177629179,NaN,0.013273958698789504,277.756213011077,162018
depth_disc,|OFI|,同時点,立会日,39151854,0.02783411918629092,0.019356313868247474,NaN,0.3872118991619724,174.22959824319594,385992
depth_disc,|OFI|,同時点,閉場日,16402339,0.013487147938024984,0.006104668769842133,NaN,0.03656281815495754,54.627646436995356,162018
depth_disc,回復力 10s,前向き,立会日,19477593,0.003927335778052472,0.0032092314319236916,0.007398183771343095,0.002600919476699685,17.332811117048518,190051
depth_disc,回復力 10s,前向き,閉場日,7257044,-0.011343892325580458,-0.013455309077656595,0.008961506518141385,-0.006580181761303402,-30.561161720138415,70729
depth_disc,回復力 1s,前向き,立会日,19479122,0.008469216754835935,0.0061002924845476245,0.008367995653387344,0.004961575818544787,37.38036094027354,190069
depth_disc,回復力 1s,前向き,閉場日,7257795,-0.003059496057337306,-0.008023657709723579,0.011404931599636932,-0.0012132648313143985,-8.242410104807588,70740
depth_disc,回復力 2s,前向き,立会日,19478925,0.007592323433222223,0.0036043494621294265,0.006339195173719017,0.004702066477815103,33.509634328210105,190069
depth_disc,回復力 2s,前向き,閉場日,7257690,-0.005755947386857579,-0.01684325754681284,0.0035942734352059466,-0.0026172286057313597,-15.50683469124069,70740
depth_disc,回復力 30s,前向き,立会日,19473437,0.003052521624936786,0.0025115294319395954,0.007184942988616973,0.0020598108485729003,13.470448483086429,190010
depth_disc,回復力 30s,前向き,閉場日,7255108,-0.009460220439672993,-0.00601639439411634,0.01653011751117082,-0.006010984917716913,-25.482531632266042,70712
depth_disc,回復力 5s,前向き,立会日,19478341,0.005494032302342632,0.007023032664246533,0.0107561591977219,0.0035645475945356216,24.24787715291311,190069
depth_disc,回復力 5s,前向き,閉場日,7257434,-0.00967090354265196,-0.013307229341531725,0.008341078890780385,-0.005128311238054848,-26.054266391437622,70740
dist_next_ask_bp,|OBI|,同時点,立会日,39094864,-0.029126578460120706,-0.03542149553060308,NaN,-0.007631433612312095,-182.19380645613998,385464
dist_next_ask_bp,|OBI|,同時点,閉場日,16395037,-0.07694641689315762,-0.08136004272998455,NaN,-0.022317141986425686,-312.4885228935191,161952
dist_next_ask_bp,|OFI|,同時点,立会日,39094799,-0.007854532510436123,-0.05140730726064166,NaN,-0.14511438065772275,-49.11263321697432,385464
dist_next_ask_bp,|OFI|,同時点,閉場日,16395006,0.006492033240433849,0.04624232183604181,NaN,0.026238833301454722,26.28727996544291,161952
dist_next_ask_bp,回復力 10s,前向き,立会日,19463459,0.06415491981598974,0.06215852978888604,-0.0801049350006791,0.05435664667587488,283.6191473743659,189918
dist_next_ask_bp,回復力 10s,前向き,閉場日,7255296,0.08091470744934237,0.12141502831201385,-0.08925794204322678,0.06692318149271799,218.66604744118686,70715
dist_next_ask_bp,回復力 1s,前向き,立会日,19464988,0.007454003881162271,0.01610956041811036,-0.07825775476073443,0.005586811295017216,32.88733846167777,189936
dist_next_ask_bp,回復力 1s,前向き,閉場日,7256047,0.035973684213713525,0.10000669258950047,-0.08629312269711725,0.02033814732958168,96.96524413237096,70726
dist_next_ask_bp,回復力 2s,前向き,立会日,19464791,0.02479234748417868,0.02677805306418432,-0.080268881830942,0.019644112524341215,109.41478549382477,189936
dist_next_ask_bp,回復力 2s,前向き,閉場日,7255942,0.05038876129269685,0.11028543091954582,-0.08369473083557935,0.032666147675217465,135.90410271173516,70726
dist_next_ask_bp,回復力 30s,前向き,立会日,19459303,0.08061085882963685,0.07724894652230704,-0.07397355237988354,0.06958958011367941,356.7572580630023,189877
dist_next_ask_bp,回復力 30s,前向き,閉場日,7253360,0.09625355752114252,0.11660686447717322,-0.09753446532466697,0.087206051020626,260.4399110393183,70698
dist_next_ask_bp,回復力 5s,前向き,立会日,19464207,0.048267782727406776,0.052217517821232684,-0.07695769543689361,0.04006492514274646,213.19753518314374,189936
dist_next_ask_bp,回復力 5s,前向き,閉場日,7255686,0.06762057170501144,0.11594537831462759,-0.08892564933556472,0.05112580230316895,182.56318762312858,70726
