dt,day_type,kappa_売り,kappa_買い,t_half_売り,t_half_買い,n_売り,n_買い,asym
2026-05-19,立会日,1.401948581168649,1.421636225531332,494.4169778196469,487.5700042750977,9811,8543,0.006972570583312005
2026-05-20,立会日,1.2835687036383214,1.5905912878905721,540.0156557470693,435.78005619592517,7166,8950,0.10682167490924253
2026-05-21,立会日,1.3774228163338442,1.4880723592036162,503.22034188807,465.8020683909397,11221,10330,0.03861445791791231
2026-05-22,立会日,1.1949326621768606,1.2315387711913255,580.0721684996115,562.8301746950062,11973,12600,0.015086148763619266
2026-05-23,閉場日,1.2320710586297081,1.2733437246612136,562.5873329111587,544.3519963637527,1460,2296,0.01647338648544767
2026-05-24,閉場日,1.2753698001066884,1.6079001655171052,543.4881084805462,431.08957839632046,1562,1028,0.11533098508813207
2026-05-25,閉場日,1.7896983245199014,1.5527046929874646,387.2983346206611,446.41275555514875,1851,1659,-0.0709051632286933
2026-05-26,立会日,1.349194924822495,1.453398332300132,513.7487326265298,476.91480384663595,11630,10487,0.03718106693249552
2026-05-27,立会日,1.3094679201817832,1.3140001613949437,529.3349844450308,527.5092050400508,11078,11123,0.0017275762739360724
2026-05-28,立会日,1.3306353461405322,1.2622620252961845,520.9144508075768,549.130978092525,12169,13035,-0.02636946668138366
2026-05-29,立会日,1.3862562109545702,1.2972776947935551,500.01376014225184,534.30902523168,9965,10425,-0.03315721704518926
2026-05-30,閉場日,1.344367848454255,1.326727226577956,515.5933931006467,522.4490434297009,1675,2462,-0.006604265808878507
2026-05-31,閉場日,1.1398834173217944,1.1319046060137465,608.0860288226006,612.372435695811,3883,2691,-0.0035121284319181534
2026-06-01,立会日,1.2621250370475348,1.1440867484287822,549.1905800652983,605.8519439298381,13244,10709,-0.04905565226270659
2026-06-02,立会日,1.2590318220760894,1.2329067086509014,550.5398421280372,562.2057030474768,9849,9150,-0.010483851468666212
2026-06-03,立会日,1.2835890017430613,1.2891710648396837,540.0071064005465,537.6688939618284,13706,12783,0.0021696788476807684
2026-06-04,立会日,1.2676942322441302,1.2784060439251506,546.7778924361788,542.1964212210819,11569,12920,0.004207144463743078
2026-06-05,立会日,1.2639116860166666,1.2908259694464688,548.4142509548765,536.9795804420849,17085,18464,0.010535047844246467
2026-06-06,閉場日,1.777023077006504,1.131904606013812,390.06087739028743,612.3724356957756,8751,5553,-0.22177191779579433
2026-06-07,閉場日,1.1713058831511152,1.1319046060182054,591.7729864851361,612.3724356933988,5469,4543,-0.017107110842969578
2026-06-08,立会日,1.239345494013345,1.1896381290011486,559.2848800168791,582.65380342334,19990,18809,-0.020464265193565617
2026-06-09,立会日,1.3458365768781848,1.3582425089248087,515.0307195304321,510.3265256427912,21663,22221,0.004587858436448008
2026-06-10,立会日,1.250489774433474,1.219227936143694,554.3005592517163,568.5132041448346,25156,23313,-0.012658061346806389
2026-06-11,立会日,1.2767933453052263,1.1886192800878368,542.881260392412,583.153236845294,23669,21989,-0.035764425114571556
2026-06-12,立会日,1.2050908337609367,1.215730227261548,575.1825183168731,570.1488414261695,22048,22009,0.004394952469604465
2026-06-13,閉場日,1.0611372816221079,0.8496733456551075,653.2116331713331,815.7809207914718,2024,2884,-0.11066713412010015
2026-06-14,閉場日,0.9647789751606619,1.1919271922211645,718.4517888612959,581.5349885820592,3161,6700,0.1053218192148323
2026-06-15,立会日,1.241305215038575,1.1951082932975492,558.4018919832286,579.9869220616065,15686,15193,-0.01896103497331808
2026-06-16,立会日,1.2442886149314891,1.4844190488752393,557.0630256052855,466.94845440386297,15293,16507,0.08800152435851347
2026-06-17,立会日,1.4594229674148371,1.3445088190376324,474.946054755262,515.5393335806333,21378,19765,-0.040983218255317796
2026-06-18,立会日,1.352606300468851,1.3009867427406312,512.4530177921552,532.7857370012673,19241,17937,-0.019452703141619187
2026-06-19,閉場日,1.225203129622769,1.1744848233018466,565.7406277342586,590.1712536491449,5326,6659,-0.02113537564711678
