dt,side,n,sum_A,nq_0.1,A_0.1,spr_0.1,B_0.1,nB_0.1,nq_0.5,A_0.5,spr_0.5,B_0.5,nB_0.5,nq_1,A_1,spr_1,B_1,nB_1,nq_2,A_2,spr_2,B_2,nB_2,nq_5,A_5,spr_5,B_5,nB_5,nq_10,A_10,spr_10,B_10,nB_10,nq_30,A_30,spr_30,B_30,nB_30,nq_60,A_60,spr_60,B_60,nB_60,sum_B_1,n_B_1,sum_rest_1,sum_tot_1,sum_B_10,n_B_10,sum_rest_10,sum_tot_10
2026-06-03,-1,22583,13427.461546471543,1289,1.895650206985389,4213.445847224121,1619.7357272413087,1289,3264,8.275493801036044,10844.981625959861,5589.298532725092,3264,5392,191.98997044078135,17503.050804297112,10011.659264666761,5389,8600,918.870197509189,26987.704118550402,15947.706277835894,8595,15128,4982.710952741105,45780.531602429895,26622.737827446097,15118,22583,13427.461546471543,67443.66851670956,37982.5517924516,22569,22583,13427.461546471543,67443.66851670956,37982.5517924516,22569,22583,13427.461546471543,67443.66851670956,37982.5517924516,22569,31661.361352797983,22583,34167.72185382443,47595.18340029574,37982.5517924516,22569,34167.72185382443,47595.18340029574
2026-06-04,1,27261,-17880.076625783982,1496,21.149961631759552,4994.808464841149,-3483.877253554295,1496,4852,-49.12459611632795,16268.942699442696,-12158.904600296995,4851,8106,-389.57412875591115,27143.768916925805,-20159.73786183804,8097,12292,-1265.6719344441183,40130.45196043198,-29248.111797996407,12282,19758,-7159.287425054828,63716.69689908015,-47338.944767255,19748,27261,-17880.076625783982,87904.81852187446,-68367.53354764437,27251,27261,-17880.076625783982,87904.81852187446,-68367.53354764437,27251,27261,-17880.076625783982,87904.81852187446,-68367.53354764437,27251,-47661.340898899,27260,-62787.07483259651,-80667.15145838077,-68367.53354764437,27251,-62787.07483259651,-80667.15145838077
2026-06-04,-1,26504,19533.807091538278,1457,2.210932427999019,4939.482942788052,2836.059103195677,1457,4403,64.21625511877751,14803.435116250934,10905.401424445665,4403,7217,259.16035000820216,23917.19554954179,17005.147219395905,7215,11144,1397.0099506417637,36103.6183405837,24894.489794646383,11141,18622,7337.361320200958,59062.538747917555,41309.30209335683,18617,26504,19533.807091538278,83961.95110945792,58605.02469888114,26499,26504,19533.807091538278,83961.95110945792,58605.02469888114,26499,26504,19533.807091538278,83961.95110945792,58605.02469888114,26499,41303.90395611746,26504,54363.41682119219,73897.22391273039,58605.02469888114,26499,54363.41682119219,73897.22391273039
2026-06-05,1,30616,-29288.911832008846,1956,-28.624934252597157,5708.264206020679,-4648.85028687979,1956,6027,-66.00681799135316,18229.87904559493,-19318.88519360996,6026,9639,-470.77509665194106,29059.021931876116,-30512.142868759034,9637,14094,-1924.7974000023135,41697.64053437646,-44409.002023480956,14092,22192,-11832.313983356124,64928.05272771664,-72096.25794176433,22190,30616,-29288.911832008846,89828.2446486713,-104415.669824802,30614,30616,-29288.911832008846,89828.2446486713,-104415.669824802,30614,30616,-29288.911832008846,89828.2446486713,-104415.669824802,30614,-63285.41091499447,30616,-92788.97345477689,-122077.88528678582,-104415.669824802,30614,-92788.97345477689,-122077.88528678582
2026-06-05,-1,29902,29995.269089116373,2035,15.49265773055744,6027.206168836165,4214.98613559227,2034,5495,-80.4105903167546,16592.67341856467,14653.02943461431,5494,8752,393.743931887466,26609.881092231186,25356.20174769684,8750,13028,1889.9919519413006,38494.0379906707,37366.94589479741,13026,21217,11847.600819934078,61839.630900163684,60878.0736820648,21215,29902,29995.269089116373,87293.61714862686,87789.97251705569,29898,29902,29995.269089116373,87293.61714862686,87789.97251705569,29898,29902,29995.269089116373,87293.61714862686,87789.97251705569,29898,58179.76644425642,29900,79120.4560470335,109115.72513614986,87789.97251705569,29898,79120.4560470335,109115.72513614986
2026-06-06,1,2951,-4140.896313507694,312,0.0,679.1295479676148,-510.25665836902135,312,478,-5.776525030287122,1028.9988944371712,-1508.9664934923235,478,640,-36.524812880335915,1402.0079432638786,-1983.8317825937656,640,982,-528.2502535341334,2126.0470043937958,-2310.180673978486,982,1818,-1961.1656620045842,3802.274197411662,-2991.5067891977947,1818,2951,-4140.896313507694,6135.503585383676,-4151.347821273999,2951,2951,-4140.896313507694,6135.503585383676,-4151.347821273999,2951,2951,-4140.896313507694,6135.503585383676,-4151.347821273999,2951,-4584.654724208213,2951,-4184.565137196088,-8325.461450703788,-4151.347821273999,2951,-4184.565137196088,-8325.461450703788
2026-06-06,-1,2264,2116.9380143002936,135,-0.8172271487402398,264.66340957569554,168.16967891649645,135,325,8.476355329772945,641.8811883173386,667.4773078109838,325,541,54.31812638514198,1099.3471859143403,1396.2090562726949,541,835,588.7542560067737,1664.3405360390018,1916.716703958232,835,1500,1094.4929180484776,2949.7587306280193,3115.72945181238,1500,2264,2116.9380143002936,4478.273178080205,4380.389037060964,2264,2264,2116.9380143002936,4478.273178080205,4380.389037060964,2264,2264,2116.9380143002936,4478.273178080205,4380.389037060964,2264,4022.837841702135,2264,4238.390778528283,6355.3287928285445,4380.389037060964,2264,4238.390778528283,6355.3287928285445
2026-06-07,1,26551,-26206.316386938393,3395,-43.76252576002652,10266.67607530401,-4611.634244253245,3395,6216,249.63620006482196,18798.40556846089,-14821.30983703773,6214,8821,355.17361152420546,26414.715348299484,-23209.464463988,8819,12340,-534.0110995199575,35070.83607089966,-31802.507997546047,12337,19101,-9639.454444072822,52943.22775716726,-48373.99425959062,19097,26551,-26206.316386938393,73009.33066546416,-65553.1475955499,26546,26551,-26206.316386938393,73009.33066546416,-65553.1475955499,26546,26551,-26206.316386938393,73009.33066546416,-65553.1475955499,26546,-60246.23988199266,26551,-64937.42072516523,-91143.7371121035,-65553.1475955499,26546,-64937.42072516523,-91143.7371121035
2026-06-07,-1,25981,23939.36647266669,2255,-40.81341944837303,7541.505147532853,4648.669137990644,2253,5777,-395.24325662620356,18329.91072606579,13341.2399819805,5771,8764,-123.99696875967291,27068.13705879042,22024.221443784547,8757,12264,916.7095615631102,35987.80094902316,31634.604506414216,12256,18995,9353.350082881243,54048.990019537,48011.287046373036,18987,25981,23939.36647266669,73224.11536691581,64784.35916759461,25973,25981,23939.36647266669,73224.11536691581,64784.35916759461,25973,25981,23939.36647266669,73224.11536691581,64784.35916759461,25973,53793.03596155935,25980,62794.85452920796,86734.22100187454,64784.35916759461,25973,62794.85452920796,86734.22100187454
2026-06-08,1,36689,-44817.50384068479,2825,-12.63154882026764,7865.082607571461,-5936.216670044243,2825,8148,-192.06957275749838,21602.447783591124,-21509.915985906606,8148,12985,-958.6804813233554,33323.9196768463,-35753.06346775441,12985,18033,-4526.593167201712,44370.14065100486,-49378.451403871455,18033,27429,-20200.6739683899,66327.16544230565,-74850.62504534009,27429,36689,-44817.50384068479,89102.42118692283,-102013.37180491997,36689,36689,-44817.50384068479,89102.42118692283,-102013.37180491997,36689,36689,-44817.50384068479,89102.42118692283,-102013.37180491997,36689,-72158.94741271438,36689,-94015.01797860039,-138832.5218192854,-102013.37180491997,36689,-94015.01797860039,-138832.5218192854
2026-06-08,-1,38881,46658.334196889875,2912,1.124663392460472,7645.042856066999,6471.601397070865,2912,7949,141.65983443777992,19868.917279075235,23630.390445164776,7948,13165,678.2276960126944,31742.558945681907,39317.40540280315,13162,18473,4008.9349347452403,42989.703265865974,53498.205618301115,18468,28700,20582.354290955926,66299.70363760101,80728.91999484353,28690,38881,46658.334196889875,90295.51867681813,107842.21527299659,38867,38881,46658.334196889875,90295.51867681813,107842.21527299659,38867,38881,46658.334196889875,90295.51867681813,107842.21527299659,38867,75530.69166135268,38879,101911.47834424907,148569.8125411388,107842.21527299659,38867,101911.47834424907,148569.8125411388
2026-06-09,1,34198,-38399.56752739,1822,-16.668220864102974,3397.6485844973913,-4355.507394765955,1822,6834,-371.9357271611087,12135.683698762798,-17772.351011819017,6832,11516,-1558.5429515230207,20539.22257588069,-28493.661969609653,11513,16505,-4545.288207725387,29026.1381625839,-40590.191651480665,16500,25512,-18545.36433489449,45296.90697584738,-62736.75774564606,25506,34198,-38399.56752739,61106.07558047313,-85221.92404761002,34191,34198,-38399.56752739,61106.07558047313,-85221.92404761002,34191,34198,-38399.56752739,61106.07558047313,-85221.92404761002,34191,-56487.52609895745,34197,-80068.62280482033,-118468.19033221048,-85221.92404761002,34191,-80068.62280482033,-118468.19033221048
2026-06-09,-1,35934,39347.78348634185,2828,21.56038426551151,4921.46348888961,5274.250279112839,2827,7472,286.4391586991041,13077.90914791804,18135.052060218655,7470,11758,1441.7695572066389,20831.742372225115,28946.260557455178,11755,17001,4634.931903636589,29544.82102181553,40231.92577211762,16998,26539,18248.217570890858,46468.841061874264,61307.96499923544,26533,35934,39347.78348634185,63565.24358067918,83876.35698707069,35924,35934,39347.78348634185,63565.24358067918,83876.35698707069,35924,35934,39347.78348634185,63565.24358067918,83876.35698707069,35924,56210.57491080086,35934,77056.11716958927,116403.90065593124,83876.35698707069,35924,77056.11716958927,116403.90065593124
2026-06-10,1,36826,-48312.80313472112,2671,4.0164838478175415,4352.213814259066,-4746.718280207129,2670,7462,-446.5538549487991,12516.059381367566,-17350.359240438484,7460,12009,-1909.9927844950212,20419.251527013068,-29250.991090374366,12004,17160,-5630.730660291727,28651.79070238559,-42414.83326181405,17154,27014,-22724.405285049408,46040.83165590333,-68184.38941863921,27007,36826,-48312.80313472112,64273.43836064047,-96418.17386357454,36817,36826,-48312.80313472112,64273.43836064047,-96418.17386357454,36817,36826,-48312.80313472112,64273.43836064047,-96418.17386357454,36817,-59448.581323419596,36825,-86994.36165601805,-135307.16479073948,-96418.17386357454,36817,-86994.36165601805,-135307.16479073948
2026-06-10,-1,37998,48793.1757476066,2233,-1.8791161341935938,3974.6829989027783,4140.241416257115,2231,7601,361.3231319715842,13092.12856897381,18070.378462312725,7598,12647,1916.2695172002288,21537.550545989867,28566.48667899044,12644,18277,6358.61421325071,30534.19030294966,40935.125126286934,18273,28286,24287.645696759406,47503.641059018984,65758.33023816705,28281,37998,48793.1757476066,64944.11222641947,89442.47279928485,37991,37998,48793.1757476066,64944.11222641947,89442.47279928485,37991,37998,48793.1757476066,64944.11222641947,89442.47279928485,37991,55450.3504882319,37997,80936.73362535382,129729.9093729601,89442.47279928485,37991,80936.73362535382,129729.9093729601
2026-06-11,1,35954,-52647.06690349901,1948,-5.049462371632142,2743.5401764062362,-3904.1845605652716,1948,6920,-668.1701076475954,9517.203563734847,-13764.692023338168,6920,11246,-2425.6110987823145,15629.545028382447,-21504.95245234452,11243,16637,-7217.122197891903,22729.25180281096,-31232.83739209298,16634,26531,-26084.991938593725,36625.84761156683,-50938.612424123916,26528,35954,-52647.06690349901,50038.133512907676,-70561.46506962854,35949,35954,-52647.06690349901,50038.133512907676,-70561.46506962854,35949,35954,-52647.06690349901,50038.133512907676,-70561.46506962854,35949,-53309.21204426809,35952,-68787.36740386744,-121434.43430736667,-70561.46506962854,35949,-68787.36740386744,-121434.43430736667
2026-06-11,-1,34867,54941.25182196158,2176,5.547381528265619,3024.136850060826,5170.114958118149,2175,6553,591.5636633668469,8556.213755319699,18634.417934960613,6549,10657,2272.8669703235255,14048.815787846399,30558.389550266253,10652,15761,7116.553111148115,20354.832445940567,42543.27119435246,15756,25326,25974.692479660174,33346.05788838532,68382.79736537155,25320,34867,54941.25182196158,47398.573307966784,95200.53775771204,34860,34867,54941.25182196158,47398.573307966784,95200.53775771204,34860,34867,54941.25182196158,47398.573307966784,95200.53775771204,34860,60091.1528888435,34867,88750.21949644273,143691.47131840436,95200.53775771204,34860,88750.21949644273,143691.47131840436
2026-06-12,1,35194,-36545.65389643258,2874,4.260011496660405,4004.0806402076187,-5051.54348848144,2873,6989,-317.61070753651387,9387.317117470811,-16284.991021382524,6987,10754,-1485.517010780895,14326.590714740363,-25908.335556767794,10751,15992,-4488.032884980209,20883.94106904915,-37680.53479696177,15988,25750,-17369.336154589844,33812.54566230309,-59239.135167552624,25746,35194,-36545.65389643258,47245.401418466776,-80633.16730067955,35190,35194,-36545.65389643258,47245.401418466776,-80633.16730067955,35190,35194,-36545.65389643258,47245.401418466776,-80633.16730067955,35190,-46103.62301896538,35194,-73694.53922861927,-110240.19312505226,-80633.16730067955,35190,-73694.53922861927,-110240.19312505226
2026-06-12,-1,31878,34183.43855425864,2278,-4.454272467944905,3106.196655075628,4385.242158279279,2278,6167,269.7202011961579,8328.1099537807,13482.060181666064,6166,9819,1295.8646425314842,13367.482230095746,21811.077673991917,9818,14372,4027.2597805939895,19082.45242965951,32447.57488491407,14369,23160,16478.75797896443,30980.47895412526,53469.42159835266,23151,31878,34183.43855425864,42870.24659990148,75825.97686034159,31865,31878,34183.43855425864,42870.24659990148,75825.97686034159,31865,31878,34183.43855425864,42870.24659990148,75825.97686034159,31865,47149.37351757647,31878,70857.01341117172,105040.45196543017,75825.97686034159,31865,70857.01341117172,105040.45196543017
2026-06-13,1,14655,-5683.372669365106,1325,-2.7330073451897032,1410.2991017212798,-1077.206517323861,1325,2424,-37.353948548581734,2581.713269119005,-3132.1966822327677,2424,3476,-150.0345912405192,3705.697433479154,-4813.314538040831,3476,5224,-620.079030126541,5605.670147902678,-7738.94181763916,5224,9332,-2518.02836924427,10066.627888713421,-14362.259541370833,9332,14655,-5683.372669365106,15788.663260878537,-23334.85347579678,14655,14655,-5683.372669365106,15788.663260878537,-23334.85347579678,14655,14655,-5683.372669365106,15788.663260878537,-23334.85347579678,14655,-15396.323671613072,14655,-20942.894256336247,-26626.266925701355,-23334.85347579678,14655,-20942.894256336247,-26626.266925701355
2026-06-13,-1,15115,7159.949765704661,1338,0.6819357431557352,1348.1316830737167,1206.2928714627744,1338,2607,57.246094407021054,2739.448852326264,3352.482286666242,2607,3740,259.38567893643153,4028.8228028274734,5208.069723747005,3740,5534,783.0872759240449,6014.727543006766,7983.643888793189,5533,9613,2885.2916887159663,10479.358388072429,14841.512548061348,9612,15115,7159.949765704661,16391.86105335566,23345.792225547095,15113,15115,7159.949765704661,16391.86105335566,23345.792225547095,15113,15115,7159.949765704661,16391.86105335566,23345.792225547095,15113,14559.435049834665,15115,20842.603452017887,28002.553217722307,23345.792225547095,15113,20842.603452017887,28002.553217722307
2026-06-14,1,19851,-8253.721554792834,1738,4.022179648669253,2407.798186363103,-1141.664988452298,1738,3360,-50.494796243632074,4871.614959984625,-4444.281240268659,3360,4965,-127.50104838039013,7379.142501027081,-7462.983237612711,4965,7464,-490.7535474225683,10632.803086193717,-10810.72496516223,7464,13042,-3086.457200384745,17992.055963445477,-18883.595994918956,13042,19851,-8253.721554792834,27103.454467975032,-28686.34985667657,19851,19851,-8253.721554792834,27103.454467975032,-28686.34985667657,19851,19851,-8253.721554792834,27103.454467975032,-28686.34985667657,19851,-25106.316631253627,19851,-28092.906221341065,-36346.62777613406,-28686.34985667657,19851,-28092.906221341065,-36346.62777613406
2026-06-14,-1,21498,8522.357890628493,1615,4.318677871063364,2417.893366774162,1442.2780939261643,1615,3747,77.18269902619174,5933.201885919587,4946.590527901608,3747,5765,400.20235665957347,9368.043091851301,7843.9933973016105,5765,8497,923.4225848512118,13264.241217324423,11681.954352936318,8497,14546,3826.9169795252164,21791.41761635497,20777.878445796774,14546,21498,8522.357890628493,31209.6376149095,31527.068386125833,21498,21498,8522.357890628493,31209.6376149095,31527.068386125833,21498,21498,8522.357890628493,31209.6376149095,31527.068386125833,21498,24534.205425887598,21498,29113.284891969837,37635.64278259817,31527.068386125833,21498,29113.284891969837,37635.64278259817
2026-06-15,1,28277,-16045.076858791766,1594,-6.618602886344437,1982.034204392331,-1570.6898930343868,1594,4626,-169.77639468731445,5880.591044863794,-7848.226955457577,4625,7515,-697.6852974813809,9577.216558033542,-12991.296686125184,7513,11638,-1888.6090615194069,14232.062717617366,-19405.068021218347,11636,19816,-7060.005899381111,23663.48268168309,-32723.844597592437,19811,28277,-16045.076858791766,33859.96652166203,-47777.79758392683,28267,28277,-16045.076858791766,33859.96652166203,-47777.79758392683,28267,28277,-16045.076858791766,33859.96652166203,-47777.79758392683,28267,-32707.484400142912,28277,-42789.249468443246,-58834.32632723509,-47777.79758392683,28267,-42789.249468443246,-58834.32632723509
2026-06-15,-1,29137,16835.113694403008,1763,7.437309534031954,2259.4553442125357,1877.458154285617,1763,4754,124.97705593726799,6268.430447447258,6354.512921680923,4753,7570,541.8773265489732,9982.558257997647,11101.964829953682,7568,11725,1735.170304072759,14775.561730767502,17225.581722137533,11722,20208,7233.921186123125,24656.80911956115,31209.67099138152,20205,29137,16835.113694403008,35088.44061439562,46097.15267434604,29133,29137,16835.113694403008,35088.44061439562,46097.15267434604,29133,29137,16835.113694403008,35088.44061439562,46097.15267434604,29133,35074.054340178,29137,42454.981563311085,59290.09525771392,46097.15267434604,29133,42454.981563311085,59290.09525771392
2026-06-16,1,30904,-22477.201134817762,2615,-13.291036729519666,3973.2485776257176,-2942.865453857967,2615,5823,-231.9097671640031,8635.019140097753,-9618.780641086929,5823,8856,-921.2100271024744,13237.628603077208,-15742.905306049886,8855,13214,-2738.574011328615,19587.30288509558,-23473.871673266534,13212,21927,-10282.346162687492,32666.798934738104,-39186.30146896198,21925,30904,-22477.201134817762,46857.39029024235,-56609.0246854896,30902,30904,-22477.201134817762,46857.39029024235,-56609.0246854896,30902,30904,-22477.201134817762,46857.39029024235,-56609.0246854896,30902,-36301.319055342,30904,-51799.25282737773,-74276.45396219534,-56609.0246854896,30902,-51799.25282737773,-74276.45396219534
2026-06-16,-1,29918,22872.592019703214,1805,-7.472529396973976,2575.88901522053,2227.1845060323312,1805,5200,242.6270098431963,7640.734437940901,9297.782884797045,5199,8373,868.9124150084549,12537.027001515906,15688.78558555973,8370,12668,2694.8697287984437,18952.577877956057,23602.403230816373,12665,21145,10425.22541153168,31886.93907058218,39406.12271071029,21139,29918,22872.592019703214,45448.494378638454,55209.349105473506,29904,29918,22872.592019703214,45448.494378638454,55209.349105473506,29904,29918,22872.592019703214,45448.494378638454,55209.349105473506,29904,37143.772656100555,29918,51889.2352669706,74761.82728667386,55209.349105473506,29904,51889.2352669706,74761.82728667386
2026-06-17,1,36123,-33331.425306591045,3295,-16.0276255186598,5165.674298566911,-4091.818903721526,3295,7808,-373.6676343396548,12683.62272292194,-13623.897210855019,7808,11852,-1230.6825519921808,19676.060077540867,-23102.735922714754,11852,16874,-3755.6848821635776,27618.968369495742,-32512.212035882996,16874,26385,-15339.21745722886,43198.858374783966,-51198.05592571006,26385,36123,-33331.425306591045,59391.36685705214,-71317.56434801064,36123,36123,-33331.425306591045,59391.36685705214,-71317.56434801064,36123,36123,-33331.425306591045,59391.36685705214,-71317.56434801064,36123,-49216.632968572725,36123,-67609.22655404691,-100940.65186063807,-71317.56434801064,36123,-67609.22655404691,-100940.65186063807
2026-06-17,-1,38087,35663.11738918242,2508,17.75372610084311,4007.4325384624244,4362.269767002938,2508,7836,366.3297587977549,13002.136202539972,16093.232596020496,7835,12416,1611.396167676728,21131.652735773456,26460.880136662407,12415,17863,4695.139891004577,29750.390239251636,37002.0198499893,17860,28154,17120.986955673772,46600.996500110894,58137.423459894446,28148,38087,35663.11738918242,63342.26781619614,80636.39074701897,38079,38087,35663.11738918242,63342.26781619614,80636.39074701897,38079,38087,35663.11738918242,63342.26781619614,80636.39074701897,38079,48968.18491992653,38087,72822.87351896535,108485.99090814733,80636.39074701897,38079,72822.87351896535,108485.99090814733
2026-06-18,1,34724,-25949.984706153344,3066,-3.171774113695918,4620.297822608869,-4079.81318831767,3066,7708,-342.7385742296841,12275.71788629203,-13906.517455755024,7708,11897,-1207.946512642684,19068.700029055828,-21551.11985180261,11897,16826,-3124.6730946340194,26202.93129690225,-30180.280700910916,16826,26001,-12363.904097348672,40116.94397103322,-47440.08971012186,26001,34724,-25949.984706153344,54201.51609609493,-65726.45099742169,34724,34724,-25949.984706153344,54201.51609609493,-65726.45099742169,34724,34724,-25949.984706153344,54201.51609609493,-65726.45099742169,34724,-41768.41253052755,34724,-60796.12814904531,-86746.11285519873,-65726.45099742169,34724,-60796.12814904531,-86746.11285519873
