feat,h,metric,grad_signal,grad_queue,ratio_signal_over_queue,vmin,vmax
ofi_10s,0.5,fill_rate,1.4416716142553394,16.49218087203549,0.08741546223882797,0.9146787648177959,20.48901586454866
ofi_10s,0.5,ret_mid,0.13603741832865493,0.25826770021276235,0.5267302810865879,-0.29935256317268677,0.18441522953620498
ofi_10s,0.5,ret_micro,0.11833366723303898,0.12192095661212354,0.970576925585508,-0.09200304570830857,0.18162163015294078
ofi_10s,0.5,pnl,0.45671170379268716,0.29362089092857724,1.5554468973523463,-0.9370323767131689,-0.1460430587089879
ofi_10s,1.0,fill_rate,2.0869991761716626,24.192936678471348,0.08626481373089476,1.555611255108945,30.253743056303566
ofi_10s,1.0,ret_mid,0.2101011041705516,0.3345886916504687,0.6279384492469212,-0.4000913947440511,0.2410682228715388
ofi_10s,1.0,ret_micro,0.17983679288366314,0.11553112891914977,1.5566089811994768,-0.12041652380718844,0.2220686427708245
ofi_10s,1.0,pnl,0.49937881602453793,0.3138421087962474,1.591178500360972,-1.2120865491361328,-0.36566890788182793
ofi_10s,3.0,fill_rate,3.3059351776536126,36.03859880142771,0.09173317741539508,3.815254352704929,46.04222447911858
ofi_10s,3.0,ret_mid,0.37690134034874745,0.43172279543438824,0.8730170014986564,-0.5563774811426137,0.36482071587387616
ofi_10s,3.0,ret_micro,0.33490665235393136,0.09141459223886533,3.6636016652442525,-0.18920976212465204,0.2958116562350074
ofi_10s,3.0,pnl,0.6923816240774056,0.5008347626939739,1.382455204093876,-1.903437231747966,-0.6832216717798346
ofi_10s,5.0,fill_rate,4.083379424327781,41.460964129618176,0.09848732440379422,5.823571599330624,54.16717961344331
ofi_10s,5.0,ret_mid,0.48085651315838973,0.4749243593080787,1.0124907340169993,-0.6260399031108319,0.4383073699446864
ofi_10s,5.0,ret_micro,0.4350696932127167,0.07916339216793927,5.4958444970340405,-0.2341523238690561,0.3415365000389877
ofi_10s,5.0,pnl,0.8622742436874489,0.700316832498973,1.23126305648053,-2.397857706398057,-0.8692745576123915
ofi_10s,10.0,fill_rate,4.998923840181433,46.93439950150976,0.10650874184553338,10.228104212458723,64.8494610968897
ofi_10s,10.0,ret_mid,0.6551772810054783,0.5393025449811059,1.2148603545500274,-0.7094617536616287,0.5827210726812705
ofi_10s,10.0,ret_micro,0.6005442435299609,0.06644793427455045,9.037816601621117,-0.32811973819973883,0.44386178382030006
ofi_10s,10.0,pnl,1.1765687694087557,0.9723764376784945,1.2099930889088195,-3.3850945181983016,-1.2002764087090765
ofi_10s,30.0,fill_rate,4.8571227349022905,48.57474690187222,0.09999275435679279,22.21954913370193,78.79862283406793
ofi_10s,30.0,ret_mid,0.9425588830934397,0.5359063627378069,1.7588126371147197,-0.683024874173764,0.8245462679221424
ofi_10s,30.0,ret_micro,0.8722051461278556,0.1344484393525544,6.487283529121043,-0.43202954140367167,0.6974455552715874
