metric,side,day_type,hor,hor_ms,x_form,y_kind,n,beta,r,r2,t
kappa_spread,買い,閉場日,100ms,100,生,符号つき,52123,4.674313033546216e-9,0.00032052133354678355,1.0273392525860848e-7,0.07317510142461398
kappa_spread,買い,閉場日,500ms,500,生,符号つき,52123,-1.7392677784948112e-7,-0.0027974770061177834,7.825877599757717e-6,-0.6386671735099992
kappa_spread,買い,閉場日,1s,1000,生,符号つき,52123,-7.270846174118023e-7,-0.007671751088164421,0.00005885576475875198,-1.7515141657481006
kappa_spread,買い,閉場日,3s,3000,生,符号つき,52119,-1.9400053288024395e-6,-0.011679675304879442,0.00013641481522741068,-2.666552250167584
kappa_spread,買い,閉場日,5s,5000,生,符号つき,52116,-3.717741679038908e-6,-0.01720045816474684,0.00029585576107720623,-3.9271860223405395
kappa_spread,買い,閉場日,10s,10000,生,符号つき,52112,-3.2051909521035396e-6,-0.015330921893797709,0.00023503716611372592,-3.5000951541388976
kappa_spread,買い,閉場日,30s,30000,生,符号つき,52093,-6.8007134620892e-7,-0.0023842598375794204,5.6846949730942445e-6,-0.5441719665814442
kappa_spread,買い,閉場日,50s,50000,生,符号つき,52073,1.244484680527445e-6,0.0038470744051130935,0.000014799981478476263,0.8778731351042901
kappa_spread,買い,閉場日,100s,100000,生,符号つき,52021,5.085338246115509e-6,0.007417591605161108,0.000055020665220956545,1.6918266662218397
kappa_spread,買い,閉場日,10ms,10,生,絶対値,52123,2.1386093279429737e-11,0.00022601054875223765,5.108076814728759e-8,0.05159826404639245
kappa_spread,買い,閉場日,20ms,20,生,絶対値,52123,2.1386093279429737e-11,0.00022601054875223765,5.108076814728759e-8,0.05159826404639245
kappa_spread,買い,閉場日,50ms,50,生,絶対値,52123,1.7222720777138412e-9,0.005138404187811176,0.000026403197597315434,1.1731144010630463
kappa_spread,買い,閉場日,100ms,100,生,絶対値,52123,2.140181395686041e-7,0.014714162414637457,0.0002165065755643296,3.3596105326378627
kappa_spread,買い,閉場日,500ms,500,生,絶対値,52123,1.2380113152769322e-6,0.02020237608025609,0.00040813599928810344,4.613148818221583
kappa_spread,買い,閉場日,1s,1000,生,絶対値,52123,1.2301134594753186e-6,0.013207022320148101,0.00017442543856489013,3.01542937267033
kappa_spread,買い,閉場日,3s,3000,生,絶対値,52119,3.6042808738573033e-7,0.0022290209851153686,4.968534552084688e-6,0.5088677645863827
kappa_spread,買い,閉場日,5s,5000,生,絶対値,52116,6.119000929618201e-7,0.0029162255722153833,8.50437158804294e-6,0.665733122265804
kappa_spread,買い,閉場日,10s,10000,生,絶対値,52112,1.870868156494764e-6,0.009524102891176393,0.00009070853588171452,2.1742241390384365
