feat,x_form,y_kind,day_type,hor,sample,n,beta,r,r2,t,lay,hor_ms
var_ask_depth,生,二乗,閉場日,1s,full,2226305.0,-1.82673701444939e-14,-7.3053171267437735e-6,5.3367658322295905e-11,-0.010900118248544054,動いた窓,1000
var_ask_depth,生,二乗,閉場日,1s,sub,233015.0,-1.791823036049566e-15,-0.00006890856119794452,4.748389806370865e-9,-0.033263141150614246,動いた窓,1000
var_ask_depth,生,二乗,閉場日,3s,full,2226183.0,-1.6079087273029565e-14,-9.094590914409743e-6,8.271158390046425e-11,-0.01356948623103871,動いた窓,3000
var_ask_depth,生,二乗,閉場日,3s,sub,76643.0,-4.286783052788766e-15,-0.00019255771537966576,3.7078473752236366e-8,-0.05330789258836078,動いた窓,3000
var_ask_depth,生,二乗,閉場日,5s,full,2226079.0,-2.879947233074337e-14,-0.000016250789544565857,2.64088160821771e-10,-0.0242462488012661,動いた窓,5000
var_ask_depth,生,二乗,閉場日,5s,sub,43892.0,-1.1312228315620458e-13,-0.0004926401434542973,2.426943109426706e-7,-0.10320782863920083,動いた窓,5000
var_ask_depth,生,二乗,閉場日,10s,full,2225845.0,-7.178025012546595e-14,-0.00003931613914706065,1.5457587974310348e-9,-0.0586567677618589,動いた窓,10000
var_ask_depth,生,二乗,閉場日,10s,sub,21746.0,2.1628978615559448e-14,0.000032617777636636314,1.0639194179530521e-9,0.00480976754621091,動いた窓,10000
var_ask_depth,生,二乗,閉場日,30s,full,2224795.0,-1.1686810696968245e-13,-0.000053703784979967615,2.884096521174595e-9,-0.08010316953866087,動いた窓,30000
var_ask_depth,生,二乗,閉場日,30s,sub,6949.0,6.439308590321684e-13,0.0031259749457567374,9.771719361498837e-6,0.2605471123530733,動いた窓,30000
var_ask_depth,生,二乗,閉場日,50s,full,2223890.0,-2.712212154889513e-13,-0.00010494593965531777,1.1013650250137599e-8,-0.1565027951738777,動いた窓,50000
var_ask_depth,生,二乗,閉場日,50s,sub,4382.0,-7.815793619045225e-13,-0.001135342699451807,1.289003045198516e-6,-0.07513880898360877,動いた窓,50000
var_ask_depth,生,二乗,閉場日,100s,full,2221594.0,-4.033458106355411e-13,-0.00012391779362678064,1.5355619577329398e-8,-0.18469954556489512,動いた窓,100000
var_ask_depth,生,二乗,閉場日,100s,sub,2140.0,9.076967803694155e-11,0.0023682992381918247,5.608841281619977e-6,0.1095069400542161,動いた窓,100000
var_ask_depth,生,符号つき,立会日,10ms,full,12925339.0,-1.5242246264755313e-14,-0.00014952252840389166,2.2356986500292587e-8,-0.5375607791508475,動いた窓,10
var_ask_depth,生,符号つき,立会日,10ms,sub,12925339.0,-1.5242246264755313e-14,-0.00014952252840389166,2.2356986500292587e-8,-0.5375607791508475,動いた窓,10
var_ask_depth,生,符号つき,立会日,20ms,full,12925339.0,-7.88041202103978e-15,-0.0000538149934712418,2.8960535223097973e-9,-0.19347472148654865,動いた窓,20
var_ask_depth,生,符号つき,立会日,20ms,sub,12925339.0,-7.88041202103978e-15,-0.0000538149934712418,2.8960535223097973e-9,-0.19347472148654865,動いた窓,20
