col,family,h,nday,mean,med,pos,worst,best
obi1__streak,62 慣性,10s,99,-0.030468948159799263,-0.031346919219139846,23,-0.1059046286461584,0.0504353457316804
obi1__streak,62 慣性,60s,99,-0.01616451303946023,-0.013243306095168947,33,-0.08775618403627349,0.05953322035570715
live_imb__dlag2,69 ラグ,1s,99,0.08975168443653844,0.09093530791293675,96,-0.011344827180365821,0.18637314159664584
live_imb__dlag2,69 ラグ,10s,99,0.06582264213225857,0.0626952646231066,98,-0.00941465825231879,0.18130807167911356
live_imb__dlag2,69 ラグ,60s,99,0.027552542713131716,0.02578129364751193,81,-0.03693183364798592,0.10797093400364083
lslope_asym,5 板の形,1s,99,0.08296901347048619,0.0842899501728162,95,-0.016681990778270935,0.16341119763846873
lslope_asym,5 板の形,10s,99,0.043843618174069794,0.039473944055234,92,-0.04949290864508103,0.13676964337684006
lslope_asym,5 板の形,60s,99,0.01715993430563671,0.01830727701807473,69,-0.09234156109809771,0.11881330710242863
top1_a,5 板の形,1s,99,0.08622574394348355,0.08690728101451665,98,-0.009900002605595535,0.15911393874645832
top1_a,5 板の形,10s,99,0.05331796029426153,0.055026788932867825,93,-0.04878211831428846,0.1566070149911258
top1_a,5 板の形,60s,99,0.025406500377205602,0.01869777375276384,77,-0.030308262318362922,0.13887218607529858
top1_b,5 板の形,1s,99,-0.08368491902117163,-0.08258897800024038,0,-0.16161201219006258,-0.0004379566157281943
top1_b,5 板の形,10s,99,-0.051188537458473814,-0.04657240314474755,4,-0.15283452986915588,0.007152671939024767
top1_b,5 板の形,60s,99,-0.028795648594208526,-0.024421292828462563,18,-0.13157159288481704,0.033448606811444744
bbo_qa,1.1 最良気配,1s,99,0.08979777703555765,0.09474746169452365,99,0.00040708774235257876,0.15617012991474702
bbo_qa,1.1 最良気配,10s,99,0.06400292057360957,0.062011498611180264,95,-0.04999224360940602,0.1596418678554926
bbo_qa,1.1 最良気配,60s,99,0.029883955623639855,0.022305866573645264,76,-0.03214634500031541,0.13808541305023328
bbo_qb,1.1 最良気配,1s,99,-0.08823780696718445,-0.08634592963213573,0,-0.16248400543957142,-0.008570019309046623
bbo_qb,1.1 最良気配,10s,99,-0.055974238210529347,-0.046428907069728326,3,-0.18534358739277462,0.024566051472175776
bbo_qb,1.1 最良気配,60s,99,-0.03184916189577818,-0.02766493860463718,15,-0.153060480292889,0.03763895772107455
mp_lv2,2.2 多水準のマイクロプライス,1s,99,-0.07971991324541879,-0.08302087681806446,2,-0.14561398768084122,0.020868872791811745
mp_lv2,2.2 多水準のマイクロプライス,10s,99,-0.04694805973536617,-0.043479017430357376,4,-0.13319247527750758,0.020727733730740133
mp_lv2,2.2 多水準のマイクロプライス,60s,99,-0.019847053134557348,-0.017159792403319406,22,-0.10542901298449119,0.05786285962605714
live_imb__dlag10,69 ラグ,1s,99,0.08420326371395485,0.08704610210468454,97,-0.007276386694738719,0.1698288632218598
live_imb__dlag10,69 ラグ,10s,99,0.05745674819533638,0.05655838819964659,93,-0.014907686724251582,0.17935918701861692
live_imb__dlag10,69 ラグ,60s,99,0.027281495449970217,0.026301236450315967,79,-0.035695626935409494,0.12013447627264363
top1_b__z,60 衝撃(z 得点),1s,99,-0.08204081217517922,-0.08043845269748352,0,-0.16470736510829148,-0.00244792069750967
top1_b__z,60 衝撃(z 得点),10s,99,-0.051718388804434835,-0.0533901776892077,4,-0.12823369649847047,0.016641339850279973
top1_b__z,60 衝撃(z 得点),60s,99,-0.025130505043208965,-0.02158015437238617,20,-0.12544647054056948,0.04464100752499337
delta_bp__lag1,69 ラグ,1s,99,-0.04654723359599552,-0.04616464484516004,3,-0.12391674229834318,0.015654715413883885
delta_bp__lag1,69 ラグ,10s,99,-0.06807268650935257,-0.05768372213605826,7,-0.22290880388749781,0.03338083466017237
delta_bp__lag1,69 ラグ,60s,99,-0.04055955989786795,-0.03437651844453995,19,-0.23274343567472522,0.04136896481622708
delta_bp__m10,68 移動分布,1s,99,-0.05415622576580402,-0.05378325723595896,1,-0.11709330171641257,0.018754543334128772
delta_bp__m10,68 移動分布,10s,99,-0.0607265730555448,-0.05995783546272235,8,-0.19153286712475934,0.04840828493901392
delta_bp__m10,68 移動分布,60s,99,-0.03675886989635075,-0.03345453087415501,22,-0.22970063178997113,0.04037302552286252
delta_bp__lag2,69 ラグ,1s,99,-0.030478743159546774,-0.029616630922856102,13,-0.10882462734634309,0.03994248204561537
delta_bp__lag2,69 ラグ,10s,99,-0.05559166001488952,-0.04859195713857708,16,-0.19990989221768404,0.054512989580302686
