feature,horizon_s,target,rho_pooled,rho_partial,rho_day_med,pos_days,n_days,z,p,placebo_pos,placebo_z,backward_rho_med,backward_z,n_obs
h_plevel,1,vol,0.04705665649695003,-0.013300851985289087,-0.05119873155627823,28,98,-4.242640687119285,0.000022090496998585445,39,-2.0203050891044216,-0.07717569228342538,-5.454823740581938,937987
h_plevel,2,dir,-0.001877303147473249,-0.0004109757819027503,-0.00004335707604987218,49,98,0.0,1.0,56,1.4142135623730951,-0.0060046082173333005,-4.242640687119285,844198
h_plevel,2,vol,0.029041030246657343,-0.0460728805949659,-0.05271990361399066,28,98,-4.242640687119285,0.000022090496998585445,41,-1.616244071283537,-0.07642236850235085,-5.050762722761053,844198
h_plevel,5,dir,-0.004856939770356251,-0.0019462477801827959,-0.0005572463828061998,48,98,-0.20203050891044214,0.8398928732712689,52,0.6060915267313265,-0.008119831416557342,-4.848732213850612,844199
h_plevel,5,vol,0.0042053707199717245,-0.06484355431344602,-0.04927024871431056,30,98,-3.838579669298401,0.00012374806330360953,40,-1.8182745801939793,-0.06979699237362802,-4.444671196029727,844199
h_plevel,10,dir,-0.0020627165100566753,0.0010622884001818141,-0.001907303041825442,43,98,-1.212183053462653,0.22544231699451311,50,0.20203050891044214,-0.011818071639141314,-5.454823740581938,844199
h_plevel,10,vol,-0.009679209687739365,-0.07170581912416253,-0.04895999068186954,30,98,-3.838579669298401,0.00012374806330360953,43,-1.212183053462653,-0.057859646277053506,-4.6467017049401695,844199
h_plevel,30,dir,-0.002437238858938359,0.0029664975221610178,-0.0054688492549069875,45,98,-0.8081220356417685,0.4190203335343159,50,0.20203050891044214,-0.019532577054462284,-3.6365491603879585,281399
h_plevel,30,vol,-0.026540660281227025,-0.07822979402586612,-0.05311686967947073,34,98,-3.0304576336566322,0.0024418344202767916,46,-0.6060915267313265,-0.054061289378638036,-3.4345186514775166,281399
h_plevel,60,dir,-0.0022639466436590013,0.003700509325147226,0.0007793761623683527,50,98,0.20203050891044214,0.8398928732712689,55,1.212183053462653,-0.0230867420212713,-3.4345186514775166,140699
h_plevel,60,vol,-0.041128688952967424,-0.09188501685210915,-0.05706779558621451,29,98,-4.040610178208843,0.000053312311388322605,49,0.0,-0.06550459646521054,-4.444671196029727,140699
h_wallet,1,dir,-0.0020061805112268818,-0.0013018264512381311,-0.0015552434463361963,41,98,-1.616244071283537,0.10604155370017078,51,0.40406101782088427,-0.00310629440672541,-3.4345186514775166,937987
h_wallet,1,vol,-0.007611912838808647,-0.039281392633333266,-0.0319073332882487,36,98,-2.626396615835748,0.00862942022077532,44,-1.0101525445522108,-0.03647619264902702,-2.626396615835748,937987
h_wallet,2,dir,-0.003083437950563387,-0.0022224967854565483,-0.0013878735391414084,43,98,-1.212183053462653,0.22544231699451311,51,0.40406101782088427,-0.004918239369217476,-3.4345186514775166,844198
h_wallet,2,vol,-0.008973860552006958,-0.0438653073140617,-0.03649183658504794,36,98,-2.626396615835748,0.00862942022077532,45,-0.8081220356417685,-0.04196040332777208,-2.8284271247461903,844198
h_wallet,5,dir,-0.004002443276060942,-0.0019345895456865684,-0.0037402193459231637,42,98,-1.4142135623730951,0.15729920705028502,55,1.212183053462653,-0.006002365337513308,-4.242640687119285,844199
h_wallet,5,vol,-0.0317432240270538,-0.05864180873127171,-0.03687889635777282,34,98,-3.0304576336566322,0.0024418344202767916,45,-0.8081220356417685,-0.036850699934862244,-3.0304576336566322,844199
h_wallet,10,dir,-0.0031209235784930164,-0.0014031550522406104,-0.0027974571642721442,42,98,-1.4142135623730951,0.15729920705028502,56,1.4142135623730951,-0.00952618166424186,-4.444671196029727,844199
h_wallet,10,vol,-0.045588546493276955,-0.06975065237765006,-0.05003165451947513,35,98,-2.8284271247461903,0.0046777349810472576,47,-0.40406101782088427,-0.04559075133946077,-2.8284271247461903,844199
h_wallet,30,dir,-0.0033374254534312233,-0.0003729393252574299,-0.002499655419086145,46,98,-0.6060915267313265,0.5444539772747026,43,-1.212183053462653,-0.014777106761515425,-4.242640687119285,281399
h_wallet,30,vol,-0.06295332023327413,-0.0773760196356285,-0.056271792659305916,32,98,-3.4345186514775166,0.0005936072197460738,47,-0.40406101782088427,-0.04073775365922461,-2.8284271247461903,281399
h_wallet,60,dir,-0.0035068845641942894,-0.0003435545928465668,0.0006749163730514705,50,98,0.20203050891044214,0.8398928732712689,49,0.0,-0.017130404731867284,-4.040610178208843,140699
h_wallet,60,vol,-0.07506978682778848,-0.07994592289135494,-0.04525800282279084,37,98,-2.424366106925306,0.015335137038007587,46,-0.6060915267313265,-0.042780742989728913,-2.0203050891044216,140699
h_age,1,dir,0.0002615989694515314,0.00023324289323187653,-0.0005736809515166485,48,98,-0.20203050891044214,0.8398928732712689,53,0.8081220356417685,-0.0006777067423012388,-0.20203050891044214,937987
h_age,1,vol,-0.0022561926628749413,-0.08685620729078945,0.0699082664761231,76,98,5.454823740581938,4.9021446491897744e-8,54,1.0101525445522108,0.22139285492761218,9.49543391879078,937987
h_age,2,dir,-0.0007575064320907367,-0.000930481481652131,-0.0005309733372262057,48,98,-0.20203050891044214,0.8398928732712689,55,1.212183053462653,-0.0008631703373394142,-1.212183053462653,844198
h_age,2,vol,-0.017465671608080366,-0.1040579116636295,0.052998282473802824,68,98,3.838579669298401,0.00012374806330360953,54,1.0101525445522108,0.2348998953936017,9.293403409880339,844198
h_age,5,dir,-0.003288061171705664,-0.002798878008484502,-0.001651103318603635,41,98,-1.616244071283537,0.10604155370017078,53,0.8081220356417685,0.00018966726026064783,0.20203050891044214,844199
h_age,5,vol,-0.04256154521494646,-0.1279710022767422,0.02086075719503839,58,98,1.8182745801939793,0.06902217598345615,55,1.212183053462653,0.17791204295948726,8.889342392059454,844199
h_age,10,dir,-0.001297004644092853,-0.0011254752331182104,0.00023201258336369885,50,98,0.20203050891044214,0.8398928732712689,52,0.6060915267313265,-0.0019050983834639525,-0.20203050891044214,844199
h_age,10,vol,-0.05435657148056134,-0.13667068671019514,0.007627916444994774,52,98,0.6060915267313265,0.5444539772747026,54,1.0101525445522108,0.11556574381652485,6.262945776223707,844199
