ts,open,high,low,close,volume,n_trades,dtm
1780603200,997.27,999.76,985.86,988.81,6248.141,2733,2026-06-04T20:00:00.000000
1780606800,988.74,991.18,983.14,986.8,2353.813,1392,2026-06-04T21:00:00.000000
1780610400,987.24,988.32,972.31,982.9,5036.884,2981,2026-06-04T22:00:00.000000
1780614000,982.88,984.25,969.0,970.76,4829.191,2575,2026-06-04T23:00:00.000000
1780617600,970.76,979.41,940.43,953.43,16182.363,7713,2026-06-05T00:00:00.000000
1780621200,953.41,977.89,946.07,972.5,10097.403,5392,2026-06-05T01:00:00.000000
1780624800,972.61,984.0,969.24,972.36,3908.348,2909,2026-06-05T02:00:00.000000
1780628400,972.57,975.74,957.98,962.45,2730.699,1765,2026-06-05T03:00:00.000000
1780632000,962.64,972.84,960.15,970.38,3204.509,1797,2026-06-05T04:00:00.000000
1780635600,969.98,972.42,956.71,959.48,3811.928,1660,2026-06-05T05:00:00.000000
1780639200,959.52,960.62,946.27,949.12,9972.415,3944,2026-06-05T06:00:00.000000
1780642800,949.28,950.0,941.22,949.08,18674.386,5682,2026-06-05T07:00:00.000000
1780646400,949.1,971.3,946.75,958.15,5903.424,4740,2026-06-05T08:00:00.000000
1780650000,958.13,969.1,958.13,964.93,5074.145,3152,2026-06-05T09:00:00.000000
1780653600,964.97,972.43,960.54,966.72,5527.133,3178,2026-06-05T10:00:00.000000
1780657200,966.92,968.96,952.31,957.56,3345.958,2519,2026-06-05T11:00:00.000000
1780660800,957.46,958.04,942.02,950.2,10156.976,4714,2026-06-05T12:00:00.000000
1780664400,950.16,962.57,916.36,916.8,33000.332,15106,2026-06-05T13:00:00.000000
1780668000,916.26,950.72,915.91,947.5,33734.156,13435,2026-06-05T14:00:00.000000
1780671600,947.4,947.59,920.59,930.2,10532.478,5023,2026-06-05T15:00:00.000000
1780675200,929.6,929.66,886.36,905.34,36626.839,14109,2026-06-05T16:00:00.000000
1780678800,905.11,909.07,892.28,905.71,14928.209,6382,2026-06-05T17:00:00.000000
1780682400,905.6,907.52,868.48,887.04,44705.446,11407,2026-06-05T18:00:00.000000
1780686000,886.95,893.84,866.26,866.34,32930.084,12374,2026-06-05T19:00:00.000000
1780689600,866.34,873.61,850.76,863.84,24989.299,12465,2026-06-05T20:00:00.000000
1780693200,863.66,880.06,860.42,879.94,11502.028,8334,2026-06-05T21:00:00.000000
1780696800,879.61,885.36,869.44,870.45,3737.544,4590,2026-06-05T22:00:00.000000
1780700400,870.69,871.01,852.57,858.04,5384.862,4573,2026-06-05T23:00:00.000000
1780704000,858.51,876.21,858.18,860.15,3947.12,6840,2026-06-06T00:00:00.000000
1780707600,860.15,862.4,836.57,837.24,6049.854,6113,2026-06-06T01:00:00.000000
1780711200,837.24,850.7,834.02,844.9,8785.097,5959,2026-06-06T02:00:00.000000
1780714800,845.14,853.02,836.86,852.44,3242.339,3728,2026-06-06T03:00:00.000000
1780718400,852.23,859.5,845.68,845.91,6343.814,5339,2026-06-06T04:00:00.000000
1780722000,845.77,873.9,844.57,872.67,3684.361,4253,2026-06-06T05:00:00.000000
1780725600,872.91,873.51,857.43,858.8,3321.566,4330,2026-06-06T06:00:00.000000
1780729200,859.03,862.99,850.92,853.92,2109.685,3556,2026-06-06T07:00:00.000000
1780732800,854.33,867.21,852.86,865.11,1369.125,2213,2026-06-06T08:00:00.000000
1780736400,865.28,869.18,860.61,862.06,1317.121,2119,2026-06-06T09:00:00.000000
1780740000,862.0,865.16,854.98,862.71,1942.343,2664,2026-06-06T10:00:00.000000
1780743600,862.71,868.23,858.63,864.64,1276.648,1867,2026-06-06T11:00:00.000000
1780747200,864.5,878.88,864.43,873.59,10874.056,9343,2026-06-06T12:00:00.000000
1780750800,873.59,876.67,871.0,871.0,2012.884,3230,2026-06-06T13:00:00.000000
1780754400,871.01,876.21,871.0,875.04,970.853,1786,2026-06-06T14:00:00.000000
1780758000,875.04,876.17,865.39,869.29,2688.335,3016,2026-06-06T15:00:00.000000
1780761600,869.29,875.56,868.04,874.2,1180.994,1930,2026-06-06T16:00:00.000000
1780765200,874.36,875.77,865.0,865.39,1574.223,1920,2026-06-06T17:00:00.000000
1780768800,865.87,871.06,864.57,869.01,2602.306,2054,2026-06-06T18:00:00.000000
1780772400,869.01,875.43,868.38,874.79,522.494,1033,2026-06-06T19:00:00.000000
1780776000,874.79,876.84,870.64,875.0,1495.222,1647,2026-06-06T20:00:00.000000
1780779600,875.42,877.15,873.02,873.41,739.401,1288,2026-06-06T21:00:00.000000
1780783200,873.3,875.59,867.1,868.71,577.895,1098,2026-06-06T22:00:00.000000
1780786800,868.33,878.88,867.84,877.47,1803.556,1339,2026-06-06T23:00:00.000000
1780790400,877.35,879.0,870.46,875.89,1590.151,2077,2026-06-07T00:00:00.000000
1780794000,875.71,887.29,869.89,883.47,2403.67,3383,2026-06-07T01:00:00.000000
1780797600,883.46,883.68,871.71,873.68,2027.673,2644,2026-06-07T02:00:00.000000
1780801200,873.59,879.73,871.54,875.23,1748.309,2788,2026-06-07T03:00:00.000000
1780804800,875.06,879.32,872.75,879.04,1201.826,1800,2026-06-07T04:00:00.000000
1780808400,879.09,885.52,877.99,884.16,3130.726,3206,2026-06-07T05:00:00.000000
1780812000,883.93,894.07,883.57,886.93,2362.324,3864,2026-06-07T06:00:00.000000
1780815600,887.25,887.46,880.76,881.97,1419.326,2878,2026-06-07T07:00:00.000000
1780819200,881.97,883.16,876.29,879.37,1556.274,2050,2026-06-07T08:00:00.000000
1780822800,879.44,884.98,872.88,872.88,2974.101,2901,2026-06-07T09:00:00.000000
1780826400,873.08,876.98,869.12,874.73,2448.804,2704,2026-06-07T10:00:00.000000
1780830000,874.66,898.91,874.34,896.44,5079.952,5763,2026-06-07T11:00:00.000000
1780833600,896.75,908.59,896.41,903.95,6696.221,6234,2026-06-07T12:00:00.000000
1780837200,904.37,908.73,890.03,906.36,4094.745,5698,2026-06-07T13:00:00.000000
1780840800,906.35,914.96,899.55,902.07,4767.301,5586,2026-06-07T14:00:00.000000
1780844400,901.92,910.07,897.29,902.0,3866.337,6156,2026-06-07T15:00:00.000000
1780848000,902.0,912.88,901.22,908.12,1832.554,3039,2026-06-07T16:00:00.000000
1780851600,908.33,912.0,905.0,905.07,1630.229,2543,2026-06-07T17:00:00.000000
1780855200,905.01,906.61,897.69,898.37,1772.611,2442,2026-06-07T18:00:00.000000
1780858800,898.49,898.5,889.0,892.35,4753.342,4797,2026-06-07T19:00:00.000000
1780862400,892.35,903.61,891.68,903.03,1454.09,2864,2026-06-07T20:00:00.000000
1780866000,902.77,904.4,896.83,896.83,772.093,1843,2026-06-07T21:00:00.000000
1780869600,896.83,904.9,891.84,898.3,3940.387,4688,2026-06-07T22:00:00.000000
1780873200,898.29,902.61,885.5,888.0,3563.67,3821,2026-06-07T23:00:00.000000
1780876800,887.99,933.3,883.31,914.78,25200.55,13348,2026-06-08T00:00:00.000000
1780880400,914.0,914.72,871.52,896.28,18239.641,10197,2026-06-08T01:00:00.000000
1780884000,896.28,915.7,891.36,906.3,10719.597,6200,2026-06-08T02:00:00.000000
