wid_i,wid_j,n_days,lift_add,lift_can,corr_add,corr_can,corr_flow,corr_dist,null_add,null_can,null_flow,null_dist,pcorr_add,pcorr_can,pcorr_flow,pcorr_dist,pnull_add,pnull_can,pnull_flow,pnull_dist
2802,1007,47,1.295113892279145,1.2052771890450398,0.2707159308839415,0.2527172092033232,0.00018698067793237604,0.0015682332913093439,0.16825878638138278,0.16776219909451864,0.00008712122027588165,-0.0016575962019527617,0.02615684063710655,-0.021791651967992626,-0.0001993956100999967,0.001081558749293548,0.03049713527548561,0.03001115973709434,0.00007669153689065501,-0.001639042727457451
2802,15655,28,1.0841498435025658,1.1463748797715436,0.01778184851188278,0.019898687971268224,0.020682842742763122,0.023797116484810102,-0.01994697085784588,-0.01896949359635546,0.002502520509623366,0.008077123301506457,-0.0034796813641498983,-0.0015763006631516533,0.017298747719389218,0.01716410260182673,-0.02269152248561426,-0.021492344765973864,0.0024725702854651948,0.005956897423382444
2802,1826,49,1.1593865659254665,1.4231963686156694,0.3883962024801527,0.3694161683378211,-0.0003373384252773714,0.04166796360567183,0.24144747419580406,0.23541829733189096,-0.0009920572411101743,0.02901450507189554,0.09931036627352324,0.06856537747016272,-0.00037227433941608077,0.04069096144367359,0.053888199789801014,0.05341057227978552,-0.0009837310745255496,0.028682635772203445
2802,893,12,1.1863306028836267,1.3237908705379668,0.30724724919717844,0.3129468583954219,0.019344388575048364,0.06504730307063247,0.18130938456120865,0.1837429968489864,0.005860478052431185,0.044172581286230785,-0.032545201451094505,-0.01606232560902624,0.01622325867602923,0.06556729077490416,0.055731535216935045,0.06122872373628802,0.005779920988069039,0.04439875289578079
2802,143,40,1.2234790278290624,1.1787339287019638,0.3585767577896232,0.33018866516613377,0.01906332589909846,0.0280794586257364,0.23126190584474507,0.22741664356500127,0.0009020009059041994,0.024225991552965048,0.18072194090970212,0.14504886000745126,0.015414284717418708,0.027237664429143722,0.09368456235011864,0.09188746725984095,0.0008248661288645641,0.02396119496885546
2802,4480,42,1.106091512655884,1.290167252868062,0.11223160905485183,0.12098470249319304,-0.011268977644854922,0.009119567635919886,0.05439097436632918,0.054103646865745335,-0.005419336619106249,0.0038485910865807237,0.007901945436519182,0.009201861578295514,-0.010586763614373966,0.008693787490262884,0.017300047565418992,0.017699816282468698,-0.005454845414887311,0.003744534618448215
2802,1323,45,1.298879566391849,1.3968369972640282,0.32478469599403537,0.3169423700720844,0.020128824329493745,0.024862144860609805,0.21739664146566215,0.2144793436937348,0.009958111822510364,0.013075882338495841,0.13774473319737862,0.13155683011565414,0.018203869920428137,0.023506826421055237,0.08729583120471822,0.08837480764135498,0.009912166720072476,0.012412670472301471
2802,28852,13,1.23085893158357,1.289807581094253,0.27245061742797727,0.26765771038913727,0.04108670104791796,0.05941622800301525,0.16361132814048154,0.16197204122978817,0.0036197364061324776,0.03577150897197384,-0.0345084102963444,-0.01575320105301857,0.02978675784208296,0.029919670500152432,-0.035765040016771575,-0.035494776329946055,0.0036207471438285807,0.025690394232270847
2802,28910,13,1.2295551233092605,1.2888087009959623,0.27111298259905503,0.26681527788582354,0.036024838604449994,0.05885691886625907,0.16118072984441287,0.16409145880574122,0.0006077866212947371,0.03512697216922064,-0.036349025233179316,-0.016959736316102737,0.024772986186806865,0.030125724452175123,-0.038830424004404805,-0.03475461154693761,0.0006214612851526966,0.02548105067251896
2802,29090,13,1.2311129153979041,1.2895040698108302,0.27017541113088434,0.26583818223742484,0.03935473668744663,0.05801766487525502,0.170510484580591,0.1638977174777233,0.0036355269764556885,0.03428305022049449,-0.03809012121465728,-0.01846189866912692,0.02784530478054888,0.02933593087041408,-0.024399029321832962,-0.03514994421538121,0.0036980672022316257,0.024610937834288322
2802,28866,13,1.2303077805517482,1.2886643838655363,0.27161541292050007,0.26684490239024694,0.03837385648604558,0.05892267581790908,0.16343463571568653,0.1582756654486414,0.00044212775313567926,0.0325146374903002,-0.0352649337317727,-0.016464542709274523,0.02717626874224965,0.03062576263837749,-0.03505774502219197,-0.04116840120731548,0.00030025835770780324,0.023219371531672982
2802,1680,40,1.1702561089271397,1.384370331122196,0.23136845305844939,0.20471053487654178,0.012539136739940842,0.024552987833995937,0.15275740392609832,0.13767682300676498,-0.0017189401456400067,0.008701958843080115,0.03515321134666896,0.026788428039008366,0.007506652664494458,0.02344984356663644,0.02425290607182493,0.02403347957735818,-0.0017291267863945592,0.0084424777431754
2802,27039,21,1.2757085270051123,1.3909992649629805,0.4200754241080145,0.4056717872971359,0.07811444310036185,0.2915477730553892,0.25309722217656005,0.24522560562080017,0.0025084287893172527,0.14467131492635207,0.10231879585715342,0.08589022567412548,0.06594496078751823,0.25149891268486285,0.08236905209759483,0.07560656944955235,0.0032245452235965997,0.12515023707008247
