feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,0,-1,4,10.0,833454.0,385359.0,-29605.663039232826,314699.21651321126,-378216.47155244456,1212782.174
obi,0,-1,4,30.0,833454.0,551046.0,-124291.47324949926,504352.3064632958,-677135.8277127943,4172935.2599999947
obi,0,-1,4,60.0,833454.0,620703.0,-167021.92356851944,633826.7739459671,-855470.5615144868,7188123.273999992
obi,0,-1,5,0.1,860433.0,37741.0,32257.341224681113,5041.484841714147,23894.648382966963,1607.2199999999991
obi,0,-1,5,0.5,860433.0,76148.0,52775.78115618938,29010.645595721773,17064.111560467616,12738.160000000002
obi,0,-1,5,1.0,860433.0,114761.0,58962.04976291244,64547.63551918107,-15684.553756268646,40898.01099999997
obi,0,-1,5,3.0,860433.0,224586.0,43645.134272253534,161784.1765740389,-137902.61030178532,236734.85099999988
obi,0,-1,5,5.0,860433.0,292080.0,16433.78028958304,224383.44691808318,-233652.70662850005,493742.908
obi,0,-1,5,10.0,860433.0,397007.0,-38230.09553870152,326818.88459554326,-399985.5961342448,1239937.8460000018
obi,0,-1,5,30.0,860433.0,565931.0,-133882.82369814927,514062.6055848663,-697747.3572830162,4253945.926999991
obi,0,-1,5,60.0,860433.0,637095.0,-174694.66886237086,647027.1540548259,-877786.1829171971,7335253.040999999
obi,0,-1,6,0.1,834960.0,39519.0,32735.037102882576,7512.800647992086,21744.564454890475,1703.6209999999999
obi,0,-1,6,0.5,834960.0,82237.0,54989.134189844175,40298.96763143789,7453.310558406283,13980.590999999995
obi,0,-1,6,1.0,834960.0,122457.0,61256.07267882784,81253.85185486924,-30773.99517604144,43310.29899999999
obi,0,-1,6,3.0,834960.0,232925.0,46855.40382633903,181859.3648592466,-155501.36103290747,240091.63399999985
obi,0,-1,6,5.0,834960.0,299548.0,21532.503462455654,243908.91551057014,-248736.6360481143,493839.0100000001
obi,0,-1,6,10.0,834960.0,401300.0,-32558.06038613464,351628.2366622001,-419500.6970483347,1216942.8090000013
obi,0,-1,6,30.0,834960.0,565344.0,-127384.4263348832,540574.0875808472,-717708.7859157305,4147803.9889999926
obi,0,-1,6,60.0,834960.0,631232.0,-168215.8300939328,657553.3907802893,-881317.6368742225,7002656.46199999
obi,0,-1,7,0.1,842225.0,41613.0,33634.01227843255,10959.251881651859,19012.816396780687,1795.2809999999995
obi,0,-1,7,0.5,842225.0,88400.0,56654.20165665365,53276.88646082682,-4401.884804173171,15131.977
