dt,side,n,sum_A,nq_0.1,A_0.1,spr_0.1,B_0.1,nB_0.1,nq_0.5,A_0.5,spr_0.5,B_0.5,nB_0.5,nq_1,A_1,spr_1,B_1,nB_1,nq_2,A_2,spr_2,B_2,nB_2,nq_5,A_5,spr_5,B_5,nB_5,nq_10,A_10,spr_10,B_10,nB_10,nq_30,A_30,spr_30,B_30,nB_30,nq_60,A_60,spr_60,B_60,nB_60,sum_B_1,n_B_1,sum_rest_1,sum_tot_1,sum_B_10,n_B_10,sum_rest_10,sum_tot_10
2026-06-18,-1,13989,35759.91786305007,1459,7.791768824716144,1560.8203537455267,1714.2893931571232,1459,2220,437.1082681784356,2558.981089132999,3346.9893644005315,2220,2999,1537.4166209318792,3592.304345365491,4902.311079434539,2999,4826,4552.855299570591,5886.225402466471,7081.223247524257,4826,8959,15849.560470199174,10635.814436958713,11011.72528274769,8959,13989,35759.91786305007,16220.213710021651,15898.101109294133,13989,13989,35759.91786305007,16220.213710021651,15898.101109294133,13989,13989,35759.91786305007,16220.213710021651,15898.101109294133,13989,13807.857411119923,13989,15565.981801245483,51325.89966429559,15898.101109294133,13989,15565.981801245483,51325.89966429559
2026-06-19,1,8896,-13870.687931552835,349,-0.40463740304594487,337.1485019257153,-708.7133324778713,349,914,-184.16695511938536,970.249536704488,-2411.748535006301,914,1549,-737.185896175441,1738.1536456560564,-4067.5275260845947,1549,2700,-1919.938633103588,3027.1264734922033,-6803.377783796836,2700,5447,-6028.12240943319,6103.539422122988,-13038.570442116188,5447,8896,-13870.687931552835,9800.567031565886,-20846.345220189738,8896,8896,-13870.687931552835,9800.567031565886,-20846.345220189738,8896,8896,-13870.687931552835,9800.567031565886,-20846.345220189738,8896,-14494.359284890674,8896,-18840.781555024983,-32711.469486577862,-20846.345220189738,8896,-18840.781555024983,-32711.469486577862
2026-06-19,-1,11251,14114.50064866116,757,0.7501594092246126,762.2454076315731,863.8172500770402,757,1363,133.95359889620258,1352.3466665322487,2421.8744628442,1363,1915,494.7267876287942,1870.3664153875256,4045.9560349478743,1915,3428,1532.869721673465,3537.1602235704736,6154.328281811317,3428,6914,5832.995830638618,7142.233220512612,11729.878680445701,6914,11251,14114.50064866116,11646.230327619907,19782.293105617504,11251,11251,14114.50064866116,11646.230327619907,19782.293105617504,11251,11251,14114.50064866116,11646.230327619907,19782.293105617504,11251,16202.67351341365,11251,17827.494292249627,31941.99494091065,19782.293105617504,11251,17827.494292249627,31941.99494091065
2026-06-20,1,7608,-6501.824717913123,461,-5.110034394715051,472.0318215009766,-580.7086185077223,461,784,-37.745369613240555,830.9100889522523,-1361.7767239226418,782,1208,-243.7887977707303,1348.0334843388405,-2583.033057242925,1206,2115,-744.8391676575916,2525.183257625506,-4679.678244353496,2111,4408,-2666.3949725307702,5234.494232586969,-9812.584544484773,4400,7608,-6501.824717913123,8982.35710242482,-16731.317732292024,7595,7608,-6501.824717913123,8982.35710242482,-16731.317732292024,7595,7608,-6501.824717913123,8982.35710242482,-16731.317732292024,7595,-11299.590007309493,7605,-14091.154971229305,-20592.97968914244,-16731.317732292024,7595,-14091.154971229305,-20592.97968914244
2026-06-20,-1,7496,8611.75699017677,590,9.24077365559699,626.5199140451002,396.48319609817713,590,869,104.76286580588841,934.974248867952,1344.6828738912916,869,1197,342.38089961792605,1338.9354379869694,2213.959863442794,1197,2081,1035.0386926934327,2473.511569554677,4033.090733983136,2081,4307,3383.7968847615884,5099.140337097344,8559.494527698946,4307,7496,8611.75699017677,8623.73027409384,14702.43946763337,7496,7496,8611.75699017677,8623.73027409384,14702.43946763337,7496,7496,8611.75699017677,8623.73027409384,14702.43946763337,7496,9543.431331668957,7496,12502.548022023697,21114.305012200497,14702.43946763337,7496,12502.548022023697,21114.305012200497
2026-06-21,1,6763,-4357.455226267412,506,0.0,508.1942051296533,-549.0061957784022,506,740,-18.59685284238636,761.8936431661702,-1164.6515574971036,740,1101,-98.25708752455049,1161.7324713421067,-2070.4978564403245,1101,1882,-346.9065431549642,2014.9884349863469,-3642.9550027596024,1882,3909,-1575.322550711237,4268.1559121484115,-7517.6075210260715,3909,6763,-4357.455226267412,7392.860175615018,-13164.710219309205,6763,6763,-4357.455226267412,7392.860175615018,-13164.710219309205,6763,6763,-4357.455226267412,7392.860175615018,-13164.710219309205,6763,-9762.916569212635,6763,-11933.104573159562,-16290.559799427,-13164.710219309205,6763,-11933.104573159562,-16290.559799427
2026-06-21,-1,6276,4276.037465346186,525,-0.019368256685470542,538.4251632753272,296.37082655458994,525,699,39.6026402682082,748.217837960003,753.0843818652668,699,876,103.87406906577283,963.6979834968345,1252.9125660109887,876,1594,443.78799860066545,1894.9681007449597,2228.8663452801065,1594,3398,1738.871845194976,4058.0122351650507,4556.270774686084,3397,6276,4276.037465346186,7341.146632369351,7788.138042812976,6270,6276,4276.037465346186,7341.146632369351,7788.138042812976,6270,6276,4276.037465346186,7341.146632369351,7788.138042812976,6270,6103.225408696323,6276,6998.404095595728,11274.441560941892,7788.138042812976,6270,6998.404095595728,11274.441560941892
2026-06-22,1,12336,-28019.596480518034,660,-9.342203762455435,673.756093336065,-1096.7772775851608,660,1666,-267.5111176417885,1776.5452878277642,-3669.4187991164417,1666,2604,-957.2799327149992,2927.353403245951,-6515.056432566959,2604,4208,-2972.8533018407825,4772.886896092941,-9592.403075126611,4207,7862,-11818.096499787203,8911.12828009012,-17738.507373018005,7860,12336,-28019.596480518034,14176.548408360253,-24872.775003361727,12334,12336,-28019.596480518034,14176.548408360253,-24872.775003361727,12334,12336,-28019.596480518034,14176.548408360253,-24872.775003361727,12334,-20402.27282491202,12336,-24242.64246160667,-52262.23894212463,-24872.775003361727,12334,-24242.64246160667,-52262.23894212463
2026-06-22,-1,11088,28851.17772976748,707,1.6576346860352205,759.2171176598958,906.7335707188396,707,1464,261.5738797153115,1581.08846040131,2538.9836093920494,1464,2267,989.0630415412309,2509.4033305138996,4412.088151547683,2267,3697,3163.2092526387487,4167.886751802302,7199.00676179121,3696,6968,12256.261701983789,8171.926990658736,14000.635624946686,6967,11088,28851.17772976748,13231.554412147776,22148.954309699722,11084,11088,28851.17772976748,13231.554412147776,22148.954309699722,11084,11088,28851.17772976748,13231.554412147776,22148.954309699722,11084,18018.766860608266,11088,20177.423745367592,49028.60147513498,22148.954309699722,11084,20177.423745367592,49028.60147513498
2026-06-23,1,11746,-36119.150796031536,558,-15.533844805463797,637.5618602892972,-530.5087761666414,558,1261,-368.6028986712579,1395.5768483792917,-1842.5288431314132,1261,2116,-1505.8653243999165,2515.6934753510304,-3550.209334366734,2116,3563,-3956.2556325893547,4440.3679549318895,-5433.194104828794,3563,7134,-14883.739669696426,9247.350246286884,-11626.065738976533,7134,11746,-36119.150796031536,15808.703025638722,-20321.812276105375,11746,11746,-36119.150796031536,15808.703025638722,-20321.812276105375,11746,11746,-36119.150796031536,15808.703025638722,-20321.812276105375,11746,-19372.02371532312,11746,-19144.400540700284,-55263.55133673186,-20321.812276105375,11746,-19144.400540700284,-55263.55133673186
