dt,day_type,kappa_買い,kappa_売り,t_half_買い,t_half_売り,n_買い,n_売り,asym
2026-06-12,立会日,1.6250637803190253,1.8125496884185308,426.5353698449114,382.4155470024933,32361,35904,-0.05453955478256799
2026-06-13,閉場日,1.2592602774248367,1.309969685714606,550.4400276208946,529.1322296376838,3382,4191,-0.01973720103583309
2026-06-14,閉場日,1.1875717885845045,1.2398843054272635,583.6676048979107,559.0418291317176,4896,7334,-0.021550345224289502
2026-06-15,立会日,1.3321890004258077,1.330170209258916,520.3069386839214,521.0966053838104,25533,23354,0.0007582715208180703
2026-06-16,立会日,1.791815606459384,1.7748298097959376,386.84068749499465,390.5428997964484,22192,24666,0.0047624012709623405
2026-06-17,立会日,1.7352082132603575,1.7623988072590067,399.4605243891667,393.29757701746934,28770,28648,-0.0077740563302653816
2026-06-18,立会日,1.677397728521762,1.7896983245184042,413.227685233771,387.29833462098514,28352,30151,-0.032390390770446045
2026-06-19,閉場日,1.6313133208331165,1.6725680715331928,424.9013182862707,414.420908994489,10785,11485,-0.012486752943188649
2026-06-20,閉場日,1.1908993472023592,1.3088350945209968,582.0367457487276,529.5910452520352,4673,5122,-0.04717931047000769
2026-06-21,閉場日,1.1447178750960703,1.31807318898108,605.5181857628842,525.8795310774083,3322,3818,-0.07038977703533648
2026-06-22,立会日,1.5539791131736012,1.4597054107668437,446.046651904073,474.85415584457104,28377,27758,0.031281874946715714
2026-06-23,立会日,1.743690326363435,1.7338748544979814,397.5173630776189,399.76771146540096,32223,32114,0.002822512693499579
2026-06-24,立会日,1.6807318310831683,1.718298352149663,412.40795690365314,403.3916343414921,23573,24789,-0.011052129296117388
2026-06-25,立会日,1.5973421960878798,1.6532396143956722,433.93781386202795,419.26601344609765,20961,22040,-0.017196127206371488
2026-06-26,立会日,1.5803045499818367,1.6580826950540626,438.61620253381665,418.04138154722426,20211,20535,-0.024017555402446534
2026-06-27,閉場日,0.9058838043038318,1.2309565538764606,765.1612514820429,563.1014149498185,4156,1128,-0.15212776580532994
2026-06-28,閉場日,1.116864225630016,1.0741855401176412,620.6190262207796,645.2769607046042,1882,6811,0.0194786472582979
2026-06-29,立会日,1.6712788440752158,1.7325780568993994,414.74059401708683,400.066927907337,16495,17620,-0.018008751427426927
2026-06-30,立会日,1.5712315579388498,1.6592815399385321,441.1489681821434,417.7393445031778,14775,15006,-0.027255726670025196
2026-07-01,立会日,1.6528354400711853,1.694444168382379,419.36853709410565,409.0705338622437,18679,17973,-0.012430610280094529
2026-07-02,立会日,1.7730373967202304,1.7071933015854635,390.9377105311658,406.0156399250578,27241,31598,0.018919462772057704
2026-07-03,閉場日,1.7874837547937914,1.762824607544972,387.7781708238972,393.2025784625836,6958,7924,0.006945635345481694
2026-07-04,閉場日,1.9511712176858909,1.3100284100620632,355.24672272591266,529.1085124837975,6174,2032,0.1965972282618509
2026-07-05,閉場日,1.295500043143213,1.2449641332675068,535.0421902558904,556.760857223008,2049,2090,0.01989239224270649
2026-07-06,立会日,1.333899927066945,1.4209244200684918,519.6395670281479,487.81425019532986,24571,24735,-0.03158985185100387
2026-07-07,立会日,1.8153971150066333,1.8068212847389271,381.8157332260414,383.627969489856,33906,33966,0.0023675630018081028
2026-07-08,立会日,1.8238973375091243,1.7913559929804062,380.0362916897388,386.9399400655741,37198,36035,0.009001124279252605
2026-07-09,立会日,1.7003459717378544,1.6952125472271395,407.650673498822,408.8851169098097,27825,27629,0.0015118056372886734
2026-07-10,立会日,1.6802013443544364,1.6282024393918557,412.538165672201,425.7131446252103,23091,22591,0.015717218441728218
2026-07-11,閉場日,1.436901017718373,1.2859009414667089,482.39034701261477,539.036218271476,5855,7555,0.055457605259273984
2026-07-12,閉場日,1.4955702501274544,1.458461218064448,463.46681508332654,475.25977133319464,4659,5166,0.012562165455102591
2026-07-13,立会日,1.733066162955831,1.7896983245196965,399.9542518202237,387.2983346207055,29885,30535,-0.01607605667798956
2026-07-14,立会日,1.7336943018931399,1.777836419407816,399.8093435806976,389.88242843558544,29894,30483,-0.012570619771859007
2026-07-15,立会日,1.8459633543091813,1.7422723210888569,375.4934673767363,397.8408955763893,33041,32867,0.02889749799079799
2026-07-16,立会日,1.7636983306822098,1.7096402643152186,393.00778852119885,405.4345203653584,38117,38971,0.01556371913894309
2026-07-17,立会日,1.783155494927584,1.7307219666118476,388.7194260585647,400.49597462084483,50586,50506,0.014921843146108256
2026-07-18,閉場日,1.5841019631465354,1.601212693336719,437.56475068254593,432.88894097636864,5489,6812,-0.0053717550808857
2026-07-19,閉場日,1.5105649692941931,1.6857848199528185,458.86618228927694,411.1718011663959,9405,8370,-0.05481873456030706
2026-07-20,立会日,1.6830032988666477,1.7418647191177552,411.8513501706258,397.9339943672609,37362,37584,-0.017186478410852322
2026-07-21,立会日,1.61175994612165,1.5919367030936826,430.0560900696492,435.4112817845171,21919,21756,0.006187615495000961
2026-07-22,立会日,1.6063258102480094,1.5531302077402502,431.510952959944,446.29045079771515,26930,27305,0.01683694984354639
2026-07-23,立会日,1.8086496490090354,1.8120884114317914,383.2401598284791,382.51289313998325,41387,43504,-0.000949740733892642
2026-07-24,立会日,1.762295815703651,1.8225729735805254,393.32056195298,380.31244692076496,43687,44664,-0.016814327502600302
2026-07-25,閉場日,1.5765522740042817,1.6293586131900284,439.6602392067739,425.4110677051527,5804,6388,-0.016471555524726643
2026-07-26,閉場日,1.519562724484226,1.3707303352995257,456.1491176856812,505.6772851967714,7874,7138,0.05149387487919158
2026-07-27,立会日,1.8356741029068178,1.8079801934778565,377.59816922967764,383.38206527948597,42451,41027,0.007600586437752839
2026-07-28,立会日,1.8585179440868314,1.8376864473939343,372.9569481776071,377.18468384517394,52755,52220,0.005635915789968424
2026-07-29,立会日,1.8473240316942974,1.7994667814880834,375.21689138868413,385.1958745171954,63413,60427,0.013123113624510659
2026-07-30,立会日,1.7592454494050371,1.7910423583049497,394.002553571314,387.0076985095581,45776,48144,-0.008956149648166779
