dt,n,n_cand,fill,lat_med,edge_med,spr_med,mk1_med,pnl1_mean,ts_min,ts_max
2026-06-24,1110746,555373,0.6158248600490122,8.196338,-1.4252459,1.8460402,-0.91470385,-5.4256463,1782259200059921443,1782345599891039297
2026-06-25,1024038,512019,0.6288008843421826,9.341,-1.6616817,1.6593379,-0.8192021,-5.226631,1782345600020000000,1782431999883218554
2026-06-26,1042732,521366,0.6158543134765213,9.095,-1.3103298,1.7253278,-0.8684702,-5.085059,1782432000043426047,1782518398559872180
2026-06-27,263928,131964,0.37805386317480527,15.121598,0.4373879,0.88132906,-0.44015053,-1.896889,1782518400047000000,1782604798735444582
2026-06-28,320280,160140,0.4260053703009866,13.880409,-0.43284422,0.88932365,-0.43924186,-2.1799848,1782604802050436170,1782691199437157348
2026-06-29,941928,470964,0.6350283673486721,9.413202,-1.3204807,1.7560804,-0.8660258,-4.4074636,1782691200001121066,1782777599904909925
2026-06-30,786332,393166,0.5122556375678466,13.181574,-1.3134276,1.7349063,-0.4382793,-4.246151,1782777600178383267,1782863999089829566
2026-07-01,954962,477481,0.6058419078455478,11.076643,-1.3436646,1.7799929,-0.47389996,-4.1618752,1782864000198510009,1782950399668711454
2026-07-02,1148792,574396,0.6742343261443324,9.161771,-1.9841269,1.977848,-0.49291435,-4.9964967,1782950400074138055,1783036799958094574
2026-07-03,618790,309395,0.5681297370675027,11.253412,-0.49585956,1.6049594,-0.599991,-3.7292595,1783036800018000000,1783123199817982753
2026-07-04,214716,107358,0.3556651576966784,14.518626,0.48419115,0.97366244,-0.96711797,-1.6338516,1783123200014818742,1783209597723538609
2026-07-05,306088,153044,0.5431673244295758,11.236071,0.47945535,0.9706382,-0.4804805,-1.4335068,1783209600273304278,1783295999826684823
2026-07-06,993304,496652,0.6175934054428452,8.999956,-0.99512386,1.6048949,-0.5120406,-3.8586655,1783296000026624168,1783382399913388288
2026-07-07,1070128,535064,0.7010796839256612,8.129369,-1.3549328,1.5198723,-0.5307996,-3.8358676,1783382400118234695,1783468799699956591
