px_bucket,liq_long_usd,liq_short_usd,liq_usd,dwell_h,vol_usd,n_trades,liq_per_hour,liq_per_vol_bp
940.0,514614.2496000003,517561.07814000023,1032175.3277400006,61.84849555555747,661021747.7403438,321358,16688.770170857508,15.614846731872577
950.0,535500.3982099998,818358.0337199997,1353858.4319299995,34.31058861111196,454357954.98120415,204253,39458.910113000326,29.797176809328796
960.0,435002.3348299997,595094.7214400002,1030097.05627,47.20052472222493,663711088.096425,288767,21823.84755957949,15.52026287860277
970.0,206363.85567000002,707773.0389200004,914136.8945900004,94.30950111111639,940040197.0245402,457975,9692.945926126311,9.724444736336487
980.0,939694.5982099996,209050.96229000002,1148745.5604999997,125.57727250000288,764239781.6098816,440584,9147.71867258045,15.03121910351423
990.0,262364.54069999995,697.3691400000001,263061.90984,68.00426027778279,587609913.1716077,300164,3868.3151432785035,4.476811979228377
1000.0,735683.8708999997,1991.778,737675.6488999998,44.17873638888993,391119745.61291754,191702,16697.527118170598,18.86060873106777
1010.0,3623033.501800002,46862.835199999994,3669896.337000002,30.064203888889292,385655092.1202022,163930,122068.63519696495,95.16006431612621
1020.0,207134.892,13424.170899999996,220559.0629,41.931163611111295,386044208.3251069,164625,5260.027242400549,5.713311018365449
1030.0,982796.9980000001,68963.77189999999,1051760.7699000002,69.0251405555561,387310953.2913935,214716,15237.357887789767,27.155461547422533
1040.0,240196.78160000007,104408.31259999999,344605.09420000005,28.17049250000065,291515670.53609747,125970,12232.838818845361,11.821151623385155
1050.0,327955.7714000001,20759.3638,348715.1352000001,34.22323500000052,366173052.39809465,143412,10189.426429149516,9.523233152091303
1060.0,227921.31639999995,168769.2946,396690.6109999999,31.041953055555446,343664572.0410965,129352,12779.176950949157,11.54295913145689
1070.0,145777.05989999996,251854.41309999995,397631.4729999999,20.251772777777877,221260840.38290203,89933,19634.4032378399,17.971163460822098
1080.0,315733.48170000006,48252.96489999999,363986.4466,27.907707777778107,241228746.85439914,99158,13042.50601655752,15.0888503690522
1090.0,617239.5190999997,63798.67880000001,681038.1978999997,13.451589722222185,159862682.86450186,72366,50628.82618066447,42.60144929991206
1100.0,630912.7520000006,55142.8576,686055.6096000005,7.2146594444443055,123288406.5482986,55240,95091.89101480071,55.64640089100643
1110.0,85882.6516,5863.7267,91746.3783,17.10193527777798,166383336.16389742,81711,5364.67813787215,5.514156670691132
1120.0,169703.4959,1989068.6553,2158772.1512,35.41533444444491,280746611.9195038,134432,60955.859518605095,76.89396984847559
1130.0,175808.53070000006,109883.8772,285692.40790000005,70.4855458333355,265666838.89400044,174879,4053.2055831067205,10.753785044809062
1140.0,2296.5145,731613.3202000001,733909.8347000001,64.75803861111186,322598087.17080295,175749,11333.107834029863,22.74997477934281
1150.0,57764.736999999994,33767.1184,91531.8554,25.374591111111286,291483112.0255996,116282,3607.224841543125,3.140211272067151
1160.0,29440.939700000006,97668.75859999999,127109.69829999999,12.691263611110907,186215209.15229592,72328,10015.527389149682,6.825956852753282
1170.0,490.7708999999999,19609.664200000003,20100.435100000002,9.462196666666465,175192600.68150237,61816,2124.28845099046,1.1473335644204692
1180.0,0.0,60087.734300000004,60087.734300000004,8.142494722222043,193342337.8030993,60642,7379.523886704145,3.1078415096642527
1190.0,0.0,154125.10830000002,154125.10830000002,8.728799166666457,178999402.85250106,63174,17657.08035631901,8.610369970172586
1200.0,0.0,18868.6078,18868.6078,5.7123116666666265,109644003.7150992,41181,3303.1474648179737,1.7208973733783477
1210.0,0.0,337833.5192000001,337833.5192000001,4.399631111111111,72986151.23300014,29292,76786.78295251018,46.28734540632295
1220.0,0.0,57.572,57.572,5.163476388888849,59904648.619199626,23578,11.149852476112352,0.009610606409858483
1230.0,0.0,49543.8652,49543.8652,7.2713324999999465,79391491.3601997,33129,6813.588183458859,6.240450248656895
1240.0,0.0,41624.551999999996,41624.551999999996,2.4694352777777664,48313070.00730001,18900,16855.899150131903,8.615588285677273
1250.0,0.0,4361.4998,4361.4998,0.059541388888888824,8343708.6943999985,2171,,5.227291555525283
