day,quotes,fills,fill_rate,net_usd,notional_usd,net_bp,label
2026-08-23,8209,54,0.006578145937385796,-1.4529627253784687,4361.380240431914,-3.331428688351602,main_Premium
2026-08-24,15400,116,0.007532467532467533,-5.753236642707968,9360.20692956496,-6.146484459158602,main_Premium
2026-08-25,7218,75,0.010390689941812137,-12.661361079613707,6311.245448730813,-20.061588766381917,main_Premium
2026-08-26,6472,87,0.013442521631644005,-3.1213978675510714,7702.593875179309,-4.05239834545789,main_Premium
2026-08-27,5415,59,0.010895660203139427,0.6664906490886855,5008.294759761591,1.3307736087011226,main_Premium
2026-08-28,3184,64,0.020100502512562814,-0.9882252553660757,4887.136677143526,-2.0220945732659183,main_Premium
2026-08-29,1897,3,0.0015814443858724301,0.3974974038400026,300.058944,13.24731062974089,main_Premium
2026-08-30,4068,20,0.004916420845624385,-2.88532430651993,1786.924384,-16.146874105893506,main_Premium
2026-08-31,3991,65,0.016286644951140065,-6.099055376993421,5699.430494659162,-10.70116634058217,main_Premium
2026-09-01,6342,79,0.012456638284452854,-6.941154128792679,6363.276812133751,-10.908144237190825,main_Premium
2026-09-02,9699,69,0.007114135477884318,-3.5246644315172198,5700.655835033568,-6.1829104115640146,main_Premium
2026-09-03,10249,78,0.007610498585227827,-1.5646237649610863,5735.662955124415,-2.72788651844196,main_Premium
2026-09-04,15263,104,0.006813863591692328,-7.469467032800892,7988.143576407244,-9.350692011673088,main_Premium
2026-09-05,2064,11,0.005329457364341085,-0.3160668449176831,1071.027595,-2.9510616383108514,main_Premium
2026-09-06,4044,18,0.004451038575667656,-0.9237915950496237,1699.7093852468297,-5.434997318176671,main_Premium
2026-09-07,7022,31,0.004414696667616064,-1.5793125067985982,2621.8626991721035,-6.023627809714415,main_Premium
2026-08-19,4831,132,0.027323535499896502,0.21037772203317084,10196.496725359986,0.20632353218918284,main_Standard
2026-08-20,3187,58,0.018198933165986822,-1.9120251790890999,4475.254486638082,-4.272438997151776,main_Standard
2026-08-21,3112,56,0.017994858611825194,2.0598920872094784,4302.676763275618,4.7874665017627,main_Standard
2026-08-22,371,6,0.016172506738544475,-0.31183246499843675,464.6180570014153,-6.711587298413735,main_Standard
2026-08-23,8066,53,0.0065707909744607,0.18411591766957208,4441.850527155906,0.4145027315618848,main_Standard
2026-08-24,14644,139,0.009491942092324502,-1.3221060209753852,11379.894531669474,-1.1617911021020924,main_Standard
2026-08-25,6947,92,0.013243126529437167,-6.701803228330618,7764.126604613748,-8.63175418127281,main_Standard
2026-08-26,6101,96,0.015735125389280447,-8.221761006080637,8174.596508792383,-10.057696422370848,main_Standard
2026-08-27,5241,69,0.01316542644533486,3.2367129274234774,5645.7328870401,5.733025263829645,main_Standard
2026-08-28,3028,74,0.02443857331571995,-0.2062520644064718,5729.841772205456,-0.3599611867241561,main_Standard
2026-08-29,1897,3,0.0015814443858724301,0.23606000000001115,300.117884,7.865575914829892,main_Standard
2026-08-30,3965,24,0.00605296343001261,-0.9305508891441034,2315.57559,-4.018659089181812,main_Standard
2026-08-31,3825,78,0.0203921568627451,-2.3711682729559067,6821.317045977643,-3.476115033172552,main_Standard
2026-09-01,6055,90,0.01486374896779521,-4.737208221984707,6811.412209203394,-6.954810656715095,main_Standard
2026-09-02,9535,67,0.00702674357629785,-2.3594421860466595,5269.2188090274885,-4.4777836555284924,main_Standard
2026-09-03,9819,102,0.010388023220287198,-0.27065062841290666,7492.01311262717,-0.36125220864435936,main_Standard
2026-09-04,14193,123,0.008666243923060663,-4.907807858139969,9269.446080018995,-5.294607483309199,main_Standard
2026-09-05,2049,10,0.004880429477794046,0.45902876125779757,917.8368061786588,5.0012023724449195,main_Standard
2026-09-06,3991,18,0.0045101478326234025,-0.5111739999995175,1529.7263829960543,-3.341604130526629,main_Standard
2026-09-07,6961,31,0.004453383134607096,-0.6534785090482342,2529.859255832166,-2.5830627041474705,main_Standard
2026-08-19,4980,136,0.027309236947791166,-2.2849446638876643,11060.14087881857,-2.065927268850249,main_Std_mk0
2026-08-20,3238,59,0.018221124150710314,0.2537748390686909,5019.730519786397,0.5055547067086178,main_Std_mk0
2026-08-21,3426,41,0.011967308814944542,-1.414275530042987,3545.1327846598742,-3.989344309366045,main_Std_mk0
2026-08-22,454,5,0.011013215859030838,-0.29490646981498403,464.544694,-6.348290565449533,main_Std_mk0
2026-08-23,8172,59,0.007219774840920215,-0.09373239780247417,4925.509945449716,-0.19029988537342418,main_Std_mk0
2026-08-24,14832,141,0.009506472491909385,-2.7801428804601205,11617.067166977165,-2.393153831771751,main_Std_mk0
2026-08-25,7050,90,0.01276595744680851,-11.32266484952693,7795.568850900775,-14.524488290830245,main_Std_mk0
2026-08-26,6281,97,0.015443400732367458,-2.3998953250047816,8660.76527451913,-2.7709968448925903,main_Std_mk0
2026-08-27,5387,64,0.011880452942268424,1.9872149529646932,5338.459126139791,3.7224504412411545,main_Std_mk0
2026-08-28,3102,71,0.022888459058671824,1.5485010548398375,5450.650104722663,2.8409474559707175,main_Std_mk0
2026-08-29,1897,3,0.0015814443858724301,0.49352000000000257,300.058944,16.44743507462329,main_Std_mk0
2026-08-30,4015,24,0.005977584059775841,-0.9336108891440826,2187.006712,-4.268898142933924,main_Std_mk0
2026-08-31,3851,75,0.019475460919241756,-3.7561880451857825,6623.868999437355,-5.67068588691117,main_Std_mk0
2026-09-01,6228,89,0.014290301862556198,-2.9370326703360856,7290.153012605073,-4.028766838306131,main_Std_mk0
2026-09-02,9627,76,0.007894463488106367,-2.9131283366593888,6199.990066033567,-4.69860161973301,main_Std_mk0
2026-09-03,10097,92,0.009111617312072893,4.777564623790264,6784.537757351341,7.041842487520341,main_Std_mk0
2026-09-04,14763,116,0.007857481541692067,-5.689878763785157,8844.482554402457,-6.4332522889685,main_Std_mk0
2026-09-05,2042,15,0.007345739471106758,-0.001447238742183686,1417.2475081786588,-0.010211616064462655,main_Std_mk0
2026-09-06,4026,19,0.004719324391455539,-0.44240311080164607,1799.7180362468298,-2.4581801253947697,main_Std_mk0
2026-09-07,7021,33,0.004700185158809287,-0.7376077528547337,2767.063139172103,-2.6656701193866637,main_Std_mk0
2026-08-18,4245,44,0.010365135453474675,-1.7695775865453993,3608.7541798262973,-4.903569205233524,pl_cadence
2026-08-19,6349,102,0.01606552212946921,-0.6439495587430164,7791.2968150476645,-0.8264985586216265,pl_cadence
2026-08-20,6327,106,0.016753595700964123,-2.0552884337566484,8137.658844049944,-2.52565077148623,pl_cadence
2026-08-21,6458,97,0.015020130071229482,0.15619464633341096,7200.85918207158,0.21691112460898876,pl_cadence
2026-08-22,11687,58,0.004962779156327543,-2.1591426250792884,4519.367499291944,-4.777532753018126,pl_cadence
2026-08-23,16429,87,0.005295514030068781,-0.3432451057240776,7233.284266530201,-0.4745356232055455,pl_cadence
2026-08-24,15845,207,0.013064058062480278,-4.1602862094872535,14798.238292064601,-2.811338841406658,pl_cadence
2026-08-25,15737,222,0.014106881870750461,-8.398059904977348,16409.8882459589,-5.117682569864821,pl_cadence
2026-08-26,15847,216,0.013630340127468922,-1.4869829687784097,17422.101274761604,-0.8535038026282836,pl_cadence
2026-08-27,16261,152,0.009347518602791956,-1.1484540256552513,11497.09332622468,-0.9989081527551373,pl_cadence
2026-08-28,15861,159,0.01002458861358048,-2.4952214739331007,11381.336123751991,-2.192380092110417,pl_cadence
2026-08-29,16363,48,0.002933447411843794,-0.1300905892511096,3070.169562342614,-0.4237244445607993,pl_cadence
2026-08-30,16669,83,0.004979302897594337,-2.262033270202356,5969.56244310853,-3.789278178694195,pl_cadence
2026-08-31,15416,147,0.009535547483134406,-2.283999851513582,11732.468033026718,-1.9467343487185793,pl_cadence
2026-09-01,16148,149,0.00922714887292544,1.2269119251126663,11307.175972490848,1.0850736984173697,pl_cadence
2026-09-02,16055,171,0.010650887573964497,-1.6619643543804425,13005.339890912022,-1.2779092036970163,pl_cadence
2026-09-03,15960,179,0.011215538847117795,-12.026881228920422,13733.197341355766,-8.757524507933056,pl_cadence
