k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
6,-1,60.0,8465276.0,2880306.0,5554902.942031888,11138523.69723239,-5837087.683200504,60841084.35799998
7,1,0.1,8465276.0,8648.0,76238.84465584352,-37791.83916006905,37685.98149577449,401.23699999999997
7,1,0.5,8465276.0,33959.0,209291.44202093713,-135647.58597277722,70655.4640481599,8330.294
7,1,1.0,8465276.0,76558.0,360471.8447864866,-315782.952222844,37951.78856364234,40472.195999999996
7,1,3.0,8465276.0,280017.0,890068.500072119,-1070858.4487864522,-205431.44471433322,443097.3809999999
7,1,5.0,8465276.0,470272.0,1288697.5708326623,-1789865.958400657,-542552.3235679942,1196200.214
7,1,10.0,8465276.0,868948.0,2050252.5110062724,-3390648.4798785625,-1416863.3928722914,4135376.38
7,1,30.0,8465276.0,1873029.0,4012884.1196825807,-7817032.899506969,-3968975.3318243846,23110258.970000014
7,1,60.0,8465276.0,2683453.0,5697048.844414227,-11672886.002270484,-6211981.021856264,58437564.01
7,-1,0.1,8465276.0,8775.0,73826.65891424438,38090.92714762442,34963.53176661999,411.221
7,-1,0.5,8465276.0,33976.0,201474.64077157006,135114.05381786506,63370.69895370495,8272.45
7,-1,1.0,8465276.0,77093.0,349927.44454792864,309333.3704485769,33809.89009935177,40862.29800000001
7,-1,3.0,8465276.0,283533.0,864257.8824037297,1031608.153047739,-192301.1746440093,447599.1490000001
7,-1,5.0,8465276.0,476164.0,1253453.3907423802,1713793.7801768696,-502242.82143448974,1208127.654
7,-1,10.0,8465276.0,882370.0,2000572.5488753961,3211865.946844637,-1288941.957969241,4196669.726000001
7,-1,30.0,8465276.0,1900737.0,3941193.9566386123,7377147.425189358,-3603218.3245507474,23416778.654
7,-1,60.0,8465276.0,2720197.0,5568852.122143759,10916421.112076117,-5586946.325932358,59150186.858
8,1,0.1,8465276.0,7427.0,72010.81542026112,-35449.02223554161,35908.21718471948,343.02799999999985
8,1,0.5,8465276.0,28379.0,196148.4697597267,-124013.4762986595,69637.6414610671,6904.906
8,1,1.0,8465276.0,63993.0,339928.09124672937,-288887.8768891881,45408.83035754127,33822.79999999999
8,1,3.0,8465276.0,242374.0,859821.8073936643,-995087.5254306379,-156594.63003697406,388223.756
8,1,5.0,8465276.0,414349.0,1258135.3984850764,-1680520.2724270509,-458847.58594197413,1069798.5300000005
8,1,10.0,8465276.0,783692.0,2031193.7515241737,-3227347.170792224,-1265118.3152680518,3796360.5179999988
8,1,30.0,8465276.0,1745369.0,4029720.8634135947,-7583637.125983891,-3707508.7345702983,22031930.232
8,1,60.0,8465276.0,2543833.0,5753642.979020092,-11437261.189355414,-5907475.514335323,56865101.58400001
8,-1,0.1,8465276.0,7383.0,68551.408241773,35335.55795030918,32566.14629146379,343.47999999999996
8,-1,0.5,8465276.0,28166.0,187390.0003372571,123172.62338462581,61738.76895263126,6821.307999999999
8,-1,1.0,8465276.0,64160.0,327656.1345088592,282012.3629416213,39997.69156723782,34093.958
