feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,0,-1,2,1.0,825241.0,67176.0,134024.89602456006,58239.54272872193,69873.86529583819,26871.782999999992
obi,0,-1,2,3.0,825241.0,133845.0,260128.94848567122,161778.16158579904,86572.42689987224,149321.59499999997
obi,0,-1,2,5.0,825241.0,176311.0,347159.20117655443,238477.96106037387,93165.8721161804,313589.7200000002
obi,0,-1,2,10.0,825241.0,248210.0,511876.8125434416,382902.8601192415,107131.4724242003,832693.0409999999
obi,0,-1,2,30.0,825241.0,386447.0,915615.3901246282,670330.2218336966,211277.83229093236,3363932.4569999995
obi,0,-1,2,60.0,825241.0,458363.0,1100554.6720367717,915489.4857999698,144729.24223680486,6482483.4580000015
obi,0,-1,3,0.1,796382.0,16284.0,51125.00247958354,6316.040247577342,43375.97023200617,732.0699999999998
obi,0,-1,3,0.5,796382.0,42027.0,98905.95035469648,29754.968404310916,65452.60595038561,8210.095
obi,0,-1,3,1.0,796382.0,67980.0,139448.20669455166,67714.57232024458,65751.39437430713,27112.869
obi,0,-1,3,3.0,796382.0,134933.0,269730.5887951344,182237.82356264122,75618.66123249315,150050.82700000005
obi,0,-1,3,5.0,796382.0,177953.0,358895.5172334104,266459.8180616837,76775.83517172672,316177.70999999996
obi,0,-1,3,10.0,796382.0,248988.0,533453.9350241072,420146.4806620341,91396.51036207362,827972.5740000011
obi,0,-1,3,30.0,796382.0,384807.0,954804.5157620391,762826.1237809589,158115.3759810849,3308226.387999995
obi,0,-1,3,60.0,796382.0,456698.0,1154234.797270044,1031214.0637821021,82831.3094879446,6425435.471999994
obi,0,-1,4,0.1,807034.0,14835.0,45055.76374526538,6343.29044021253,37406.99330505288,665.0519999999997
obi,0,-1,4,0.5,807034.0,37822.0,89211.58733492675,28578.58304812524,57304.668286801556,7366.408000000003
obi,0,-1,4,1.0,807034.0,60909.0,126305.92146939912,64878.34834698607,56067.58112241308,24260.491999999995
obi,0,-1,4,3.0,807034.0,122908.0,242381.70180969365,174971.62626890582,56594.171540787676,138183.74400000006
obi,0,-1,4,5.0,807034.0,163347.0,319272.63763228845,258087.71924081145,46810.382391477026,294898.15699999983
obi,0,-1,4,10.0,807034.0,232249.0,460973.9204605489,412403.5751282319,28132.433332316337,792812.0760000004
obi,0,-1,4,30.0,807034.0,365781.0,797623.1086626326,773868.2263270648,-8433.845664432585,3240615.515
obi,0,-1,4,60.0,807034.0,440710.0,988037.1830216496,1027805.9805050393,-78551.27748339139,6495161.424999991
obi,0,-1,5,0.1,857959.0,14225.0,39801.95570530653,7614.559084729928,30935.596620576598,648.145
obi,0,-1,5,0.5,857959.0,37423.0,80341.457059878,31371.055972749964,45677.17708712804,7402.824999999999
obi,0,-1,5,1.0,857959.0,61644.0,114852.06591325274,68586.90630635007,40840.48760690271,25058.292999999998
obi,0,-1,5,3.0,857959.0,125067.0,219709.90165653283,180307.34864367277,28396.657012860283,142037.73900000003
obi,0,-1,5,5.0,857959.0,166515.0,291387.2595942364,264760.07888005313,11973.860714183356,302800.3790000001
obi,0,-1,5,10.0,857959.0,236183.0,420819.1615118972,424272.375459768,-24237.317947871055,806251.3890000008
obi,0,-1,5,30.0,857959.0,370951.0,735448.4086534575,783230.82952478,-80426.1088713214,3276317.5919999965
obi,0,-1,5,60.0,857959.0,450262.0,943663.9892907857,1061736.0218543762,-157695.08856358417,6721994.454999987
obi,0,-1,6,0.1,798952.0,16993.0,48088.97566503385,10813.010112034166,35780.58155299972,771.9569999999997
obi,0,-1,6,0.5,798952.0,46054.0,98999.36707339218,46428.816555825026,48517.79851756715,9146.53
obi,0,-1,6,1.0,798952.0,73649.0,139795.1411867204,94285.07713678785,39028.95204993265,29245.98300000001
obi,0,-1,6,3.0,798952.0,142115.0,256269.34585140942,231104.81158581498,12658.414265594563,154928.1779999999
obi,0,-1,6,5.0,798952.0,185011.0,329767.9112905705,336070.97305355594,-22584.02976298542,320879.2189999999
obi,0,-1,6,10.0,798952.0,255091.0,465442.1798826157,521945.54274234205,-78951.37085972623,826427.8940000008
obi,0,-1,6,30.0,798952.0,386399.0,780805.0305112833,929483.290229229,-182681.37171794788,3228298.0199999977
obi,0,-1,6,60.0,798952.0,458168.0,948155.7767783726,1234199.707510878,-326362.71473250544,6348893.022
obi,0,-1,7,0.1,817056.0,18075.0,46513.50377991607,14579.966968676505,30342.936811239557,828.0059999999997
obi,0,-1,7,0.5,817056.0,49167.0,97762.8680498837,59278.65616371223,34157.5158861714,9739.727
obi,0,-1,7,1.0,817056.0,77694.0,137972.1358867359,116285.48940567789,14849.574481058049,30523.27599999999
obi,0,-1,7,3.0,817056.0,146143.0,244941.69027689466,275483.9917426428,-43402.88546574802,156076.79399999997
obi,0,-1,7,5.0,817056.0,188980.0,312445.3590619245,379851.1437489368,-84036.02468701216,322190.8160000002
obi,0,-1,7,10.0,817056.0,259225.0,432832.5524009071,578129.9124357081,-168109.1600348003,829039.2470000003
obi,0,-1,7,30.0,817056.0,390139.0,715766.424837282,1020673.5090565138,-339239.31621923135,3222694.9999999995
obi,0,-1,7,60.0,817056.0,461629.0,871421.5823940441,1314417.3521293032,-483619.12173525844,6315041.092999997
obi,0,-1,8,0.1,836469.0,18791.0,50356.572301832726,18173.05848181475,30529.90582001798,856.5609999999997
obi,0,-1,8,0.5,836469.0,50888.0,104288.18700794711,75398.4257960164,24411.617211930727,10004.79
obi,0,-1,8,1.0,836469.0,79845.0,145485.70058257034,144085.68180941517,-5626.341226844925,31049.62599999999
obi,0,-1,8,3.0,836469.0,149844.0,255138.42943904793,325032.4212000104,-83080.26376096261,159165.33999999994
obi,0,-1,8,5.0,836469.0,193893.0,323405.34593891253,450168.43039528804,-143825.6684563752,329860.5859999999
obi,0,-1,8,10.0,836469.0,265952.0,445525.37616610323,682470.3491566936,-260348.74899059077,849310.0630000003
obi,0,-1,8,30.0,836469.0,400452.0,714641.5245901297,1183730.7130020505,-504328.9644119218,3301069.3820000016
obi,0,-1,8,60.0,836469.0,474332.0,877547.2796453338,1615872.4476708865,-780066.3840255479,6503681.342999985
obi,0,-1,9,0.1,878866.0,29355.0,55488.29507384607,32950.52543299035,19954.52964085577,1360.1480000000001
obi,0,-1,9,0.5,878866.0,77852.0,115934.18583908389,125733.95572281041,-16650.745883726555,14702.253
obi,0,-1,9,1.0,878866.0,115864.0,158083.57611004572,219290.300626558,-71402.75651651247,42287.314
obi,0,-1,9,3.0,878866.0,198425.0,254117.06727172874,450813.2498541506,-214157.5825824218,193556.3139999999
obi,0,-1,9,5.0,878866.0,248508.0,311868.73775594,607160.5135810364,-317160.4798250957,387867.4859999999
obi,0,-1,9,10.0,878866.0,328517.0,405765.24865060154,906246.9681805352,-529391.2155299343,964106.3200000013
obi,0,-1,9,30.0,878866.0,472379.0,594390.3554290988,1587580.9337325273,-1034759.9303034256,3589272.2870000005
obi,0,-1,9,60.0,878866.0,548608.0,693945.1730366732,1994240.1949124122,-1348572.5258757325,6890261.142999987
obi,1,1,0,0.1,893020.0,10856.0,25174.295291510847,-17631.780591707415,6587.186699803445,514.6930000000001
obi,1,1,0,0.5,893020.0,36338.0,59210.01446634378,-68823.71707510184,-12811.446608758055,7890.758000000001
obi,1,1,0,1.0,893020.0,61317.0,79624.97876053459,-130298.44239221096,-56069.35963167646,26160.468999999994
obi,1,1,0,3.0,893020.0,122081.0,121412.77616034131,-298355.6977919714,-187686.04963162995,140314.83599999995
obi,1,1,0,5.0,893020.0,162077.0,147593.73433983786,-430263.1006287003,-296932.14228886215,297142.2969999999
obi,1,1,0,10.0,893020.0,229184.0,193734.7168103469,-681927.7352083413,-508361.2103979942,785002.0769999998
obi,1,1,0,30.0,893020.0,361306.0,295693.08338873973,-1351149.5070497731,-1087251.351661036,3222378.786000002
