rule,trig_rate,lat_ms,n,n_cancel,n_fill,sum_mk,sum_edge,sum_pnl,fill,canc,markout,edge,pnl,ev
スコア,0.02,0,6739198,4793905,1776176,-1671984.1758518734,-1233363.2751236544,-3061650.938975528,0.2635589576089024,0.7113465133388276,-0.9413392455769436,-0.6943924898904469,-1.7237317354673904,-0.4543049393971698
スコア,0.02,65,6739198,4793905,1778733,-1680433.0621113745,-1235928.1278536404,-3072889.693965015,0.2639383796113425,0.7113465133388276,-0.9447359789869387,-0.6948362277270621,-1.727572206714001,-0.4559726089016846
スコア,0.02,130,6739198,4793905,1786645,-1707700.703998338,-1242912.060564726,-3107837.524563064,0.26511240655045304,0.7113465133388276,-0.9558142238655906,-0.6956681716651746,-1.7394823955307652,-0.46115836403130817
スコア,0.02,200,6739198,4793905,1799798,-1743676.9878273408,-1257372.720743307,-3159431.932570648,0.267064122466798,0.7113465133388276,-0.9688181606087688,-0.698618800967279,-1.755436961576048,-0.4688142316890894
スコア,0.02,300,6739198,4793905,1821383,-1795770.536569096,-1284957.9283374378,-3241010.1689065336,0.27026702583897966,0.7113465133388276,-0.9859379035431295,-0.705484748862506,-1.7794226524056356,-0.4809192679761796
スコア,0.05,0,6739198,5219743,1487842,-1336574.5360456456,-605595.2759250116,-2073099.907970657,0.22077434139789334,0.7745347443419826,-0.898330962592564,-0.4070292920384097,-1.3933602546309736,-0.3076181925461542
スコア,0.05,65,6739198,5219743,1492158,-1350179.7360260368,-607789.8343923548,-2089279.4744183917,0.22141477368672058,0.7745347443419826,-0.9048503818134788,-0.40732270603538956,-1.4001730878488683,-0.3100190073682939
スコア,0.05,130,6739198,5219743,1506814,-1395371.5981137904,-615182.9572793456,-2143154.187393136,0.223589513173526,0.7745347443419826,-0.9260410363281668,-0.40826734904198236,-1.422308385370149,-0.31801323946753546
スコア,0.05,200,6739198,5219743,1529914,-1458309.1888566148,-632094.4175308932,-2225036.038387508,0.2270172207434772,0.7745347443419826,-0.9531968390750165,-0.4131568294236756,-1.4543536684986922,-0.33016332780065344
スコア,0.05,300,6739198,5219743,1570221,-1547389.1328922743,-665684.6407678149,-2351253.221660089,0.23299819948901931,0.7745347443419826,-0.9854594562754379,-0.4239432798108132,-1.497402736086251,-0.34889214141802766
スコア,0.1,0,6739198,5570310,1164284,-995197.9266296148,-156593.4347156239,-1254248.3533452386,0.17276299049234048,0.8265538421634147,-0.854772483886762,-0.1344976266234217,-1.0772701105101836,-0.18611240585975344
スコア,0.1,65,6739198,5570310,1170355,-1012793.0333896991,-157838.93361087155,-1273623.2070005706,0.17366383952511857,0.8265538421634147,-0.8653725009844868,-0.1348641511429195,-1.0882366521274063,-0.18898735532040617
スコア,0.1,130,6739198,5570310,1192029,-1069286.942110162,-162590.7399070974,-1336776.2340172592,0.17687994921650915,0.8265538421634147,-0.8970309800434066,-0.13639830902360378,-1.1214292890670103,-0.19835835570007873
スコア,0.1,200,6739198,5570310,1225154,-1150085.0729346697,-174754.6254236532,-1432653.2503583229,0.18179522251757554,0.8265538421634147,-0.9387269461101785,-0.14263890533243428,-1.1693658514426128,-0.21258512516746397
スコア,0.1,300,6739198,5570310,1288172,-1274163.5472009685,-204942.64496741528,-1592465.3281683838,0.19114618683113332,0.8265538421634147,-0.9891253242586926,-0.15909571467739966,-1.2362210389360921,-0.23629893767305601
スコア,0.2,0,6739198,5906291,831711,-659983.826580919,71074.14618190062,-662100.2483990184,0.12341394332085212,0.8764085874906776,-0.7935254271987734,0.08545533987394735,-0.7960700873248261,-0.09824614863653189
スコア,0.2,65,6739198,5906291,839097,-678632.3665722416,71418.08878962466,-681054.813782617,0.12450991942958198,0.8764085874906776,-0.8087650969700066,0.08511303078145274,-0.8116520661885539,-0.10105873336599058
スコア,0.2,130,6739198,5906291,867596,-742816.9601354455,72261.4081711807,-746903.9999642647,0.1287387609030036,0.8764085874906776,-0.8561784057734769,0.08328923620115894,-0.8608891695723179,-0.11082980496555594
スコア,0.2,200,6739198,5906291,908924,-831770.2965659453,68409.97506802191,-843345.6334979234,0.1348712413554254,0.8764085874906776,-0.9151153413992207,0.07526479119048668,-0.9278505502087341,-0.1251403554989664
スコア,0.2,300,6739198,5906291,994818,-988236.7244671171,50331.76022691335,-1025448.9482402038,0.14761667486249846,0.8764085874906776,-0.9933844426489238,0.050593938013700344,-1.0307905046352235,-0.15216186677408852
スコア,0.4,0,6739198,6225024,513560,-388603.3332161137,101645.13011653985,-332151.4830995738,0.0762049134036424,0.9237039778323771,-0.7566853594830472,0.19792259933900586,-0.6467627601440412,-0.0492865001294774
スコア,0.4,65,6739198,6225024,522289,-406699.7258398542,103285.6668373528,-349375.49100250145,0.0775001713853785,0.9237039778323771,-0.7786871365084354,0.1977557766626385,-0.668931359845797,-0.05184229503310356
スコア,0.4,130,6739198,6225024,557539,-474129.1216762148,109477.31187140047,-413715.2418048143,0.08273076410575858,0.9237039778323771,-0.850396334025449,0.19635812359565963,-0.7420382104297893,-0.061389388144526144
スコア,0.4,200,6739198,6225024,603570,-557557.9986368718,113220.19647786106,-497451.96215901076,0.08956110207772497,0.9237039778323771,-0.9237669178999484,0.18758420146438864,-0.8241827164355596,-0.07381471239738181
スコア,0.4,300,6739198,6225024,705873,-721297.1839693884,110892.38565145334,-672521.622317935,0.10474139504433613,0.9237039778323771,-1.0218512168185896,0.1570996279096287,-0.952751588908961,-0.09979253055303242
無作為,0.01,0,6739198,4956914,1780287,-1807955.7318623252,-1535373.7988170213,-3499994.7866793466,0.26416897084786645,0.7355347030907832,-1.0155417254983747,-0.8624304950926571,-1.965972220591032,-0.5193488582290277
無作為,0.01,65,6739198,4956914,1782028,-1810372.5460617207,-1538119.1290177503,-3505310.139079471,0.2644273101932901,0.7355347030907832,-1.0159057804151903,-0.8631284856454278,-1.9670342660606182,-0.5201375800324417
無作為,0.01,130,6739198,4956914,1788294,-1817182.7598409094,-1546841.2298121792,-3521393.8616530886,0.26535709441984046,0.7355347030907832,-1.01615436826434,-0.864981501818034,-1.9691358700823738,-0.5225241730029432
無作為,0.01,200,6739198,4956914,1796299,-1825994.5825648624,-1557910.3484116152,-3541979.242976478,0.26654492122059625,0.7355347030907832,-1.0165315365453427,-0.8672889916498396,-1.9718205281951824,-0.5255787473489394
無作為,0.01,300,6739198,4956914,1808885,-1838920.1872290145,-1576869.411069051,-3574971.4782980653,0.2684125024965879,0.7355347030907832,-1.0166042546812066,-0.8717355780323519,-1.9763398327135584,-0.5304743202823341
無作為,0.02,0,6739198,5200713,1537468,-1587036.6443794835,-1015929.5542917037,-2738263.382671187,0.22813812563453395,0.7717109662010228,-1.0322404397226372,-0.660780942622353,-1.78102138234499,-0.4063188798832127
無作為,0.02,65,6739198,5200713,1540169,-1591103.4275591006,-1019140.9958864197,-2745779.29544552,0.2285389151646828,0.7717109662010228,-1.0330706744254043,-0.6617072515330589,-1.782777925958463,-0.40743413317809035
無作為,0.02,130,6739198,5200713,1550595,-1603136.9337427504,-1030360.4347455172,-2769949.7284882674,0.2300859835250426,0.7717109662010228,-1.0338850142962865,-0.6644935877811532,-1.7863786020774395,-0.4110206776070784
無作為,0.02,200,6739198,5200713,1564047,-1617704.391725036,-1045556.8315217482,-2800897.3592467844,0.2320820667385051,0.7717109662010228,-1.0343067642628616,-0.6684945091303192,-1.7908012733931808,-0.4156128606470361
