dt,n_seg,n_wallet_day,n_stale,n_carry,n_grid_ok,n_inc,n_maker_mean,n_maker_p10,n_maker_p25,n_maker_p50,n_maker_p75,n_maker_p90,n_maker_bid_mean,n_maker_bid_p10,n_maker_bid_p25,n_maker_bid_p50,n_maker_bid_p75,n_maker_bid_p90,n_maker_ask_mean,n_maker_ask_p10,n_maker_ask_p25,n_maker_ask_p50,n_maker_ask_p75,n_maker_ask_p90,hhi_mean,hhi_p10,hhi_p25,hhi_p50,hhi_p75,hhi_p90,eff_n_mean,eff_n_p10,eff_n_p25,eff_n_p50,eff_n_p75,eff_n_p90,mci_mean,mci_p10,mci_p25,mci_p50,mci_p75,mci_p90,top1_mean,top1_p10,top1_p25,top1_p50,top1_p75,top1_p90,overlap_mean,overlap_p10,overlap_p25,overlap_p50,overlap_p75,overlap_p90,clustering_mean,clustering_p10,clustering_p25,clustering_p50,clustering_p75,clustering_p90,depth_near_mean,depth_near_p10,depth_near_p25,depth_near_p50,depth_near_p75,depth_near_p90,turnover60,entry60,exit60
2026-07-08,6079189,1422,282,3713,86399,2933310,8.183219713191125,4.0,6.0,8.0,10.0,13.0,4.627167295539248,1.0,2.0,4.0,6.0,9.0,4.40809500109955,1.0,2.0,4.0,6.0,8.0,0.40082821083696635,0.21303450980392855,0.26418329667772333,0.35471536421213656,0.49219033481380214,0.6656489124814675,2.9932647509304213,1.5022934481692383,2.0317343300267696,2.819161786862868,3.785250668016636,4.6940751571939705,0.39564508867929365,0.2301523454830225,0.29627971185115315,0.3773994118097987,0.47186233912947384,0.5805719049662471,0.5348225118013136,0.3219870736892272,0.39269787621673374,0.5035741341465784,0.6547973490765365,0.8045804331478985,1.482405779727677,1.0,1.1666666666666667,1.3333333333333333,1.6,2.0,0.8440368163170094,0.7083333333333333,0.791902616911954,0.8611200939399762,0.9166666987362406,0.9737565590640748,110.25391055452032,21.9398,40.105000000000004,75.001,122.309,187.5176,0.7298620154746145,0.5746777507939473,0.5746197261235557
2026-07-09,5836731,1361,755,3475,86399,14544498,23.704313707334574,5.0,7.0,11.0,49.0,54.0,16.000509265153532,2.0,3.0,7.0,34.0,40.0,17.257155754117523,2.0,3.0,7.0,37.0,44.0,0.2826368986579759,0.09702864375063495,0.11297585161371099,0.24210416178268043,0.38125516345404653,0.5431216590324892,5.4391917442858615,1.8412081038919745,2.6229152962719837,4.130453572696649,8.851449099225835,10.306234956574391,0.32450691575646534,0.1659957210694724,0.19365065752417054,0.30700241772741826,0.4195681188180196,0.5178728588529377,0.4130402336449724,0.20604014233955426,0.2506088676197148,0.36851601816619617,0.5303486340096168,0.7088150317928683,4.214790888600546,1.125,1.2857142857142858,1.6,7.7368421052631575,10.863636363636363,0.7446110837770288,0.5535265194959682,0.5987216256998453,0.7666666666666667,0.8744627463264902,0.9305948913910854,941.8769179967361,20.262800000000002,38.709,86.768,2114.396,2927.8163999999997,0.41593510863157845,0.2633447102313846,0.26212470905783636
2026-07-10,5397605,1057,1057,2694,86399,3714891,8.93070521649556,5.0,6.0,9.0,11.0,14.0,5.017002511603144,2.0,3.0,5.0,7.0,9.0,4.968356115232815,2.0,3.0,4.0,7.0,9.0,0.36397681790800124,0.1903736539113998,0.23849244466258995,0.31889537383392524,0.4451783042638835,0.6109539549149369,3.3214739947628624,1.6367845604342217,2.2462909590244617,3.1358247314079297,4.193004945774119,5.252827686650175,0.3929529673369552,0.23226130760142122,0.30073082666998785,0.3817614187711096,0.4695262749541622,0.564003720215163,0.5019222592905405,0.30127385540526946,0.367714551921125,0.47077483099323975,0.608141420900423,0.7663399358048856,1.4854789599377387,1.1,1.2222222222222223,1.4,1.6153846153846154,1.8888888888888888,0.8205141250903406,0.6965121219300066,0.7666666666666667,0.8333333333333334,0.888888888888889,0.9341691049396995,93.80439215731664,16.297600000000003,31.3595,59.159,103.142,167.1638,0.6987599577678396,0.5364852002562367,0.5371491333857218
2026-07-11,1093623,501,561,2066,86399,3576704,7.810970034375398,4.0,6.0,8.0,10.0,12.0,4.4584080834268915,2.0,3.0,4.0,6.0,8.0,4.490549659139574,2.0,3.0,4.0,6.0,8.0,0.3815175192356042,0.22003205918077848,0.27229134979766345,0.3491146332490108,0.4606771375545533,0.5920212770485318,3.0153908285203137,1.6891284803582491,2.170717664471412,2.864388669972296,3.672536791025733,4.544792262196662,0.4150699572622155,0.2441407595239559,0.30488843849738856,0.3874414237524198,0.5026516043940605,0.6300357305486138,0.5292828239480145,0.33388742917403974,0.40703208613404457,0.511988256401892,0.6407254740313273,0.7511013522794575,1.3659985001168669,1.1111111111111112,1.2,1.3333333333333333,1.5,1.6666666666666667,0.7822348508379179,0.6528793690672525,0.7335955210449822,0.7981968193017511,0.8524814310908879,0.8936557216897864,29.84346013264042,5.759800000000001,11.179,25.126,39.2905,58.65279999999998,0.6542728521973258,0.48644110286842507,0.4860969571286378
2026-07-12,1234119,377,1034,962,86399,3951366,8.703248880195373,5.0,7.0,8.0,10.0,13.0,4.9010983923425036,2.0,3.0,4.0,6.0,8.0,5.280674544844269,3.0,3.0,5.0,7.0,9.0,0.3322213635454434,0.20300364077792799,0.2424636212088756,0.3003423786185133,0.3822103725445234,0.49837193225594245,3.4197864058021468,2.0065335450842423,2.6163601823520723,3.32953346310869,4.124330054192585,4.926020027230082,0.4195761757316848,0.23939106014920036,0.3131486637606121,0.4002509077440251,0.5104125861809358,0.6304958194849594,0.47680787280182535,0.3071218290694321,0.3674832295160517,0.4529670591033417,0.5617027427456366,0.6795866998604753,1.4083912066665965,1.1428571428571428,1.25,1.375,1.5333333333333334,1.7058823529411764,0.7442566459294409,0.6090232197941721,0.688921534197322,0.7574679852058783,0.8140538596951309,0.8601163886176838,38.478376173335334,8.993,16.8185,31.072,48.784,68.81779999999998,0.5855181728764582,0.4139651071950939,0.41393715888084304
2026-07-13,5772117,1005,205,2189,86399,3930307,9.695609902892395,5.0,7.0,9.0,12.0,14.0,5.670857791207901,2.0,3.0,5.0,8.0,10.0,5.306380860889593,2.0,3.0,5.0,7.0,9.0,0.3369048055425509,0.17363038692181443,0.21623193026692758,0.2890502845593277,0.41489378130818366,0.5696459967998647,3.6307630747314086,1.7554762180887227,2.410255455863928,3.459605658318422,4.624663892203067,5.7593605458922745,0.39128220298321487,0.2136829530537303,0.2887321417199062,0.38407577381848773,0.4783558097926339,0.5705613628344379,0.47692182267165106,0.27780890388750207,0.3417599025502944,0.4439426735079014,0.5818944705899021,0.7370620959477137,1.5244670950250794,1.125,1.25,1.4285714285714286,1.6666666666666667,1.9444444444444444,0.8068631116312847,0.6850797324675275,0.7535399781327907,0.8166666666666667,0.8734732110804945,0.9184099751429677,104.36825448211206,24.5118,41.186,69.379,111.244,171.571,0.6746630448289481,0.509280042622375,0.508975426432801
2026-07-14,5456638,1037,18,2400,86399,3842951,9.673375849257514,5.0,7.0,9.0,12.0,14.0,5.521857891873749,2.0,3.0,5.0,7.0,10.0,5.253313117049966,2.0,3.0,5.0,7.0,9.0,0.3468127403207652,0.17777403600152894,0.22103873777294253,0.29685392874195027,0.42729689972770135,0.5945123554752529,3.5469805737742472,1.682050831227458,2.340293134505025,3.368660149582463,4.524093876395493,5.625118394840123,0.3854041749617554,0.20942640392980325,0.28106730260707424,0.3683772944243178,0.4638921466144596,0.5844915599444254,0.48956189511416026,0.2860012654237175,0.3530195269908213,0.45694441271219355,0.5981132463973236,0.7571011385176921,1.508165946702226,1.1111111111111112,1.25,1.4,1.6363636363636365,1.9241758241758082,0.8210846551813524,0.7038029199349795,0.769561648546745,0.8333333333333334,0.8853333333333333,0.9300022453041186,103.49845387099388,20.651,35.971000000000004,64.515,106.8275,163.70559999999998,0.6928430792538822,0.5301279549008667,0.5300106090250952
2026-07-15,4981981,1164,573,3393,86399,5034235,11.354668456810844,5.0,7.0,10.0,12.0,16.0,6.826811116126717,2.0,3.0,5.0,8.0,11.0,6.702982673410572,2.0,3.0,5.0,8.0,11.0,0.311244577424112,0.15457462193913812,0.19932531004393017,0.26860985328365483,0.37854529107892354,0.5237408563561381,3.9973288196199794,1.9093412197303172,2.6416918229595123,3.7228716213324815,5.016924343316388,6.469367270509167,0.3971921519452148,0.21013533521499028,0.2902124195680137,0.3821448561116463,0.4821327376080814,0.5999562547228584,0.44971934945308806,0.258033359818308,0.32081766921384913,0.4178756268268483,0.5447722589047449,0.6958133173420357,1.715873978302068,1.125,1.25,1.4285714285714286,1.6923076923076923,2.1666666666666665,0.8059819109376589,0.6629787210541903,0.7602497272014659,0.8257575757575758,0.8773441623057718,0.9230769230769231,155.31082877116634,21.549,37.947,70.71900000000001,125.37,228.01559999999998,0.6413179125544551,0.4720454763366783,0.4720036557327888
2026-07-16,6144436,1344,214,4574,86399,3824451,9.4124006064885,5.0,7.0,9.0,12.0,14.0,5.301978077942521,2.0,3.0,5.0,7.0,9.0,5.2480815750182295,2.0,3.0,5.0,7.0,9.0,0.37523808302211475,0.19245317937417047,0.24094976528661693,0.3252757943940869,0.4610758178505743,0.6423540977639592,3.2599021173454683,1.5567737537302393,2.168840701073237,3.0743142196079094,4.150242683109366,5.196069004104641,0.36162760962513,0.21125979126395916,0.2701341082197384,0.3444594886518995,0.4291422976878912,0.5296116946778369,0.5144653542240532,0.30329447288004735,0.37313158070242414,0.4814095672127991,0.6295859047449979,0.7897830259760665,1.546018850350319,1.1111111111111112,1.25,1.4166666666666667,1.6666666666666667,2.066666666666667,0.8174815032096637,0.6944906357943607,0.7678435485117008,0.8333333333333333,0.8833333333333332,0.9274390125836771,131.98070268174402,26.6808,46.1185,86.822,149.402,272.0886,0.7032018004692644,0.5423425573986733,0.5422355059044436
2026-07-17,7352910,1472,932,3981,86399,3904042,9.528397319413418,5.0,7.0,9.0,12.0,14.0,5.146739507858978,2.0,3.0,5.0,7.0,9.0,5.292734869616546,2.0,3.0,5.0,7.0,10.0,0.37113627159800233,0.18386396193533933,0.2309833504663491,0.3162430435765135,0.4577185771564928,0.655372636062127,3.364308085497035,1.5258495095881521,2.184748555233032,3.162124891952144,4.329316368427188,5.4388037205299575,0.3721029881597488,0.20895833619111043,0.2725555637759411,0.35245143540075236,0.4463591499041127,0.5654464507029034,0.5071161992734124,0.29241137031470366,0.36070017444287206,0.4690701645451723,0.6231490890448571,0.7986234423231742,1.652283519180843,1.125,1.2727272727272727,1.5,1.8,2.4285714285714284,0.8181529142163181,0.6856458592677412,0.7671528566799628,0.8346919520257737,0.8881818181818182,0.9318181935638893,149.84389401497705,23.551000000000002,46.689,91.921,170.5755,302.57359999999994,0.724822695035461,0.5686496226559622,0.5683432244038913
2026-07-18,798437,674,918,3799,86399,4048644,10.869558675447632,7.0,9.0,11.0,13.0,15.0,5.575897869188301,2.0,4.0,5.0,7.0,9.0,6.598548594312434,3.0,4.0,6.0,8.0,11.0,0.36558275015747554,0.18854154440869852,0.22944421471120813,0.29487087097256115,0.4120444767469095,0.8374359265866548,3.4362273236299354,1.1941212076677292,2.426922471804496,3.3913149735738184,4.358357876754594,5.303870843975494,0.33072970745221203,0.11948429132982959,0.25284402631172354,0.3305149938277902,0.4054589280070826,0.4986644394875501,0.5055944483925017,0.29965180238523775,0.36142367906066536,0.4522352821710543,0.6029110741023069,0.9138652160078513,1.477474491576431,1.1666666666666667,1.2857142857142858,1.4444444444444444,1.6666666666666667,1.7777777777777777,0.8523518698732979,0.7765584617988877,0.821781915718443,0.8541666666666666,0.8899459121180655,0.9242424242424243,152.42486784569266,17.649200000000008,30.164,47.592,82.2475,349.7223999999999,0.5671238064117647,0.3958542475259975,0.39576792652697584
2026-07-19,1407571,512,2134,2158,86399,4300950,10.9414229331358,7.0,9.0,11.0,13.0,15.0,5.937707612356625,2.0,3.0,5.0,8.0,10.0,6.409192980831558,3.0,4.0,6.0,8.0,11.0,0.32433630321227547,0.1780928282827382,0.21454021608985877,0.2727492126858059,0.37808513226269125,0.5582971433897082,3.7145935954579503,1.791160876228333,2.644906965835406,3.6663717198404986,4.661130759951387,5.615049239917556,0.3537089202457869,0.18194505074541328,0.2683113233240997,0.34867247416912417,0.42711705975420877,0.5162028582793092,0.4710929007454003,0.28736695974086074,0.3435639377734606,0.42936082474226805,0.5670232395651111,0.7333161117971723,1.499129419262732,1.1666666666666667,1.2857142857142858,1.4444444444444444,1.6363636363636365,1.8571428571428572,0.8458797397919585,0.7598942300514459,0.8077736134793361,0.8533613775506235,0.8920737356033231,0.9270833333333333,83.87066304008147,22.2468,35.548,55.777,98.031,171.18519999999995,0.6049574242482418,0.4333862534662687,0.4337514023835228
2026-07-20,6135159,842,1006,1951,86399,4362399,9.942233127698238,5.0,7.0,10.0,12.0,15.0,5.728283892174678,2.0,3.0,5.0,8.0,10.0,5.365607204037224,2.0,3.0,5.0,7.0,10.0,0.3422407833185952,0.1822111967978855,0.22691857988471587,0.3024596232227316,0.4161510567951141,0.5467029291119947,3.506127260939808,1.8291469588960436,2.402973592826787,3.306226428985527,4.406866993976164,5.488136939860194,0.3701155343123161,0.2181219493452143,0.2746201502831337,0.3523689736977066,0.4435378534339457,0.5425000543757145,0.47652542616669735,0.29041617176550755,0.3537506891341542,0.44788052496605824,0.5655260582296693,0.7144652190511086,1.7193469267801453,1.1428571428571428,1.2857142857142858,1.5,1.8,2.5833333333333335,0.8034167485438466,0.6692401456838293,0.7517032360843051,0.8197712090758167,0.875,0.9167953562234139,144.77710086922303,26.755400000000005,45.638,84.188,154.015,274.6766,0.6901215694172358,0.5271527530214384,0.5267683016335689
2026-07-21,5283620,1221,190,2907,86399,4284182,10.516279123600967,6.0,8.0,10.0,13.0,15.0,5.903714163358372,2.0,3.0,5.0,8.0,10.0,5.635427036788369,2.0,3.0,5.0,8.0,10.0,0.32633587911286394,0.16953119662666283,0.21178511679299433,0.2828801390502915,0.39443829499922833,0.5252057095728324,3.7418204057334545,1.9040158584973683,2.5352507926030965,3.5350661356335666,4.721767115618177,5.898619369105734,0.3747050587570317,0.2116794629649254,0.27738593263487865,0.36025966768439127,0.4558230966062048,0.5560531394064809,0.4609821135908657,0.27481839733154106,0.33858091916518906,0.4309029336162226,0.545254241567289,0.6997062777347497,1.7408548356094575,1.1666666666666667,1.3,1.5,1.8,2.5,0.8205587695340916,0.6940200335747305,0.7708333333333333,0.8355555555555555,0.8882740724576139,0.9299962141117188,185.001673804095,25.3508,43.733000000000004,82.768,159.7255,315.89799999999997,0.7093102100287857,0.5496819018918466,0.5495232934168671
2026-07-22,5902777,1120,151,3459,86399,4410278,10.642368545932245,6.0,8.0,10.0,13.0,16.0,5.692508015139064,2.0,3.0,5.0,8.0,10.0,6.096390004513941,2.0,3.0,6.0,8.0,11.0,0.32478154159832945,0.16819993284752643,0.21174762913815617,0.28426526841750044,0.38966575923869334,0.5172383931235733,3.7553046246669504,1.9333444953921584,2.5663019566165666,3.517840943309683,4.722603053787093,5.945305584174479,0.3705690299055204,0.21400015981820986,0.2776373280185951,0.3588124602600846,0.4494464920127086,0.5433208228660993,0.45825122520736755,0.2764842187785338,0.3375813786286196,0.42903110475509476,0.5366114756920424,0.692113009117674,1.76313962544166,1.1666666666666667,1.3076923076923077,1.5,1.8333333333333333,2.5833333333333335,0.8166236477796556,0.6869042909739047,0.7638888888888888,0.832515349621775,0.8861538461538461,0.930795679072771,209.65838697207144,31.674,54.5595,97.562,172.489,327.2653999999999,0.6987875887147477,0.537043123205739,0.5370235346097842
2026-07-23,7222415,1033,980,3622,86399,5141455,11.024282688457042,6.0,8.0,10.0,13.0,16.0,6.406856560839825,2.0,3.0,5.0,8.0,11.0,6.243929257621704,2.0,3.0,5.0,8.0,11.0,0.3749858942341471,0.1959976702179422,0.25684161778624803,0.3455830783205751,0.46155755607847593,0.6003909299950366,3.237587475550712,1.665581457202647,2.166577032245544,2.8936602013607984,3.89345001258362,5.102101463223211,0.31581518119318747,0.18320364575866072,0.23059829539939897,0.298048130456738,0.38148243675661775,0.4698641098501883,0.5185117816649304,0.30939255535358867,0.3918182397059088,0.49715844510115936,0.632282809820204,0.7618849191081096,1.9026743788177716,1.1666666666666667,1.3333333333333333,1.5384615384615385,1.8571428571428572,3.0,0.7839847041155507,0.6387764832201412,0.729047619047619,0.8000118726377728,0.8583333333333332,0.9058350767617657,216.38193467516984,53.355000000000004,79.1095,116.504,176.73149999999998,359.4535999999999,0.6763510229792276,0.5110770016294807,0.5109414742230025
2026-07-24,6658403,1000,1014,2983,86399,4539201,10.615643699579856,6.0,8.0,10.0,13.0,16.0,6.083985369693042,2.0,3.0,6.0,8.0,11.0,5.699915508281346,2.0,3.0,5.0,7.0,10.0,0.37389852486500713,0.20015575820612316,0.2550005081414435,0.33947919211263183,0.4544970386331567,0.5980406627407612,3.1845588725003555,1.6721271016380326,2.2002343579782124,2.9456886408172602,3.921560812949699,4.99610907506467,0.31527231096871067,0.18421503556988372,0.23436566158850625,0.2995408722368367,0.3780834386309315,0.46494449159135315,0.5157774249781472,0.3113914757138993,0.38791380594396224,0.4906229568776827,0.6270046962910347,0.760635935181542,1.736285935764782,1.1666666666666667,1.3125,1.5,1.8,2.473684210526316,0.7993881278290826,0.674790940683705,0.7497279640743233,0.8117948717948719,0.8666666666666666,0.9109062477792392,187.9411245847753,54.9778,81.656,119.17,179.265,300.26719999999995,0.68590663487881,0.5220598423478712,0.5219311022011291
