coin,dt,hour,n_bbo,n_fill,half_spread_bp,tick_bp,room_bp,sigma_short_bp,x1,depth,trade_size,depth_over_trade,obi_ic_mid,obi_ic_micro,n_lot,ev
xyz_MU,2026-07-05,14,8812,4259,0.959831071942618,0.9619084263178147,-0.0020773543751967383,0.8628789571244345,-0.0024074690407558125,3.739,0.301,12.421926910299003,0.32359490176821876,-0.007496758485684422,135,-1.422763767948857
xyz_MU,2026-07-05,15,6872,2382,0.4832085044692392,0.9643201542912248,-0.48111164982198557,0.6406942129741069,-0.750922421460094,3.5629999999999997,0.1995,17.859649122807014,0.3524922721736769,-0.04848572795204438,98,-0.3523872610257596
xyz_MU,2026-07-05,16,6195,2492,0.4836291531660126,0.9659502535619416,-0.482321100395929,0.5123184716401451,-0.941447804627887,2.7835,0.228,12.208333333333334,0.29318413986361513,-0.17586667844473494,115,-0.049798943167147426
xyz_MU,2026-07-05,17,5672,2533,0.4841442749935079,0.9672115291614276,-0.48306725416791974,0.5163256102362878,-0.9355864682885904,3.7245,0.192,19.3984375,0.2552586311543226,-0.17405629262067152,102,0.09928925773676704
xyz_MU,2026-07-05,18,4108,1970,0.4831618108911264,0.9654839488293507,-0.4823221379382243,0.4586877901603344,-1.0515260015306458,2.1652500000000003,0.2085,10.384892086330938,0.304857209183926,-0.12009303601482345,88,-0.12129023535685106
xyz_MU,2026-07-05,19,3864,1620,0.4825556145352334,0.9645992090286487,-0.48204359449341533,0.40982866206065766,-1.1762076182511347,1.5215,0.19,8.007894736842106,0.28540808034897036,-0.2074304678850542,76,-0.20119209430719676
xyz_MU,2026-07-05,20,3280,1483,0.4822763443448712,0.9640877319836105,-0.4818113876387393,0.3600772595201458,-1.338077801083083,2.06,0.208,9.903846153846155,0.3085276006394207,-0.1735027832237725,87,-0.1758392090084909
xyz_MU,2026-07-05,21,3664,1671,0.48250904704419323,0.9639947944281102,-0.481485747383917,0.4079728739982352,-1.180190591264653,2.515,0.24,10.479166666666668,0.32817804645471865,-0.028924968149309983,52,-0.7701085083759748
xyz_MU,2026-07-05,22,11335,5190,0.4826487764849126,0.9605686566447338,-0.4779198801598212,1.1561326242661036,-0.41337807629397005,3.5409999999999995,0.232,15.262931034482756,0.28254046329379573,-0.0004456482444070567,121,-1.9310585334281292
xyz_MU,2026-07-05,23,15902,9053,0.9596008060648954,0.9657170449058425,-0.006116238840947141,1.5248553722347553,-0.004011028817758285,5.93925,0.288,20.622395833333336,0.29762971572992775,0.033572800731514085,260,-1.4067761684839541
xyz_MU,2026-07-06,0,28142,15315,1.4335547378981917,0.964645733854242,0.46890900404394964,2.414971916621852,0.19416747698659623,6.5275,0.296,22.052364864864867,0.23756814716536237,-0.07394287675764331,656,-0.4251295820605464
xyz_MU,2026-07-06,1,23695,7233,0.9871668311946964,0.9756097560975611,0.011557075097135328,1.8530303225906437,0.006236851581024248,7.6305000000000005,0.437,17.461098398169337,0.2845354889361296,-0.07898980895684969,312,-1.6836939261127741
xyz_MU,2026-07-06,2,26035,8997,1.105349893484602,0.9904422324567921,0.11490766102780992,2.3608705353313706,0.0486717332899754,7.434,0.341,21.80058651026393,0.2659903381492221,-0.057331856915686534,413,-2.486637315778265
xyz_MU,2026-07-06,3,22327,5397,0.9929500546124788,0.9915224827722969,0.0014275718401818294,1.6289797300288222,0.0008763594867792312,7.36,0.33,22.303030303030305,0.2877711294123203,-0.08808462213706081,245,-1.1763576300776735
xyz_MU,2026-07-06,4,19155,4486,0.9871668311946964,0.9886307464162135,-0.0014639152215171203,1.4046546438259742,-0.00104218871731327,5.069,0.2,25.345,0.3421674980184266,-0.02624547163309685,169,-0.6743365723705856
xyz_MU,2026-07-06,5,18357,5921,0.9860960457550807,0.9882887779809262,-0.002192732225845484,1.308838528595626,-0.0016753267709793576,7.311,0.364,20.085164835164836,0.33463082458828036,-0.007273378179500097,195,-0.5883272177133805
xyz_MU,2026-07-06,6,14486,3123,0.9850275807719255,0.9886796183696673,-0.0036520375977417974,1.0900834285207819,-0.0033502367820576156,4.15175,0.266,15.608082706766917,0.32209388411781065,-0.0501377890594665,103,-0.8964900432281124
xyz_MU,2026-07-06,7,11456,1513,0.49635181416599367,0.990442232456792,-0.4940904182907983,0.911808841162374,-0.5418793896108002,3.0575,0.493,6.201825557809331,0.3114524431079075,-0.08733203084678426,72,-0.2168020713660452
xyz_MU,2026-07-06,8,19429,4529,0.9899029895066906,0.9956688405436352,-0.0057658510369446025,1.6900430251758656,-0.003411659319350529,6.962000000000001,0.498,13.979919678714861,0.23591153964857062,-0.029864120761037536,191,-0.9052518933855426
xyz_MU,2026-07-06,9,16840,3256,0.49897709695136344,0.9956688405436351,-0.4966917435922717,1.3220455754115668,-0.375699410693649,6.29875,0.35,17.996428571428574,0.1934643272782432,-0.07406885545862332,117,-1.4334116160360157
xyz_MU,2026-07-06,10,13895,3007,0.6012566263490923,0.10032404667074651,0.5009325796783457,1.2442642005152729,0.40259341984676583,3.6039999999999996,0.383,9.409921671018276,0.16540754319203502,-0.08958033462630743,147,-1.6599595475130948
xyz_MU,2026-07-06,11,18100,3048,0.4998750312417348,0.9938875913134225,-0.4940125600716877,1.477461231825988,-0.33436583609110315,7.8335,0.445,17.603370786516855,0.21980378282349197,-0.06591213508959987,142,-1.6108661107194255
xyz_MU,2026-07-06,12,20092,3623,0.9869232691188776,0.9904422324567921,-0.0035189633379144603,1.6771837025864706,-0.002098138285321809,9.681249999999999,0.36,26.892361111111107,0.22843780661654903,-0.025942367291276927,130,-1.7242572527665359
xyz_MU,2026-07-06,13,30657,13701,0.9940357852884963,0.9945300845350573,-0.0004942992465609697,4.1354843645749835,-0.00011952632460545414,18.969,0.603,31.457711442786074,0.18025884053018734,0.006697936310773699,431,-1.8318503207533583
xyz_MU,2026-07-06,14,33067,9852,0.9837678307921568,0.9883864591055103,-0.004618628313353468,2.823557146170154,-0.001635748127009978,28.831500000000002,0.44,65.52613636363637,0.2626235561712384,0.04115231414113211,357,-2.2761119496212956
xyz_MU,2026-07-06,15,25892,6062,0.4995254508218329,0.9913258983890956,-0.49180044756726266,1.8012413481231397,-0.27303417616951203,25.642249999999997,0.3715,69.02355316285329,0.28602662310950805,0.03382257964793794,206,-2.0089960075842526
xyz_MU,2026-07-06,16,24929,4570,0.498132004980867,0.9940851931010488,-0.4959531881201818,1.4264242877990947,-0.34768980895958673,24.4945,0.256,95.68164062499999,0.332874035717764,0.05178815826296083,138,-1.7374664130418196
xyz_MU,2026-07-06,17,24404,8828,0.4997251511669719,0.10123353056999539,0.3984916205969765,1.683519467061314,0.23670152225359647,17.0005,0.476,35.71533613445378,0.23536043211179009,0.0049724135253818354,332,-2.402404997576342
xyz_MU,2026-07-06,18,20707,4518,0.4028765384844149,0.10074653180064276,0.30213000668377216,1.2945092892778995,0.2333934635975503,5.1015,0.34,15.00441176470588,0.19077338632854163,-0.033206497574629124,223,-2.546856694984262
xyz_MU,2026-07-06,19,24378,5002,0.4998250612286837,0.9948763866089637,-0.49505132538028,1.793409561566681,-0.27603919148719974,13.66325,0.454,30.095264317180614,0.21287093852056335,0.006756898638968374,213,-1.9692136516418535
xyz_MU,2026-07-06,20,14294,3215,0.506790999391966,0.10128120727199069,0.40550979211997534,1.0512034143795108,0.3857576816941123,3.35975,0.507,6.6267258382643,0.10885323922021613,-0.12136519054624609,155,-0.9674785933547443
xyz_MU,2026-07-06,21,9793,3844,0.50587318770942,0.10117054318464634,0.40470264452477367,0.5633529389537607,0.7183820595244843,2.995,0.506,5.9189723320158105,0.11491914745810083,-0.1718475279986988,132,-0.6464187689831086
xyz_MU,2026-07-06,22,15202,6581,0.7210436592126201,0.10116491398453188,0.6198787452280883,1.408614269895816,0.4400628039029704,3.5145,0.515,6.824271844660194,0.1568237630350615,-0.08574351690291004,270,-1.436562353324283
xyz_MU,2026-07-06,23,21320,9887,0.7790953145206605,0.1030632989022871,0.6760320156183734,1.5930681945630134,0.4243584913223457,6.5235,0.513,12.716374269005849,0.1431056378928257,-0.1268985793273051,390,-0.9539494859818847
xyz_MU,2026-07-07,0,28260,10232,1.0449812164908052,0.10416015665687561,0.9408210598339296,2.392092101878208,0.3933046972126289,5.16875,0.424,12.190448113207548,0.09251713405081567,-0.15595492267509825,443,-1.073530981565235
