d,buy_sz,sell_sz,buy_usd,sell_usd,n_buy,n_sell,volume_usd,net_usd,buy_share,z_hac
2026-05-26,13371.048,9315.122,2747084.13992,1906608.76727,3912,3293,4653692.90719,840475.37265,59.03019805358727,2.171097292292812
2026-05-27,10691.516,17006.041,2226229.33814,3537029.21781,5376,4432,5763258.55595,-1310799.8796699997,38.62796222879219,-1.5924551999329
2026-05-28,16170.535,17674.139,3279065.70729,3536806.72335,4810,5035,6815872.43064,-257741.0160600003,48.1092588022822,-0.38332951389940395
2026-05-29,11460.124,8758.704,2402088.69677,1829687.86186,4391,4284,4231776.55863,572400.8349099997,56.76312686858057,1.2904625803543157
2026-05-30,1165.226,756.215,251886.58339,163620.71786,462,441,415507.30125,88265.86553000001,60.62145782570651,1.405191169871033
2026-05-31,3558.668,4844.838,764779.56419,1044793.22421,1616,1349,1809572.7884,-280013.66002000007,42.262989866586565,-1.2150906900032974
2026-06-01,23863.975,18767.907,5619079.91536,4382834.89378,8573,7047,10001914.80914,1236245.0215800004,56.18004174785756,1.686445799067608
2026-06-02,31336.948,29712.594,7528253.89107,7116880.9725,21770,16913,14645134.863570001,411372.91856999975,51.40446954706199,0.6841186604560557
2026-06-03,28001.729,30104.173,6918835.93446,7350779.49936,24192,19092,14269615.43382,-431943.56489999965,48.48649192088154,-0.7625919592205788
2026-06-04,33999.809,53477.016,7823443.62701,12286781.0584,27095,29193,20110224.68541,-4463337.43139,38.90281560447169,-7.966975918148709
2026-06-05,52018.015,68041.512,10973516.1706,14336542.08819,31634,32646,25310058.25879,-3363025.9175899997,43.35634496925339,-4.762403366943456
2026-06-06,6547.927,3358.1240000000003,1262493.74691,650045.60467,1864,1401,1912539.35158,612448.14224,66.01138668686843,1.1603614362733765
2026-06-07,33320.509,26354.838,6488173.06863,5130026.93523,21856,15032,11618200.00386,1358146.1333999997,55.8449077006282,1.3642546544776197
2026-06-08,56767.298,50747.771,11367301.81433,10129400.25876,28300,26664,21496702.073090002,1237901.5555700008,52.87928248566004,1.9802528169199662
2026-06-09,50403.71,59156.321,10349337.01694,12065271.363260001,28813,28235,22414608.3802,-1715934.3463200014,46.1722856870527,-2.3119987722302726
2026-06-10,57099.115,65465.839,11282683.12526,12942068.53249,28798,29293,24224751.65775,-1659385.407230001,46.575020807903456,-2.84503614518308
2026-06-11,66333.263,67356.977,13391290.54997,13615981.56372,26764,26461,27007272.11369,-224691.0137500018,49.58401756977872,-0.3655926446667385
2026-06-12,56352.429000000004,55869.759,12161513.39703,12062948.40036,21577,22904,24224461.79739,98564.99667000026,50.20344104544898,0.19166543086404833
2026-06-13,5980.9619999999995,6897.465,1304430.00655,1503109.83114,4124,5067,2807539.83769,-198679.82458999986,46.46167399082268,-1.528862852783756
2026-06-14,15223.75,14404.828,3408081.06329,3222022.1775,9244,7424,6630103.24079,186058.88578999974,51.403137168704404,0.6034769437602522
2026-06-15,40045.76,37984.65,9052949.12281,8590878.19689,16010,15175,17643827.319700003,462070.9259200003,51.30944073966332,0.8067047927199772
2026-06-16,53895.592,61119.596,11988166.57622,13563838.00924,17498,17227,25552004.58546,-1575671.4330199994,46.916736164964895,-1.9742294987407631
2026-06-17,49253.27,47293.219,11084269.78545,10637738.69938,20451,16796,21722008.48483,446531.0860700011,51.0278310276461,0.8483903049575203
2026-06-18,63935.049,61486.544,15121358.90613,14556066.3441,25072,20399,29677425.25023,565292.5620299987,50.95239488814081,0.7759900256818468
2026-06-19,61320.114,55336.129,14440086.63098,13014739.57915,23567,17787,27454826.21013,1425347.0518299993,52.59580417832711,1.696216329307971
2026-06-20,17645.562,16885.324,4211363.28319,4027386.99545,9261,8329,8238750.27864,183976.28774000006,51.11653030810378,0.46525383254682934
2026-06-21,19327.416,21432.832,4564794.08161,5024914.69149,12574,7856,9589708.7731,-460120.60988000035,47.600966719809676,-1.2177721409878064
2026-06-22,59655.509,60705.05,13892648.2694,14129642.51184,25270,26500,28022290.78124,-236994.24244000018,49.57713264006478,-0.3178468231078848
