block,rule,trig_rate,lat_ms,metric,point,lo95,hi95,se_boot,bias,vs_base,vs_base_lo,vs_base_hi,vs_other,vs_other_lo,vs_other_hi
1,スコア,0.1,130,ev,-0.19835835570007873,-0.22334467335820335,-0.1741644287961561,0.012404992034254225,0.00024861502351453124,0.5014816137681082,0.3909989803255957,0.6142265590946603,-0.03887302446303184,-0.05548952898370289,-0.020763226578116557
1,スコア,0.1,130,mk,-0.8970309800434066,-0.9461498419215812,-0.8498804192762642,0.024512916098870064,-0.000050372402801812655,0.10363684866937928,0.07655239825128213,0.12668155729323718,0.20355381860113542,0.1633628553275767,0.24185727740935015
1,無作為,0.1,300,ev,-0.17921050045618503,-0.20354421144396526,-0.15516811176561274,0.01232771749623217,0.000022974624582811076,0.5206294690120019,0.41851054154559036,0.6224140969062429,0.057088437216870985,0.038724961174776966,0.07417546063143975
1,無作為,0.1,300,mk,-1.1111520149593606,-1.1851616898825983,-1.0369525629108343,0.037235453166552024,0.00033980148923529185,-0.11048418624657463,-0.15004530742872155,-0.0725208518771876,-0.12202669070066796,-0.14679122210841358,-0.09662057597384431
1,スコア,0.2,300,ev,-0.1521618667740885,-0.17102010324198075,-0.13425094692438796,0.009321938053425226,0.00011150697684947364,0.5476781026940984,0.43505434384415004,0.660534461553665,-0.02778290276955099,-0.037632025076795014,-0.017553765678608384
1,スコア,0.2,300,mk,-0.9933844426489239,-1.0616321947388556,-0.9274940320667933,0.0339375666447462,-0.00030132770703017453,0.00728338606386203,-0.03603934632211735,0.0445304591387181,0.15243347075697067,0.126722978630426,0.17750458749361425
1,無作為,0.01,65,ev,-0.5201375800324416,-0.6048068865123786,-0.4350625063533791,0.04364099597545066,0.00016936948288615028,0.17970238943574535,0.14137422719565249,0.21857768233396135,0.01005332456143182,-0.007601309699451708,0.026258829875919786
1,無作為,0.01,65,mk,-1.0159057804151903,-1.0693198662521606,-0.9602186082185719,0.02777594023503414,0.0006627321757119997,-0.015237951702404384,-0.024058610111442953,-0.006022877693136062,-0.05704227128960837,-0.0761642627276385,-0.03823233993046155
1,無作為,0.4,65,ev,-0.05705079352694524,-0.06569410923924658,-0.04888395643327937,0.004277375986118216,-3.5162805483920923e-6,0.6427891759412417,0.5255133378889512,0.759320369542177,-0.005208498493841696,-0.010883037579770232,0.0010352998766964062
1,無作為,0.4,65,mk,-1.0934573953939055,-1.2042420483048903,-0.9859588387679609,0.05538977874964351,-0.0007112289862234444,-0.0927895666811196,-0.17624143432332345,-0.012110776104425493,-0.3147702588854703,-0.3526930363999821,-0.2755892653204446
1,無作為,0.1,200,ev,-0.16688354141871967,-0.1893716559217432,-0.1447755461904606,0.011347814934760288,0.00002183510404624167,0.5329564280494673,0.4290570899909752,0.6363626436949962,0.04570158374874431,0.027645086081837866,0.06229278293235646
1,無作為,0.1,200,mk,-1.1059737441956934,-1.1826955296722927,-1.0296905576624567,0.038487075458588656,0.0003025308981137176,-0.10530591548290746,-0.14811408346246677,-0.06367810907356067,-0.16724679808551468,-0.19849942534406814,-0.13380145720704822
1,スコア,0.2,65,ev,-0.10105873336599058,-0.1134579656415206,-0.08932123191562828,0.0061190442218988774,0.00010001508826427974,0.5987812361021964,0.4788821651076113,0.7178820152948342,-0.006876463951473816,-0.017896491307563045,0.0046515081182356395
1,スコア,0.2,65,mk,-0.8087650969700068,-0.8644617433520353,-0.7567603860700226,0.027481135968453755,-0.0005258916477497433,0.19190273174277916,0.1514709937174222,0.22683551857718182,0.29182989128230863,0.24229167903256738,0.34059872454790113
1,スコア,0.05,130,ev,-0.31801323946753546,-0.359270081441289,-0.27629500013429414,0.021182277866656617,0.00034537161284986517,0.3818267300006515,0.28904790543950193,0.48038997367459096,-0.06771033802559545,-0.08973892071458102,-0.043249148365448346
1,スコア,0.05,130,mk,-0.926041036328167,-0.9742581632137167,-0.8785616491162413,0.02461375531080076,0.00038117499717793546,0.07462679238461889,0.05524253601168283,0.0929393794543156,0.14283522328058162,0.10759418863212582,0.17876251979041158
1,スコア,0.4,65,ev,-0.051842295033103544,-0.05751233532835318,-0.046184962706274306,0.0028892823970529152,0.00001595350431300019,0.6479976744350834,0.5268135711764762,0.7691780740949302,0.005208498493841696,-0.0010352998766964073,0.01088303757977023
1,スコア,0.4,65,mk,-0.7786871365084352,-0.8645438398452477,-0.7010409859471509,0.04153135733395544,-0.001514149725616365,0.22198069220435068,0.1548961063864565,0.2791528796809915,0.3147702588854703,0.27558926532044453,0.35269303639998206
1,無作為,0.05,65,ev,-0.2453284462707056,-0.27884068385930594,-0.21192233731912005,0.01702669397296142,0.000053395055885335774,0.45451152319748134,0.3621303760912342,0.5463397161146286,0.06469056109758836,0.039869080106701094,0.08690466875526144
1,無作為,0.05,65,mk,-1.0670619182007706,-1.1333476743207833,-1.001503501669606,0.03330634857235106,0.0004697212325752709,-0.06639408948798464,-0.09613284381272133,-0.03780236588992376,-0.16221153638729202,-0.2034220002416287,-0.1223587556014224
1,無作為,0.2,200,ev,-0.109472386081931,-0.1251678414372794,-0.09436097122876383,0.007850760351969752,2.7506174651720228e-6,0.590367583386256,0.4796947356626494,0.7004462112247342,0.01566796941703541,0.005009607185572455,0.025922018029055822
1,無作為,0.2,200,mk,-1.1294858584686358,-1.2199898290650797,-1.0392369512621298,0.045611796729630616,0.00006018974454180537,-0.12881802975584988,-0.1891179532758233,-0.07059909714120696,-0.21437051706941512,-0.24446948993434273,-0.1822443682691869
1,スコア,0.0,65,ev,-0.6998399694681869,-0.8225543184097631,-0.5765808505576699,0.06335611426143042,0.0001839095713596084,,,,,,
1,スコア,0.0,65,mk,-1.000667828712786,-1.050350612079164,-0.9480020142382116,0.026156165363634378,0.0006067035206476223,,,,,,
1,スコア,0.01,0,ev,-0.5289955074871362,-0.6107808999163594,-0.4448843668470591,0.04260056492850256,0.0002934069027732411,0.17084446198105074,0.1252527664447123,0.21930717502485514,-0.009646649258108542,-0.02601824096562264,0.008258199963528319
1,スコア,0.01,0,mk,-0.9566054138043303,-1.003195676826774,-0.9088620679632291,0.024169838623877556,0.0005089959672052169,0.04406241490845564,0.02854730513649905,0.05913858246487316,0.05893631169404445,0.039634003722847366,0.07857354175393473
1,無作為,0.05,200,ev,-0.25698244846282736,-0.29247823467697714,-0.2214525881764905,0.018077574557713454,0.00005683463462147209,0.4428575210053596,0.35300059005842127,0.5324419266167282,0.07318087933782608,0.049125411321510604,0.09491600553876287
1,無作為,0.05,200,mk,-1.0720576938754622,-1.1374338902707246,-1.0071229279449667,0.03299985859561723,0.0005023647740916015,-0.07138986516267631,-0.10006045339824204,-0.04384716727989857,-0.11886085480044573,-0.148984351619247,-0.08878015924029016
1,スコア,0.2,0,ev,-0.09824614863653189,-0.11034558872889236,-0.08670689486574316,0.005999137410083057,0.00009801963412189862,0.601593820831655,0.4811854383722985,0.721294208736619,-0.00577155126402544,-0.016880935140798175,0.005821845521195175
1,スコア,0.2,0,mk,-0.7935254271987734,-0.8468723556066682,-0.7435790213516865,0.026375616835065025,-0.0005170811480270654,0.20714240151401253,0.16761374282012662,0.24139969878571071,0.3027842849976289,0.25066616579397966,0.35367008068651656
1,無作為,0.2,0,ev,-0.09247459737250645,-0.10522172933661211,-0.08019295312655891,0.006404899501876336,1.0682690956137497e-6,0.6073653720956805,0.49380224660333877,0.7202907728561775,0.00577155126402544,-0.005821845521195185,0.016880935140798168
1,無作為,0.2,0,mk,-1.0963097121964023,-1.189717781019061,-1.004844649022865,0.04695483632625743,-0.00024246933825677885,-0.09564188348361635,-0.15922062207877746,-0.035375351153655,-0.3027842849976289,-0.35367008068651656,-0.2506661657939797
1,スコア,0.0,300,ev,-0.6998399694681869,-0.8225543184097631,-0.5765808505576699,0.06335611426143042,0.0001839095713596084,,,,,,
1,スコア,0.0,300,mk,-1.000667828712786,-1.050350612079164,-0.9480020142382116,0.026156165363634378,0.0006067035206476223,,,,,,
1,無作為,0.02,200,ev,-0.4156128606470361,-0.4795042767372677,-0.35112238878157703,0.03289689764969727,0.0001349257288901229,0.2842271088211508,0.22461217044262255,0.34427578761712907,0.0532013710420533,0.035058569243265086,0.06989265389177363
1,無作為,0.02,200,mk,-1.0343067642628618,-1.0908778832193118,-0.9764657830947701,0.029333086802058657,0.0006782122441539862,-0.03363893555007591,-0.04892636035378893,-0.018654035689368534,-0.06548860365409304,-0.08668171743794244,-0.04422277411968098
1,無作為,0.02,300,ev,-0.4228092534193197,-0.4879801018105251,-0.3568911572297593,0.033549764483630236,0.00013855270285895172,0.27703071604886725,0.21874729043866292,0.3359759354119406,0.058110014556859824,0.0408706897811353,0.07445341835370972
1,無作為,0.02,300,mk,-1.0345851188299353,-1.0908706498581282,-0.9773482762694309,0.02899316218327468,0.0006793869197474489,-0.03391729011714939,-0.048179336422814786,-0.01977510884251243,-0.04864721528680582,-0.06643605773240724,-0.030713493552134184
1,無作為,0.4,0,ev,-0.055111104652936956,-0.06334986589349818,-0.047271243314786014,0.004108135560960649,-5.890382221401813e-6,0.6447288648152499,0.5271344551228007,0.7615283233701443,-0.005824604523459544,-0.011615551385068678,0.0004716410951859601
1,無作為,0.4,0,mk,-1.0830007317464574,-1.1942313330966103,-0.97527018105184,0.0555685346626308,-0.0008380952967401711,-0.08233290303367147,-0.16664205388649253,-0.0018072364103471985,-0.32631537226341023,-0.36822197610448165,-0.2829818107251217
1,スコア,0.2,200,ev,-0.1251403554989664,-0.14027547562771195,-0.11090955758036569,0.00743861160123075,0.0001068518080876435,0.5746996139692205,0.4587508449332338,0.6905172492936898,-0.01566796941703541,-0.025922018029055822,-0.005009607185572459
