feature,label,target,h_grid,horizon,n,corr_fwd,corr_bwd,corr_placebo,corr_placebo_day,corr_partial,ci95,beta_bp_per_sd,oos_corr,signed
dar_tot,depth-at-risk(両側合計),dir,12,1分,140912,-0.0006550716190205174,-0.002893569344710488,-0.0011747216419244603,-0.0016425867894535044,-0.0007141033454516415,0.005221396875449929,0.04696844500036492,0.00023653214478157265,false
dar_tot,depth-at-risk(両側合計),mag,12,1分,140912,0.3779497920051638,0.41813996321946045,0.020758093005642783,0.1787869623111009,0.07856637610955808,0.005221396875449929,4.649260053623453,0.4165063048348152,false
dar_tot,depth-at-risk(両側合計),vol,12,1分,140912,0.5571188634179406,0.5891814096618162,0.03145001634537301,0.2654204765943318,0.18379177864593124,0.005221396875449929,5.27314163009798,0.6211278819942323,false
dar_imb,depth-at-risk の偏り,dir,12,1分,140350,0.005116126222052285,-0.055882459517887624,0.0036795092189481904,-0.0014387515313005776,0.003860715407308953,0.005231840608792837,0.1198142759348685,0.0001748530271304228,true
dar_imb,depth-at-risk の偏り,mag,12,1分,140350,0.04693449263844042,0.04634590200335858,0.017217408162862,0.025490108179304253,0.008579007736964793,0.005231840608792837,0.6032168132017856,0.03804614271852592,true
dar_imb,depth-at-risk の偏り,vol,12,1分,140350,0.06390586606091009,0.06030304610089613,0.01776763320453709,0.02819910987412881,0.014203150404212241,0.005231840608792837,0.6330014220596548,0.058185117182550566,true
gfr_avg_q5,gap 調整後の上乗せ(平均、Q=5),dir,12,1分,140912,0.0077245411902823755,-0.005179579828094099,0.0030751518335232543,-0.005499813500398361,0.007197198630809964,0.005221396875449929,0.08735720900186471,0.01672436246266725,false
gfr_avg_q5,gap 調整後の上乗せ(平均、Q=5),mag,12,1分,140912,0.13097370692621013,0.16363197680887817,0.022823098703001587,0.05005423931895099,0.028770814976430723,0.005221396875449929,1.3538071267437375,0.29351603170006896,false
gfr_avg_q5,gap 調整後の上乗せ(平均、Q=5),vol,12,1分,140912,0.18048398454982462,0.2055846300031498,0.028435821257653537,0.06827162517127465,0.051312480037517365,0.005221396875449929,1.5382051015766363,0.4157136340499173,false
gfr_avg_q50,gap 調整後の上乗せ(平均、Q=50),dir,12,1分,140909,0.014296601522166674,0.0010109601035351917,0.0038576753649444085,-0.0010145562742762267,0.014064367407540445,0.005221452458985234,0.19202547483033472,0.022086161092364286,false
gfr_avg_q50,gap 調整後の上乗せ(平均、Q=50),mag,12,1分,140909,0.20305379831050896,0.25565920921353896,0.02639062806258421,0.07832101175178523,0.04275059112308267,0.005221452458985234,2.199583454754895,0.3890279480174797,false
gfr_avg_q50,gap 調整後の上乗せ(平均、Q=50),vol,12,1分,140909,0.2769434052558812,0.31922014249561015,0.030000192074372385,0.10938372508891728,0.07115851840978306,0.005221452458985234,2.455414924930162,0.5524308703958222,false
gfr_asym_q5,gap 調整後の上乗せの非対称(売り−買い),dir,12,1分,140912,-0.008891576883154922,0.008657503476864732,0.005292074462198078,0.0009014628277719082,-0.006161870418484571,0.005221396875449929,-0.13515073304874395,0.012392629681089824,true
gfr_asym_q5,gap 調整後の上乗せの非対称(売り−買い),mag,12,1分,140912,-0.010250552618845582,-0.01764296151014281,0.006353358564981371,-0.00587534512822777,0.0015079872350263355,0.005221396875449929,-0.14765172518083344,0.007650655921830439,true
