open_day,b,v_mean,v_q1,v_q3,o_mean,o_q1,o_q3,n
false,27,646.0447096774185,243.16200000000035,832.5069999999995,-25.582435483842406,-34.17800000002899,67.52800000013667,31
false,28,714.9738064516121,261.09099999999995,756.6490000000005,-6.557790322569593,-32.3169999999227,95.61199999999371,31
false,29,702.1320322580647,319.0689999999994,748.0119999999986,-53.12616129031249,-105.33200000012584,45.94999999999709,31
false,30,590.7923225806444,266.9199999999998,786.6819999999991,37.79185483870547,-62.3250000000844,69.84400000002643,31
false,31,559.600483870968,266.4010000000002,657.8509999999978,47.605403225798995,-26.033999999897787,98.19899999993504,31
false,32,483.5067419354837,277.2100000000003,658.4230000000005,31.689467741931306,-21.429000000091037,68.97499999994761,31
false,33,507.28151612903207,266.71500000000026,678.4939999999954,25.096467741923274,-32.69650000000547,81.69600000002538,31
false,34,657.7207096774189,228.19899999999978,674.7299999999998,23.214983870947524,-50.19800000001851,131.5349999999744,31
false,35,492.6799032258061,180.94200000000006,690.1210000000008,31.07399999997729,-19.095000000088476,93.63899999996647,31
false,36,537.9306129032277,166.64500000000024,657.398999999998,89.00777419355197,-20.15100000005623,90.12799999993877,31
false,37,673.6094193548363,200.39400000000032,760.3160000000003,60.458016129025644,-22.597999999998137,82.32900000005611,31
false,38,526.2953870967738,233.46500000000015,782.8659999999994,2.515032258059833,-19.903999999980442,55.4050000001007,31
false,39,531.1758064516139,161.40500000000037,636.6340000000026,16.24287096773004,-34.161500000045635,53.7779999999475,31
false,40,612.1682258064507,173.4790000000002,763.4309999999997,-4.278532258070153,-28.04199999998673,30.82099999995262,31
false,41,488.129225806452,148.57000000000016,500.0500000000007,-18.40599999997498,-13.52999999995518,34.5360000001092,31
false,42,653.0119032258071,216.25999999999976,841.3529999999987,34.08325806452335,-23.291000000026543,109.22499999994761,31
false,43,680.2219032258062,215.93900000000022,657.555999999995,-7.265387096735198,-62.4550000000163,38.96899999999732,31
false,44,1680.6087096774206,560.9879999999994,2595.238999999999,56.858854838739894,-68.53399999978137,68.24100000009639,31
false,45,877.0338387096747,251.35799999999878,1434.1919999999989,-10.27566129030733,-67.73900000001595,39.36600000000908,31
false,46,1705.146548387097,277.4109999999995,3122.6000000000026,67.37888709676777,-28.092999999964377,168.45799999986775,31
false,47,1359.1160322580631,391.71900000000005,2180.0310000000054,-29.005483870953604,-49.88199999999779,106.8020000000397,31
true,0,9091.03626470588,4035.7680000000164,11328.245999999992,-68.6558308823234,-547.4050000000279,370.04100000005565,68
true,1,5725.53525000001,2051.206999999987,6393.485999999864,-138.08177941178934,-387.6489999999758,106.34700000008161,68
true,2,4837.743867647058,1842.8009999999915,5391.024999999971,22.622742647047154,-360.73799999999756,245.51300000023912,68
true,3,4800.991911764703,1738.7839999999958,5674.860999999975,-104.48022058827668,-500.29999999993015,130.46900000001187,68
true,4,3740.5275294117578,1432.240000000002,4401.247000000013,-152.73180882350724,-284.64699999980803,144.37199999994482,68
true,5,2818.5041911764747,985.5789999999985,3734.3200000000356,108.32169852941148,-139.81199999988894,168.5580000001064,68
true,6,2631.3518823529403,728.6849999999995,3446.7290000000066,66.92245588237432,-225.73500000000058,109.38800000004994,68
true,7,2952.494897058824,824.4189999999975,3520.9719999999897,-14.818713235307072,-164.75000000011642,195.3829999998561,68
true,8,2704.7267058823504,1022.9809999999951,3450.6830000000127,13.137029411762876,-131.35499999995227,102.7220000000525,68
true,9,3102.2346911764707,1051.0299999999986,3393.946000000018,441.3413602941109,-87.57449999981327,445.24900000041816,68
true,10,3754.1496764705776,924.7959999999989,4743.225000000014,233.13623529408207,-119.52050000002782,330.2999999999447,68
true,11,3960.8113823529343,1018.494000000003,5303.468999999993,280.2563970587946,-98.55000000006112,355.2924999999086,68
true,12,4423.099867647073,1204.2010000000005,5491.216999999975,708.1471397058901,-76.19999999999709,594.9659999997239,68
true,13,3927.0195441176484,712.5670000000025,5142.063000000015,395.6063235293949,-98.36300000024494,511.7969999999332,68
true,14,3376.5506911764737,1269.599999999998,5286.419999999934,123.12347794115682,-180.187999999951,323.99199999994016,68
true,15,2852.665911764706,962.5090000000013,3237.7399999999893,-9.208220588248771,-45.807000000117114,286.68300000000454,68
true,16,8359.145558823544,3244.174999999995,10775.893999999973,318.12290441175935,-508.9070000003121,664.3830000001763,68
true,17,4571.726573529429,2232.235999999986,5898.937999999991,-69.77397794117539,-404.73600000009174,305.4009999999689,68
true,18,4217.347926470593,1489.1530000000007,5456.296999999993,129.12249264702405,-107.19599999993807,521.0355000001582,68
true,19,3426.5081323529457,1267.3600000000006,4771.48200000003,193.46638970588742,-266.63200000004144,297.0790000000561,68
true,20,4137.104117647065,1653.5529999999962,4558.082000000034,213.8899411764917,-100.21300000007614,575.3500000000058,68
true,21,4030.075867647057,1631.4730000000022,4917.207000000034,282.7086985294467,-111.87799999993877,561.5780000001396,68
true,22,5221.036985294115,2486.841999999998,7012.1579999999485,212.6313970588404,-198.11399999998685,399.156999999861,68
true,23,4556.051823529416,2251.6329999999975,6167.063000000037,250.2632205882479,-224.15600000001723,339.04299999993236,68
true,24,4970.104661764709,2187.132999999997,5524.600999999986,165.73751470587473,-148.06999999994878,406.0410000000411,68
true,25,6593.201000000015,1975.4259999999967,8753.018999999997,196.86464705880033,-171.5350000000326,522.6419999999925,68
true,26,7467.980014705892,3201.607000000003,10493.767999999915,565.9883308823593,-119.99699999988661,860.5460000000021,68
true,27,38866.31457352937,18641.540999999936,48475.16400000089,813.7998455881919,-1390.6109999999899,2483.194000000076,68
true,28,24037.84263235292,9858.43600000019,30973.314999999795,-167.7713750000589,-1651.6970000003203,801.5429999999033,68
true,29,15917.626500000002,7261.554999999869,21709.427999999654,-365.78878676472186,-992.3779999999097,265.0899999999092,68
true,30,13284.263220588275,5929.522999999993,16077.744000000028,324.1097132352462,-759.6400000000722,815.1820000000298,68
true,31,11908.421602941191,5006.5259999999935,16256.763000000043,-439.82455147058306,-989.5970000002999,639.5815000000148,68
true,32,10223.530352941189,4837.403999999992,11635.591999999853,-190.0376838235444,-884.0500000000902,534.9865000000136,68
true,33,10646.294191176466,3261.5820000000017,11912.817999999845,-353.0170147058649,-890.9590000000899,87.11000000010245,68
true,34,8808.841867647068,3903.1610000000105,9240.606999999947,-666.3049852940928,-1337.2029999999504,347.6939999998722,68
true,35,7844.479794117651,2879.9020000000046,9047.07600000002,-192.94785294114197,-1118.3470000000088,251.0509999999922,68
true,36,6720.695470588244,2436.7690000000075,9042.457000000035,-268.0861691176512,-485.83400000003166,212.5500000003667,68
