luid,usd,n,pnl,days,long_share
L195,42495.5,1,-3552.0,1,1.0
L196,42102.029839999996,9,-2933.7020599999996,1,1.0
L197,41966.06573,12,-1950.9567,1,0.0
L198,41710.96286,7,-2072.079682,2,0.42857142857142855
L199,41670.13896,2,-3330.100782,1,1.0
L200,40893.44653,11,-2292.51165,2,1.0
L201,40772.27672,6,-2803.092028,1,1.0
L202,40467.0467,9,-4081.0777820000003,1,0.0
L203,40441.572400000005,6,-1920.8524,1,0.0
L204,40002.4221,8,-2318.808936,2,1.0
L205,39359.134809999996,5,-2158.557795,1,1.0
L206,39343.779109999996,10,944.2837099999999,1,1.0
L207,39134.52657,7,-3918.725841,2,1.0
L208,39091.02255,6,-2150.3596159999997,2,1.0
L209,38446.3012,2,-4952.527096,1,0.0
L210,38335.504,1,-5005.69074,1,1.0
L211,37969.76855,16,-4320.84109,1,1.0
L212,37554.92146,5,-1732.8606949999999,3,0.0
L213,37537.464869999996,2,-2215.389336,1,1.0
L214,37492.79552,10,-2492.45766,1,1.0
L215,37393.186149999994,8,-2606.050241,1,1.0
L216,37269.044649999996,13,-2087.494334,1,1.0
L217,37127.08998,4,-2052.4376700000003,1,1.0
L218,36869.64494,5,-914.50486,1,1.0
L219,36678.76748,11,-1963.00748,1,0.0
L220,36165.52397,8,-2040.500869,2,1.0
L221,36139.36289999999,4,-2187.616618,2,0.25
L222,35763.24,6,-1001.5109679999999,1,1.0
L223,35654.89163,5,-2057.010074,1,1.0
L224,35155.296,2,-1540.578204,1,1.0
L225,35141.4897,2,-1964.132271,1,1.0
L226,35129.90466,2,-4872.995532,1,1.0
L227,34981.143729999996,16,-1793.95527,3,0.9375
L228,34977.50252,7,-1928.452241,1,1.0
L229,34762.21009,5,-1931.54491,1,1.0
L230,34744.87539,9,-12019.824462,1,1.0
L231,34611.7057,8,-1924.4087,1,1.0
L232,34519.19164,1,-1842.558212,1,1.0
L233,34225.37735,10,-6237.024374,1,0.0
L234,33909.6552,2,-1859.421648,1,1.0
L235,33897.57137,12,-1977.5713700000001,1,0.0
L236,33352.78258,3,-7880.734375,2,1.0
L237,33308.41537,16,-1861.13144,2,1.0
L238,33109.67102,4,-1855.898186,1,1.0
L239,33098.60006,15,-1025.013452,4,1.0
L240,33065.98015,4,-2983.71241,1,1.0
L241,32988.09105,6,-4010.794998,1,1.0
L242,32863.8958,4,-6049.458614,1,1.0
L243,32749.40726,8,-1547.20726,1,0.0
L244,32643.84044,3,-1920.036388,2,0.0
L245,32603.320119999997,5,-11335.264879999999,1,1.0
L246,32475.58794,5,-3528.6645599999997,1,1.0
L247,31991.951660000002,4,-1759.152488,1,1.0
L248,31434.83954,8,-1416.2398,1,1.0
L249,31206.29578,11,-1131.935692,1,0.0
L250,30870.113920000003,13,-1434.55392,1,0.0
L251,30634.78949,9,-4496.46779,1,1.0
L252,30093.839930000002,5,-7477.26007,1,1.0
L253,30085.15766,5,1452.66966,1,1.0
L254,29878.86045,15,-7628.619549999999,1,1.0
L255,29579.74362,9,-1665.7335,2,1.0
L256,29025.08851,10,-1561.573032,2,1.0
L257,28995.434849999998,7,-1731.737003,2,1.0
L258,28685.69698,12,-2032.89302,1,1.0
L259,28649.39512,28,-1338.062783,1,1.0
L260,28592.195140000003,8,-1595.462927,2,1.0
L261,28551.10349,8,-1580.783455,1,1.0
L262,28507.925280000003,10,-1606.2054540000001,1,1.0
L263,28413.149699999998,9,-1668.226225,3,1.0
L264,28332.347449999997,2,-1436.698967,2,1.0
L265,28222.611250000005,6,-1573.60145,1,1.0
L266,28194.840799999998,6,-1596.655132,1,1.0
L267,27836.46291,19,-1268.05545,3,0.0
L268,27516.45898,3,-2087.76602,1,1.0
L269,27287.82743,7,-699.9823779999999,2,1.0
L270,27160.19714,10,-1871.607527,3,1.0
L271,26630.38006,19,-3026.995129,1,1.0
L272,26526.13732,5,-2164.8620290000003,2,0.0
L273,26524.34982,23,-1475.868669,13,1.0
L274,26521.699399999998,2,-3484.440846,1,1.0
L275,26449.54641,13,-1492.153566,2,1.0
L276,26332.148289999997,9,-1185.84669,1,0.0
L277,26243.411300000003,6,-1243.7813,1,0.0
L278,26153.5708,10,-1302.63678,3,0.2
L279,25893.91429,7,-1427.299982,2,1.0
L280,25685.124300000003,1,-303.352533,1,1.0
L281,25564.99176,2,-10300.986135000001,1,1.0
L282,25423.593820000002,18,-3821.4453679999997,1,1.0
L283,25375.84078,8,-1404.139619,3,1.0
L284,25348.42349,2,-1746.28021,1,1.0
L285,25174.379449999997,1,-1183.271485,1,0.0
L286,25073.50385,3,-1275.397887,2,0.6666666666666666
L287,24987.44101,15,-3348.111328,3,1.0
