luid,usd,n,pnl,days,long_share
L1131,2053.5575,1,-113.02637,1,1.0
L1132,2051.5717,3,-116.4228,1,1.0
L1133,2042.0178,7,-111.82205,1,1.0
L1134,2039.4902,1,-114.3989,1,1.0
L1135,2038.2592,1,-112.74562,1,1.0
L1136,2032.6465699999999,3,-114.243678,2,1.0
L1137,2024.25,3,-92.527,2,0.0
L1138,2022.965,2,-94.51393,1,0.0
L1139,2021.3763900000001,1,-112.381995,1,1.0
L1140,2016.6422699999998,3,-111.56419500000001,1,1.0
L1141,2009.532,1,-110.4376,1,1.0
L1142,2002.7669999999998,2,-2.596575,1,0.0
L1143,2002.6340800000003,2,-106.92112,2,1.0
L1144,1990.335,3,-79.091328,1,0.0
L1145,1989.8946600000002,1,-358.63254,1,1.0
L1146,1987.7200999999998,4,-108.815948,2,0.75
L1147,1980.0076800000002,2,-248.470656,1,1.0
L1148,1979.9558499999998,5,-106.26075,3,0.6
L1149,1979.10761,1,-109.68699,1,1.0
L1150,1974.69,1,-501.145575,1,1.0
L1151,1972.4535600000004,1,-91.2543,1,0.0
L1152,1971.5177,4,-16.721131,3,1.0
L1153,1965.54,1,-137.377757,1,1.0
L1154,1965.292,1,-134.162,1,1.0
L1155,1956.57,1,-131.78715,1,1.0
L1156,1954.62687,2,-106.08633,1,1.0
L1157,1947.7716299999997,1,-361.09787,1,1.0
L1158,1942.75,1,-106.97,1,1.0
L1159,1930.5511900000001,3,-107.15564599999999,2,0.6666666666666666
L1160,1927.92186,1,-103.187642,1,1.0
L1161,1926.46482,1,-104.554182,1,1.0
L1162,1923.14245,8,-923.19418,1,0.0
L1163,1918.20135,2,-99.822097,2,0.5
L1164,1917.6355799999997,1,-416.2011,1,0.0
L1165,1913.2643,1,-109.909356,1,1.0
L1166,1911.14,1,-89.06,1,0.0
L1167,1906.97905,2,-90.63615999999999,2,0.5
L1168,1904.62,1,-106.53,1,1.0
L1169,1904.5439999999999,1,-86.68521,1,0.0
L1170,1900.8778,3,-101.93405,1,1.0
L1171,1900.6416,1,-122.0544,1,1.0
L1172,1895.23246,2,-104.08452,2,1.0
L1173,1893.65248,2,-106.81344,1,1.0
L1174,1892.175,1,-450.87,1,1.0
L1175,1891.32048,2,-107.905266,1,1.0
L1176,1891.2525699999997,2,-346.56505500000003,2,1.0
L1177,1890.48426,2,-104.225061,1,1.0
L1178,1883.9979,1,-105.2046,1,1.0
L1179,1883.1552700000002,2,-85.19494900000001,1,0.0
L1180,1880.0964,3,-104.837008,3,1.0
L1181,1878.9323599999998,1,-128.291992,1,1.0
L1182,1878.87144,4,-339.71826,2,1.0
L1183,1876.3039599999997,2,-113.90644,2,1.0
L1184,1875.8268300000002,1,-200.189725,1,1.0
L1185,1875.0166800000002,3,-85.88482,3,0.0
L1186,1874.11,9,-103.6715,1,1.0
L1187,1873.6823,4,-240.02813,3,1.0
L1188,1872.2692000000002,6,-261.670952,4,0.3333333333333333
L1189,1870.7104000000002,1,-140.02368,1,1.0
L1190,1865.9899999999998,1,-94.99,1,0.0
L1191,1861.754,1,-102.860712,1,1.0
L1192,1858.40334,1,-337.55409,1,1.0
L1193,1854.8922400000001,1,-209.5136,1,0.0
L1194,1854.5595,1,-251.223225,1,1.0
L1195,1852.2124999999999,1,-107.2171,1,1.0
L1196,1852.1993900000002,5,-102.64746000000001,2,1.0
L1197,1845.7675,3,-101.7325,1,1.0
L1198,1845.075,1,-469.317,1,1.0
L1199,1843.36286,1,-347.484883,1,1.0
L1200,1832.43115,4,-102.58661000000001,1,1.0
L1201,1831.875,1,-100.625,1,1.0
L1202,1828.1353599999998,2,-98.53484,1,1.0
L1203,1827.3369000000002,9,-101.6931,2,1.0
L1204,1827.2023,1,-101.736292,1,1.0
L1205,1822.4607999999998,2,-99.97670000000001,2,0.5
L1206,1818.28303,3,-249.865052,2,1.0
L1207,1810.3108,3,-133.874136,2,1.0
L1208,1803.5071500000001,1,-96.151966,1,1.0
L1209,1800.85174,6,-114.077184,5,0.16666666666666666
L1210,1798.1242200000002,2,-347.079702,1,0.0
L1211,1795.31128,5,-130.78872,1,1.0
L1212,1788.2451500000002,4,-190.68406,1,1.0
L1213,1786.61463,1,-201.90517,1,1.0
L1214,1785.9984,1,-100.34859,1,1.0
L1215,1784.92396,1,-272.640225,1,1.0
L1216,1769.72618,1,-80.38722,1,0.0
L1217,1768.35848,7,-97.780464,7,1.0
L1218,1762.8665999999998,1,-94.48692,1,0.0
L1219,1761.9636,1,-98.501005,1,1.0
L1220,1751.19,1,-208.461281,1,0.0
L1221,1747.372,1,-118.567163,1,1.0
L1222,1742.2524000000003,1,-80.3166,1,0.0
L1223,1736.58044,5,-95.50540000000001,1,1.0
L1224,1733.7637399999999,4,-320.26276,1,1.0
L1225,1724.09445,4,-78.35445000000001,1,0.0
L1226,1720.97528,1,2.47912,1,1.0
L1227,1718.4691699999998,5,-169.41212,3,1.0
L1228,1717.9346700000003,2,-96.438486,1,1.0
L1229,1714.2453,1,-365.80448,1,1.0
L1230,1711.8584,2,-88.80312,2,0.5
L1231,1708.74572,2,-310.61987999999997,2,1.0
L1232,1705.35764,1,-332.49356,1,1.0
L1233,1704.3952,1,-92.062176,1,1.0
L1234,1702.1631,2,-135.940956,1,1.0
L1235,1698.78499,5,-94.203311,2,1.0
L1236,1696.00952,1,-95.409117,1,1.0
L1237,1695.4309700000001,1,-453.204795,1,1.0
L1238,1693.4311999999998,3,-158.163645,2,1.0
L1239,1691.81954,1,-92.688248,1,1.0
L1240,1687.5815499999999,3,-93.26715,3,0.6666666666666666
L1241,1685.55492,1,-308.86758,1,1.0
L1242,1685.47401,2,-93.711847,1,1.0
L1243,1683.1634999999999,2,-77.09457,1,0.0
L1244,1677.0253500000001,5,-91.065819,5,1.0
L1245,1676.30416,4,-110.61416000000001,1,1.0
L1246,1673.1148,3,-143.065733,1,1.0
L1247,1671.3382,3,-94.2296,1,1.0
L1248,1671.2879999999998,1,-93.624,1,1.0
L1249,1670.81347,5,-142.99847,1,1.0
L1250,1670.0533500000001,3,-93.06672,2,1.0
L1251,1667.45121,5,-168.31112299999998,1,0.0
L1252,1661.8959999999997,2,-124.29895,2,1.0
L1253,1660.5675,1,-76.5327,1,0.0
L1254,1657.8108,1,-129.63168,1,0.0
L1255,1651.23128,3,-305.72184,2,1.0
L1256,1649.4549,1,-88.4535,1,1.0
L1257,1649.176,1,-89.464,1,1.0
L1258,1647.51813,3,-84.42893000000001,2,0.3333333333333333
L1259,1645.23065,2,-89.84065000000001,1,1.0
L1260,1645.0186399999998,2,-319.380384,2,0.5
L1261,1637.2181999999998,1,-68.4168,1,0.0
L1262,1636.84951,4,-104.668405,2,1.0
L1263,1634.7258,1,-93.231081,1,1.0
L1264,1625.26091,2,-74.42943199999999,1,0.0
L1265,1623.924,1,-55.458,1,1.0
L1266,1623.5027,4,-91.66193200000001,1,1.0
L1267,1623.4875,3,-88.36994,1,1.0
L1268,1619.60007,1,-77.37004,1,0.0
L1269,1614.16869,4,-83.996425,1,1.0
L1270,1611.4087,3,-90.452936,1,1.0
L1271,1609.1272000000001,2,-89.5448,1,1.0
L1272,1608.31356,1,-89.621076,1,1.0
L1273,1602.31731,4,-88.067088,3,1.0
L1274,1601.7735,5,-89.117934,2,1.0
L1275,1601.39366,6,-84.66342,4,0.6666666666666666
L1276,1599.4028000000003,3,-88.941346,2,1.0
L1277,1598.7570399999997,3,-79.155091,2,0.3333333333333333
L1278,1598.68618,2,-128.24682,1,1.0
L1279,1597.0937,4,-124.72732,4,0.0
L1280,1593.39066,2,-87.94521800000001,2,1.0
L1281,1588.81349,2,-89.96188000000001,1,1.0
L1282,1588.7196000000001,1,-96.352542,1,1.0
L1283,1587.8104700000001,1,-211.37136,1,1.0
L1284,1587.68324,2,-88.18487999999999,2,1.0
L1285,1587.1085999999998,1,-165.4884,1,0.0
L1286,1583.97646,5,-87.44434000000001,1,1.0
L1287,1583.1850200000001,11,-87.062466,10,0.8181818181818182
L1288,1581.54148,5,-144.205884,3,1.0
L1289,1578.6624,1,-221.5488,1,1.0
L1290,1577.6724599999998,1,-85.55274,1,1.0
L1291,1572.3931499999999,1,-215.37395,1,1.0
L1292,1571.8719999999998,2,-72.3968,1,0.0
L1293,1567.08576,1,-72.802006,1,0.0
L1294,1565.866,2,-168.51871699999998,2,1.0
L1295,1565.3999999999999,1,-2.1495,1,1.0
L1296,1564.08913,5,-85.90889,3,0.8
L1297,1559.0995200000002,2,-84.691941,1,1.0
L1298,1555.50951,8,-197.694116,1,0.0
L1299,1545.00782,3,-86.23144,3,1.0
L1300,1541.0407,2,-82.454564,2,1.0
L1301,1533.1975699999998,2,-256.77357,1,0.0
L1302,1532.6829000000002,1,-166.968942,1,1.0
L1303,1531.9482,1,-81.0492,1,1.0
L1304,1531.05,4,-84.88944000000001,2,1.0
L1305,1529.8572,3,-74.8068,1,0.0
L1306,1529.2095000000002,4,-86.1315,1,1.0
L1307,1521.44644,2,-79.76716,2,1.0
L1308,1514.8875,1,-46.70225,1,1.0
L1309,1513.0743,1,-84.2022,1,1.0
L1310,1506.1068000000002,1,-84.251952,1,1.0
L1311,1503.86737,2,-83.388781,1,1.0
L1312,1502.33502,3,-100.983924,2,1.0
L1313,1502.18418,1,-94.02619,1,1.0
L1314,1497.1249,3,-133.38309999999998,3,1.0
L1315,1495.9129799999998,4,-83.354815,2,1.0
L1316,1494.0244,3,-84.10759999999999,1,1.0
L1317,1493.28868,1,-83.91754,1,1.0
L1318,1486.55784,2,-400.964607,2,1.0
L1319,1486.15798,2,-84.06827200000001,1,1.0
L1320,1483.53282,1,-81.95418,1,1.0
L1321,1480.98642,1,-80.337286,1,1.0
L1322,1478.09268,1,-83.171815,1,1.0
L1323,1475.2892000000002,1,-271.84388,1,1.0
L1324,1472.0948,1,-76.101982,1,1.0
L1325,1469.3596,1,-83.0484,1,1.0
L1326,1466.1297,1,-122.19039,1,1.0
L1327,1457.0477700000001,2,-80.89791,2,1.0
L1328,1455.93669,4,-183.48222,3,0.75
L1329,1455.9222300000001,2,-137.43483,2,0.0
L1330,1453.4554000000003,3,-137.4751,2,1.0
L1331,1452.87574,2,-79.3024,1,1.0
L1332,1452.4056000000003,1,-80.893944,1,1.0
L1333,1444.28407,5,-525.558098,1,1.0
L1334,1444.2792000000002,4,-73.247096,1,1.0
L1335,1441.58916,1,-78.80004,1,1.0
L1336,1431.61166,4,-79.41522,1,1.0
L1337,1423.65,1,-237.1965,1,1.0
L1338,1423.20778,8,-79.626578,3,1.0
L1339,1422.37018,4,-80.2095,1,1.0
L1340,1422.3535,1,-77.58575,1,1.0
L1341,1422.1680000000001,1,-77.484,1,1.0
L1342,1419.84,1,-579.3736,1,1.0
L1343,1419.6750000000002,1,-78.903225,1,1.0
L1344,1418.75284,5,-100.18847,1,0.0
L1345,1415.8691,2,392.32910000000004,1,1.0
L1346,1415.6965,2,-69.554575,1,0.0
L1347,1414.7346,1,-89.6954,1,1.0
L1348,1414.2123900000001,5,-82.12810999999999,5,1.0
L1349,1411.0880000000002,1,-79.51727,1,1.0
L1350,1410.8858999999998,5,-144.792921,5,1.0
L1351,1410.3481199999999,2,-89.4063,1,1.0
L1352,1409.45978,2,-78.8695,1,1.0
L1353,1401.59835,1,-85.15165,1,1.0
L1354,1399.1,1,-318.0785,1,1.0
L1355,1394.34288,2,-75.95232,1,1.0
L1356,1390.93397,2,-63.37397,1,0.0
L1357,1390.5804,1,-78.1044,1,1.0
L1358,1390.52946,4,-76.73154,2,1.0
L1359,1388.24128,1,-122.25392,1,1.0
L1360,1386.44802,1,-41.430508,1,1.0
L1361,1385.38785,2,-73.7688,2,0.5
L1362,1381.84652,5,-73.15859,2,0.2
L1363,1371.42372,2,-148.98543999999998,2,1.0
L1364,1367.0726900000002,3,-77.5619,1,1.0
L1365,1360.0760799999998,1,-74.58462,1,1.0
L1366,1354.5488,2,-75.071915,1,1.0
L1367,1352.7365599999998,2,-78.76371999999999,1,1.0
L1368,1351.34575,3,-75.54337000000001,2,1.0
L1369,1349.6630499999999,4,-96.52715,1,1.0
L1370,1339.9439399999997,2,-63.88767,2,0.0
L1371,1337.97159,3,-73.87828999999999,1,1.0
L1372,1335.62171,5,-86.97728000000001,3,0.0
L1373,1335.06034,1,-68.331376,1,0.0
L1374,1333.6976,1,-61.58624,1,0.0
L1375,1331.94876,1,-74.15478,1,1.0
L1376,1330.18266,2,-61.11434,1,0.0
L1377,1328.3676,4,-73.05606,1,1.0
L1378,1326.6453999999999,2,-226.80251,1,1.0
L1379,1326.41388,1,-125.91612,1,1.0
L1380,1325.7410399999999,1,-60.494148,1,0.0
L1381,1325.214,1,-73.839504,1,1.0
L1382,1324.9280999999999,1,-74.32392,1,1.0
L1383,1324.2567099999999,1,-64.791475,1,1.0
L1384,1324.148,1,-238.350972,1,1.0
L1385,1321.2406999999998,4,-62.319739999999996,1,0.0
L1386,1319.3204,1,-194.0246,1,1.0
L1387,1318.8617,3,-70.4834,2,1.0
L1388,1316.70145,1,-72.24075,1,1.0
L1389,1312.9987899999999,5,-69.34246999999999,4,0.8
L1390,1312.1816999999999,1,195.815568,1,0.0
L1391,1308.1038999999998,1,-536.542082,1,1.0
L1392,1305.43365,1,-72.90972,1,1.0
L1393,1304.3067099999998,5,-69.33622,1,1.0
L1394,1304.28758,3,-74.13185899999999,2,1.0
L1395,1300.8600000000001,1,-71.982,1,1.0
L1396,1298.4348,1,-141.10824,1,1.0
L1397,1298.30121,1,-100.858986,1,1.0
L1398,1294.49295,2,-54.720536,1,1.0
L1399,1289.5203800000002,8,-68.45004,6,1.0
L1400,1288.7420000000002,2,-151.427535,2,1.0
L1401,1286.8409800000002,1,-70.43911,1,1.0
L1402,1284.43378,4,-70.5685,2,1.0
L1403,1282.78898,3,-71.62331499999999,1,1.0
L1404,1281.86303,3,-300.71274300000005,2,1.0
L1405,1280.0240999999999,1,-66.713922,1,1.0
L1406,1279.55736,1,-70.55901,1,1.0
L1407,1271.18122,4,-69.69402000000001,2,0.75
L1408,1268.0779799999998,1,-57.269774,1,0.0
L1409,1265.28834,4,-77.21066400000001,4,1.0
L1410,1264.18208,2,-70.25718,2,1.0
L1411,1261.366,1,-479.0345,1,1.0
L1412,1261.25205,1,-141.164547,1,1.0
L1413,1261.2480999999998,1,-231.9999,1,1.0
L1414,1259.8529,1,-267.33227,1,1.0
L1415,1257.3319999999999,1,-132.58594,1,1.0
L1416,1256.6879999999999,3,-103.14,1,0.0
L1417,1250.3466,1,-510.5508,1,1.0
L1418,1238.53184,2,-58.574698,1,0.0
L1419,1237.61417,7,-71.03967,6,1.0
L1420,1232.52979,5,-112.492492,5,0.8
L1421,1232.45922,5,-124.80731399999999,1,1.0
L1422,1232.35649,1,-221.030591,1,1.0
L1423,1229.6149599999999,1,-95.1832,1,0.0
L1424,1227.08036,1,-66.22407,1,1.0
L1425,1224.78026,3,-67.38094,2,1.0
L1426,1217.055,1,-67.41637,1,1.0
L1427,1215.93285,1,-226.20114,1,1.0
L1428,1211.38173,1,-258.604746,1,0.0
L1429,1208.20747,3,-65.40253,1,1.0
L1430,1206.01305,1,-125.39945,1,1.0
L1431,1201.28895,3,-127.30905,2,1.0
L1432,1198.61304,4,-77.488792,3,1.0
L1433,1198.2849,1,-66.92657,1,1.0
L1434,1196.42272,1,-66.99948,1,1.0
L1435,1195.0369899999998,2,-53.684041,1,0.0
L1436,1191.3889000000001,1,-64.8055,1,1.0
L1437,1187.53419,1,-57.514581,1,1.0
L1438,1184.82432,1,-64.72704,1,1.0
L1439,1184.77607,2,-65.28923,1,1.0
L1440,1184.5658,1,-308.2112,1,1.0
L1441,1184.42407,2,-64.48793,1,1.0
L1442,1180.4924,1,-128.3493,1,1.0
L1443,1180.08303,3,-64.659378,1,1.0
L1444,1179.65731,6,-67.043685,5,1.0
L1445,1170.8400000000001,1,-64.2312,1,1.0
L1446,1170.51228,1,-64.48644,1,1.0
L1447,1168.8864,1,-103.483776,1,1.0
L1448,1164.42121,7,-63.572564,4,1.0
L1449,1161.6214400000001,1,-43.922088,1,1.0
L1450,1160.45302,2,-53.9332,2,0.0
L1451,1158.8816800000002,1,-62.98952,1,1.0
L1452,1156.6799999999998,1,-63.0504,1,1.0
L1453,1153.9589999999998,1,-92.81679,1,1.0
L1454,1152.7665000000002,3,-73.600272,3,0.6666666666666666
L1455,1151.9279800000002,1,-52.931748,1,0.0
L1456,1149.20512,3,-53.3721,2,0.0
L1457,1147.8108300000001,7,-63.899121,4,1.0
L1458,1146.12707,3,-62.77776999999999,1,1.0
L1459,1144.40973,2,-53.4495,1,0.0
L1460,1141.0259999999998,1,-63.56868,1,1.0
L1461,1140.5281999999997,1,-51.7598,1,0.0
L1462,1139.0994799999999,3,-53.076356000000004,1,0.0
L1463,1137.1107,1,-143.1579,1,0.0
L1464,1132.67679,7,-52.073985,4,0.0
L1465,1126.4638,1,-61.81868,1,1.0
L1466,1124.6235,2,-59.263985,2,0.0
L1467,1122.51532,4,-109.38029600000002,2,1.0
L1468,1122.5081400000001,1,-63.42414,1,1.0
L1469,1120.70555,1,-127.22915,1,1.0
L1470,1120.4287000000002,5,-56.14735,2,0.0
L1471,1119.67101,1,-262.003326,1,1.0
L1472,1118.89927,2,-61.757006,1,1.0
L1473,1118.878,1,-60.499,1,1.0
L1474,1117.16472,1,-63.15316,1,1.0
L1475,1116.99744,1,-86.062444,1,1.0
L1476,1116.1106,1,-206.026062,1,1.0
L1477,1115.31446,2,-61.71199,1,1.0
L1478,1111.1,1,-90.0483,1,1.0
L1479,1108.3,1,-68.7,1,1.0
L1480,1106.26854,1,-94.107,1,1.0
L1481,1105.54043,2,-68.651,2,1.0
L1482,1103.38686,1,-95.97141,1,1.0
L1483,1103.027,2,-61.388000000000005,1,1.0
L1484,1102.35,1,-522.549,1,1.0
L1485,1100.8158,1,-117.9969,1,1.0
L1486,1098.73218,2,-88.50267,2,1.0
L1487,1098.3673999999999,1,-61.472396,1,1.0
L1488,1093.9950000000001,1,-60.795,1,1.0
L1489,1091.3398399999999,2,-59.56252,2,1.0
L1490,1090.47672,6,-58.62507,6,0.6666666666666666
L1491,1088.0,1,-59.382,1,1.0
L1492,1085.3465999999999,1,-92.600073,1,1.0
L1493,1082.4981,1,-58.39824,1,1.0
L1494,1081.0752,1,-59.361,1,1.0
L1495,1077.281,2,-116.765425,1,1.0
L1496,1073.73277,1,-50.208895,1,0.0
L1497,1072.25238,1,-59.76318,1,1.0
L1498,1069.34712,2,-473.14367400000003,1,1.0
L1499,1067.7485000000001,2,-59.0135,1,1.0
L1500,1065.41706,2,-59.6051,1,1.0
L1501,1065.056,1,-73.919136,1,0.0
L1502,1062.6607999999999,1,-57.8908,1,1.0
L1503,1062.5615,1,-60.1612,1,1.0
L1504,1060.598,1,-62.177,1,0.0
L1505,1059.73822,1,-51.55741,1,0.0
L1506,1056.20034,2,-56.35446,1,1.0
L1507,1054.9384599999998,5,-55.609669000000004,5,0.6
L1508,1054.76875,2,-58.88328,2,1.0
L1509,1054.3923,2,-59.0881,1,1.0
L1510,1051.29929,4,-49.292505,2,0.0
L1511,1051.1424000000002,1,-52.58484,1,0.0
L1512,1050.26231,7,-50.805930000000004,1,0.0
L1513,1049.42575,1,-50.3315,1,0.0
L1514,1049.31396,1,-49.83012,1,0.0
L1515,1048.66128,1,-48.20418,1,0.0
L1516,1047.36096,1,-57.39692,1,1.0
L1517,1037.13462,2,-73.09461999999999,2,0.0
L1518,1035.9156,3,-190.89960000000002,1,1.0
L1519,1034.7749999999999,1,-49.6125,1,0.0
L1520,1033.8841,2,-50.071854,2,1.0
L1521,1032.8503699999999,1,-33.49571,1,0.0
L1522,1030.27147,6,-57.417082,4,1.0
L1523,1030.26025,4,-56.76444,3,1.0
L1524,1027.73944,1,-47.63542,1,0.0
L1525,1026.82558,2,-47.89438,1,0.0
L1526,1024.9526,1,-57.687,1,1.0
L1527,1024.164,1,-56.02104,1,1.0
L1528,1023.21042,2,-52.912136,2,1.0
L1529,1022.0044,2,-48.101600000000005,1,0.0
L1530,1021.3125,1,-83.07975,1,0.0
L1531,1019.1,1,-46.60942,1,0.0
L1532,1014.7728000000001,1,-258.056384,1,1.0
L1533,1013.9472,2,-48.263040000000004,1,0.0
L1534,1012.3756000000001,3,-104.68064999999999,1,1.0
L1535,1009.3038,1,-442.7594,1,1.0
L1536,1007.41228,6,-56.379882,1,1.0
L1537,1006.5573,2,-127.549226,2,1.0
L1538,1003.6,1,-139.8,1,1.0
L1539,1001.1953299999999,3,-61.06036,3,1.0
L1540,997.9956,1,-52.98546,1,1.0
L1541,997.52397,4,-52.61157,2,0.5
L1542,996.5167600000001,5,-54.399988,4,1.0
L1543,992.5468,1,-55.40164,1,1.0
L1544,988.665,1,-46.9995,1,1.0
L1545,988.05783,2,-53.104175,1,1.0
L1546,987.4480000000001,1,-53.8608,1,1.0
L1547,986.011,1,-44.33413,1,0.0
L1548,984.93488,1,-57.814848,1,1.0
L1549,982.9763499999999,7,-47.267053000000004,4,0.14285714285714285
L1550,982.29452,2,-54.64864,1,1.0
L1551,981.9497000000001,1,44.09684,1,1.0
L1552,981.51073,2,-45.91738,1,0.0
L1553,975.39247,8,-50.974046,8,0.5
L1554,973.42318,2,-63.137338,1,1.0
L1555,972.71532,2,-52.690335,2,1.0
L1556,971.8077599999999,2,-121.80776,1,0.0
L1557,969.8872299999999,2,-69.42018,1,1.0
L1558,967.0384100000001,3,-53.585383,3,1.0
L1559,965.11,1,-44.55,1,0.0
L1560,964.392,1,-44.968,1,0.0
L1561,958.1871,2,-51.3019,1,1.0
L1562,954.22413,1,-154.39986,1,0.0
L1563,954.19272,2,-51.10728,2,1.0
L1564,951.1098,1,-98.952762,1,1.0
L1565,950.1258300000001,3,-53.6303,2,1.0
L1566,949.42093,1,-49.86961,1,1.0
L1567,948.9606400000001,1,-53.24368,1,1.0
L1568,948.4410399999999,1,-456.36724,1,0.0
L1569,948.4161,1,-51.2808,1,1.0
L1570,948.3352,1,-51.6402,1,1.0
L1571,948.28852,1,-51.971573,1,1.0
L1572,948.1031999999999,1,-51.4008,1,1.0
L1573,948.0354299999999,6,-51.23717,1,1.0
L1574,947.757,1,-52.4295,1,1.0
L1575,947.61499,3,-51.741444,1,1.0
L1576,947.0868,1,-53.1948,1,1.0
L1577,947.0124000000001,1,-51.556896,1,1.0
L1578,946.8942,1,-53.2777,1,1.0
L1579,946.4580000000001,1,-52.536222,1,1.0
L1580,946.4521,1,-53.2398,1,1.0
L1581,945.04863,5,-52.074870000000004,1,1.0
L1582,944.82795,1,-55.4466,1,1.0
L1583,942.90328,2,-52.388017,1,1.0
L1584,942.9031,1,-52.383922,1,1.0
L1585,941.27161,4,-58.34109,1,1.0
L1586,939.27859,2,-51.504728,1,1.0
L1587,937.8252,1,-42.71004,1,0.0
L1588,937.44288,1,-52.016152,1,1.0
L1589,937.4396,1,-42.9039,1,1.0
L1590,936.44,2,-52.3,1,1.0
L1591,936.4239,1,-51.36909,1,1.0
L1592,933.1255999999998,1,-51.1888,1,1.0
L1593,932.8935,1,-50.682765,1,1.0
L1594,930.2446,3,-83.45666,2,0.6666666666666666
L1595,930.177,1,-42.8076,1,0.0
L1596,929.936,1,-54.403878,1,1.0
L1597,929.92144,1,-52.18136,1,1.0
L1598,929.451,1,-49.7951,1,1.0
L1599,928.78014,1,-52.49262,1,1.0
L1600,927.42992,1,-264.56408,1,1.0
L1601,926.89134,1,-50.072582,1,1.0
L1602,924.8237000000001,2,-53.889857000000006,2,1.0
L1603,922.8278399999999,1,-72.42096,1,0.0
L1604,922.7582,2,-50.27896,2,1.0
L1605,922.22357,2,-51.168319000000004,1,1.0
L1606,920.0307600000001,5,-50.209789,4,1.0
L1607,918.6943200000001,3,-42.70498,3,0.3333333333333333
L1608,918.20023,1,-42.06259,1,0.0
L1609,916.5039999999999,1,-51.05232,1,1.0
L1610,914.27886,1,-111.53076,1,1.0
L1611,913.5705,5,-28.6494,1,1.0
L1612,913.33789,3,-151.41114000000002,1,1.0
L1613,908.696,1,-113.684,1,0.0
L1614,908.6215,1,-171.14835,1,1.0
L1615,907.5371,2,-41.78335,1,0.0
L1616,907.2329399999999,2,-50.0283,2,1.0
L1617,904.85378,8,-50.400074,7,1.0
L1618,902.7866799999999,2,-51.58929,1,1.0
L1619,901.8817300000001,5,-48.986383000000004,4,1.0
L1620,901.7223,1,-228.30789,1,1.0
L1621,899.79361,1,-41.4981,1,0.0
L1622,893.9163,1,-164.895421,1,1.0
L1623,893.198,1,-60.44945,1,0.0
L1624,892.7577200000002,1,-42.21698,1,0.0
L1625,892.6524000000001,1,-47.82456,1,1.0
L1626,890.9114400000001,2,-46.773904,1,0.5
L1627,890.1518,1,-40.92478,1,0.0
L1628,889.5592599999999,1,-41.212485,1,0.0
L1629,888.57836,3,-49.090174000000005,1,1.0
L1630,886.20774,6,-48.509965,5,1.0
L1631,886.04016,1,-157.765168,1,1.0
L1632,882.48262,2,-112.13149600000001,1,0.0
L1633,880.17945,2,-357.42055,1,1.0
L1634,874.39816,1,-48.001856,1,1.0
L1635,873.0909200000001,3,-122.05802800000001,2,1.0
L1636,873.0673,1,-48.4194,1,1.0
L1637,870.81925,1,-47.708045,1,1.0
L1638,869.8643999999999,2,-47.902874999999995,2,1.0
L1639,868.29,1,-53.49,1,1.0
L1640,866.32773,1,-48.8551,1,1.0
L1641,864.35508,2,-63.582936000000004,2,1.0
L1642,862.241,4,-47.572,4,1.0
L1643,861.4521,3,-50.2533,3,0.6666666666666666
L1644,860.7598999999999,1,-349.604255,1,1.0
L1645,860.3199999999999,1,-47.4874,1,1.0
L1646,859.99104,1,-72.327168,1,1.0
L1647,855.4791,1,-45.9162,1,1.0
L1648,853.3421799999999,3,-32.750846,1,1.0
L1649,853.03692,2,-47.272400000000005,2,1.0
L1650,849.384,1,-47.205296,1,1.0
L1651,845.856,1,-38.11968,1,0.0
L1652,844.7270399999999,1,-153.328896,1,1.0
L1653,844.49988,1,-337.06092,1,1.0
L1654,844.1544799999999,1,-44.71688,1,1.0
L1655,842.5372600000001,3,-83.21300600000001,3,0.6666666666666666
L1656,842.367,1,-46.41941,1,1.0
L1657,841.2547000000001,1,-45.809101,1,1.0
L1658,840.125,1,-119.2343,1,1.0
L1659,834.7528000000001,1,-58.06856,1,1.0
L1660,832.0929100000001,3,-104.7607,1,0.0
L1661,831.51752,4,-43.691563,3,0.25
L1662,831.09708,1,-77.991672,1,1.0
L1663,829.5883200000001,1,-44.783563,1,1.0
L1664,828.4753400000001,1,-151.425582,1,1.0
L1665,828.4185,1,-38.887625,1,0.0
L1666,827.23212,2,-40.667835,2,0.5
L1667,825.9971800000001,2,-46.36002,1,1.0
L1668,824.1295600000001,1,-99.096742,1,0.0
L1669,823.83609,1,-44.60451,1,1.0
L1670,823.3338200000002,4,-45.61018,1,1.0
L1671,818.677,1,-44.714,1,1.0
L1672,817.70773,3,-154.45745399999998,1,1.0
L1673,815.3475699999999,1,-36.822175,1,0.0
L1674,814.26213,2,-38.274464,1,0.0
L1675,813.58831,1,-45.2838,1,1.0
L1676,811.19572,2,-132.105912,2,0.0
L1677,810.28464,1,-44.02376,1,1.0
L1678,810.1579999999999,3,-68.87758,3,1.0
L1679,808.0,1,-104.31,1,1.0
L1680,805.4195,1,-43.806,1,1.0
L1681,804.58875,1,-43.84674,1,1.0
L1682,802.5266099999999,2,-44.99517,1,1.0
L1683,801.4734,1,-195.8796,1,1.0
L1684,801.44178,1,-1.647288,1,0.0
L1685,800.61976,1,-85.273496,1,1.0
L1686,799.22815,1,-40.61708,1,1.0
L1687,798.9816999999999,1,-44.7359,1,1.0
L1688,796.4354999999999,1,-43.5512,1,1.0
L1689,796.1128,1,-144.108249,1,1.0
