coin,sfx,size_unit,size_usd,lat_ms,n_days,pairs_day,ev_pair_bp,ev_pair_nw,se_pair,t_pair,day_bp,se_day_bp,t_day,day_usd,se_day_usd,t_usd,worst_day_bp,best_day_bp,p_day_pos,p_off_60s,t_off_med,forced_rate
xyz:KIOXIA,_q1_sz0.298361_lat130,0.298361,100.00016456499999,130,47,403.97872340425533,-2.158075533088728,-2.7662157725055914,0.9311369934584384,-2.9707935480377436,-892.9965413570459,264.2318063439839,-3.379595188455547,-9.127130888065144,2.1321473720777715,-4.280722340112344,-6178.363426886462,5416.142864111529,0.3404255319148936,0.4949047504639023,58.3785,0.000868261109795564
xyz:KIOXIA,_q1_sz2.9836,2.9836,999.9982939999999,0,47,133.2340425531915,-11.929527083021323,-14.039870058095477,3.268171152682853,-4.295940880137229,-1622.7067687473334,437.3370246531671,-3.71042623257025,-170.89193383301387,30.667802264099077,-5.5723567134468786,-10741.471863002207,479.41263322567823,0.14893617021276595,0.3123868545667821,207.949,0.002548582351067219
xyz:KIOXIA,_q1_sz2.9836_lat130,2.9836,999.9982939999999,130,47,115.95744680851064,-12.351510679224242,-14.332559066070258,3.3746325332117135,-4.247146593003903,-1462.8780771107893,347.8196536122531,-4.20585226256822,-157.27012766603679,26.173155413812527,-6.008833294247724,-11237.45445817256,243.618136462727,0.19148936170212766,0.2959633056080712,209.33800000000002,0.00310956648984818
xyz:KIOXIA,_q1_sz29.8361,29.8361,10000.016456499998,0,41,20.851063829787233,-27.607852361793555,-36.16463184452765,15.170417349742669,-2.3838916893832915,-661.9015049087599,239.92472510329785,-2.7587882183621675,-685.6674961698936,166.24729666631947,-4.124382831596473,-6483.091048217744,582.0785742492316,0.2765957446808511,0.1194167679987046,1727.1570000000002,0.018527791687531298
xyz:KIOXIA,_q1_sz29.8361_lat130,29.8361,10000.016456499998,130,40,17.680851063829788,-27.328968603759,-40.27346010156187,17.181739658501904,-2.3439687075943834,-567.822186185701,181.4120595912357,-3.130013448197097,-599.3373844101408,117.79678110169816,-5.087892714935151,-5802.061468651771,787.5779407002665,0.2765957446808511,0.10620698941932057,1590.6730000000002,0.020047169811320754
xyz:KIOXIA,_q1_sz298.361,298.361,100000.16456499998,0,13,0.6170212765957447,-41.923861289607224,-71.4104117295974,47.22640220726325,-1.5120866378132598,-7.034823479387603,44.91255958006549,-0.15663376893153114,22.303780764480855,439.7592833435483,0.05071815788606495,-1990.6752380136609,1076.9841161185425,0.23404255319148937,0.11538461538461539,4168.151,0.2054794520547945
xyz:KIOXIA,_q1_sz298.361_lat130,298.361,100000.16456499998,130,10,0.46808510638297873,34.80461947988824,41.8362677768783,25.31295595647773,1.652761054410643,27.248994654570293,36.18922043489665,0.7529588735847582,425.32553396215474,353.9956139236439,1.2014994458487742,-1675.2957411132606,1076.9841161185425,0.2765957446808511,0.15,2833.543,0.2786885245901639
xyz:SKHX,_q1,0.0,0.0,0,99,6866.80808080808,-0.7193610576334821,-0.6635964907508947,0.6447182695549107,-1.0292813498352027,-4945.555575930227,2694.1632276699734,-1.8356555108234305,NaN,NaN,NaN,-54794.88069702257,17286.64516947335,0.30303030303030304,0.9028079356241021,4.9365000000000006,0.00005295285724792234
xyz:SKHX,_q1_lat130,0.0,0.0,130,99,5557.848484848485,-0.8966835251456872,-0.8553188601949558,0.6542784282204317,-1.3072704575043577,-4990.878474761791,2287.164834077791,-2.182124523952016,NaN,NaN,NaN,-46703.43436041062,14589.390344769263,0.26262626262626265,0.8960035303634031,5.611,0.00006542326124053407
xyz:SKHX,_q1_lat65,0.0,0.0,65,99,6299.828282828283,-0.7956696587541383,-0.7539268339829697,0.6504228609061099,-1.159133356617674,-5018.863232430845,2544.22206059393,-1.9726514089179887,NaN,NaN,NaN,-52125.348565826556,16453.898599090036,0.29292929292929293,0.9003504594328116,5.295,0.00005932149041236452
