ts,open,high,low,close,volume,dtm,symbol
1781136000,67750.0,77360.0,67600.0,75440.0,50578100,2026-06-11T00:00:00.000000,285A.T
1781222400,80500.0,83140.0,78920.0,81200.0,38142700,2026-06-12T00:00:00.000000,285A.T
1781481600,85700.0,90990.0,85200.0,90910.0,33746100,2026-06-15T00:00:00.000000,285A.T
1781568000,93910.0,97610.0,90920.0,94720.0,36218300,2026-06-16T00:00:00.000000,285A.T
1781654400,93500.0,96400.0,92320.0,96000.0,28043300,2026-06-17T00:00:00.000000,285A.T
1781740800,97500.0,99500.0,95800.0,96900.0,30706700,2026-06-18T00:00:00.000000,285A.T
1781827200,100300.0,108600.0,99970.0,108600.0,34871100,2026-06-19T00:00:00.000000,285A.T
1782086400,105600.0,112700.0,104250.0,108700.0,23790200,2026-06-22T00:00:00.000000,285A.T
1782172800,110750.0,111500.0,91150.0,92290.0,43844900,2026-06-23T00:00:00.000000,285A.T
1782259200,95290.0,98190.0,86550.0,92500.0,50209300,2026-06-24T00:00:00.000000,285A.T
1782345600,106000.0,106150.0,97310.0,103850.0,29128700,2026-06-25T00:00:00.000000,285A.T
1782432000,100000.0,102000.0,89600.0,92180.0,43906600,2026-06-26T00:00:00.000000,285A.T
1782691200,92730.0,93140.0,82100.0,88450.0,44715800,2026-06-29T00:00:00.000000,285A.T
1782777600,88450.0,94880.0,85300.0,89680.0,36393600,2026-06-30T00:00:00.000000,285A.T
1782864000,91180.0,93060.0,87120.0,88130.0,29322300,2026-07-01T00:00:00.000000,285A.T
1782950400,79130.0,80990.0,75000.0,76260.0,44758400,2026-07-02T00:00:00.000000,285A.T
1783036800,68000.0,84390.0,67190.0,83300.0,56815500,2026-07-03T00:00:00.000000,285A.T
1783296000,84800.0,84800.0,78200.0,81590.0,40153200,2026-07-06T00:00:00.000000,285A.T
1783382400,78000.0,79470.0,71120.0,72400.0,46495000,2026-07-07T00:00:00.000000,285A.T
1783468800,69400.0,77480.0,69300.0,71870.0,48348100,2026-07-08T00:00:00.000000,285A.T
1783555200,77220.0,79950.0,75700.0,77860.0,40044800,2026-07-09T00:00:00.000000,285A.T
1783641600,82080.0,84050.0,75880.0,77000.0,39973100,2026-07-10T00:00:00.000000,285A.T
1783900800,75500.0,77160.0,66100.0,67100.0,48704800,2026-07-13T00:00:00.000000,285A.T
