k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
1,1,1.0,8467190.0,599247.0,146500.7755178831,-681178.2512785904,-587411.2117607072,288122.51600000006
1,1,3.0,8467190.0,1552588.0,-244168.92161104432,-1818258.7665667643,-2199055.4321778086,2095641.1790000005
1,1,5.0,8467190.0,2209793.0,-599273.3997847034,-2628115.886506282,-3421851.070290985,4658200.854999999
1,1,10.0,8467190.0,3248964.0,-1178013.1213282663,-4022200.7610245463,-5486122.7143528145,12148840.035
1,1,30.0,8467190.0,4981914.0,-1952314.4432620176,-6590344.194354799,-8981067.06961682,43431699.50900001
1,1,60.0,8467190.0,5891545.0,-2216243.9109215746,-8287093.599072212,-11021793.469993785,82418513.29300003
1,-1,0.1,8467190.0,100082.0,101859.96953836275,73716.82076924932,19335.932769113384,4579.820000000001
1,-1,0.5,8467190.0,323436.0,189347.9484210848,326498.8518053063,-165613.2713842214,72430.523
1,-1,1.0,8467190.0,617164.0,161142.04068124975,682420.9147538785,-575589.3060726287,291390.92800000013
1,-1,3.0,8467190.0,1666504.0,-207203.74837411678,1802133.759738652,-2155989.8601127695,2231582.514000001
1,-1,5.0,8467190.0,2393739.0,-538382.8292915028,2601138.316151033,-3350170.1774425353,5024167.385
1,-1,10.0,8467190.0,3536373.0,-1037378.4578178711,3923691.7157248426,-5272270.997542713,13174205.664999997
1,-1,30.0,8467190.0,5368100.0,-1533597.0383499176,6324786.694502812,-8330776.532852731,45883074.49600001
1,-1,60.0,8467190.0,6235235.0,-1622116.4067485963,7870525.743882864,-10041342.830631463,82789604.83399999
2,1,0.1,8467190.0,57758.0,67058.5795679052,-57956.1360908081,4019.7394770970623,2794.468999999999
2,1,0.5,8467190.0,237937.0,153116.39268544267,-287368.9401332329,-155191.0034477903,58024.773
2,1,1.0,8467190.0,488258.0,136533.58761804397,-616839.1601316943,-523272.27651365014,244926.34999999998
2,1,3.0,8467190.0,1348376.0,-204143.3513427503,-1701394.598441464,-2024195.0377842141,1885105.2539999997
2,1,5.0,8467190.0,1958596.0,-525285.2800480668,-2494765.595436787,-3192407.323484853,4269143.269
2,1,10.0,8467190.0,2948895.0,-1052262.4895168974,-3886760.2506750193,-5198525.500191917,11423871.771000003
