feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,0,-1,0,0.5,376208.0,16116.0,115597.36072290353,9129.566843674365,105049.58587922927,2726.6199999999994
obi,0,-1,0,1.0,376208.0,23979.0,166156.7369152571,17594.69706487922,146451.88785037785,8480.360999999997
obi,0,-1,0,3.0,376208.0,48490.0,344035.7153961286,53768.39106839084,286000.20432773756,51297.552999999985
obi,0,-1,0,5.0,376208.0,64972.0,464466.7853053897,85940.92385406379,372808.32545132516,113193.37600000006
obi,0,-1,0,10.0,376208.0,94898.0,684232.3346354916,149411.1234614294,526470.1871740636,326781.419
obi,0,-1,0,30.0,376208.0,165677.0,1225725.3068736263,260544.14294654908,950601.5879270813,1644964.1479999966
obi,0,-1,0,60.0,376208.0,196264.0,1441337.9370091746,379371.57527254283,1044695.1297366389,2992308.775999983
obi,0,-1,1,0.1,351373.0,6566.0,64551.13367800455,3250.6212276383935,60722.70445036615,277.4389999999999
obi,0,-1,1,0.5,351373.0,12697.0,110464.27529593179,13158.427023792196,96188.51227213957,2019.671000000001
obi,0,-1,1,1.0,351373.0,18198.0,153207.55757997176,25916.37863885976,125689.754941112,6043.066
obi,0,-1,1,3.0,351373.0,37278.0,320564.6677633469,72400.41559535763,244883.78816798935,39092.97699999997
obi,0,-1,1,5.0,351373.0,50543.0,437773.04476521426,110777.35568566906,322547.9050795455,88828.255
obi,0,-1,1,10.0,351373.0,75142.0,654419.380834947,191098.98906724542,456707.89576770266,264691.11900000036
obi,0,-1,1,30.0,351373.0,134713.0,1187849.7112365107,389912.79613276006,786082.171103753,1378678.7869999965
obi,0,-1,1,60.0,351373.0,163483.0,1422536.724132284,558318.4653772055,849831.7547550806,2647125.160999993
obi,0,-1,2,0.1,375152.0,6323.0,67149.79952085218,4251.587651440278,62341.78786941188,261.25099999999986
obi,0,-1,2,0.5,375152.0,11631.0,112347.85836143776,14486.170454315796,96838.15990712191,1778.9150000000006
obi,0,-1,2,1.0,375152.0,16516.0,154054.398246567,27955.878202205913,124645.11204436106,5376.269999999998
obi,0,-1,2,3.0,375152.0,34534.0,327773.22307875525,77805.64580475297,246928.5852740023,36677.32599999999
obi,0,-1,2,5.0,375152.0,47664.0,451287.6958366006,125608.24298711467,321485.02084948553,85980.15999999996
obi,0,-1,2,10.0,375152.0,72277.0,682914.9403703446,218669.94417566236,457884.6201946805,262173.1640000005
obi,0,-1,2,30.0,375152.0,132238.0,1253412.0467715976,472652.5655650173,769122.5372065813,1380462.2189999965
obi,0,-1,2,60.0,375152.0,163032.0,1520528.1293187507,714104.5798981701,792076.7334205905,2741826.132000003
obi,0,-1,3,0.1,350823.0,5507.0,54893.31578142351,4455.797465390102,49952.902316033375,232.19999999999985
obi,0,-1,3,0.5,350823.0,10487.0,94791.48635710416,15595.076237476487,78273.55411962769,1665.958
