feat,side,h,s_dec,q_dec,n,n_fill,sum_as,sum_as2,sum_hs,sum_hs_post,sum_imp,sum_edge,sum_sprT,sum_wait
obi,1,0.5,1,5,42774.0,2503.0,-2854.9665600614167,11958.241523640372,1039.826143801825,2800.046857372896,-1750.9393618048962,816.0483236155368,30101.129378040896,525.5029999999999
obi,1,1.0,1,5,42774.0,4053.0,-4883.630814325475,26543.873736087608,1710.2470250923523,4445.07889834093,-2716.692012274158,850.6919616899868,30101.129378040896,1658.8479999999995
obi,1,3.0,1,5,42774.0,7822.0,-9355.168651840326,105827.98641540749,3590.910433933442,8354.05740847173,-4703.373513465344,-1334.8669126435925,30101.129378040896,8816.448000000002
obi,1,5.0,1,5,42774.0,10578.0,-13108.79416264191,211176.66421618868,5068.453149625869,11197.50940319052,-6037.823180658214,-4743.725388060378,30101.129378040896,19651.059
obi,1,10.0,1,5,42774.0,15269.0,-18121.337560920965,550281.4091035196,7797.902497255691,16026.720468533302,-8090.055683657501,-13485.428745532632,30101.129378040896,53703.34900000002
obi,1,30.0,1,5,42774.0,24318.0,-30871.25213098723,2628818.3540880834,13536.94149821882,25758.877457887003,-11995.034990971917,-34993.63495560009,30101.129378040896,220979.67299999998
obi,1,60.0,1,5,42774.0,29332.0,-42173.25776609434,5918885.521070878,16860.802420147298,31198.4758141777,-14071.548470526675,-49002.06612969968,30101.129378040896,436911.57600000006
obi,1,0.1,1,6,36280.0,562.0,-463.7714735682955,1047.9918874001692,292.1140894293587,653.9055028232094,-348.7684323010901,290.8031085559539,26240.167553309715,27.035000000000014
obi,1,0.5,1,6,36280.0,1842.0,-2134.447951061815,8234.664905115917,804.5383849840468,2070.9240301179816,-1252.3346981241586,643.681398325302,26240.167553309715,384.60600000000005
obi,1,1.0,1,6,36280.0,2977.0,-3496.8207793149973,18270.227951145378,1301.7690823468758,3231.7073930862052,-1907.6264590657638,611.9730716566338,26240.167553309715,1212.2200000000003
obi,1,3.0,1,6,36280.0,5852.0,-6689.73880799894,74359.2861484316,2776.832675223483,6279.810307894923,-3456.143714882281,-965.4007605282399,26240.167553309715,6594.606
obi,1,5.0,1,6,36280.0,7934.0,-9100.877501409075,156912.45705360148,3961.6160971760123,8487.12928975707,-4457.898562123936,-3510.6405681397105,26240.167553309715,14718.387
obi,1,10.0,1,6,36280.0,11852.0,-14083.332807552102,446617.90964579186,6299.361132383975,12611.77241429766,-6232.838251701261,-10970.23857505592,26240.167553309715,43201.44899999999
obi,1,30.0,1,6,36280.0,19303.0,-26693.857553799928,2005475.9813956798,11145.320036359077,20745.662058077236,-9474.740630973727,-30591.270530049787,26240.167553309715,180216.80000000005
obi,1,60.0,1,6,36280.0,23948.0,-36048.60625749958,4850023.82955214,14317.592587664494,26013.887387229806,-11534.00568981802,-43455.2285844684,26240.167553309715,381513.9930000003
obi,1,0.1,1,7,31038.0,409.0,-409.56592035670553,1077.755327893888,222.6665079582181,531.570661878054,-303.0937709644121,221.74688312053087,22800.291706901684,19.932000000000006
obi,1,0.5,1,7,31038.0,1265.0,-1501.772446185504,5852.087006546847,586.4252362167031,1509.1622330882913,-915.8446848068952,464.6229144509695,22800.291706901684,263.85999999999996
obi,1,1.0,1,7,31038.0,2005.0,-2482.957743841862,12174.626549349878,958.8643788681925,2337.509992342238,-1370.4230042444303,457.6074284146465,22800.291706901684,803.6569999999998
obi,1,3.0,1,7,31038.0,4119.0,-5350.738406787099,51468.655718203736,2027.4321957429518,4595.296514766728,-2486.0254226303377,-1050.4506302658735,22800.291706901684,4840.023000000001
obi,1,5.0,1,7,31038.0,5765.0,-7716.490948615911,113668.09235126169,2964.380527114176,6480.409714482038,-3291.390755678946,-3790.7604733750945,22800.291706901684,11323.802000000005
obi,1,10.0,1,7,31038.0,8817.0,-13157.916294471697,303702.762503252,4852.849942288109,9943.592578696964,-4723.6562571873355,-9701.76895107897,22800.291706901684,33580.085
obi,1,30.0,1,7,31038.0,15398.0,-20930.196336365952,1546635.3050357148,9131.225106926764,17166.490071775745,-7618.16473031299,-27004.66093537343,22800.291706901684,154235.455
obi,1,60.0,1,7,31038.0,19481.0,-30049.302339284433,3798884.79937369,11880.59350720631,21665.929407398624,-9330.833021680015,-39696.37753702149,22800.291706901684,331039.6059999999
obi,1,0.1,1,8,30855.0,335.0,-293.91457387123137,616.1506380801355,172.17723834316175,404.2219379637026,-230.48408982984944,170.25570895278838,21519.265993920617,15.829
obi,1,0.5,1,8,30855.0,1098.0,-1295.6609091101307,4478.195689106074,487.9409002934792,1222.001205429389,-730.0931520182197,373.23912815949626,21519.265993920617,231.45400000000004
obi,1,1.0,1,8,30855.0,1790.0,-2094.542762388968,10087.488162663472,812.1500184894459,1956.335225696064,-1137.685920885692,366.4051185240504,21519.265993920617,738.9909999999999
obi,1,3.0,1,8,30855.0,3674.0,-4164.718102977426,40653.955177397016,1774.972252859711,3867.728091485357,-2065.348642867434,-743.8016622775021,21519.265993920617,4349.902000000002
obi,1,5.0,1,8,30855.0,5124.0,-5860.787646703008,93743.73320429778,2574.7391508219107,5303.485276052303,-2694.3777744432687,-2581.9528457459837,21519.265993920617,10104.197000000006
